english,polish
dry,suche
duck,kaczka
during,podczas
each,każda
ear,ucho
early,wcześnie
earth,ziemia
ease,łatwość
east,wschód
eat,jeść
edge,krawędź
effect,efekt
egg,jajko
eight,osiem
either,albo
electric,elektryczny
element,elementu
else,więcej
end,koniec
enemy,wróg
energy,energii
engine,silnik
enough,wystarczy
enter,wejść
equal,równy
equate,zrównać
especially,szczególnie
even,nawet
evening,wieczorem
event,wydarzenie
ever,kiedykolwiek
every,każdy
exact,dokładny
example,przykład
except,z wyjątkiem
excite,podniecać
exercise,ćwiczenie
expect,oczekiwać
experience,doświadczenie
experiment,eksperyment
eye,oko
face,twarz
fact,fakt
fair,sprawiedliwy
fall,spadek
family,rodzina
famous,słynny
far,daleko
farm,gospodarstwo
fast,szybko
fat,tłuszcz
father,ojciec
favor,faworyzować
fear,strach
feed,rss
feel,czuć
feet,stopy
fell,spadła
felt,filc
few,kilka
field,pole
fig,figa
fight,walka
figure,rysunek
fill,napełniać
final,ostateczna
find,odnaleźć
fine,dobrze
finger,palec
finish,wykończenie
fire,ogień
first,pierwszy
fish,ryb
fit,pasować
five,pięć
flat,mieszkanie
floor,piętro
flow,płynąć
flower,kwiat
fly,latać
follow,śledzić
food,jedzenie
foot,stopa
for,dla
force,siła
forest,las
form,formularz
forward,do przodu
found,znaleziono
four,cztery
fraction,frakcja
free,za darmo
fresh,świeży
friend,przyjaciel
from,z
front,z przodu
fruit,owoc
full,pełna
fun,zabawy
game,gra
garden,ogród
gas,gaz
gather,zbierać
gave,dał
general,ogólnie
gentle,łagodny
get,dostać
girl,dziewczyna
give,dać
glad,zadowolony
glass,szkła
go,iść
gold,złota
gone,odszedł
good,dobry
got,got
govern,rządzić
grand,wielki
grass,trawka
gray,szary
great,wielki
green,zielony
grew,wzrosła
ground,ziemia
group,grupa
grow,rosnąć
guess,odgadnąć
guide,przewodnik
gun,pistolet
had,miał
hair,włosy
half,połowa
hand,ręka
happen,stanie
happy,szczęśliwy
hard,trudne
has,ma
hat,kapelusz
have,mieć
he,on
head,głowa
hear,słyszeć
heard,słyszałem
heart,serce
heat,ciepło
heavy,ciężki
held,held
help,pomoc
her,ją
here,tutaj
high,wysoki
hill,wzgórzu
him,mu
his,jego
history,historia
hit,uderzać
hold,przytrzymaj
hole,otwór
home,strona główna
hope,nadzieję
horse,koń
hot,gorący
hour,godzina
house,dom
how,jak
huge,ogromny
human,ludzki
hundred,sto
hunt,polowanie
hurry,pospiesz
i,i
ice,lód
idea,pomysł
if,jeśli
imagine,wyobrazić
in,w
inch,cal
include,zawierać
indicate,"wskazują,"
industry,przemysł
insect,owad
instant,błyskawicznej
instrument,instrument
interest,odsetki
invent,wymyślać
iron,żelaza
is,jest
island,wyspa
it,to
job,praca
join,dołączyć
joy,radość
jump,skok
just,tylko
keep,zachować
kept,utrzymane
key,klucz
kill,zabić
kind,rodzaj
king,król
knew,wiedział
know,wiem
lady,pani
lake,jezioro
land,ziemia
language,język
large,duży
last,ostatnia
late,późno
laugh,śmiech
law,prawo
lay,świeckich
lead,prowadzić
learn,uczyć się
least,najmniej
leave,zostawić
led,doprowadziło
left,w lewo
leg,mecz
length,długość
less,mniej
let,niech
letter,list
level,poziom
lie,kłamstwo
life,życie
lift,wyciąg
light,światła
like,jak
line,linia
liquid,ciecz
list,lista
listen,słuchać
little,mało
live,żyć
locate,lokalizować
log,zaloguj
lone,samotny
long,długo
look,szukać
lost,stracony
lot,wiele
loud,głośno
love,miłość
low,niski
machine,maszyna
made,wykonane
magnet,magnes
main,głównym
major,głównym
make,zrobić
man,mężczyzna
many,wiele
map,mapa
mark,znak
market,rynku
mass,masa
master,mistrz
match,mecz
material,materiał
matter,"względu na to,"
may,może
me,mnie
mean,oznaczać
meant,oznaczało
measure,pomiaru
meat,mięso
meet,spotkać
melody,melodia
men,mężczyźni
metal,metalu
method,metoda
middle,średniej
might,moc
mile,km
milk,mleko
million,milion
mind,umysł
mine,kopalnia
minute,minut
miss,panna
mix,mix
modern,nowoczesny
molecule,cząsteczka
moment,chwilę
money,pieniądze
month,miesiąc
moon,księżyc
more,więcej
morning,rano
most,najbardziej
mother,matka
motion,ruch
mount,mocowanie
mountain,góra
mouth,usta
move,ruch
much,wiele
multiply,mnożenie
music,muzyka
must,musi
my,my
name,nazwa
nation,naród
natural,naturalne
nature,natura
near,blisko
necessary,konieczne
neck,szyi
need,potrzeba
neighbor,sąsiad
never,nigdy
new,nowy
next,następna
night,noc
nine,dziewięć
no,nie
noise,hałas
noon,południe
nor,ani
north,północ
nose,nos
note,uwaga
nothing,nic
notice,ogłoszenie
noun,rzeczownik
now,teraz
number,liczba
numeral,liczebnik
object,obiekt
observe,obserwować
occur,występują
ocean,ocean
of,stopa
off,z
offer,oferta
office,biuro
often,często
oh,oh
oil,olej
old,stary
on,na
once,raz
one,jeden
only,tylko
open,otwarte
operate,pracować
opposite,naprzeciwko
or,lub
order,zamówienie
organ,narząd
original,oryginalny
other,inne
our,nasze
out,na zewnątrz
over,ponad
own,własna
oxygen,tlenu
page,strona
paint,malować
pair,para
paper,papier
paragraph,pkt
parent,rodzic
part,część
particular,szczególności
party,strona
pass,przekazać
past,przeszłość
path,ścieżka
pattern,wzór
pay,płacić
people,ludzie
perhaps,być może
period,okres
person,osoba
phrase,zwrot
pick,wybrać
picture,obraz
piece,sztuk
pitch,boisko
place,miejsce
plain,zwykły
plan,planie
plane,samolot
planet,planeta
plant,roślin
play,grać
please,proszę
plural,liczba mnoga
poem,poemat
point,punkt
poor,słaba
populate,wypełnić
port,port
pose,stanowią
position,stanowisko
possible,możliwe
post,po
pound,funt
power,moc
practice,praktyka
prepare,przygotować
present,niniejszy
press,naciśnij
pretty,dość
print,drukuj
probable,prawdopodobne
problem,problem
process,proces
produce,produkować
product,produkt
proper,właściwy
property,właściwość
protect,ochrony
prove,dowieść
provide,zapewniać
pull,ciągnąć
push,pchnięcie
put,wkładać
quart,kwarta
question,pytanie
quick,szybki
quiet,cichy
quite,całkiem
quotient,iloraz
race,wyścig
radio,radio
rail,szyna
rain,deszcz
raise,podnieść
ran,ran
range,zakres
rather,raczej
reach,dotrzeć
read,czytaj
ready,gotowe
real,prawdziwy
reason,powodem
receive,otrzymać
record,rekord
red,czerwony
region,region
remember,pamiętaj
repeat,powtórz
reply,odpowiedz
represent,stanowią
require,wymagać
rest,reszta
result,wynik
rich,bogaty
ride,jazda
right,prawo
ring,pierścień
rise,wzrosnąć
river,rzeka
road,drogowego
rock,skalny
roll,rolki
room,pokój
root,korzeń
rope,lina
rose,róża
round,okrągły
row,wiersz
rub,trzeć
rule,reguła
run,run
safe,bezpieczne
said,powiedział
sail,żagiel
salt,sól
same,sam
sand,piasek
sat,nasyconym
save,oszczędzać
saw,piła
say,powiedzieć
scale,skala
school,szkoła
science,nauka
score,wynik
sea,morze
search,szukaj
season,sezon
seat,siedziba
second,drugi
section,sekcja
see,zobaczyć
seed,nasion
seem,wydają
segment,segment
select,wybierać
self,własny
sell,sprzedać
send,wyślij
sense,poczucie
sent,wysłany
sentence,zdanie
separate,oddzielne
serve,służyć
set,zestaw
settle,osiedlenie
seven,siedem
several,kilka
shall,powinien
shape,kształt
share,akcji
sharp,ostry
she,ona
sheet,arkusz
shell,powłoki
shine,połysk
ship,statek
shoe,buty
shop,sklep
shore,brzeg
short,krótki
should,powinna
shoulder,ramię
shout,krzyk
show,pokaż
side,bok
sight,widok
sign,znak
silent,cichy
silver,srebrny
similar,podobne
simple,proste
since,od
sing,śpiewać
single,pojedynczy
sister,siostra
sit,siedzieć
six,sześć
size,rozmiar
skill,umiejętność
skin,skóra
sky,niebo
slave,niewolnik
sleep,sen
slip,poślizgu
slow,powolny
small,mały
smell,zapach
smile,uśmiech
snow,śnieg
so,tak
soft,miękkie
soil,gleby
soldier,żołnierz
solution,rozwiązanie
solve,rozwiązania
some,niektóre
son,syn
song,piosenka
soon,wkrótce
sound,brzmieć
south,południe
space,przestrzeń
speak,mówić
special,specjalne
speech,mowy
speed,prędkość
spell,zaklęcie
spend,wydać
spoke,zabrał
spot,miejsce
spread,spread
spring,wiosna
square,plac
stand,stać
star,gwiazda
start,początek
state,stan
station,stacja
stay,pobyt
stead,siona
steam,parowy
steel,stal
step,krok
stick,kij
still,jeszcze
stone,kamień
stood,stał
stop,zatrzymać
store,sklep
story,historia
straight,prosto
strange,dziwny
stream,strumień
street,ulica
stretch,odcinek
string,sznur
strong,silny
student,uczeń
study,badanie
subject,temat
substance,substancja
subtract,odejmowanie
success,sukces
such,takie
sudden,nagły
suffix,przyrostek
sugar,cukier
suggest,"sugerują,"
suit,garnitur
summer,lato
sun,słońce
supply,zasilanie
support,wsparcie
sure,pewny
surface,powierzchnia
surprise,niespodzianka
swim,pływać
syllable,sylaby
symbol,symbol
system,system
table,stół
tail,ogon
take,wziąć
talk,dyskusja
tall,wysoki
teach,uczyć
team,zespół
teeth,zęby
tell,powiedzieć
temperature,temperatura
ten,dziesięć
term,termin
test,próba
than,niż
thank,dziękuję
that,że
the,kilka
their,ich
them,im
then,następnie
there,tam
these,te
they,oni
thick,gruby
thin,cienki
thing,rzecz
think,myśleć
third,trzeci
this,tego
those,osób
though,chociaż
thought,myśli
thousand,tysiąc
three,trzy
through,przez
throw,rzucać
thus,tak więc
tie,krawat
time,czas
tiny,małe
tire,opon
to,do
together,razem
told,powiedział
tone,ton
too,zbyt
took,wziął
tool,narzędzie
top,góry
total,całkowity
touch,dotknąć
toward,kierunku
town,miasto
track,tor
trade,handel
train,pociąg
travel,podróży
tree,drzewo
triangle,trójkąt
trip,wycieczka
trouble,kłopot
truck,ciężarówka
true,prawdziwy
try,spróbuj
tube,rurka
turn,kolej
twenty,dwadzieścia
two,dwa
type,typ
under,pod
unit,jednostka
until,do
up,w górę
us,nas
use,zastosowanie
usual,zwykły
valley,dolina
value,wartość
vary,różnią
verb,czasownik
very,bardzo
view,widok
village,wieś
visit,wizyta
voice,głos
vowel,samogłoska
wait,czekać
walk,chodzić
wall,ściana
want,chcą
war,wojna
warm,ciepły
was,było
wash,myjnia
watch,oglądać
water,woda
wave,fala
way,sposób
we,my
wear,nosić
weather,pogoda
week,tydzień
weight,waga
well,dobrze
went,poszedł
were,były
west,zachód
what,co
wheel,koło
when,kiedy
where,gdzie
whether,czy
which,który
while,podczas
white,biały
who,kto
whole,cały
whose,którego
why,dlaczego
wide,szeroki
wife,żona
wild,dziki
will,będzie
win,zwycięstwo
wind,wiatr
window,okno
wing,skrzydło
winter,zima
wire,drut
wish,chcieć
with,zespół
woman,kobieta
women,kobiety
wonder,"zastanawiam się,"
won’t,nie będzie
wood,drewna
word,słowo
work,praca
world,świat
would,byłoby
write,pisać
written,napisane
wrong,nie tak
wrote,napisał
yard,stoczni
year,rok
yellow,żółty
yes,tak
yet,jeszcze
you,ty
young,młody
your,twój
