english,yiddish
company,פירמע
compare,פאַרגלייַכן
complete,גאַנץ
condition,צושטאַנד
connect,פאַרבינדן
consider,באַטראַכטן
consonant,קאָנסאָנאַנט
contain,אַנטהאַלטן
continent,קאָנטינענט
continue,פאָרזעצן
control,קאָנטראָל
cook,קאָכן
cool,קילן
copy,קאָפּי
corn,פּאַפּשוי
corner,ווינקל
correct,ריכטיק
cost,קאָסטן
cotton,וואַטע
could,קען
count,ציילן
country,לאַנד
course,קורס
cover,דעקן
cow,קו
crease,קנייטש
create,שאַפֿן
crop,גערעטעניש
cross,קרייַז
crowd,מאַסע
cry,וויינען
current,קראַנט
cut,דורכשניט
dad,טאַטע
dance,טאַנצן
danger,געפאַר
dark,פינצטער
day,טאָג
dead,טויט
deal,האַנדלען
dear,ליב
death,טויט
decide,באַשליסן
decimal,דעצימאַל
deep,טיף
degree,דיפּלאָם
depend,אָפענגען
describe,באַשרייַבן
desert,מדבר
design,פּלאַן
determine,באַשטימען
develop,אַנטוויקלען
dictionary,ווערטערבוך
did,האט
die,שטאַרבן
differ,אַנדערש זייַן
difficult,שווער
direct,דירעקט
discuss,דיסקוטירן
distant,ווייַט
divide,צעטיילן
division,טיילונג
do,טאָן
doctor,דאָקטער
does,טוט
dog,הונט
dollar,דאָלאַר
done,געשען
don’t,טאָן ניט
door,טיר
double,טאָפּל
down,אַראָפּ
draw,ציען
dream,חלום
dress,קלייד
drink,טרינקען
drive,פאָר
drop,פאַלן
dry,טרוקן
duck,קאַטשקע
during,בעשאַס
each,יעדער
ear,אויער
early,פרי
earth,ערד
ease,יז
east,מזרח
eat,עסן
edge,ברעג
effect,ווירקונג
egg,יי
eight,אַכט
either,יעדער
electric,עלעקטריש
element,עלעמענט
else,אַנדערש
end,עק
enemy,פייַנט
energy,ענערגיע
engine,מאָטאָר
enough,גענוג
enter,אַרייַן
equal,גלייַך
equate,יקווייט
especially,ספּעציעל
even,אפילו
evening,אָוונט
event,געשעעניש
ever,אלץ
every,יעדער
exact,פּינקטלעך
example,בייַשפּיל
except,אַחוץ
excite,אָנצינדן
exercise,געניטונג
expect,דערוואַרטן
experience,דערפאַרונג
experiment,עקספּערימענט
eye,אויג
face,פּנים
fact,פאַקט
fair,יריד
fall,פאַלן
family,משפּחה
famous,באַרימט
far,ווייַט
farm,פאַרם
fast,פעסט
fat,פעט
father,פאטער
favor,טויווע
fear,מורא
feed,פּאַטשן
feel,פילן
feet,פֿיס
fell,געפאלן
felt,פּעלץ
few,ווייניק
field,פעלד
fig,פייַג
fight,קאַמף
figure,פיגורע
fill,פּלאָמבירן
final,לעצט
find,געפינען
fine,פייַן
finger,פינגער
finish,ענדיקן
fire,פייַער
first,ערשטער
fish,פיש
fit,צופּאַסן
five,פינף
flat,פלאַך
floor,פּאָדלאָגע
flow,לויפן
flower,בלום
fly,פליען
follow,נאָכפאָלגן
food,עסנוואַרג
foot,פֿיס
for,פֿאַר
force,קראַפט
forest,וואַלד
form,פאָרעם
forward,פאָרויס
found,געפונען
four,פיר
fraction,בראָכצאָל
free,פֿרייַ
fresh,פריש
friend,פרייַנד
from,פון
front,פראָנט
fruit,פרוכט
full,פול
fun,שפּאַס
game,שפּיל
garden,גאָרטן
gas,גאַז
gather,דרינגען
gave,האט
general,אַלגעמיינע
gentle,צאַרט
get,באַקומען
girl,מיידל
give,געבן
glad,צופרידן
glass,גלאז
go,גיין
gold,גאָלד
gone,ניטאָ
good,גוט
got,גאַט
govern,רעגירן
grand,גרויס
grass,גראָז
gray,גרוי
great,גרויס
green,גרין
grew,געוואקסן
ground,ערד
group,גרופּע
grow,וואַקסן
guess,טרעפן
guide,פירן
gun,ביקס
had,האט
hair,האָר
half,האַלב
hand,האַנט
happen,פּאַסירן
happy,גליקלעך
hard,שווער
has,האט
hat,קאַפּל
have,האָבן
he,ער
head,קאָפּ
hear,הערן
heard,געהערט
heart,האַרץ
heat,היץ
heavy,שווער
held,געהאלטן
help,הילף
her,זי
here,דאָ
high,הויך
hill,בערגל
him,אים
his,זיין
history,געשיכטע
hit,שלאָגן
hold,האַלטן
hole,לאָך
home,היים
hope,האָפענונג
horse,פערד
hot,וואַרעם
hour,שעה
house,הויז
how,ווי
huge,ריזיק
human,מענטשלעך
hundred,הונדערט
hunt,גיינ אַף
hurry,ייַלן
i,איך
ice,ייַז
idea,געדאַנק
if,אויב
imagine,ימאַדזשאַן
in,אין
inch,אינטש
include,אַרייַננעמען
indicate,אָנווייַזן
industry,אינדוסטריע
insect,ינסעקט
instant,רעגע
instrument,קיילע
interest,אינטערעס
invent,אויסטראַכטן
iron,פּרעסן
is,איז
island,אינזל
it,עס
job,אַרבעט
join,פאַרבינדן
joy,פרייד
jump,שפּרינגען
just,נאָר
keep,האַלטן
kept,געהיט
key,שליסל
kill,טייטן
kind,מין
king,קעניג
knew,געוואוסט
know,וויסן
lady,דאַמע
lake,אָזערע
land,לאַנד
language,שפּראַך
large,גרויס
last,לעצט
late,שפּעט
laugh,לאַכן
law,געזעץ
lay,לייגן
lead,פירן
learn,לערנען
least,קלענסטער
leave,לאָזן
led,געפירט
left,לינקס
leg,פוס
length,לענג
less,ווייניקער
let,לאָזן
letter,בריוו
level,גלייַך
lie,ליגן
life,לעבן
lift,הייב
light,ליכט
like,ווי
line,שורה
liquid,פליסיק
list,רשימה
listen,הערן
little,ביסל
live,לעבן
locate,געפינען
log,קלאָץ
lone,יינציק
long,לאַנג
look,קוקן
lost,פאַרפאַלן
lot,פּלאַץ
loud,הויכן
love,ליבע
low,נידעריק
machine,מאַשין
made,געמאכט
magnet,מאַגנעט
main,הויפּט
major,הויפּט
make,מאַכן
man,מענטש
many,פילע
map,מאַפּע
mark,צייכן
market,מאַרק
mass,מאַסע
master,בעל
match,גלייַכן
material,מאַטעריאַל
matter,ענין
may,קען
me,מיר
mean,מיינען
meant,מענט
measure,מאָס
meat,פלייש
meet,טרעפן
melody,ניגון
men,מענער
metal,מעטאַל
method,אופֿן
middle,מיטן
might,זאל
mile,מייל
milk,מילך
million,מיליאָן
mind,מיינונג
mine,מייַן
minute,מינוט
miss,פאַרפירן
mix,מישן
modern,מאָדערן
molecule,מאַלאַקיול
moment,מאָמענט
money,געלט
month,חודש
moon,לעוואָנע
more,מער
morning,מאָרגן
most,מערסט
mother,מוטער
motion,באַוועגונג
mount,אָנקלאַפּן
mountain,באַרג
mouth,מויל
move,מאַך
much,פיל
multiply,מערן
music,מוזיק
must,מוזן
my,מייַן
name,נאָמען
nation,פאָלק
natural,נאַטירלעך
nature,נאַטור
near,נעבן
necessary,נייטיק
neck,האַלדז
need,דאַרפֿן
neighbor,שאָכן
never,קיינמאָל
new,נייַ
next,ווייַטער
night,נאַכט
nine,נייַן
no,קיין
noise,ראַש
noon,מיטאָגצייַט
nor,אדער
north,צפון
nose,נאָז
note,צעטל
nothing,גאָרנישט
notice,באַמערקן
noun,נאָון
now,איצט
number,נומער
numeral,ציפער
object,כייפעץ
observe,אָבסערווירן
occur,פאַלן
ocean,אָקעאַן
of,פון
off,אַוועק
offer,פאָרשלאָגן
office,אָפיס
often,אָפֿט
oh,אוי
oil,ייל
old,אַלט
on,אויף
once,אַמאָל
one,איינער
only,בלויז
open,עפענען
operate,אַרבעטן
opposite,פאַרקערט
or,אָדער
order,סדר
organ,אָרגאַן
original,אָריגינעל
other,אנדערע
our,אונדזער
out,אויס
over,איבער
own,אייגן
oxygen,זויערשטאָף
page,page
paint,פאַרב
pair,פּאָר
paper,פּאַפּיר
paragraph,פּאַראַגראַף
parent,פאָטער
part,טייל
particular,באַזונדער
party,פּאַרטיי
pass,פאָרן
past,פאַרגאַנגענהייַט
path,דרך
pattern,מוסטער
pay,באַצאָלן
people,מען
perhaps,טאָמער
period,צייַט
person,מענטש
phrase,פראַזע
pick,פּיקן
picture,בילד
piece,שטיק
pitch,גראַד
place,אָרט
plain,קלאָר
plan,פּלאַן
plane,פלאַך
planet,פּלאַנעט
plant,געוויקס
play,שפּילן
please,ביטע
plural,מערצאָל
poem,פּאָעמע
point,פונט
poor,נעבעך
populate,באַפעלקערן
port,פּאָרט
pose,פּאָזע
position,שטעלע
possible,מעגלעך
post,פּאָסטן
pound,פונט
power,מאַכט
practice,פיר
prepare,גרייטן
present,פאָרשטעלן
press,דריקן
pretty,שיין
print,דרוק
probable,פּראַבאַבאַל
problem,פּראָבלעם
process,פּראָצעס
produce,פּראָדוצירן
product,פּראָדוקט
proper,געהעריק
property,פאַרמאָג
protect,באַשיצן
prove,באַווייַזן
provide,צושטעלן
pull,ציען
push,שטופּן
put,שטעלן
quart,קווארט
question,קשיא
quick,שנעל
quiet,שטיל
quite,גאַנץ
quotient,וויפלטער
race,ראַסע
radio,ראַדיאָ
rail,רעלס
rain,רעגן
raise,כאַפּן
ran,געלאפן
range,קייט
rather,אלא
reach,דערגרייכן
read,לייענען
ready,גרייט
real,פאַקטיש
reason,סיבה
receive,באַקומען
record,רעקאָרד
red,רויט
region,געגנט
remember,געדענקען
repeat,איבערחזרן
reply,ענטפער
represent,פאָרשטעלן
require,דאַרפן
rest,רו
result,רעזולטאַט
rich,רייַך
ride,פאָר
right,רעכט
ring,רינג
rise,העכערונג
river,טייַך
road,וועג
rock,שטיין
roll,זעמל
room,צימער
root,וואָרצל
rope,שטריק
rose,רויז
round,קייַלעכיק
row,רודערן
rub,רייַבן
rule,הערשן
run,לויפן
safe,זיכער
said,האט
sail,זעגל
salt,זאַלץ
same,זעלביקער
sand,זאַמד
sat,געזעצט
save,ראַטעווען
saw,געזען
say,זאָגן
scale,וואָג
school,שולע
science,וויסנשאַפֿט
score,כעזשבן
sea,ים
search,זוכן
season,צייַט
seat,אַוועקזעצן
second,רגע
section,אָפּטיילונג
see,זען
seed,זוימען
seem,ויסקומען
segment,אָפּשניט
select,אויסקלייַבן
self,זיך
sell,פאַרקויפן
send,שיקן
sense,זינען
sent,געשיקט
sentence,זאַץ
separate,באַזונדער
serve,דינען
set,שטעלן
settle,פאַרענטפערן
seven,זיבן
several,עטלעכע
shall,וועט
shape,פאָרעם
share,share
sharp,שאַרף
she,זי
sheet,בויגן
shell,שאָל
shine,שייַנען
ship,שיף
shoe,שוך
shop,קראָם
shore,ברעג
short,קורץ
should,זאָל
shoulder,אַקסל
shout,שרייַען
show,ווייַזן
side,זייַט
sight,דערזען
sign,צייכן
silent,שטיל
silver,זילבער
similar,ענלעך
simple,פּשוט
since,זינט
sing,זינגען
single,איין
sister,שוועסטער
sit,זיצן
six,זעקס
size,גרייס
skill,בקיעס
skin,הויט
sky,הימל
slave,שקלאַף
sleep,שלאָפן
slip,צעטל
slow,פּאַמעלעך
small,קליין
smell,שמעקן
smile,שמייכל
snow,שניי
so,אַזוי
soft,ווייך
soil,באָדן
soldier,זעלנער
solution,לייזונג
solve,סאָלווע
some,עטלעכע
son,זון
song,ליד
soon,באַלד
sound,געזונט
south,דרום
space,פּלאַץ
speak,רעדן
special,ספּעציעל
speech,רעדע
speed,גיכקייַט
spell,רעגע
spend,פאַרברענגען
spoke,גערעדט
spot,פלעק
spread,פאַרשפּרייטן
spring,פרילינג
square,קוואַדראַט
stand,שטיין
star,שטערן
start,אָנהייב
state,שטאַט
station,סטאַנציע
stay,בלייַבן
stead,סטעד
steam,פּאַרע
steel,שטאָל
step,טרעטן
stick,שטעקן
still,נאָך
stone,שטיין
stood,געשטאנען
stop,האַלטן
store,קראָם
story,געשיכטע
straight,גלייַך
strange,מאָדנע
stream,טייַך
street,גאַס
stretch,אויסשטרעקן
string,שטריקל
strong,שטאַרק
student,תּלמיד
study,לערנען
subject,ונטערטעניק
substance,מאַטעריע
subtract,אַראָפּרעכענען
success,הצלחה
such,אַזאַ
sudden,פּלוצעמדיק
suffix,סאַפיקס
sugar,צוקער
suggest,פֿאָרשלאָגן
suit,פּאַסן
summer,זומער
sun,זון
supply,צושטעלן
support,שטיצן
sure,זיכער
surface,ייבערפלאַך
surprise,יבערראַשן
swim,שווימען
syllable,סילאַבאַל
symbol,סימבאָל
system,סיסטעם
table,טיש
tail,עק
take,נעמען
talk,רעדן
tall,הויך
teach,לערנען
team,קאָלעקטיוו
teeth,ציין
tell,דערציילן
temperature,טעמפּעראַטור
ten,צען
term,טערמין
test,פּרובירן
than,ווי
thank,דאַנקען
that,אַז
the,די
their,זייער
them,זיי
then,דעמאָלט
there,דאָרט
these,די
they,זיי
thick,דיק
thin,דין
thing,זאַך
think,טראַכטן
third,דריט
this,דעם
those,יענע
though,כאָטש
thought,געדאַנק
thousand,טויזנט
three,דרייַ
through,דורך
throw,וואַרפן
thus,אַזוי אַרום
tie,בינדן
time,צייַט
tiny,קליינטשיק
tire,רייַף
to,צו
together,צוזאַמען
told,דערציילט
tone,טאָן
too,אויך
took,גענומען
tool,געצייַג
top,שפּיץ
total,גאַנץ
touch,פאַרבינדן
toward,צו
town,שטאָט
track,שפּור
trade,האַנדל
train,באַן
travel,אַרומפאָרן
tree,בוים
triangle,דרייַעק
trip,יאַזדע
trouble,קאָנפליקט
truck,טראָק
true,עמעס
try,פּרובירן
tube,רער
turn,קערן
twenty,צוואַנציק
two,צוויי
type,טיפּ
under,אונטער
unit,אַפּאַראַט
until,ביז
up,אַרויף
us,אונדז
use,נוצן
usual,געוויינטלעך
valley,טאָל
value,ווערט
vary,בייַטן
verb,ווערב
very,זייער
view,view
village,דאָרף
visit,באַזוכן
voice,קול
vowel,וואַואַל
wait,וואַרטן
walk,גיין
wall,וואַנט
want,ווילן
war,מלחמה
warm,וואַרעם
was,איז געווען
wash,וואַשן
watch,וואַך
water,וואַסער
wave,כוואַליע
way,וועג
we,מיר
wear,טראָגן
weather,וועטער
week,וואָך
weight,וואָג
well,געזונט
went,געגאנגען
were,זענען
west,מייַרעוו
what,וואָס
wheel,ראָד
when,ווען
where,ווו
whether,צי
which,וואָס
while,בשעת
white,ווייַס
who,וואס
whole,גאַנץ
whose,וועמענס
why,פארוואס
wide,ברייט
wife,פרוי
wild,ווילד
will,וועט
win,געווינען
wind,ווינט
window,פֿענצטער
wing,פליגל
winter,ווינטער
wire,דראָט
wish,ווינטשן
with,מיט
woman,פרוי
women,פרויען
wonder,ווונדער
won’t,וועט נישט
wood,האָלץ
word,וואָרט
work,אַרבעט
world,וועלט
would,וואָלט
write,שרייַבן
written,געשריבן
wrong,קאַליע
wrote,געשריבן
yard,הויף
year,יאָר
yellow,געל
yes,יאָ
yet,נאָך
you,איר
young,יונג
your,דיין
