english,romanian
cover,capac
cow,vacă
crease,cutelor
create,crea
crop,cultură
cross,cruce
crowd,mulțime
cry,strigăt
current,curent
cut,cut
dad,tata
dance,dans
danger,pericol
dark,întuneric
day,zi
dead,mort
deal,afacere
dear,draga
death,moarte
decide,decidă
decimal,zecimal
deep,adânc
degree,grad
depend,depinde
describe,descrie
desert,deșert
design,proiectare
determine,determina
develop,dezvolta
dictionary,dicționar
did,a făcut
die,muri
differ,diferă
difficult,dificil
direct,directe
discuss,discuta
distant,îndepărtat
divide,divide
division,divizare
do,face
doctor,medicul
does,nu
dog,câine
dollar,dolarul
done,terminat
don’t,nu face
door,ușă
double,dublu
down,jos
draw,trage
dream,vis
dress,rochie
drink,băutură
drive,unitate
drop,picătură
dry,uscat
duck,rață
during,în timpul
each,fiecare
ear,ureche
early,devreme
earth,pământ
ease,ușura
east,est
eat,mânca
edge,margine
effect,efect
egg,ou
eight,opt
either,fie
electric,electric
element,element
else,altceva
end,capăt
enemy,inamic
energy,energie
engine,motor
enough,suficient
enter,intra
equal,egal
equate,echivala
especially,mai ales
even,chiar
evening,seară
event,eveniment
ever,vreodată
every,fiecare
exact,exactă
example,exemplu
except,cu excepția
excite,excita
exercise,exercițiu
expect,aștepta
experience,experiență
experiment,experimentul
eye,ochi
face,fata
fact,fapt
fair,corect
fall,cădea
family,familie
famous,faimos
far,mult
farm,fermă
fast,rapid
fat,grăsime
father,tatal
favor,favoriza
fear,frică
feed,hrana pentru animale
feel,simți
feet,picioare
fell,căzut
felt,simțit
few,puțini
field,câmp
fig,fig
fight,lupta
figure,figura
fill,umple
final,finală
find,găsi
fine,fin
finger,deget
finish,finisaj
fire,foc
first,primul
fish,pește
fit,potrivi
five,cinci
flat,plat
floor,etaj
flow,flux
flower,floare
fly,zbura
follow,urma
food,alimente
foot,picior
for,pentru
force,vigoare
forest,pădure
form,formă
forward,înainte
found,găsite
four,patru
fraction,fracțiune
free,liber
fresh,proaspăt
friend,prieten
from,de la
front,față
fruit,fructe
full,complet
fun,distracție
game,joc
garden,grădină
gas,gaz
gather,aduna
gave,a dat
general,generală
gentle,blând
get,obține
girl,fată
give,da
glad,bucuros
glass,sticlă
go,merge
gold,aur
gone,plecat
good,bun
got,am
govern,guverna
grand,mare
grass,iarbă
gray,gri
great,mare
green,verde
grew,a crescut
ground,teren
group,grup
grow,crește
guess,ghici
guide,ghid
gun,pistol
had,a avut
hair,păr
half,jumătate
hand,mână
happen,întâmpla
happy,fericit
hard,greu
has,are
hat,pălărie
have,au
he,el
head,cap
hear,auzi
heard,a auzit
heart,inimă
heat,căldură
heavy,grele
held,ținută
help,ajuta
her,ei
here,aici
high,mare
hill,deal
him,l
his,lui
history,istorie
hit,lovit
hold,țineți
hole,gaură
home,home
hope,speranță
horse,cal
hot,fierbinte
hour,oră
house,casă
how,cum
huge,uriaș
human,uman
hundred,sute de
hunt,vânătoare
hurry,grabă
i,eu
ice,gheață
idea,idee
if,dacă
imagine,imagina
in,în
inch,inci
include,includ
indicate,indica
industry,industrie
insect,insectă
instant,instantaneu
instrument,instrumente
interest,interes
invent,inventa
iron,fier
is,este
island,insulă
it,ea
job,muncă
join,se alăture
joy,bucurie
jump,salt
just,doar
keep,păstra
kept,păstrate
key,cheie
kill,ucide
kind,fel
king,rege
knew,știam
know,cunoaște
lady,doamnă
lake,lac
land,teren
language,limbă
large,mare
last,trecut
late,târziu
laugh,râs
law,lege
lay,pune
lead,plumb
learn,învăța
least,puțin
leave,lăsa
led,a condus
left,stânga
leg,picior
length,lungime
less,mai puțin
let,lăsa
letter,scrisoare
level,nivel
lie,minciună
life,viață
lift,lift
light,lumina
like,ca
line,linie
liquid,lichid
list,lista
listen,asculta
little,mic
live,trăi
locate,localiza
log,log
lone,singuratic
long,lung
look,uita-te
lost,pierdut
lot,lot
loud,tare
love,dragoste
low,scăzut
machine,mașină
made,a făcut
magnet,magnet
main,principal
major,majoră
make,face
man,om
many,multe
map,harta
mark,marcă
market,piață
mass,masa
master,maestru
match,meci
material,materiale
matter,indiferent
may,putea
me,mi-
mean,adică
meant,însemnat
measure,măsura
meat,carne
meet,întâlni
melody,melodie
men,bărbați
metal,de metal
method,metoda
middle,de mijloc
might,s-ar putea
mile,milă
milk,lapte
million,milioane
mind,minte
mine,a mea
minute,minut
miss,miss
mix,amesteca
modern,modernă
molecule,moleculă
moment,clipă
money,bani
month,lună
moon,luna
more,mai mult
morning,dimineață
most,cel mai
mother,mamă
motion,mișcare
mount,montură
mountain,munte
mouth,gura
move,mișcare
much,mult
multiply,multiplica
music,muzica
must,must
my,meu
name,nume
nation,națiune
natural,natural
nature,natura
near,în apropiere
necessary,necesar
neck,gât
need,nevoie
neighbor,vecin
never,niciodată
new,nou
next,următor
night,noapte
nine,nouă
no,nu
noise,zgomot
noon,amiază
nor,nici
north,nord
nose,nas
note,notă
nothing,nimic
notice,anunț
noun,substantiv
now,acum
number,număr
numeral,numeral
object,obiect
observe,observa
occur,avea loc
ocean,oceanului
of,de
off,de pe
offer,oferta
office,birou
often,de multe ori
oh,oh
oil,ulei
old,vechi
on,pe
once,dată
one,una
only,numai
open,deschis
operate,opera
opposite,opus
or,sau
order,pentru
organ,organ
original,originală
other,alte
our,nostru
out,afară
over,peste
own,propriu
oxygen,oxigen
page,pagina
paint,vopsea
pair,pereche
paper,hârtie
paragraph,punctul
parent,părinte
part,parte
particular,special
party,partid
pass,trece
past,trecut
path,cale
pattern,model
pay,plăti
people,oameni
perhaps,poate
period,perioada
person,persoană
phrase,frază
pick,alege
picture,imagine
piece,bucată
pitch,pitch
place,loc
plain,simplu
plan,planul de
plane,avion
planet,planetă
plant,plantă
play,juca
please,vă rog
plural,plural
poem,poezie
point,punct
poor,sărac
populate,popula
port,portul
pose,pune
position,poziție
possible,posibil
post,mesaj
pound,lire
power,putere
practice,practica
prepare,pregăti
present,prezent
press,presă
pretty,destul de
print,print
probable,probabil
problem,problemă
process,proces
produce,produc
product,produs
proper,corespunzătoare
property,proprietate
protect,proteja
prove,dovedi
provide,furniza
pull,trage
push,apăsare
put,pune
quart,quart
question,întrebare
quick,rapid
quiet,liniștit
quite,destul de
quotient,coeficient
race,rasă
radio,radio
rail,feroviar
rain,ploaie
raise,ridica
ran,a fugit
range,gama
rather,destul
reach,ajunge
read,citeste
ready,gata
real,reală
reason,motiv
receive,primi
record,înregistrare
red,roșu
region,regiune
remember,amintiți-vă
repeat,repeta
reply,raspunde
represent,reprezintă
require,necesita
rest,odihnă
result,rezultat
rich,bogat
ride,plimbare
right,dreapta
ring,inel
rise,crește
river,râu
road,rutier
rock,rocă
roll,rulou
room,cameră
root,rădăcină
rope,frânghie
rose,a crescut
round,rotund
row,rând
rub,freca
rule,regulă
run,a alerga
safe,în condiții de siguranță
said,a declarat
sail,naviga
salt,sare
same,același
sand,nisip
sat,sat
save,salva
saw,ferăstrău
say,spune
scale,scară
school,școală
science,știință
score,scor
sea,mare
search,cautare
season,sezon
seat,scaun
second,al doilea
section,secțiune
see,vezi
seed,semințe
seem,par
segment,segment
select,selectați
self,auto
sell,vinde
send,trimite
sense,sens
sent,trimis
sentence,propoziție
separate,separată
serve,servi
set,set
settle,rezolva
seven,șapte
several,mai mulți
shall,trebuie
shape,forma
share,acțiune
sharp,ascuțit
she,ea
sheet,foaie
shell,coajă
shine,strălucire
ship,navă
shoe,pantof
shop,magazin
shore,țărm
short,scurt
should,ar trebui
shoulder,umăr
shout,strigăt
show,spectacol
side,lateral
sight,vedere
sign,semn
silent,tăcut
silver,argint
similar,similare
simple,simplu
since,întrucât
sing,cânta
single,singur
sister,sora
sit,sta
six,șase
size,dimensiunea
skill,calificare
skin,piele
sky,cer
slave,sclav
sleep,somn
slip,alunecare
slow,lent
small,mic
smell,miros
smile,zâmbet
snow,zăpadă
so,așa
soft,moale
soil,sol
soldier,soldat
solution,soluție
solve,rezolva
some,unele
son,fiu
song,cântec
soon,curând
sound,sunet
south,sud
space,spațiu
speak,vorbi
special,special
speech,discurs
speed,viteza
spell,scrie
spend,petrece
spoke,a vorbit
spot,loc
spread,răspândire
spring,arc
square,pătrat
stand,stand
star,stele
start,start
state,de stat
station,stație
stay,ședere
stead,locul
steam,abur
steel,oțel
step,pas
stick,băț
still,încă
stone,piatră
stood,stat
stop,opri
store,magazin
story,poveste
straight,drept
strange,ciudat
stream,flux
street,stradă
stretch,întindere
string,sir
strong,puternic
student,elev
study,studiu
subject,subiect
substance,substanță
subtract,scădea
success,succesul
such,astfel de
sudden,brusc
suffix,sufix
sugar,zahăr
suggest,sugerează
suit,costum
summer,vară
sun,soare
supply,aprovizionare
support,suport
sure,sigur
surface,suprafață
surprise,surpriză
swim,înot
syllable,silabă
symbol,simbol
system,sistem
table,masă
tail,coadă
take,ia
talk,discuție
tall,înalt
teach,învăța
team,echipa
teeth,dinți
tell,spune
temperature,temperatură
ten,zece
term,termen
test,testare
than,decât
thank,multumesc
that,că
the,a făcut
their,lor
them,lor
then,apoi
there,acolo
these,acestea
they,ei
thick,gros
thin,subțire
thing,lucru
think,cred
third,a treia
this,acest
those,aceste
though,deși
thought,gând
thousand,mie
three,trei
through,prin
throw,arunca
thus,"astfel,"
tie,cravată
time,timp
tiny,minuscul
tire,anvelope
to,la
together,împreună
told,a spus
tone,ton
too,prea
took,a luat
tool,instrument
top,top
total,totală
touch,atingeți
toward,spre
town,oraș
track,cale
trade,comerț
train,tren
travel,călătorie
tree,copac
triangle,triunghi
trip,excursie
trouble,probleme
truck,camion
true,adevărat
try,încercați
tube,tub
turn,"rândul său,"
twenty,douăzeci
two,două
type,tipul
under,sub
unit,unitate
until,până la
up,în sus
us,ne
use,utilizare
usual,de obicei
valley,vale
value,valoare
vary,varia
verb,verbul
very,foarte
view,vedere
village,sat
visit,vizita
voice,voce
vowel,vocală
wait,aștepta
walk,de mers pe jos
wall,perete
want,vrea
war,război
warm,cald
was,a fost
wash,spălare
watch,ceas
water,de apă
wave,val
way,cale
we,noi
wear,uzură
weather,vremea
week,săptămână
weight,greutate
well,bine
went,a mers
were,au fost
west,vest
what,ce
wheel,roată
when,când
where,unde
whether,dacă
which,care
while,în timp ce
white,alb
who,care
whole,întreg
whose,a cărui
why,de ce
wide,larg
wife,soție
wild,sălbatic
will,va
win,victorie
wind,vânt
window,fereastră
wing,aripă
winter,iarnă
wire,sârmă
wish,doresc
with,cu
woman,femeie
women,femei
wonder,întreb
won’t,nu va
wood,lemn
word,cuvânt
work,locul de muncă
world,lume
would,ar
write,trimite
written,scris
wrong,greșit
wrote,scris
yard,curte
year,an
yellow,galben
yes,da
yet,încă
you,tu
young,tineri
your,dumneavoastră
