english,greek
company,η εταιρεία
compare,συγκρίνετε
complete,πλήρης
condition,κατάσταση
connect,συνδεθείτε
consider,σκεφτείτε
consonant,σύμφωνο
contain,περιέχουν
continent,ήπειρο
continue,συνεχίσει
control,ελέγχου
cook,μάγειρας
cool,δροσερό
copy,αντίγραφο
corn,καλαμπόκι
corner,γωνία
correct,σωστός
cost,κόστος
cotton,βαμβάκι
could,θα μπορούσε
count,μετράνε
country,χώρα
course,πορεία
cover,κάλυμμα
cow,αγελάδα
crease,πτυχή
create,δημιουργήσετε
crop,καλλιέργεια
cross,σταυρός
crowd,πλήθος
cry,κραυγή
current,ρεύμα
cut,κόψιμο
dad,μπαμπάς
dance,χορού
danger,κίνδυνο
dark,σκούρο
day,ημέρα
dead,νεκρός
deal,συμφωνία
dear,αγαπητός
death,θάνατο
decide,αποφασίζει
decimal,δεκαδικό
deep,βαθιά
degree,βαθμό
depend,εξαρτηθεί
describe,περιγράψει
desert,έρημο
design,σχεδιασμός
determine,καθοριστεί
develop,ανάπτυξη
dictionary,λεξικό
did,έκανε
die,πεθαίνω
differ,διαφέρουν
difficult,δύσκολο
direct,απευθείας
discuss,συζητήσουν
distant,μακρινές
divide,χάσματος
division,διαίρεση
do,κάνει
doctor,γιατρός
does,κάνει
dog,σκύλος
dollar,δολάριο
done,done
don’t,μη
door,πόρτα
double,διπλό
down,κάτω
draw,κλήρωση
dream,όνειρο
dress,φόρεμα
drink,ποτό
drive,drive
drop,πτώση
dry,ξηρό
duck,πάπια
during,κατά τη διάρκεια της
each,κάθε
ear,αυτί
early,νωρίς
earth,γη
ease,ευκολία
east,ανατολικά
eat,φάτε
edge,άκρο
effect,επίδραση
egg,αυγό
eight,οκτώ
either,είτε
electric,ηλεκτρικός
element,στοιχείο
else,άλλος
end,τέλος
enemy,εχθρός
energy,ενέργεια
engine,κινητήρας
enough,αρκετά
enter,εισάγετε
equal,ίση
equate,εξισώνουν
especially,ιδιαίτερα
even,ακόμη
evening,βράδυ
event,εκδήλωση
ever,πάντα
every,κάθε
exact,ακριβής
example,παράδειγμα
except,εκτός
excite,διεγείρει
exercise,άσκηση
expect,αναμένω
experience,εμπειρία
experiment,πείραμα
eye,μάτι
face,πρόσωπο
fact,γεγονός
fair,δίκαιος
fall,πτώση
family,οικογένεια
famous,διάσημος
far,σήμερα
farm,αγρόκτημα
fast,γρήγορα
fat,λίπος
father,ο πατέρας
favor,ευνοούν
fear,φόβος
feed,ζωοτροφές
feel,αισθάνονται
feet,πόδια
fell,έπεσε
felt,αισθάνθηκε
few,λίγα
field,τομέα
fig,σύκο
fight,αγώνα
figure,εικόνα
fill,συμπληρώστε
final,τελικό
find,βρείτε
fine,πρόστιμο
finger,δάχτυλο
finish,φινίρισμα
fire,φωτιά
first,πρώτη
fish,ψάρι
fit,ταιριάζει
five,πέντε
flat,επίπεδη
floor,πάτωμα
flow,ροή
flower,λουλούδι
fly,πετάξει
follow,ακολουθήστε
food,τροφίμων
foot,πόδι
for,για
force,δύναμη
forest,δάσος
form,μορφή
forward,προς τα εμπρός
found,βρέθηκαν
four,τέσσερα
fraction,κλάσμα
free,δωρεάν
fresh,φρέσκο
friend,φίλος
from,από
front,μπροστά
fruit,φρούτα
full,πλήρους
fun,διασκέδαση
game,παιχνίδι
garden,κήπο
gas,αερίου
gather,συγκεντρώσει
gave,έδωσε
general,γενικές
gentle,ευγενής
get,πάρετε
girl,κορίτσι
give,δώσει
glad,ευτυχής
glass,ποτήρι
go,πηγαίνω
gold,χρυσό
gone,φύγει
good,καλός
got,πήρε
govern,διέπουν
grand,grand
grass,γρασίδι
gray,γκρί
great,μεγάλος
green,πράσινος
grew,μεγάλωσε
ground,έδαφος
group,ομάδα
grow,μεγαλώνουν
guess,υποθέτω
guide,καθοδηγήσει
gun,όπλο
had,είχε
hair,μαλλιά
half,ήμισυ
hand,χέρι
happen,συμβεί
happy,ευτυχισμένος
hard,σκληρά
has,έχει
hat,καπέλο
have,έχω
he,αυτός
head,κεφάλι
hear,ακούστε
heard,ακούσει
heart,καρδιά
heat,θερμότητα
heavy,βαριά
held,χειρός
help,βοηθήσει
her,της
here,εδώ
high,υψηλός
hill,λόφος
him,τον
his,του
history,ιστορία
hit,χτύπημα
hold,κρατήστε
hole,τρύπα
home,σπίτι
hope,ελπίζω
horse,άλογο
hot,hot
hot,ζεστό
hour,ώρα
house,σπίτι
how,πως
huge,τεράστια
human,ανθρώπινη
hundred,εκατό
hunt,κυνήγι
hurry,βιασύνη
i,εδώ
ice,πάγος
idea,ιδέα
if,αν
imagine,φανταστείτε
in,σε
inch,ιντσών
include,περιλαμβάνουν
indicate,υποδεικνύουν
industry,βιομηχανία
insect,έντομο
instant,στιγμιαία
instrument,οργάνου
interest,ενδιαφέρον
invent,εφεύρουν
iron,σίδερο
is,είναι
island,νησί
it,το
job,δουλειά
join,ένωση
joy,χαρά
jump,άλμα
just,μόνο
keep,κρατήσετε
kept,φυλάσσονται
key,κλειδί
kill,σκοτώνουν
kind,είδος
king,βασιλιά
knew,ήξερε
know,ξέρετε
lady,η κυρία
lake,λίμνη
land,γη
language,γλώσσα
large,μεγάλες
last,τελευταία
late,αργά
laugh,γέλιο
law,του νόμου
lay,θέσει
lead,οδηγήσει
learn,μάθετε
least,τουλάχιστον
leave,αφήστε
led,οδήγησε
left,αριστερά
leg,πόδι
length,μήκος
less,λιγότερο
let,ας
letter,γράμμα
level,επίπεδο
lie,ψέμα
life,ζωή
lift,ανελκυστήρα
light,φως
like,σαν
line,γραμμή
liquid,υγρό
list,λίστα
listen,ακούστε
little,λίγο
live,ζω
locate,εντοπίσετε
log,συνδεθείτε
lone,μοναχικός
long,μακρά
look,δείτε
lost,χαμένος
lot,πολλά
loud,δυνατά
love,αγάπη
low,χαμηλής
machine,μηχανή
made,που
magnet,μαγνήτη
main,κύρια
major,μεγάλες
make,κάνω
man,άνθρωπος
many,πολλά
map,χάρτης
mark,σήμα
market,αγορά
mass,μάζα
master,κύριος
match,αγώνα
material,υλικό
matter,θέμα
may,μπορεί
me,μου
mean,σημαίνει
meant,σήμαινε
measure,μέτρο
meat,κρέας
meet,πληρούν
melody,μελωδία
men,άνδρες
metal,μετάλλων
method,μέθοδος
middle,μέση
might,θα μπορούσε
mile,μίλι
milk,γάλα
million,εκατομμύρια
mind,νου
mine,ορυχείο
minute,λεπτό
miss,δεσποινίς
mix,αναμίξτε
modern,σύγχρονος
molecule,μόριο
moment,στιγμή
money,χρήματα
month,μήνα
moon,φεγγάρι
more,περισσότερα
morning,πρωί
most,πλέον
mother,η μητέρα
motion,κίνηση
mount,mount
mountain,βουνό
mouth,το στόμα
move,κίνηση
much,πολύ
multiply,πολλαπλασιάστε
music,μουσική
must,πρέπει
my,μου
name,όνομα
nation,έθνος
natural,φυσικές
nature,φύση
near,κοντά
necessary,απαραίτητο
neck,λαιμό
need,ανάγκη
neighbor,γείτονας
never,ποτέ
new,νέα
next,επόμενος
night,νύχτα
nine,εννέα
no,δεν
noise,θόρυβο
noon,το μεσημέρι
nor,ούτε
north,βόρεια
nose,μύτη
note,σημείωση
nothing,τίποτα
notice,ειδοποίηση
noun,όνομα
now,τώρα
number,αριθμός
numeral,αριθμητικό
object,αντικείμενο
observe,παρατηρώ
occur,συμβαίνουν
ocean,ωκεανός
of,από
off,απενεργοποίηση
offer,προσφορά
office,γραφείο
often,συχνά
oh,αμάν
oil,πετρελαίου
old,γριά
on,επί
once,μια φορά
one,ένας
only,μόνο
open,ανοιχτή
operate,λειτουργούν
opposite,απέναντι
or,ή
order,για
organ,οργάνου
original,πρωτότυπο
other,άλλα
our,μας
out,από
over,πέρα
own,δική
oxygen,οξυγόνο
page,σελίδα
paint,ζωγραφίσει
pair,ζεύγος
paper,χαρτί
paragraph,παράγραφο
parent,μητρική εταιρεία
part,μέρος
particular,ειδικότερα
party,κόμμα
pass,περάσει
past,παρελθόν
path,μονοπάτι
pattern,μοτίβο
pay,πληρωμή
people,άνθρωποι
perhaps,ίσως
period,περίοδο
person,πρόσωπο
phrase,φράση
pick,επιλέξτε
picture,εικόνα
piece,κομμάτι
pitch,γήπεδο
place,θέση
plain,απλό
plan,σχέδιο
plane,αεροπλάνο
planet,πλανήτης
plant,φυτό
play,παιχνίδι
please,παρακαλώ
plural,πληθυντικός
poem,ποίημα
point,σημείο
poor,φτωχός
populate,συμπληρώσετε
port,λιμάνι
pose,ενέχουν
position,θέση
possible,δυνατός
post,μετά
pound,λίρα
power,δύναμη
practice,πρακτική
prepare,προετοιμασία
present,παρόν
press,τύπου
pretty,αρκετά
print,αποτύπωμα
probable,πιθανή
problem,πρόβλημα
process,διαδικασία
produce,παράγουν
product,προϊόν
proper,κατάλληλος
property,ακίνητα
protect,προστασία
prove,αποδειχθούν
provide,παρέχουν
pull,τραβήξτε
push,ώθηση
put,που
quart,λίτρο
question,ερώτηση
quick,γρήγορα
quiet,ήσυχο
quite,αρκετά
quotient,πηλίκο
race,φυλή
radio,ράδιο
rail,σιδηροδρομικές
rain,βροχή
raise,αύξηση
ran,έτρεξε
range,εύρος
rather,μάλλον
reach,φτάσουν
read,διαβάστε
ready,έτοιμο
real,πραγματική
reason,λόγος
receive,λαμβάνω
record,ρεκόρ
red,κόκκινο
region,περιοχή
remember,θυμηθείτε
repeat,επανάληψη
reply,απάντηση
represent,εκπροσωπώ
require,απαιτούν
rest,ανάπαυση
result,αποτέλεσμα
rich,πλούσιος
ride,βόλτα
right,δεξιά
ring,δαχτυλίδι
rise,αυξηθεί
river,ποτάμι
road,δρόμος
rock,βράχος
roll,ρολό
room,δωμάτιο
root,ρίζα
rope,σκοινί
rose,τριαντάφυλλο
round,γύρος
row,σειρά
rub,τρίψιμο
rule,κανόνας
run,τρέχει
safe,ασφαλής
said,είπε
sail,ιστίο
salt,αλάτι
same,ίδιο
sand,άμμου
sat,σαβ
save,αποθηκεύσετε
saw,πριόνι
say,λένε
scale,κλίμακα
school,σχολείο
science,επιστήμη
score,σκορ
sea,θάλασσα
search,αναζήτηση
season,εποχή
seat,κάθισμα
second,δεύτερη
section,τμήμα
see,βλέπω
seed,σπόρων
seem,φαίνεται
segment,τμήμα
select,επιλέξτε
self,αυτο
sell,πωλήσει
send,στείλετε
sense,νόημα
sent,αποστέλλονται
sentence,φράση
separate,ξεχωριστός
serve,εξυπηρετούν
set,σετ
settle,εγκατασταθούν
seven,επτά
several,αρκετές
shall,θα
shape,σχήμα
share,μετοχή
sharp,αιχμηρός
she,που
sheet,φύλλο
shell,κέλυφος
shine,λάμψη
ship,πλοίο
shoe,παπούτσι
shop,κατάστημα
shore,ακτή
short,σύντομο
should,θα πρέπει να
shoulder,ώμο
shout,κραυγή
show,σόου
side,πλευρά
sight,όραση
sign,πινακίδα
silent,σιωπηλή
silver,ασήμι
similar,παρόμοια
simple,απλό
since,από
sing,τραγουδώ
single,ενιαίου
sister,αδελφή
sit,καθίσει
six,έξι
size,μέγεθος
skill,επιδεξιότητα
skin,δέρματος
sky,ουρανό
slave,δούλος
sleep,ύπνου
slip,ολίσθησης
slow,αργή
small,μικρό
smell,μυρωδιά
smile,χαμόγελο
snow,χιόνι
so,έτσι
soft,μαλακός
soil,χώμα
soldier,στρατιώτης
solution,λύση
solve,επιλύσει
some,περίπου
son,ο γιος
song,τραγούδι
soon,σύντομα
sound,ήχος
south,νότια
space,χώρο
speak,μιλούν
special,ειδικός
speech,ομιλία
speed,ταχύτητα
spell,σημάνει
spend,ξοδεύουν
spoke,μίλησε
spot,σημείο
spread,διάδοση
spring,άνοιξη
square,πλατεία
stand,στάση
star,αστέρι
start,αρχή
state,κατάσταση
station,σταθμός
stay,μείνετε
stead,αντ ’
steam,ατμού
steel,χάλυβας
step,βήμα
stick,ραβδί
still,ακόμα
stone,πέτρα
stood,στάθηκε
stop,στάση
store,κατάστημα
story,ιστορία
straight,ευθεία
strange,παράξενα
stream,ρεύμα
street,δρόμος
stretch,τέντωμα
string,κορδόνι
strong,ισχυρή
student,φοιτητής
study,μελέτη
subject,θέμα
substance,ουσία
subtract,αφαιρέστε
success,επιτυχία
such,όπως
sudden,ξαφνική
suffix,επίθημα
sugar,ζάχαρη
suggest,προτείνουν
suit,κοστούμι
summer,καλοκαίρι
sun,ήλιος
supply,προμήθεια
support,υποστήριξη
sure,βέβαιος
surface,επιφάνεια
surprise,έκπληξη
swim,κολύμπι
syllable,συλλαβή
symbol,σύμβολο
system,σύστημα
table,τραπέζι
tail,ουρά
take,λαμβάνουν
talk,συζήτηση
tall,ψηλός
teach,διδάξουν
team,η ομάδα
teeth,δόντια
tell,πείτε
temperature,θερμοκρασία
ten,δέκα
term,όρος
test,δοκιμή
than,από
thank,ευχαριστώ
that,ότι
the,ο
their,τους
them,τους
then,τότε
there,εκεί
these,αυτά
they,αυτοί
thick,παχύ
thin,λεπτός
thing,πράγμα
think,νομίζω
third,τρίτο
this,αυτό
those,εκείνοι
though,αν
thought,σκέψης
thousand,χιλιάδες
three,τρία
through,μέσω
throw,ρίξει
thus,έτσι
tie,γραβάτα
time,χρόνος
tiny,μικροσκοπικός
tire,ελαστικών
to,να
together,μαζί
told,είπε
tone,τόνος
too,πάρα πολύ
took,πήρε
tool,εργαλείο
top,κορυφή
total,σύνολο
touch,αγγίζετε
toward,προς
town,πόλη
track,κομμάτι
trade,εμπόριο
train,τρένο
travel,ταξίδι
tree,δέντρο
triangle,τρίγωνο
trip,ταξίδι
trouble,πρόβλημα
truck,φορτηγό
true,αληθής
try,δοκιμάστε
tube,σωλήνα
turn,στροφή
twenty,είκοσι
two,δυο
type,τύπος
under,υπό
unit,μονάδα
until,μέχρι
up,επάνω
us,μας
use,χρήση
usual,συνήθεις
valley,κοιλάδα
value,αξία
vary,ποικίλλουν
verb,ρήμα
very,πολύ
view,θέα
village,χωριό
visit,επίσκεψη
voice,φωνή
vowel,φωνήεν
wait,περιμένετε
walk,με τα πόδια
wall,τοίχο
want,θέλω
war,πόλεμο
warm,ζεστό
was,ήταν
wash,πλύση
watch,παρακολουθήσετε
water,νερό
wave,κύμα
way,τρόπος
we,εμείς
wear,φθορά
weather,καιρός
week,εβδομάδα
weight,βάρος
well,καλά
went,πήγε
were,ήταν
west,δυτικά
what,τι
wheel,τροχός
when,όταν
where,όπου
whether,αν
which,ο οποίος
while,ενώ
white,λευκό
who,που
whole,ολόκληρο
whose,των οποίων
why,γιατί
wide,ευρύ
wife,γυναίκα
wild,άγρια
will,θα
win,νίκη
wind,άνεμος
window,παράθυρο
wing,φτερό
winter,χειμώνας
wire,σύρμα
wish,επιθυμούν
with,με
woman,γυναίκα
women,γυναίκες
wonder,αναρωτιέμαι
won’t,δεν θα
wood,ξύλο
word,λέξη
work,εργασία
world,κόσμο
would,θα
write,γράφω
written,γραπτή
wrong,λάθος
wrote,έγραψε
yard,αυλή
year,έτους
yellow,κίτρινο
yes,ναί
yet,ακόμη
you,σας
young,νέους
your,σας
