english,scots_gaelic
inch,òirleach
include,gabhail a-steach
indicate,a ’sealltainn
industry,gnìomhachas
insect,insect
instant,grad-
instrument,ionnstramaid
interest,ùidh
invent,fheadhainn
iron,iarann
is,tha
island,eilean
it,e
job,obair
join,còmhla ri
joy,aoibhneas
jump,leumadh
just,dìreach
keep,a chumail
kept,cumail
key,prìomh
kill,mharbhadh
kind,seòrsa
king,righ
knew,eòlach air
know,fios
lady,lady
lake,loch
land,fearainn
language,cànan
large,mòr
last,mu dheireadh
late,anmoch
laugh,gàire
law,lagh
lay,luidh
lead,stiùireadh
learn,ionnsachadh
least,co-dhiù
leave,fhàgail
led,stiùireadh
left,clì
leg,chas
length,a dh’fhaid
less,nas lugha
let,leig
letter,litir
level,ìre
lie,laighe
life,beatha
lift,lioft
light,sgòthan
like,mar
line,loidhne
liquid,leaghan
list,liosta
listen,èisteachd
little,beag
live,fuireach
locate,lorg
log,log
lone,aonar
long,a dh’fhaid
look,a ’coimhead
lost,chaill
lot,tòrr
loud,ard
love,gràdh
low,ìosal
machine,inneal
made,a dhèanamh
magnet,tàladh
main,prìomh
major,major
make,a dhèanamh
man,fear
many,iomadh
map,map
mark,chomharra
market,mhargaidh
mass,mass
master,mhaighstir
match,matches
material,stuth
matter,chùis
may,a’ chèitean
me,dhomh
mean,a ’ciallachadh
meant,a ’ciallachadh
measure,thomhas
meat,feòil
meet,a ’coinneachadh
melody,fonn
men,fir
metal,meatailt
method,dòigh
middle,meadhan
might,fhaodainn
mile,mìle
milk,bainne
million,millean
mind,inntinn
mine,mhèinn
minute,mionaid
miss,miss
mix,mix
modern,latha an-diugh
molecule,moileciuil sa chruinne-
moment,#namn?
money,airgid
month,mìos
moon,ghealach
more,barrachd
morning,madainn
most,chuid as motha de
mother,màthair
motion,gluasad
mount,sliabh
mountain,bheinn
mouth,bheul
move,gluasad
much,mòr
multiply,iomadaich
music,ceòl
must,feumaidh
my,mo
name,ainm
nation,nàisean
natural,nàdarra
nature,nàdar
near,faisg air
necessary,riatanach
neck,amhaich
need,feumaidh
neighbor,nàbaidh
never,riamh
new,ùr
next,ath
night,oidhche
nine,naoi
no,chan eil
noise,fuaim
noon,meadhan-latha
nor,no
north,tuath
nose,sròn
note,note
nothing,dad
notice,fios
noun,ainmear
now,a-nis
number,àireamh
numeral,àireamh
object,nì
observe,sùil
occur,tachairt
ocean,ocean
of,de
off,dheth
offer,tairgse
office,oifis
often,gu tric
oh,oh
oil,ola
old,seann
on,air
once,aon uair
one,aon
only,a-mhàin
open,fosgailte
operate,obrachadh
opposite,mu choinneamh
or,no
order,òrdugh
organ,organ
original,thùsail
other,eile
our,againn
out,#namn?
over,thairis
own,fhèin
oxygen,ocsaidean
page,duilleag
paint,a ’peantadh
pair,paidhir
paper,pàipear
paragraph,paragraf
parent,pàrant
part,pàirt
particular,sònraichte
party,pàrtaidh
pass,seachad
past,dh’fhalbh
path,frith-rathad
pattern,pàtran
pay,phàigheadh
people,daoine
perhaps,’s dòcha
period,ùine
person,neach
phrase,abairt
pick,tagh
picture,dealbh
piece,pìos
pitch,phàirce
place,àite
plain,plain
plan,plana
plane,plèana
planet,phlanaid
plant,lus
play,a ’cluich
please,mas e do thoil e
plural,iomarra
poem,dàn
point,phuing
poor,bochd
populate,dh’fhuireach ann
port,port
pose,nan seasamh
position,suidheachadh
possible,ghabhas
post,dreuchd
pound,punnd
power,cumhachd
practice,cleachdadh
prepare,ullachadh
present,#namn?
press,naidheachd
pretty,breagha
print,priont
probable,coltaiche
problem,trioblaid
process,pròiseas
produce,a ’dèanamh
product,bathar
proper,ceart
property,seilbh
protect,dhìon
prove,dearbhadh
provide,a ’toirt
pull,tarraingeadh
push,putaidh
put,chuir
quart,quart
question,cheist
quick,sgiobalta
quiet,sàmhach
quite,gu math
quotient,quotient
race,rèis
radio,rèidio
rail,rèile
rain,uisge
raise,thogail
ran,a ’ruith
range,raon
rather,àite
reach,ruigsinn
read,leughadh
ready,deiseil
real,fìor
reason,adhbhar
receive,a ’faighinn
record,chlàr
red,dearg
region,sgìre
remember,cuimhnich
repeat,atharrais a dhèanamh air
reply,freagairt
represent,riochdachadh
require,feum
rest,chòrr
result,thoradh air
rich,saidhbhir
ride,ride
right,deas
ring,fàinne
rise,dh’èireas
river,aibhne
road,rathad
rock,creag
roll,rolla
room,seòmar
root,freumh
rope,sìoman
rose,dh’èirich
round,timcheall
row,sreath
rub,suathadh
rule,riaghailt
run,ruith
safe,sàbhailte
said,thuirt
sail,seòl
salt,salainn
same,aon
sand,gainmheach
sat,sat
save,sàbhail
saw,sàibh
say,ràdh
scale,sgèile
school,sgoil
science,saidheans
score,sgòr
sea,mhuir
search,rannsachadh
season,ràith
seat,suidheachan
second,an dàrna
section,earrann
see,fhaicinn
seed,sìol
seem,a rèir coltais
segment,earrann
select,tagh
self,fèin
sell,reic
send,cuir
sense,mothachadh
sent,chuir
sentence,seantans
separate,air leth
serve,a ’frithealadh
set,seata
settle,dh’fhuireach
seven,seachd
several,grunn
shall,hithidh
shape,cumadh
share,sgaoil
sharp,biorach
she,i
sheet,duilleag
shell,sligean
shine,shine
ship,soitheach
shoe,bròg
shop,bhùth
shore,chladach
short,goirid
should,bu chòir
shoulder,ghualainn
shout,iolaich
show,seall
side,taobh
sight,sùilibh
sign,soidhne
silent,sàmhach
silver,airgid
similar,coltach
simple,sìmplidh
since,bho
sing,seinn
single,singilte
sister,piuthar
sit,suidhe
six,sia
size,meud
skill,sgil
skin,skin
sky,sky
slave,tràillean
sleep,cadal
slip,shleamhnach
slow,slaodach
small,beag
smell,fàileadh
smile,gàire
snow,sneachd
so,mar sin
soft,bog
soil,ùir
soldier,saighdear
solution,fuasgladh
solve,fuasgladh
some,cuid
son,mac
song,òran
soon,a dh’aithghearr
sound,fuaim
south,deas
space,space
speak,bruidhinn
special,sònraichte
speech,òraid
speed,luaths
spell,spell
spend,a ’cur seachad
spoke,bhruidhinn
spot,àite
spread,sgaoileadh
spring,as t-earrach
square,ceàrnagach
stand,seasamh
star,star
start,toiseach
state,stàite
station,stèisean
stay,fuireach
stead,àit
steam,#namn?
steel,stàilinn
step,cheum
stick,maide
still,fhathast
stone,cloiche
stood,sheas
stop,stad
store,stòr
story,sgeulachd
straight,dìreach
strange,neònach
stream,#namn?
street,#namn?
stretch,pìos
string,string
strong,làidir
student,oileanach
study,sgrùdadh
subject,cuspair
substance,mì-
subtract,thoir air falbh
success,soirbheachadh
such,leithid
sudden,gu h-obann
suffix,iar-leasachan
sugar,siùcair
suggest,mholadh
suit,deise
summer,as t-samhradh
sun,ghrian
supply,solar
support,taic
sure,cinnteach
surface,uachdar
surprise,iongnadh
swim,snàmh
syllable,lide
symbol,samhla
system,siostam
table,clàr
tail,earball
take,ghabhail
talk,deasbaireachd
tall,a dh’àirde
teach,teagasg
team,sgioba
teeth,fiaclan
tell,innse
temperature,teòthachd
ten,deich
term,ùine
test,deuchainn
than,na
thank,taing a thoirt
that,gu bheil
the,a ’
their,aca
them,orra
then,an uair sin
there,an sin
these,sin
they,iad
thick,tiugh
thin,tana
thing,rud
think,smaoineachadh
third,an treas
this,seo
those,fheadhainn
though,ged
thought,smaoineachadh
thousand,mìle
three,trì
through,tro
throw,thilgeil
thus,mar sin a ’
tie,taidh
time,ùine
tiny,beag bìodach
tire,taidheir
to,gu
together,còmhla
told,dh’innis
tone,tòna
too,ro
took,ghabh
tool,inneal
top,mullach
total,gu h-iomlan
touch,beantuinn
toward,a dh’ionnsaigh
town,bhaile
track,àireamh
trade,malairt
train,trèana
travel,siubhal
tree,chraobh
triangle,triantan
trip,turas
trouble,trioblaid
truck,làraidh
true,fìor
try,feuchainn
tube,tube
turn,tionndadh
twenty,fichead
two,dhà
type,seòrsa
under,fo
unit,aonad
until,gus an
up,suas
us,dhuinn
use,cleachdadh
usual,àbhaisteach
valley,gleann
value,luach
vary,eadar-dhealaichte
verb,gnìomhair
very,fìor
view,sealladh
village,bhaile
visit,turas
voice,guth
vowel,fuaimreige
wait,feitheamh
walk,coiseachd
wall,bhalla
want,ag iarraidh
war,cogadh
warm,blàth
was,bha
wash,nighe
watch,a ’coimhead
water,uisge
wave,tonn
way,slighe
we,tha sinn a ’
wear,a ’cur orra
weather,tuairmse na h-
week,seachdain
weight,cuideam
well,gu math
went,chaidh
were,bha
west,iar
what,dè
wheel,cuibhle
when,cuin
where,far a bheil
whether,co-dhiù
which,a tha a ’
while,fhad ’sa
white,geal
who,a
whole,gu h-iomlan
whose,aig a bheil
why,carson
wide,farsaing
wife,bhean
wild,fiadhaich
will,bidh
win,chom-
wind,àirde na gaoithe
window,uinneig
wing,sgiath
winter,geamhradh
wire,uèir
wish,airson
with,le
woman,boireannach
women,boireannaich
wonder,saoil
won’t,cha bhi
wood,fiodh
word,fhacal
work,obair
world,t-saoghail
would,b’àill
write,sgrìobhadh
written,sgrìobhte
wrong,ceàrr
wrote,sgrìobh
yard,gàrradh
year,bliadhna
yellow,buidhe
yes,tha
yet,gidheadh
you,thu
young,òga
your,agad
