english,hindi
equate,समानता
especially,विशेष रूप से
even,और भी
evening,शाम
event,घटना
ever,कभी
every,हर
exact,सटीक
example,उदाहरण
except,सिवाय
excite,उत्तेजित
exercise,व्यायाम
expect,उम्मीद
experience,अनुभव
experiment,प्रयोग
eye,आंख
face,चेहरा
fact,तथ्य
fair,मेला
fall,गिरावट
family,परिवार
famous,प्रसिद्ध
far,दूर
farm,खेत
fast,तेजी
fat,वसा
father,पिता
favor,एहसान
fear,डर
feed,फ़ीड
feel,लग रहा है
feet,पैर
fell,गिर गया
felt,लगा
few,कुछ
field,क्षेत्र
fig,अंजीर
fight,लड़ाई
figure,आंकड़ा
fill,भरने
final,अंतिम
find,लगता है
fine,ठीक
finger,उंगली
finish,खत्म
fire,आग
first,पहले
fish,मछली
fit,फिट
five,पांच
flat,फ्लैट
floor,मंजिल
flow,प्रवाह
flower,फूल
fly,मक्खी
follow,का पालन करें
food,भोजन
foot,पैर
for,के लिए
force,बल
forest,वन
form,फार्म
forward,आगे
found,पाया
four,चार
fraction,अंश
free,मुक्त
fresh,ताजा
friend,दोस्त
from,से
front,सामने
fruit,फल
full,पूर्ण
fun,मज़ा
game,खेल
garden,बगीचा
gas,गैस
gather,इकट्ठा
gave,दिया
general,सामान्य
gentle,कोमल
get,प्राप्त
girl,लड़की
give,दे
glad,प्रसन्न
glass,कांच
go,जाना
gold,सोना
gone,चला गया
good,अच्छा
got,मिला
govern,शासन
grand,भव्य
grass,घास
gray,ग्रे
great,महान
green,हरे रंग
grew,बढ़ी
ground,जमीन
group,समूह
grow,बढ़ने
guess,अनुमान
guide,गाइड
gun,बंदूक
had,था
hair,बाल
half,आधा
hand,हाथ
happen,होना
happy,खुश
hard,कठिन
has,है
hat,टोपी
have,है
he,वह
head,सिर
hear,सुनना
heard,सुना
heart,दिल
heat,गर्मी
heavy,भारी
held,आयोजित
help,मदद
her,उसके
here,यहाँ
high,उच्च
hill,पहाड़ी
him,उसे
his,उसके
history,इतिहास
hit,मारना
hold,पकड़
hole,छेद
home,घर
hope,आशा
horse,घोड़ा
hot,गरम
hour,घंटे
house,घर
how,कैसे
huge,भारी
human,मानव
hundred,सौ
hunt,शिकार
hurry,जल्दी करो
i,मैं
ice,बर्फ
idea,विचार
if,अगर
imagine,कल्पना
in,में
inch,इंच
include,शामिल
indicate,संकेत मिलता है
industry,उद्योग
insect,कीट
instant,पल
instrument,साधन
interest,ब्याज
invent,आविष्कार
iron,लोहा
is,है
island,द्वीप
it,यह
job,काम
join,शामिल होने
joy,हर्ष
jump,कूद
just,बस
keep,रखना
kept,रखा
key,कुंजी
kill,हत्या
kind,तरह
king,राजा
knew,पता था
know,पता
lady,महिला
lake,झील
land,भूमि
language,भाषा
large,बड़ा
last,पिछले
late,देर से
laugh,हंसी
law,कानून
lay,रखना
lead,नेतृत्व
learn,सीखना
least,कम से कम
leave,छोड़
led,नेतृत्व
left,छोड़ा
leg,पैर
length,लंबाई
less,कम
let,चलो
letter,पत्र
level,स्तर
lie,झूठ
life,जीवन
lift,लिफ्ट
light,प्रकाश
like,जैसा
line,रेखा
liquid,तरल
list,सूची
listen,सुनो
little,थोड़ा
live,जीना
locate,स्थिति जानें
log,लॉग इन करें
lone,लोन
long,लंबे समय तक
look,देखो
lost,खोया
lot,बहुत
loud,जोर
love,प्यार
low,कम
machine,मशीन
made,निर्मित
magnet,चुंबक
main,मुख्य
major,प्रमुख
make,कर
man,आदमी
many,कई
map,नक्शा
mark,मार्क
market,बाजार
mass,सामूहिक
master,मास्टर
match,मैच
material,सामग्री
matter,मामला
may,मई
me,मुझे
mean,मतलब
meant,मतलब
measure,नाप
meat,मांस
meet,मिलो
melody,राग
men,पुरुषों
metal,धातु
method,विधि
middle,बीच
might,हो सकता है
mile,मील
milk,दूध
million,लाख
mind,मन
mine,मेरा
minute,मिनट
miss,मिस
mix,मिश्रण
modern,आधुनिक
molecule,अणु
moment,पल
money,धन
month,माह
moon,चांद
more,अधिक
morning,सुबह
most,सबसे
mother,मां
motion,प्रस्ताव
mount,माउंट
mountain,पहाड़
mouth,मुंह
move,चाल
much,ज्यादा
multiply,गुणा
music,संगीत
must,चाहिए
my,मेरे
name,नाम
nation,राष्ट्र
natural,प्राकृतिक
nature,प्रकृति
near,निकट
necessary,आवश्यक
neck,गर्दन
need,आवश्यकता
neighbor,पड़ोसी
never,कभी नहीं
new,नई
next,अगला
night,रात
nine,नौ
no,नहीं
noise,शोर
noon,दोपहर
nor,और न ही
north,उत्तर
nose,नाक
note,नोट
nothing,कुछ नहीं
notice,नोटिस
noun,संज्ञा
now,अब
number,संख्या
numeral,अंक
object,वस्तु
observe,निरीक्षण
occur,घटित
ocean,सागर
of,की
off,बंद
offer,प्रस्ताव
office,कार्यालय
often,अक्सर
oh,ओह
oil,तेल
old,पुराना
on,पर
once,एक बार
one,एक
only,केवल
open,खुला
operate,संचालित
opposite,विपरीत
or,या
order,आदेश
organ,अंग
original,मूल
other,अन्य
our,हमारे
out,बाहर
over,अधिक
own,खुद
oxygen,ऑक्सीजन
page,पेज
paint,रंग
pair,जोड़ी
paper,कागज
paragraph,पैरा
parent,माता पिता
part,हिस्सा
particular,विशेष
party,पार्टी
pass,पास
past,अतीत
path,पथ
pattern,पैटर्न
pay,भुगतान
people,लोग
perhaps,शायद
period,अवधि
person,व्यक्ति
phrase,वाक्यांश
pick,उठाओ
picture,तस्वीर
piece,टुकड़ा
pitch,पिच
place,जगह
plain,सादे
plan,योजना
plane,विमान
planet,ग्रह
plant,संयंत्र
play,खेलने
please,कृपया
plural,बहुवचन
poem,कविता
point,बिंदु
poor,गरीब
populate,आबाद
port,बंदरगाह
pose,ढोंग
position,स्थिति
possible,संभव
post,पोस्ट
pound,पाउंड
power,बिजली
practice,अभ्यास
prepare,तैयार
present,वर्तमान
press,प्रेस
pretty,सुंदर
print,प्रिंट
probable,संभावित
problem,समस्या
process,प्रक्रिया
produce,उत्पादन
product,उत्पाद
proper,उचित
property,संपत्ति
protect,रक्षा
prove,साबित
provide,प्रदान
pull,खींच
push,धक्का
put,डाल
quart,चौथाई गेलन
question,सवाल
quick,त्वरित
quiet,शांत
quite,काफी
quotient,भागफल
race,दौड़
radio,रेडियो
rail,रेल
rain,बारिश
raise,उठाना
ran,भागा
range,सीमा
rather,बल्कि
reach,तक पहुँचने
read,पढ़ा
ready,तैयार
real,असली
reason,कारण
receive,प्राप्त करना
record,रिकॉर्ड
red,लाल
region,क्षेत्र
remember,याद
repeat,दोहराना
reply,उत्तर
represent,का प्रतिनिधित्व
require,आवश्यकता
rest,बाकी
result,परिणाम
rich,अमीर
ride,सवारी
right,सही
ring,अंगूठी
rise,वृद्धि
river,नदी
road,सड़क
rock,रॉक
roll,रोल
room,कमरे
root,जड़
rope,रस्सी
rose,गुलाब
round,दौर
row,पंक्ति
rub,रगड़
rule,नियम
run,चलाने
safe,सुरक्षित
said,कहा
sail,स्टील अथॉरिटी ऑफ इंडिया
salt,नमक
same,वही
sand,रेत
sat,शनि
save,बचा
saw,देखा
say,कहना
scale,पैमाने
school,स्कूल
science,विज्ञान
score,स्कोर
sea,समुद्र
search,खोज
season,मौसम
seat,सीट
second,दूसरा
section,अनुभाग
see,देखना
seed,बीज
seem,प्रतीत
segment,खंड
select,चयन
self,आत्म
sell,बेचने
send,भेजें
sense,भावना
sent,भेजा
sentence,वाक्य
separate,अलग
serve,सेवा कर
set,सेट
settle,बसा
seven,सात
several,कई
shall,करेगा
shape,आकार
share,शेयर
sharp,तेज़
she,वह
sheet,चादर
shell,खोल
shine,चमक
ship,जहाज
shoe,जूता
shop,दुकान
shore,किनारे
short,कम
should,चाहिए
shoulder,कंधे
shout,चिल्लाओ
show,शो
side,पक्ष
sight,दृष्टि
sign,साइन
silent,चुप
silver,चांदी
similar,इसी तरह
simple,सरल
since,के बाद से
sing,गाना
single,एकल
sister,बहन
sit,बैठना
six,छह
size,आकार
skill,कौशल
skin,त्वचा
sky,आसमान
slave,गुलाम
sleep,नींद
slip,पर्ची
slow,धीमी
small,छोटे
smell,गंध
smile,मुस्कान
snow,बर्फ
so,तो
soft,मुलायम
soil,मिट्टी
soldier,सैनिक
solution,समाधान
solve,हल
some,कुछ
son,बेटा
song,गीत
soon,शीघ्र
sound,ध्वनि
south,दक्षिण
space,अंतरिक्ष
speak,बोलना
special,विशेष
speech,भाषण
speed,गति
spell,जादू
spend,खर्च
spoke,बात
spot,हाजिर
spread,प्रसार
spring,वसंत
square,वर्ग
stand,खड़े
star,सितारा
start,शुरुआत
state,राज्य
station,स्टेशन
stay,रहना
stead,जगह
steam,भाप
steel,स्टील
step,कदम
stick,छड़ी
still,अब तक
stone,पत्थर
stood,खड़ा हुआ
stop,रोक
store,दुकान
story,कहानी
straight,सीधे
strange,अजीब
stream,धारा
street,सड़क
stretch,खिंचाव
string,स्ट्रिंग
strong,मजबूत
student,छात्र
study,अध्ययन
subject,विषय
substance,पदार्थ
subtract,घटाना
success,सफलता
such,ऐसा
sudden,अचानक
suffix,प्रत्यय
sugar,चीनी
suggest,सुझाव है
suit,सूट
summer,गर्मियों
sun,सूरज
supply,आपूर्ति
support,समर्थन
sure,यकीन
surface,सतह
surprise,आश्चर्य
swim,तैरना
syllable,शब्दांश
symbol,प्रतीक
system,प्रणाली
table,तालिका
tail,पूंछ
take,लेना
talk,वार्ता
tall,लंबा
teach,सिखाना
team,टीम
teeth,दांत
tell,बता
temperature,तापमान
ten,दस
term,अवधि
test,परीक्षण
than,से
thank,धन्यवाद
that,कि
the,
their,उनके
them,उन्हें
then,तो
there,वहाँ
these,इन
they,वे
thick,मोटी
thin,पतली
thing,बात
think,लगता है
third,तीसरे
this,इस
those,उन
though,हालांकि
thought,सोचा
thousand,हजार
three,तीन
through,के माध्यम से
throw,फेंक
thus,इस प्रकार
tie,टाई
time,समय
tiny,छोटे
tire,टायर
to,तक
together,एक साथ
told,बताया
tone,स्वर
too,भी
took,ले लिया
tool,उपकरण
top,शीर्ष
total,संपूर्ण
touch,स्पर्श
toward,की ओर
town,शहर
track,ट्रैक
trade,व्यापार
train,सफर
travel,यात्रा
tree,पेड़
triangle,त्रिकोण
trip,यात्रा
trouble,मुसीबत
truck,ट्रक
true,सच
try,कोशिश
tube,ट्यूब
turn,बारी
twenty,बीस
two,दो
type,प्रकार
under,नीचे
unit,इकाई
until,जब तक
up,ऊपर
us,हमें
use,उपयोग
usual,हमेशा की तरह
valley,घाटी
value,मूल्य
vary,भिन्न हो
verb,क्रिया
very,बहुत
view,देखें
village,गांव
visit,यात्रा
voice,आवाज
vowel,स्वर
wait,इंतजार
walk,चलना
wall,दीवार
want,चाहते हैं
war,युद्ध
warm,गर्म
was,था
wash,धोने
watch,घड़ी
water,पानी
wave,लहर
way,रास्ता
we,हम
wear,पहनना
weather,मौसम
week,सप्ताह
weight,वजन
well,अच्छी तरह से
went,चला गया
were,थे
west,पश्चिम
what,क्या
wheel,पहिया
when,जब
where,जहां
whether,चाहे
which,जो
while,जबकि
white,सफेद
who,कौन
whole,पूरे
whose,जिसका
why,क्यों
wide,विस्तृत
wife,पत्नी
wild,जंगली
will,होगा
win,जीत
wind,हवा
window,खिड़की
wing,पंख
winter,सर्दियों
wire,तार
wish,इच्छा
with,साथ
woman,महिला
women,महिलाओं
wonder,आश्चर्य
won’t,नहीं होगा
wood,लकड़ी
word,शब्द
work,काम
world,दुनिया
would,होगा
write,लिखना
written,लिखित
wrong,गलत
wrote,लिखा
yard,यार्ड
year,वर्ष
yellow,पीले
yes,हां
yet,अभी तक
you,आप
young,युवा
your,अपने
