english,chichewa
ever,munayamba
every,lirilonse
exact,yeniyeni
example,mwachitsanzo
except,kupatula
excite,chimwemwe
exercise,olimbitsa
expect,kuyembekezera
experience,zinachitikira
experiment,kuyesera
eye,diso
face,nkhope
fact,ndipotu
fair,mosakondera
fall,kugwera
family,banja
famous,wotchuka
far,mpaka
farm,famu
fast,zolimba
fat,mafuta
father,bambo
favor,mtima
fear,mantha
feed,chakudya
feel,ndikumverera
feet,mapazi
fell,anagwa
felt,anamva
few,zochepa
field,kumunda
fig,chith
fight,nkhondo
figure,chithunzi
fill,mudzaze
final,chomaliza
find,kupeza
fine,zabwino
finger,chala
finish,mapeto
fire,moto
first,yoyamba
fish,nsomba
fit,agwirizane
five,zisanu
flat,lathyathyathya
floor,pansi
flow,ikuyenda
flower,duwa
fly,kuuluka
follow,kutsatira
food,chakudya
foot,phazi
for,chifukwa
force,mphamvu
forest,m’nkhalango
form,mawonekedwe
forward,mwachidwi
found,anapeza
four,zinayi
fraction,kachigawo
free,mfulu
fresh,mwatsopano
friend,bwenzi
from,kuchokera
front,kutsogolo
fruit,zipatso
full,zonse
fun,osangalatsa
game,masewera
garden,m’munda
gas,gasi
gather,kusonkhanitsa
gave,anapatsa
general,ambiri
gentle,wodekha
get,kupeza
girl,mtsikana
give,kupereka
glad,wokondwa
glass,galasi
go,kupita
gold,golide
gone,atapita
good,uthenga
got,tiri
govern,kudzilamulira
grand,chachikulu
grass,udzu
gray,imvi
great,kwakukulu
green,wobiriwira
grew,anakulira
ground,nthaka
group,gulu
grow,kukula
guess,ndikulingalira
guide,kutsogolera
gun,mfuti
had,anali
hair,tsitsi
half,hafu
hand,dzanja
happen,kuchitika
happy,okondwa
hard,zolimba
has,ali
hat,chipewa
have,ndi
he,iye
head,mutu
hear,akumva
heard,anamva
heart,mtima
heat,kutentha
heavy,lolemera
held,anazika
help,thandizeni
her,iye
here,pano
high,mkulu
hill,phiri
him,iye
his,wake
history,m’mbiri
hit,anagunda
hold,gwirani
hole,bowo
home,kunyumba
hope,ndikuyembekeza
horse,kavalo
hot,wotentha
hour,ora
house,m’nyumba
how,bwanji
huge,yaikulu
human,anthu
hundred,mazana
hunt,kukasaka
hurry,kufulumira
i,ine
ice,ayezi
idea,lingaliro
if,ngati
imagine,yerekezani
in,mu
inch,inchi
include,monga
indicate,amasonyeza
industry,makampani
insect,tizilombo
instant,n’kamodzi
instrument,chida
interest,chidwi
invent,kuyambitsa
iron,chitsulo
is,ndi
island,chilumba
it,izo
job,ntchito
join,kujowina
joy,chimwemwe
jump,kudumpha
just,basi
keep,kusunga
kept,anapitiriza
key,chinsinsi
kill,kupha
kind,mtundu
king,mfumu
knew,ankadziwa
know,ndikudziwa
lady,dona
lake,nyanza
land,dziko
language,chinenero
large,yaikulu
last,otsiriza
late,mochedwa
laugh,kuseka
law,lamulo
lay,anagona
lead,atsogolere
learn,kuphunzira
least,osachepera
leave,kusiya
led,led
left,anasiya
leg,mwendo
length,patapita
less,zochepa
let,tiyeni
letter,kalata
level,mlingo
lie,bodza
life,moyo
lift,nyamulani
light,kuunika
like,monga
line,mzere
liquid,zamadzimadzi
list,mndandanda
listen,kumvetsera
little,wamng’ono
live,moyo
locate,kupeza
log,fufuzani
lone,bakuman
long,yaitali
look,kuyang’ana
lost,anataya
lot,maere
loud,mokweza
love,kukonda
low,otsika
machine,makina
made,anapanga
magnet,maginito
main,chachikulu
major,zikuluzikulu
make,kupanga
man,munthu
many,ambiri
map,mapu
mark,chilemba
market,msika
mass,misa
master,mbuye
match,machesi
material,zakuthupi
matter,nkhaniyi
may,mulole
me,ine
mean,ndikutanthauza
meant,zinatanthauza
measure,kuyeza
meat,nyama
meet,kudzakhalire
melody,nyimbo
men,anthu
metal,chitsulo
method,njira
middle,pakati
might,akhoza
mile,mtunda
milk,mkaka
million,miliyoni
mind,maganizo
mine,wanga
minute,miniti
miss,abiti
mix,kusakaniza
modern,amakono
molecule,molekyulu
moment,mphindi
money,ndalama
month,mwezi
moon,mwezi
more,zambiri
morning,m’mawa
most,kwambiri
mother,mayi
motion,zoyenda
mount,phiri
mountain,phiri
mouth,mkamwa
move,kusuntha
much,mochuluka
multiply,kuchulukitsa
music,nyimbo
must,ayenela
my,wanga
name,dzina
nation,mtundu
natural,zachilengedwe
nature,chikhalidwe
near,pafupi
necessary,kofunika
neck,khosi
need,amafunika
neighbor,mnansi
never,konse
new,watsopano
next,ena
night,usiku
nine,naini
no,palibe
noise,phokoso
noon,masana
nor,kapena
north,kumpoto
nose,mphuno
note,zindikirani
nothing,kanthu
notice,zindikirani
noun,omwe
now,tsopano
number,chiwerengero
numeral,numeral
object,chinthu
observe,kusunga
occur,zimachitika
ocean,nyanja
of,a
off,kuchokera
offer,kupereka
office,ofesi
often,nthawi zambiri
oh,o
oil,mafuta
old,wakale
on,pa
once,kamodzi
one,mmodzi
only,yokha
open,lotseguka
operate,umagwira
opposite,si
or,kapena
order,pofuna
organ,limba
original,choyambirira
other,ena
our,yathu
out,kuchokera
over,zoposa
own,mwini
oxygen,mpweya
page,tsamba
paint,kujambula
pair,peyala
paper,pepala
paragraph,ndime
parent,kholo
part,gawo
particular,makamaka
party,chipani
pass,pochitika
past,m’mbuyomu
path,mayendedwe
pattern,chitsanzo
pay,kulipira
people,anthu
perhaps,mwina
period,nyengo
person,munthu
phrase,mawu
pick,kukatenga
picture,chithunzi
piece,chidutswa
pitch,phula
place,malo
plain,momveka
plan,ndondomeko
plane,ndege
planet,dzikoli
plant,chomera
play,kusewera
please,chonde
plural,mochulukitsa
poem,ndakatulo
point,mfundo
poor,wosauka
populate,azikakhala
port,doko
pose,angabweretse
position,udindo
possible,n’kotheka
post,positi
pound,mapaundi
power,mphamvu
practice,mchitidwe
prepare,kukonzekera
present,panopa
press,osindikizira
pretty,wokongola
print,kusindikiza
probable,nkosatheka
problem,vuto
process,ndondomeko
produce,panga
product,chotuluka
proper,yoyenera
property,katundu
protect,kuteteza
prove,kutsimikizira
provide,kupereka
pull,kokani
push,kankhani
put,kuika
quart,kilogalamu imodzi
question,funso
quick,mwamsanga
quiet,chete
quite,ndithu
quotient,quotient
race,mtundu
radio,wailesi
rail,njanji
rain,mvula
raise,kwezani
ran,anathamangira
range,osiyanasiyana
rather,m’malo
reach,kufikira
read,kuwerenga
ready,wokonzeka
real,kwenikweni
reason,chifukwa
receive,alandire
record,mbiri
red,wofiira
region,m’chigawo
remember,kumbukirani
repeat,kubwereza
reply,anayankha
represent,akuimira
require,amafunika
rest,mpumulo
result,chifukwa
rich,wachuma
ride,kukwera
right,pomwe
ring,mphete
rise,adzauka
river,mtsinjewo
road,msewu
rock,thanthwe
roll,mpukutu
room,chipinda
root,muzu
rope,chingwe
rose,ananyamuka
round,wozungulira
row,mzere
rub,pakani
rule,ulamuliro
run,amathamanga
safe,otetezeka
said,anati
sail,matanga
salt,mchere
same,yemweyo
sand,mchenga
sat,anakhala
save,kupulumutsa
saw,macheka
say,mukuti
scale,sikelo
school,sukulu
science,sayansi
score,chogoli
sea,panyanja
search,kufufuza
season,nyengo
seat,mpando
second,yachiwiri
section,gawo
see,onani
seed,mbewu
seem,amaoneka
segment,gawo
select,sankhani
self,kudziona
sell,kugulitsa
send,kutumiza
sense,m’lingaliro
sent,anatumiza
sentence,chiganizo
separate,osiyana
serve,kutumikira
set,anasiyira
settle,kuthetsa
seven,zisanu ndi ziwiri
several,angapo
shall,mudzazichita
shape,mawonekedwe
share,gawo
sharp,lakuthwa
she,iye
sheet,chikalata
shell,chigoba
shine,kwanu
ship,sitima
shoe,nsapato
shop,shopu
shore,gombe
short,yochepa
should,tiyenera
shoulder,phewa
shout,mfuu
show,bwanji
side,mbali
sight,pamaso
sign,chizindikiro
silent,chete
silver,siliva
similar,ofanana
simple,yosavuta
since,popeza
sing,kuimba
single,wosakwatiwa
sister,mlongo
sit,akhale
six,sikisi
size,kukula
skill,luso
skin,khungu
sky,mlengalenga
slave,kapolo
sleep,tulo
slip,pepala
slow,wosakwiya
small,waung’ono
smell,kununkhiza
smile,kumwetulira
snow,chisanu
so,kotero
soft,zofewa
soil,nthaka
soldier,msilikali
solution,yothetsera
solve,kuthetsa
some,ena
son,mwana
song,nyimbo
soon,posachedwapa
sound,kumveka
south,kum’mwera
space,danga
speak,kulankhula
special,wapadera
speech,zolankhula
speed,liwiro
spell,kuziwerenga
spend,amawononga
spoke,analankhula
spot,banga
spread,inafikira
spring,masika
square,lalikulu
stand,kuyima
star,nyenyezi
start,chiyambi
state,mkhalidwe
station,siteshoni
stay,khalani
stead,mmalo
steam,nthunzi
steel,chitsulo
step,sitepe
stick,ndodo
still,adakali
stone,mwala
stood,anayima
stop,imani
store,sitolo
story,nkhani
straight,molunjika
strange,zachilendo
stream,mtsinje
street,msewu
stretch,tambasula
string,chingwe
strong,wamphamvu
student,wophunzira
study,kuphunzira
subject,phunziro
substance,thunthu
subtract,kuchotsera
success,kupambana
such,oterowo
sudden,mwadzidzidzi
suffix,suffix
sugar,shuga
suggest,akusonyeza
suit,suti
summer,chilimwe
sun,dzuwa
supply,thanidizo
support,thandizo
sure,wotsimikiza
surface,pamwamba
surprise,ndinadabwa
swim,kusambira
syllable,syllable
symbol,chizindikiro
system,dongosolo
table,gome
tail,mchira
take,kutenga
talk,nkhani
tall,wamtali
teach,kuphunzitsa
team,timu
teeth,mano
tell,ndikuuzeni
temperature,kutentha
ten,khumi
term,akuti
test,chiyeso
than,kuposa
thank,tikukuthokozani
that,kuti
the,ndi
their,awo
them,iwo
then,ndiyeno
there,apo
these,awa
they,iwo
thick,wandiweyani
thin,woonda
thing,chinthu
think,ndikuganiza
third,lachitatu
this,izi
those,anthu
though,komabe
thought,ndinaganiza
thousand,zikwi
three,zitatu
through,kudzera
throw,kuponyera
thus,motero
tie,chimango
time,nthawi
tiny,ting’onoting’ono
tire,tayala
to,kuti
together,pamodzi
told,anauza
tone,kamvekedwe
too,ifenso
took,anatenga
tool,chida
top,pamwamba
total,okwana
touch,kukhudza
toward,kwa
town,m’tauni
track,zikuyenda
trade,malonda
train,sitima
travel,ulendo
tree,mtengo
triangle,makona
trip,ulendo
trouble,vuto
truck,m’galimoto
true,oona
try,kuyesa
tube,chubu
turn,ndiyeno
twenty,twente
two,awiri
type,choyimira
under,pansi
unit,unit
until,kufikira
up,pamwamba
us,ife
use,ntchito
usual,mwachizolowezi
valley,chigwa
value,phindu
vary,zosiyanasiyana
verb,mneni
very,kwambiri
view,amaonera
village,mudzi
visit,ulendo
voice,mawu
vowel,zilembo za mawu
wait,dikirani
walk,kuyenda
wall,khoma
want,tikufuna
war,nkhondo
warm,ofunda
was,anali
wash,wosambitsa
watch,penyani
water,madzi
wave,yoweyula
way,njira
we,ife
wear,azivala
weather,pogoda
week,mlungu
weight,kulemera
well,bwino
went,anapita
were,anali
west,kumadzulo
what,chani
wheel,gudumu
when,liti
where,pamene
whether,kaya
which,umene
while,pamene
white,yoyera
who,amene
whole,lonse
whose,amene
why,chifukwa
wide,lonse
wife,mkazi
wild,zakutchire
will,adzatero
win,nkhata
wind,mphepo
window,zenera
wing,phiko
winter,zima
wire,waya
wish,ndikukhumba
with,ndi
woman,mkazi
women,akazi
wonder,ndikudabwa
won’t,sadzatero
wood,mitengo
word,mawu
work,ntchito
world,dziko
would,akanatero
write,kulemba
written,olembedwa
wrong,cholakwika
wrote,analemba
yard,bwalo
year,chaka
yellow,chikasu
yes,inde
yet,komabe
you,inu
young,mnyamata
your,anu
