english,slovak
divide,rozdeliť
division,divízie
do,robiť
doctor,lekár
does,robí
dog,pes
dollar,dolár
done,hotovo
don’t,nie
door,dvere
double,double
down,dole
draw,kresliť
dream,sen
dress,šaty
drink,nápoj
drive,pohon
drop,pokles
dry,suchý
duck,kačica
during,počas
each,každý
ear,ucho
early,čoskoro
earth,krajiny
ease,jednoduchosť
east,východ
eat,jesť
edge,hrana
effect,efekt
egg,vajcia
eight,osem
either,buď
electric,elektrické
element,prvok
else,iný
end,koniec
enemy,nepriateľ
energy,energie
engine,motor
enough,dosť
enter,vstúpiť
equal,rovná
equate,znamienko rovnosti
especially,najmä
even,dokonca
evening,večer
event,udalosť
ever,kedy
every,každý
exact,presné
example,príklad
except,s výnimkou
excite,vzrušovať
exercise,cvičenie
expect,"očakávať, že"
experience,skúsenosť
experiment,experimentu
eye,oko
face,tvár
fact,skutočnosť
fair,veľtrh
fall,spadnúť
family,rodina
famous,slávny
far,ďaleko
farm,farma
fast,rýchlo
fat,tuk
father,otec
favor,priazeň
fear,strach
feed,zdroj
feel,cítiť
feet,nohy
fell,spadol
felt,cítil
few,málo
field,polia
fig,obr
fight,boj
figure,číslo
fill,vyplniť
final,finále
find,nájsť
fine,jemný
finger,prst
finish,úprava
fire,oheň
first,prvý
fish,ryby
fit,nosenie
five,päť
flat,byt
floor,podlahy
flow,prietok
flower,kvetina
fly,pozrite sa
follow,nasledovať
food,jedlo
foot,noha
for,pre
force,sila
forest,les
form,forma
forward,vpred
found,nájdených
four,štyri
fraction,časť
free,voľný
fresh,čerstvé
friend,priateľ
from,od
front,predné
fruit,ovocie
full,vedal
fun,zábava
game,hra
garden,záhrada
gas,plyn
gather,zhromaždiť
gave,dal
general,všeobecne
gentle,jemný
get,so
girl,dievča
give,dať
glad,rád
glass,sklo
go,ísť
gold,zlato
gone,preč
good,dobrý
got,dostal
govern,vládnuť
grand,becne
grass,tráva
gray,sivá
great,veľký
green,zelená
grew,rástol
ground,krajiny
group,skupina
grow,rast
guess,hádať
guide,sprievodca
gun,pištole
had,mal
hair,vlasy
half,polovica
hand,ručné
happen,stať sa
happy,šťastný
hard,ťažké
has,má
hat,klobúk
have,majú
he,sa
head,hlava
hear,počuť
heard,počuť
heart,srdce
heat,tepla
heavy,ťažká
held,ručné
help,pomoc
her,nej
here,tu
high,vysoká
hill,kopec
him,ho
his,jeho
history,histórie
hit,hit
hold,držať
hole,palice
home,domáce
hope,nádeje
horse,kôň
hot,hot
hot,horúce
hour,hodín
house,dom
how,ako
huge,obrovský
human,človek
hundred,sto
hunt,lov
hurry,ponáhľať
i,ja
ice,ľad
idea,nápad
if,ak
imagine,predstavte si
in,v
inch,inch
include,patrí
indicate,označiť
industry,priemysel
insect,hmyz
instant,instant
instrument,nástroj
interest,záujem
invent,vymyslieť
iron,železo
is,je
island,ostrov
it,to
job,práca
join,spojiť
joy,radosť
jump,skok
just,len
keep,udržať
kept,stále
key,kľúč
kill,zabiť
kind,druh
king,kráľ
knew,"vedel,"
know,vedieť
lady,dáma
lake,jazero
land,krajiny
language,jazyk
large,veľký
last,posledná
late,neskoro
laugh,smiech
law,zákon
lay,ležal
lead,viesť
learn,učiť sa
least,najmenej
leave,odísť
led,viedol
left,vľavo
leg,noha
length,dĺžka
less,menej
let,nechajte
letter,list
level,úroveň
lie,lož
life,život
lift,výťah
light,svetlo
like,ako
line,linka
liquid,kvapalina
list,zoznam
listen,počúvať
little,málo
live,žiť
locate,vyhľadať
log,prihlásiť
lone,osamelý
long,dlho
look,hľadať
lost,stratil
lot,veľa
loud,hlasný
love,láska
low,nízky
machine,stroj
made,z
magnet,magnet
main,hlavný
major,hlavné
make,aby
man,muž
many,veľa
map,mapa
mark,značka
market,trhu
mass,hmotnosť
master,majster
match,zápas
material,materiál
matter,"ohľadu na to,"
may,mája
me,ma
mean,stredná
meant,"znamenalo,"
measure,opatrenia
meat,mäso
meet,spĺňajú
melody,melódie
men,muži
metal,kov
method,metóda
middle,stredná
might,možno
mile,míle
milk,mlieko
million,miliónov
mind,myseľ
mine,baňa
minute,minúta
miss,slečna
mix,mix
modern,moderné
molecule,molekula
moment,áska
money,peniaze
month,mesiac
moon,mesiac
more,viac
morning,ráno
most,najviac
mother,matka
motion,pohyb
mount,mount
mountain,hora
mouth,v ústach
move,voria
much,veľa
multiply,násobiť
music,music
must,musí
my,my
name,názov
nation,národ
natural,prírodné
nature,príroda
near,blízkosti
necessary,potreby
neck,krk
need,potrebujú
neighbor,sused
never,nikdy
new,nový
next,ďalšie
night,noc
nine,deväť
no,nie
noise,hluk
noon,poludnie
nor,ani
north,sever
nose,nos
note,poznámka
nothing,nič
notice,oznámenia
noun,podstatné meno
now,teraz
number,číslo
numeral,číslica
object,objekt
observe,pozorovať
occur,dôjsť
ocean,oceán
of,z
off,oľvek
offer,ponuka
office,kancelária
often,často
oh,ó
oil,olej
old,starý
on,na
once,raz
one,jeden
only,iba
open,otvorené
operate,prevádzka
opposite,proti
or,alebo
order,objednávka
organ,varhany
original,originál
other,ďalšie
our,naše
out,out
over,cez
own,vlastné
oxygen,kyslík
page,strana
paint,maľovať
pair,pár
paper,papier
paragraph,bod
parent,rodič
part,časť
particular,najmä
party,strana
pass,prejsť
past,okolo
path,cesta
pattern,vzor
pay,zaplatiť
people,ľudia
perhaps,možná
period,obdobie
person,osoba
phrase,frázy
pick,vybrať
picture,obrázok
piece,kus
pitch,rozstup
place,miesto
plain,prostý
plan,plán
plane,lietadlo
planet,planéta
plant,závod
play,hrať
please,prosím
plural,množné
poem,báseň
point,bod
poor,zlá
populate,naplniť
port,prístav
pose,predstavovať
position,pozície
possible,možné
post,príspevok
pound,libra
power,výkon
practice,praxe
prepare,pripraviť
present,prítomný
press,stlačte tlačidlo
pretty,pekný
print,tlač
probable,"pravdepodobné,"
problem,problém
process,proces
produce,vyrábať
product,produkt
proper,vlastné
property,nehnuteľnosti
protect,chrániť
prove,ukázať
provide,poskytnúť
pull,ťahať
push,push
put,dať
quart,kvart
question,otázka
quick,rýchly
quiet,tichý
quite,celkom
quotient,podiel
race,závod
radio,rádio
rail,zábradlia
rain,dážď
raise,zvýšiť
ran,rán
range,rozsah
rather,skôr
reach,dosah
read,čítať
ready,pripravený
real,skutočný
reason,dôvod
receive,príjem
record,záznam
red,červená
region,región
remember,pamätať
repeat,opakovanie
reply,odpovedať
represent,predstavovať
require,vyžadovať
rest,ostatné
result,výsledok
rich,bohatý
ride,jazda
right,právo
ring,krúžok
rise,stúpať
river,rieka
road,cesty
rock,skala
roll,role
room,izbu
root,koreň
rope,lano
rose,ruže
round,kolo
row,riadok
rub,rub
rule,pravidlo
run,beh
safe,bezpečný
said,uvedený
sail,plachta
salt,soľ
same,rovnaký
sand,piesok
sat,satelitom
save,uložiť
saw,píla
say,hovoria
scale,stupnice
school,škola
science,veda
score,skóre
sea,more
search,hľadanie
season,sezóna
seat,sídlo
second,druhej
section,časť
see,viď
seed,semeno
seem,zdá sa
segment,segmentu
select,vyberte
self,ja
sell,predaj
send,odoslať
sense,zmysel
sent,poslal
sentence,veta
separate,samostatná
serve,slúžiť
set,sada
settle,usadiť
seven,sedem
several,viac
shall,musí
shape,tvar
share,podiel
sharp,sharp
she,ona
sheet,list
shell,škrupina
shine,lesk
ship,loď
shoe,topánky
shop,obchod
shore,pobrežie
short,krátky
should,by
shoulder,rameno
shout,kričať
show,výstava
side,strana
sight,pohľad
sign,znamenie
silent,tichý
silver,striebro
similar,podobný
simple,jednoduché
since,od
sing,spievať
single,jednoposteľová
sister,sestra
sit,sedieť
six,šesť
size,veľkosť
skill,zručnosť
skin,koža
sky,obloha
slave,otrok
sleep,spánok
slip,sklzu
slow,pomaly
small,malé
smell,vôňa
smile,úsmev
snow,sneh
so,tak
soft,mäkké
soil,pôda
soldier,vojak
solution,riešenie
solve,vyriešiť
some,niektorí
son,syn
song,pieseň
soon,čoskoro
sound,zvuk
south,na juh
space,miesto
speak,hovoriť
special,špeciálny
speech,reč
speed,rýchlosť
spell,kúzlo
spend,minúť
spoke,lúče
spot,miesto
spread,spread
spring,na jar
square,námestí
stand,stáť
star,hviezda
start,štart
state,stáť
station,stanica
stay,pobyt
stead,namiesto toho
steam,pary
steel,oceľ
step,krok
stick,palicu
still,stále
stone,kameň
stood,stál
stop,stop
store,obchod
story,príbeh
straight,rovný
strange,podivný
stream,prúd
street,ulice
stretch,úsek
string,reťaz
strong,silný
student,študent
study,štúdie
subject,predmet
substance,látka
subtract,odčítanie
success,úspech
such,taký
sudden,náhly
suffix,prípona
sugar,cukor
suggest,navrhnúť
suit,oblek
summer,leto
sun,slnko
supply,napájanie
support,podpora
sure,istý
surface,povrch
surprise,prekvapenie
swim,plávanie
syllable,slabika
symbol,symbol
system,systém
table,tabuľka
tail,chvost
take,sa
talk,diskusia
tall,vysoký
teach,učiť
team,tím
teeth,zuby
tell,povedať
temperature,teplota
ten,desať
term,termín
test,skúška
than,ako
thank,ďakujem
that,že
the,biela
their,ich
them,je
then,potom
there,tu
these,tieto
they,sa
thick,tučný
thin,tenký
thing,vec
think,myslíte
third,tretej
this,tento
those,"tie,"
though,hoci
thought,myšlienka
thousand,tisíc
three,tri
through,cez
throw,hodiť
thus,teda
tie,kravata
time,čas
tiny,tiny
tire,pneumatika
to,na
together,spolu
told,povedal
tone,tón
too,príliš
took,sa
tool,náradie
top,top
total,celkový
touch,dotyk
toward,k
town,mesto
track,dráha
trade,obchod
train,vlak
travel,cestovanie
tree,strom
triangle,trojuholník
trip,výlet
trouble,ťažkosť
truck,truck
true,pravda
try,skúste
tube,trubka
turn,turn
twenty,dvadsať
two,dva
type,typ
under,pod
unit,jednotka
until,do
up,up
us,us
use,použitie
usual,zvyčajne
valley,údolie
value,hodnota
vary,kolísať
verb,sloveso
very,veľmi
view,pohľad
village,obec
visit,návšteva
voice,hlas
vowel,samohláska
wait,počkajte
walk,chodiť
wall,múr
want,chcieť
war,vojna
warm,teplý
was,bol
wash,pranie
watch,hodinky
water,voda
wave,vlna
way,cesta
we,sme
wear,oblečenie
weather,počasie
week,týždeň
weight,hmotnosť
well,dobre
went,šiel
were,boli
west,západ
what,čo
wheel,kolesá
when,kedy
where,kde
whether,či
which,ktorý
while,zatiaľ čo
white,biela
who,kto
whole,celá
whose,ktorého
why,prečo
wide,široký
wife,manželka
wild,divoký
will,vôľa
win,víťazstvo
wind,vietor
window,okno
wing,krídlo
winter,zimné
wire,drôt
wish,želanie
with,s
woman,žena
women,ženy
wonder,"zaujímalo by ma,"
won’t,nebude
wood,drevo
word,slovo
work,práca
world,svet
would,by
write,napísať
written,písomná
wrong,zle
wrote,napísal
yard,dvore
year,rok
yellow,žltá
yes,áno
yet,ešte
you,ste
young,mladý
your,vaše
