english,indonesian
gas,gas
gather,mengumpulkan
gave,memberi
general,umum
gentle,lembut
get,mendapatkan
girl,gadis
give,memberikan
glad,senang
glass,kaca
go,pergi
gold,emas
gone,pergi
good,baik
got,mendapat
govern,mengatur
grand,agung
grass,rumput
gray,abu-abu
great,besar
green,hijau
grew,tumbuh
ground,tanah
group,kelompok
grow,tumbuh
guess,menebak
guide,panduan
gun,pistol
had,memiliki
hair,rambut
half,setengah
hand,tangan
happen,terjadi
happy,senang
hard,keras
has,memiliki
hat,hat
have,memiliki
he,dia
head,kepala
hear,mendengar
heard,mendengar
heart,jantung
heat,panas
heavy,berat
held,diadakan
help,membantu
her,dia
here,di sini
high,tinggi
hill,hill
him,dia
his,nya
history,sejarah
hit,hit
hold,terus
hole,lubang
home,rumah
hope,berharap
horse,kuda
hot,hot
hour,jam
house,rumah
how,bagaimana
huge,besar
human,manusia
hundred,ratus
hunt,berburu
hurry,terburu-buru
i,saya
ice,es
idea,ide
if,jika
imagine,bayangkan
in,di
inch,inch
include,termasuk
indicate,menunjukkan
industry,industri
insect,serangga
instant,instant
instrument,instrument
interest,bunga
invent,menciptakan
iron,besi
is,adalah
island,pulau
it,itu
job,pekerjaan
join,bergabung
joy,sukacita
jump,melompat
just,hanya
keep,terus
kept,terus
key,kunci
kill,membunuh
kind,jenis
king,raja
knew,tahu
know,tahu
lady,wanita
lake,danau
land,tanah
language,bahasa
large,besar
last,lalu
late,terlambat
laugh,tertawa
law,hukum
lay,berbaring
lead,memimpin
learn,belajar
least,setidaknya
leave,meninggalkan
led,dipimpin
left,kiri
leg,kaki
length,panjang
less,kurang
let,biarkan
letter,surat
level,tingkat
lie,kebohongan
life,hidup
lift,angkat
light,cahaya
like,seperti
line,baris
liquid,cair
list,daftar
listen,mendengarkan
little,sedikit
live,hidup
locate,mencari
log,login
lone,lone
long,panjang
look,melihat
lost,hilang
lot,banyak
loud,keras
love,cinta
low,rendah
machine,mesin
made,membuat
magnet,magnet
main,utama
major,utama
make,membuat
man,pria
many,banyak
map,peta
mark,mark
market,pasar
mass,massa
master,master
match,pertandingan
material,materi
matter,peduli
may,mungkin
me,saya
mean,berarti
meant,berarti
measure,mengukur
meat,daging
meet,bertemu
melody,melodi
men,laki-laki
metal,logam
method,metode
middle,tengah
might,mungkin
mile,mil
milk,susu
million,juta
mind,pikiran
mine,tambang
minute,menit
miss,rindu
mix,mencampur
modern,yang modern
molecule,molekul
moment,saat
money,uang
month,bulan
moon,bulan
more,lebih
morning,pagi
most,sebagian besar
mother,ibu
motion,gerak
mount,gunung
mountain,gunung
mouth,mulut
move,bergerak
much,banyak
multiply,kalikan
music,musik
must,harus
my,saya
name,nama
nation,bangsa
natural,alam
nature,alam
near,dekat
necessary,diperlukan
neck,leher
need,perlu
neighbor,tetangga
never,tidak pernah
new,baru
next,selanjutnya
night,malam
nine,sembilan
no,tidak
noise,noise
noon,siang
nor,atau
north,utara
nose,hidung
note,catatan
nothing,tidak ada
notice,pemberitahuan
noun,nomina
now,sekarang
number,jumlah
numeral,angka
object,objek
observe,mengamati
occur,terjadi
ocean,ocean
of,dari
off,off
offer,penawaran
office,kantor
often,sering
oh,oh
oil,minyak
old,old
on,pada
once,sekali
one,satu
only,hanya
open,terbuka
operate,mengoperasikan
opposite,sebaliknya
or,atau
order,rangka
organ,organ
original,asli
other,lainnya
our,kami
out,out
over,lebih dari
own,sendiri
oxygen,oksigen
page,halaman
paint,cat
pair,pasangan
paper,kertas
paragraph,ayat
parent,induk
part,bagian
particular,tertentu
party,partai
pass,lulus
past,masa lalu
path,path
pattern,pola
pay,membayar
people,orang
perhaps,mungkin
period,periode
person,orang
phrase,frase
pick,memilih
picture,gambar
piece,piece
pitch,nada
place,tempat
plain,polos
plan,rencana
plane,pesawat
planet,planet
plant,tanaman
play,bermain
please,silahkan
plural,plural
poem,puisi
point,titik
poor,miskin
populate,mengisi
port,pelabuhan
pose,berpose
position,posisi
possible,mungkin
post,posting
pound,pound
power,daya
practice,praktek
prepare,mempersiapkan
present,sekarang
press,pers
pretty,cukup
print,mencetak
probable,kemungkinan
problem,masalah
process,proses
produce,menghasilkan
product,produk
proper,tepat
property,properti
protect,melindungi
prove,membuktikan
provide,menyediakan
pull,menarik
push,mendorong
put,menempatkan
quart,liter
question,pertanyaan
quick,cepat
quiet,tenang
quite,cukup
quotient,quotient
race,ras
radio,radio
rail,rel
rain,hujan
raise,meningkatkan
ran,ran
range,kisaran
rather,agak
reach,mencapai
read,baca
ready,siap
real,nyata
reason,alasan
receive,menerima
record,rekor
red,merah
region,wilayah
remember,ingat
repeat,ulangi
reply,membalas
represent,mewakili
require,membutuhkan
rest,sisanya
result,hasil
rich,kaya
ride,naik
right,kanan
ring,cincin
rise,naik
river,sungai
road,jalan
rock,batu
roll,gulungan
room,kamar
root,akar
rope,tali
rose,naik
round,putaran
row,baris
rub,menggosok
rule,aturan
run,jumlah
safe,aman
said,kata
sail,berlayar
salt,garam
same,sama
sand,pasir
sat,duduk
save,menyimpan
saw,saw
say,mengatakan
scale,skala
school,sekolah
science,ilmu
score,rata
sea,laut
search,pencarian
season,musim
seat,kursi
second,kedua
section,bagian
see,lihat
seed,benih
seem,tampak
segment,ruas
select,pilih
self,diri
sell,menjual
send,mengirim
sense,akal
sent,dikirim
sentence,kalimat
separate,terpisah
serve,melayani
set,kumpulan
settle,menyelesaikan
seven,tujuh
several,beberapa
shall,wajib
shape,bentuk
share,share
sharp,tajam
she,dia
sheet,sheet
shell,shell
shine,bersinar
ship,kapal
shoe,sepatu
shop,shop
shore,shore
short,pendek
should,harus
shoulder,bahu
shout,berteriak
show,menunjukkan
side,sisi
sight,penglihatan
sign,tanda
silent,diam
silver,perak
similar,serupa
simple,sederhana
since,karena
sing,bernyanyi
single,single
sister,adik
sit,duduk
six,enam
size,ukuran
skill,keterampilan
skin,kulit
sky,langit
slave,budak
sleep,tidur
slip,slip
slow,lambat
small,kecil
smell,bau
smile,senyum
snow,salju
so,jadi
soft,lembut
soil,tanah
soldier,tentara
solution,larutan
solve,memecahkan
some,beberapa
son,putra
song,lagu
soon,segera
sound,suara
south,selatan
space,ruang
speak,berbicara
special,khusus
speech,pidato
speed,kecepatan
spell,mantra
spend,menghabiskan
spoke,berbicara
spot,tempat
spread,penyebaran
spring,musim semi
square,persegi
stand,berdiri
star,bintang
start,start
state,negara
station,stasiun
stay,tinggal
stead,manfaat
steam,steam
steel,baja
step,langkah
stick,tongkat
still,masih
stone,batu
stood,berdiri
stop,berhenti
store,toko
story,cerita
straight,lurus
strange,aneh
stream,aliran
street,jalan
stretch,stretch
string,string
strong,kuat
student,mahasiswa
study,penelitian
subject,subjek
substance,substansi
subtract,kurangi
success,keberhasilan
such,seperti
sudden,tiba-tiba
suffix,akhiran
sugar,gula
suggest,menyarankan
suit,setelan
summer,musim panas
sun,sun
supply,pasokan
support,mendukung
sure,yakin
surface,permukaan
surprise,kejutan
swim,berenang
syllable,suku kata
symbol,simbol
system,sistem
table,tabel
tail,ekor
take,mengambil
talk,pembicaraan
tall,tinggi
teach,mengajar
team,tim
teeth,gigi
tell,memberitahu
temperature,suhu
ten,sepuluh
term,istilah
test,uji
than,dari
thank,terima
that,bahwa
the,itu
their,mereka
them,mereka
then,kemudian
there,ada
these,ini
they,mereka
thick,tebal
thin,tipis
thing,hal
think,berpikir
third,ketiga
this,ini
those,mereka
though,meskipun
thought,pikiran
thousand,ribu
three,tiga
through,melalui
throw,membuang
thus,demikian
tie,dasi
time,waktu
tiny,kecil
tire,ban
to,untuk
together,bersama-sama
told,mengatakan
tone,nada
too,terlalu
took,mengambil
tool,alat
top,atas
total,total
touch,sentuh
toward,menuju
town,kota
track,jalur
trade,perdagangan
train,kereta
travel,wisata
tree,pohon
triangle,segitiga
trip,perjalanan
trouble,masalah
truck,truk
true,benar
try,coba
tube,tube
turn,gilirannya
twenty,dua puluh
two,dua
type,jenis
under,di bawah
unit,unit
until,sampai
up,naik
us,kami
use,penggunaan
usual,biasa
valley,lembah
value,nilai
vary,bervariasi
verb,kata kerja
very,sangat
view,tampilan
village,desa
visit,kunjungan
voice,suara
vowel,vokal
wait,menunggu
walk,berjalan
wall,wall
want,ingin
war,perang
warm,hangat
was,adalah
wash,mencuci
watch,menonton
water,air
wave,gelombang
way,cara
we,kami
wear,memakai
weather,cuaca
week,minggu
weight,berat
well,baik
went,pergi
were,yang
west,barat
what,apa
wheel,roda
when,ketika
where,mana
whether,apakah
which,yang
while,sementara
white,putih
who,yang
whole,seluruh
whose,yang
why,mengapa
wide,lebar
wife,istri
wild,liar
will,akan
win,menang
wind,angin
window,window
wing,sayap
winter,musim dingin
wire,kawat
wish,ingin
with,dengan
woman,wanita
women,wanita
wonder,bertanya-tanya
won’t,tidak akan
wood,kayu
word,kata
work,pekerjaan
world,dunia
would,akan
write,menulis
written,ditulis
wrong,salah
wrote,menulis
yard,yard
year,tahun
yellow,kuning
yes,ya
yet,belum
you,anda
young,muda
your,anda
