english,georgian
caught,დაიჭირეს
cause,მიზეზი
cell,საკანში
cent,შეადგინა
center,ცენტრი
century,საუკუნის
certain,გარკვეული
chair,თავმჯდომარე
chance,შანსი
change,ცვლილება
character,ხასიათი
charge,დააკისროს
chart,გრაფიკი
check,შეამოწმეთ
chick,ქათმის
chief,მთავარი
child,ბავშვი
children,ბავშვები
choose,აირჩიეთ
chord,აკორდი
circle,წრე
city,ქალაქი
claim,სარჩელი
class,კლასი
clean,სუფთა
clear,ნათელი
climb,ასვლა
clock,საათი
close,ახლოს
clothe,შეკერილ
cloud,ღრუბელი
coast,სანაპიროზე
coat,ქურთუკი
cold,ცივი
collect,შეაგროვოს
colony,კოლონია
color,ფერი
column,სვეტი
come,მოდის
common,საერთო
company,კომპანია
compare,შედარება
complete,სრული
condition,მდგომარეობა
connect,დაკავშირება
consider,განიხილოს
consonant,კონსონანტური
contain,შეიცავს
continent,კონტინენტზე
continue,გაგრძელდება
control,კონტროლის
cook,მზარეული
cool,ზემოთ
copy,ასლი
corn,სიმინდის
corner,კუთხეში
correct,სწორი
cost,ღირებულება
cotton,ბამბა
could,იქნებოდა
count,იმედი
country,ქვეყანაში
course,"რა თქმა უნდა,"
cover,საფარი
cow,ძროხის
crease,ცხიმ
create,შექმნა
crop,მოსავლის
cross,გადაკვეთა
crowd,გულშემატკივარი
cry,ტირილი
current,მიმდინარე
cut,დაჭრილი
dad,მამა
dance,ცეკვა
danger,საფრთხე
dark,მუქი
day,დღეს
dead,მკვდარი
deal,გარიგება
dear,ძვირფასო
death,სიკვდილი
decide,გადაწყვიტოს
decimal,ათობითი
deep,deep
degree,ხარისხი
depend,დამოკიდებული
describe,აღწერს
desert,უდაბნოში
design,დიზაინი
determine,განსაზღვრავს
develop,განვითარება
dictionary,ლექსიკონი
did,გააკეთა
die,იღუპება
differ,განსხვავდება
difficult,რთული
direct,პირდაპირი
discuss,განხილვა
distant,შორეული
divide,გათიშე
division,განყოფილება
do,გაკეთება
doctor,ექიმი
does,ჯერ
dog,ძაღლი
dollar,დოლარი
done,გაკეთდა
don’t,არა
door,კარი
double,ორმაგი
down,ქვემოთ
draw,მიაპყროს
dream,ოცნება
dress,კაბა
drink,სასმელი
drive,თვლები
drop,ვარდნა
dry,მშრალი
duck,იხვი
during,დროს
each,თითოეული
ear,ყურის
early,დასაწყისში
earth,დედამიწაზე
ease,განმუხტვის
east,აღმოსავლეთით
eat,ჭამა
edge,ზღვარზე
effect,ეფექტი
egg,კვერცხი
eight,რვა
either,ან
electric,ელექტრო
element,ელემენტი
else,სხვა
end,ბოლოს
enemy,მტრის
energy,ენერგიის
engine,ძრავა
enough,საკმარისი
enter,შევა
equal,თანაბარი
equate,აიგივებს
especially,განსაკუთრებით
even,კი
evening,საღამოს
event,ღონისძიება
ever,ოდესმე
every,ყველა
exact,ზუსტი
example,მაგალითად
except,გარდა
excite,აღუძრავენ
exercise,სწავლება
expect,ველით
experience,გამოცდილება
experiment,ექსპერიმენტი
eye,თვალის
face,სახე
fact,"ის ფაქტი,"
fair,სამართლიანი
fall,დაეცემა
family,ოჯახის
famous,ცნობილი
far,შორს
farm,ფერმა
fast,სწრაფი
fat,ცხიმის
father,მამა
favor,ემხრობა
fear,შიში
feed,არხი
feel,ვგრძნობ
feet,ფეხები
fell,დაეცა
felt,ვიგრძენი
few,რამდენიმე
field,სფეროში
fig,ლეღვის
fight,ბრძოლა
figure,ფიგურა
fill,შევსება
final,საბოლოო
find,მოვძებნოთ
fine,ჯარიმა
finger,თითი
finish,ფერი
fire,ცეცხლის
first,პირველი
fish,თევზი
fit,ჯდება
five,ხუთ
flat,ბინა
floor,სართული
flow,შემოვა
flower,ყვავილი
fly,ფრენა
follow,დაიცვას
food,საკვები
foot,ფეხით
for,განთავსების
force,ძალა
forest,ტყის
form,ფორმა
forward,წინ
found,ი
four,ოთხ
fraction,ფრაქცია
free,უფასო
fresh,ახალი
friend,მეგობარს
from,საწყისი
front,წინა
fruit,ხილი
full,სრული
fun,გართობა
game,თამაში
garden,ბაღში
gas,გაზის
gather,შევიკრიბოთ
gave,მისცა
general,ზოგადი
gentle,ნაზი
get,მიიღეთ
girl,გოგონა
give,მისცეს
glad,"მოხარული ვარ,"
glass,მინა
go,გადასვლა
gold,ოქროს
gone,წასული
good,კარგი
got,მივიღე
govern,არეგულირებს
grand,გრანდიოზული
grass,ბალახის
gray,ნაცრისფერი
great,დიდი
green,მწვანე
grew,გაიზარდა
ground,ადგილზე
group,ჯგუფი
grow,იზრდება
guess,ვხვდები
guide,უხელმძღვანელებს
gun,იარაღი
had,ჰქონდა
hair,თმის
half,ნახევარი
hand,ხელი
happen,მოხდება
happy,ბედნიერი
hard,მძიმე
has,აქვს
hat,ქუდი
have,აქვს
he,ის
head,უფროსი
hear,მოვისმინოთ
heard,ისმის
heart,გულის
heat,სითბოს
heavy,მძიმე
held,წირვა
help,დაეხმაროს
her,მისი
here,აქ
high,მაღალი
hill,გორაკზე
him,მას
his,მისი
history,ისტორია
hit,მოხვდა
hold,გამართავს
hole,ხვრელი
home,მთავარი
hope,"იმედი მაქვს,"
horse,ცხენი
hot,ცხელი
hour,საათი
house,სახლი
how,როგორ
huge,დიდი
human,ადამიანის
hundred,ასი
hunt,hunt
hurry,იჩქარეთ
i,თოვლი
ice,ყინულზე
idea,იდეა
if,თუ
imagine,წარმოიდგინეთ
in,წლის
inch,დუიმიანი
include,მოიცავს
indicate,მიუთითოს
industry,მრეწველობა
insect,მწერის
instant,მყისიერი
instrument,ინსტრუმენტი
interest,ინტერესი
invent,გამოგონება
iron,რკინის
is,არის
island,კუნძული
it,ის
job,სამუშაო
join,შეუერთდება
joy,სიხარული
jump,გადასვლა
just,უბრალოდ
keep,შენარჩუნება
kept,ინახება
key,მთავარი
kill,მოკვლა
kind,სახის
king,მეფე
knew,იცოდა
know,ვიცი
lady,ქალბატონს
lake,ტბა
land,მიწის
language,ენის
large,დიდი
last,ბოლო
late,ბოლოს
laugh,სიცილი
law,კანონი
lay,ქმნის
lead,გამოიწვევს
learn,ვისწავლოთ
least,მინიმუმ
leave,დატოვეთ
led,გამოიწვია
left,მარცხენა
leg,ფეხი
length,ხანგრძლივობა
less,"ნაკლებია,"
let,მიადევნე
letter,წერილი
level,დონე
lie,ტყუილი
life,ცხოვრება
lift,ლიფტით
light,მსუბუქი
like,როგორიცაა
line,ონლაინ
liquid,თხევადი
list,სია
listen,მოუსმინოს
little,პატარა
live,ცხოვრება
locate,განთავსდება
log,შედით
lone,მარტოხელა
long,ხანგრძლივი
look,გამოიყურება
lost,დაკარგა
lot,ბევრი
loud,ხმამაღალი
love,მიყვარს
low,დაბალი
machine,მანქანა
made,გააკეთა
magnet,მაგნიტივით
main,მთავარი
major,მთავარი
make,რათა
man,კაცი
many,ბევრი
map,რუკა
mark,mark
market,ბაზარზე
mass,მასობრივი
master,საძიებო
match,მატჩი
material,მასალა
matter,"მიუხედავად იმისა,"
may,შეიძლება
me,მე
mean,ნიშნავს
meant,ნიშნავდა
measure,გავზომოთ
meat,ხორცის
meet,შეხვდება
melody,მელოდიას
men,მამაკაცის
metal,რკინის
method,მეთოდი
middle,შუა
might,შესაძლოა
mile,მილი
milk,რძე
million,მილიონი
mind,გონება
mine,ნაღმი
minute,წუთი
miss,მენატრება
mix,აურიეთ
modern,თანამედროვე
molecule,მოლეკულის
moment,მომენტი
money,ფული
month,თვის
moon,მთვარის
more,მეტი
morning,დილით
most,ყველაზე
mother,დედა
motion,მოძრაობის
mount,მთა
mountain,მთის
mouth,პირში
move,ნაბიჯი
much,ბევრი
multiply,გამრავლების
music,მუსიკა
must,უნდა
my,ჩემი
name,სახელი
nation,ერის
natural,ბუნებრივი
nature,ბუნება
near,ახლოს
necessary,აუცილებელია
neck,კისრის
need,უნდა
neighbor,მეზობელი
never,არასოდეს
new,ახალი
next,შემდეგი
night,ღამის
nine,ცხრა
no,არა
noise,ხმაური
noon,შუადღისას
nor,არც
north,ჩრდილოეთ
nose,ცხვირი
note,შენიშვნა
nothing,არაფერი
notice,ცნობა
noun,არსებითი სახელი
now,ახლა
number,ნომერი
numeral,ციფრების
object,ობიექტი
observe,დაიცვან
occur,მოხდეს
ocean,ოკეანეში
of,საქართველოს
off,გამორთვის
offer,შეთავაზება
office,ოფისი
often,ხშირად
oh,მე
oil,ზეთი
old,ძველი
on,წელი
once,ერთხელ
one,ერთი
only,მხოლოდ
open,ღია
operate,მოქმედებენ
opposite,პირიქით
or,ან
order,"იმისათვის,"
organ,ორგანოს
original,ორიგინალური
other,სხვა
our,ჩვენი
out,აქტის
over,მეტი
own,საკუთარი
oxygen,ჟანგბადის
page,გვერდი
paint,ხატავს
pair,წყვილი
paper,ქაღალდის
paragraph,პირველი პუნქტის
parent,მშობელს
part,ნაწილი
particular,კერძოდ
party,პარტია
pass,გაივლის
past,ბოლო
path,გზა
pattern,ნიმუში
pay,გადახდა
people,ხალხი
perhaps,"ალბათ,"
period,პერიოდი
person,პირი
phrase,ფრაზა
pick,აირჩიოთ
picture,სურათი
piece,ცალი
pitch,მოედანზე
place,ადგილი
plain,ბარის
plan,გეგმა
plane,თვითმფრინავი
planet,პლანეტის
plant,ქარხანა
play,ითამაშეთ
please,"გთხოვთ,"
plural,მრავლობითი
poem,პოემა
point,წერტილი
poor,ცუდი
populate,მოეყვანა
port,პორტი
pose,უქმნის
position,პოზიცია
possible,შესაძლებელია
post,ჩანაწერი
pound,ფუნტი
power,ძალა
practice,პრაქტიკა
prepare,მომზადება
present,წინამდებარე
press,პრეს
pretty,საკმაოდ
print,ბეჭდვა
probable,"სავარაუდოა,"
problem,პრობლემა
process,პროცესი
produce,წარმოების
product,პროდუქტი
proper,შესაბამისი
property,ქონების
protect,დაცვა
prove,დაამტკიცოს
provide,გთავაზობთ
pull,გაიყვანოს
push,დააყენებს
put,მა
quart,და
question,კითხვა
quick,სწრაფი
quiet,მშვიდი
quite,საკმაოდ
quotient,მაჩვენებელი
race,რასის
radio,რადიო
rail,სარკინიგზო
rain,წვიმა
raise,ამაღლება
ran,ran
range,სპექტრი
rather,საკმაოდ
reach,მიღწევა
read,წაკითხული
ready,მზად
real,რეალური
reason,მიზეზი
receive,მიიღეთ
record,ჩანაწერი
red,წითელი
region,რეგიონში
remember,მახსოვს
repeat,განმეორებითი
reply,პასუხი
represent,წარმოადგენს
require,მოითხოვს
rest,დანარჩენი
result,შედეგი
rich,მდიდარი
ride,ride
right,უფლება
ring,ბეჭედი
rise,მოიმატებს
river,მდინარე
road,გზის
rock,როკი
roll,გააფართოვოს
room,ოთახი
root,ძირეული
rope,საბაგირო
rose,გაიზარდა
round,რაუნდი
row,რიგის
rub,რუბლს შეადგენს
rule,წესი
run,აწარმოებს
safe,უსაფრთხო
said,განაცხადა
sail,მოტორიანი
salt,მარილი
same,იგივე
sand,ქვიშის
sat,იჯდა
save,გადარჩენა
saw,ხერხი
say,"ამბობენ,"
scale,მასშტაბის
school,სკოლა
science,მეცნიერება
score,ანგარიში
sea,ზღვის
search,ძიების
season,სეზონი
seat,ადგილს
second,მეორე
section,განყოფილების
see,იხილეთ
seed,თესლი
seem,"როგორც ჩანს,"
segment,სეგმენტი
select,აირჩიეთ
self,თვითმმართველობის
sell,გაყიდვა
send,გაუგზავნე
sense,აზრი
sent,გაიგზავნა
sentence,სასჯელი
separate,ცალკე
serve,ემსახურება
set,კომპლექტი
settle,დასახლდნენ
seven,შვიდი
several,რამდენიმე
shall,უნდა
shape,ფორმა
share,წილი
sharp,მკვეთრი
she,იგი
sheet,ფურცელი
shell,გარსი
shine,შაინი
ship,გემი
shoe,ფეხსაცმლის
shop,მაღაზია
shore,ნაპირზე
short,მოკლე
should,უნდა
shoulder,მხრის
shout,შეძახილი
show,შოუ
side,მხარე
sight,მხედველობა
sign,ნიშანი
silent,ჩუმად
silver,ვერცხლის
similar,მსგავსი
simple,მარტივი
since,"მას შემდეგ, რაც"
sing,მღერიან
single,ერთი
sister,დის
sit,იჯდეს
six,ექვს
size,ზომა
skill,უნარი
skin,კანის
sky,ცის
slave,მონა
sleep,ძილის
slip,მუშავდება
slow,ნელი
small,პატარა
smell,სუნი
smile,ღიმილი
snow,თოვლი
so,"ასე რომ,"
soft,რბილი
soil,ნიადაგის
soldier,ჯარისკაცი
solution,გამოსავალი
solve,გადაჭრით
some,ზოგიერთი
son,შვილი
song,სიმღერას
soon,მალე
sound,ხმის
south,სამხრეთ
space,ფართი
speak,საუბარი
special,სპეციალური
speech,სიტყვის
speed,სიჩქარე
spell,სიტყვიერად
spend,დახარჯავს
spoke,ისაუბრა
spot,ადგილზე
spread,გავრცელება
spring,გაზაფხულზე
square,კვ
stand,დავდგეთ
star,ვარსკვლავი
start,დაწყება
state,სახელმწიფო
station,სადგური
stay,დარჩება
stead,ნაცვლად
steam,ორთქლი
steel,ფოლადის
step,ნაბიჯი
stick,ჯოხი
still,ჯერ კიდევ
stone,ქვის
stood,იდგა
stop,შეჩერება
store,მაღაზია
story,ისტორია
straight,სწორი
strange,უცნაური
stream,ნაკადი
street,ქუჩის
stretch,მონაკვეთი
string,სტრიქონი
strong,ძლიერი
student,სტუდენტი
study,სასწავლო
subject,სათაური
substance,ნივთიერება
subtract,სხვაობა
success,წარმატება
such,ასეთი
sudden,მოულოდნელი
suffix,სუფიქსი
sugar,შაქარი
suggest,"ვარაუდობენ,"
suit,სარჩელი
summer,ზაფხულში
sun,მზე
supply,ახალი
support,მხარდაჭერა
sure,"დარწმუნებული ვარ,"
surface,ზედაპირზე
surprise,სიურპრიზი
swim,ბანაობენ
syllable,syllable
symbol,სიმბოლო
system,სისტემა
table,მაგიდა
tail,კუდი
take,მიიღოს
talk,განხილვა
tall,მაღალი
teach,ასწავლოს
team,გუნდი
teeth,კბილები
tell,ვუთხრა
temperature,ტემპერატურა
ten,ათი
term,ვადა
test,ტესტი
than,მეტი
thank,მადლობა
that,რომ
the,ზე
their,მათი
them,მათ
then,შემდეგ
there,არსებობს
these,ამ
they,ისინი
thick,სქელი
thin,თხელი
thing,რამ
think,"ვფიქრობ,"
third,მესამე
this,ამ
those,იმ
though,თუმცა
thought,ეგონა
thousand,ათასი
three,სამ
through,მეშვეობით
throw,"იმისათვის, რომ"
thus,"ამგვარად,"
tie,ჰალსტუხი
time,დრო
tiny,პატარა
tire,საბურავი
to,მიზეზი
together,ერთად
told,განუცხადა
tone,ტონი
too,ძალიან
took,აიღო
tool,ინსტრუმენტი
top,დაბრუნება
total,სულ
touch,შეეხოთ
toward,მიმართ
town,ქალაქი
track,სიმღერა
trade,სავაჭრო
train,მატარებელი
travel,მოგზაურობა
tree,ხე
triangle,სამკუთხედის
trip,მოგზაურობა
trouble,პრობლემები
truck,სატვირთო
true,დიახ
try,ცდილობენ
tube,მილით
turn,"თავის მხრივ,"
twenty,ოცი
two,ორ
type,ტიპი
under,ფარგლებში
unit,ერთეული
until,სანამ
up,გოლი
us,ჩვენთვის
use,გამოყენება
usual,ჩვეულებრივი
valley,ხეობაში
value,არც
vary,იცვლება
verb,ზმნის
very,ძალიან
view,კალენდარი
village,სოფელ
visit,შესვლა
voice,ხმა
vowel,ხმოვანთა
wait,დაველოდოთ
walk,ფეხით
wall,კედლის
want,მინდა
war,ომი
warm,თბილი
was,იყო
wash,სარეცხი
watch,დაათვალიერეს
water,წყლის
wave,ტალღა
way,გზა
we,ჩვენ
wear,აცვიათ
weather,ამინდი
week,კვირის
weight,წონა
well,კარგად
went,წავიდა
were,იყო
west,დასავლეთ
what,რა
wheel,წინა
when,როდესაც
where,სადაც
whether,არა
which,რომელიც
while,ხოლო
white,თეთრი
who,ვინც
whole,მთელი
whose,რომლის
why,რატომ
wide,ფართო
wife,ცოლი
wild,ველური
will,იქნება
win,გაიმარჯვებს
wind,ქარი
window,ფანჯარა
wing,ფრთა
winter,ზამთრის
wire,მავთულის
wish,სურვილი
with,ერთად
woman,ქალი
women,ქალები
wonder,გასაკვირი არ არის
won’t,არ
wood,ხის
word,სიტყვა
work,მუშაობა
world,მსოფლიო
would,რომ
write,დაწერა
written,წერილობითი
wrong,არასწორი
wrote,წერდა
yard,ეზოში
year,წელი
yellow,ყვითელი
yes,დიახ
yet,ამჟამად
you,თქვენ
young,ახალგაზრდა
your,თქვენი
