english,yoruba
consonant,consonant
contain,ni awọn
continent,afirika
continue,tesiwaju
control,iṣakoso
cook,jado
cool,itura
copy,daakọ
corn,agbado
corner,igun
correct,o tọ
cost,iye owo
cotton,owu
could,le
count,ka
country,orilẹ-ede
course,dajudaju
cover,ideri
cow,maalu
crease,jinjin
create,ṣẹda
crop,irugbin na
cross,kọjá
crowd,enia
cry,igbe
current,lọwọlọwọ
cut,ge
dad,baba
dance,ijó
danger,ijamba
dark,dudu
day,ọjọ
dead,okú
deal,ti yio se
dear,ọwọn
death,iku
decide,pinnu
decimal,eleemewa
deep,jin
degree,ìyí
depend,da
describe,apejuwe
desert,asale
design,oniru
determine,mọ
develop,se agbekale
dictionary,itumọ
did,ṣe
die,kú
differ,yato
difficult,soro
direct,taara
discuss,ọrọ
distant,o jina
divide,pin
division,pipin
do,ṣe
doctor,dokita
does,wo ni
dog,aja
dollar,dola
done,ṣee
don’t,se ko
door,ilekun
double,ė
down,si isalẹ
draw,fa
dream,ala
dress,imura
drink,mimu
drive,dirafu
drop,ju
dry,gbẹ
duck,pepeye
during,nigba
each,kọọkan
ear,eti
early,tete
earth,aiye
ease,irorun
east,õrùn
eat,jẹ
edge,eti
effect,ipa
egg,ẹyin
eight,mẹjọ
either,boya
electric,ina-
element,ano
else,ohun miiran
end,opin
enemy,ọtá
energy,agbara
engine,hun
enough,to
enter,tẹ
equal,deede
equate,equate
especially,paapa
even,ani
evening,irọlẹ
event,ìṣẹlẹ
ever,lailai
every,gbogbo
exact,gangan
example,apẹẹrẹ
except,ayafi
excite,ṣojulọyin
exercise,idaraya
expect,reti
experience,iriri
experiment,ṣàdánwò
eye,oju
face,oju
fact,o daju
fair,ẹwà
fall,ti kuna
family,ebi
famous,olokiki
far,jina
farm,r’oko
fast,sare
fat,sanra
father,baba
favor,ojurere
fear,iberu
feed,kikọ sii
feel,lero
feet,ẹsẹ
fell,subu
felt,ro
few,diẹ
field,aaye
fig,eeya
fight,ija
figure,nọmba rẹ
fill,fọwọsi
final,ik
find,ri
fine,o dara
finger,ika
finish,pari
fire,ina
first,akọkọ
fish,eja
fit,dada
five,marun
flat,alapin
floor,pakà
flow,ṣàn
flower,ododo
fly,fly
follow,tẹle
food,ounje
foot,ẹsẹ
for,fun
force,agbara
forest,igbo
form,fọọmu
forward,siwaju
found,ri
four,mẹrin
fraction,ida
free,free
fresh,alabapade
friend,ọrẹ
from,lati
front,iwaju
fruit,eso
full,ni kikun
fun,fun
game,ere
garden,ọgba
gas,gaasi
gather,kó
gave,fun
general,gbogboogbo
gentle,onírẹlẹ
get,gba
girl,omobirin
give,fun
glad,yọ
glass,gilasi
go,lọ
gold,wura
gone,lọ
good,ti o dara
got,ni
govern,akoso
grand,sayin
grass,koriko
gray,grẹy
great,nla
green,alawọ ewe
grew,dagba
ground,ilẹ
group,ẹgbẹ
grow,dagba
guess,amoro
guide,dari
gun,ibon
had,ní
hair,irun
half,idaji
hand,ọwọ
happen,ṣẹlẹ
happy,dun
hard,lile
has,ni o ni
hat,ijanilaya
have,ni
he,o si
head,ori
hear,gbọ
heard,gbọ
heart,okan
heat,ooru
heavy,eru
held,ti o waye
help,egba mi o
her,rẹ
here,nibi
high,ga
hill,òke
him,u
his,rẹ
history,itan
hit,lu
hold,mu
hole,iho
home,ile
hope,lero
horse,ẹṣin
hot,gbona
hour,wakati
house,ile
how,bawo
huge,tobi
human,eda eniyan
hundred,ọgọrun
hunt,sode
hurry,nsoro
i,mo ti
ice,yinyin
idea,agutan
if,ti o ba ti
imagine,fojuinu
in,ni
inch,ọwọ
include,ni
indicate,fihan
industry,ile ise
insect,kokoro
instant,ese
instrument,irinse
interest,anfani
invent,o pilẹ
iron,iron
is,ni
island,erekusu
it,o
job,ise
join,da
joy,ayo
jump,sí
just,o kan
keep,pa
kept,pa
key,bọtini
kill,pa
kind,iru
king,ọba
knew,mọ
know,mọ
lady,iyaafin
lake,lake
land,ilẹ
language,èdè
large,tobi
last,kẹhin
late,pẹ
laugh,yen
law,ofin
lay,dubulẹ
lead,yorisi
learn,ko
least,o kere
leave,fi
led,mu
left,osi
leg,ẹsẹ
length,ipari
less,ti o kere
let,jẹ ki
letter,lẹta
level,ipele
lie,luba
life,aye
lift,gbe
light,ina
like,bi
line,ila
liquid,omi
list,akojọ
listen,gbọ
little,kekere
live,gbe
locate,wa
log,wọle
lone,daduro
long,gun
look,wo
lost,ti sọnu
lot,pupo
loud,rara
love,ni ife
low,kekere
machine,ẹrọ
made,ṣe
magnet,oofa
main,akọkọ
major,pataki
make,ṣe
man,eniyan
many,ọpọlọpọ
map,agbaye
mark,aami
market,oja
mass,ibi
master,titunto si
match,baramu
material,ohun elo ti
matter,ọrọ
may,le
me,mi
mean,túmọ
meant,túmọ
measure,wọn
meat,eran
meet,pade
melody,aladun
men,awọn ọkunrin
metal,irin
method,ọna
middle,arin
might,ki
mile,maili
milk,wara
million,milionu
mind,ọkàn
mine,mi
minute,iṣẹju
miss,padanu
mix,illa
modern,igbalode
molecule,moleku
moment,akoko
money,owo
month,osù
moon,oṣupa
more,diẹ
morning,owurọ
most,julọ
mother,iya
motion,išipopada
mount,òke
mountain,oke
mouth,ẹnu
move,gbe
much,elo
multiply,isodipupo
music,orin ti
must,gbọdọ
my,mi
name,orukọ
nation,orile-ede
natural,adayeba
nature,iseda
near,sunmọ
necessary,pataki
neck,ọrun
need,nilo
neighbor,aládùúgbò
never,ko
new,titun
next,itele
night,alẹ
nine,mẹsan
no,ko si
noise,an noise
noon,kẹfa
nor,tabi
north,ariwa
nose,imu
note,akọsilẹ
nothing,ohunkohun
notice,akiyesi
noun,orúkọ náà
now,bayi
number,nọmba
numeral,numeral
object,ohun
observe,daju
occur,šẹlẹ
ocean,òkun
of,ti awọn
off,pa
offer,ìfilọ
office,ọfiisi
often,igba
oh,iyen
oil,epo
old,ti atijọ
on,lori
once,lẹẹkan
one,ọkan
only,nikan
open,ìmọ
operate,ṣiṣẹ
opposite,idakeji
or,tabi
order,ibere
organ,ara eniyan
original,atilẹba
other,miiran
our,wa
out,jade
over,lori
own,ti ara
oxygen,atẹgun
page,iwe
paint,kun
pair,bata
paper,iwe
paragraph,ìpínrọ
parent,obi
part,apakan
particular,pato
party,ẹnikẹta
pass,ṣe
past,ti o ti kọja
path,ona
pattern,àpẹẹrẹ
pay,san
people,eniyan
perhaps,boya
period,akoko
person,eniyan
phrase,gbolohun
pick,mu
picture,aworan
piece,nkan
pitch,ipolowo
place,ibi
plain,itele ti
plan,ètò
plane,ofurufu
planet,aye
plant,ohun ọgbìn
play,mu ṣiṣẹ
please,jowo
plural,ju
poem,ewi
point,ojuami
poor,ko dara
populate,bado
port,ibudo
pose,duro
position,ipo
possible,ṣee ṣe
post,ifiweranṣẹ
pound,iwon
power,agbara
practice,iwa
prepare,mura
present,bayi
press,tẹ
pretty,lẹwa
print,si ta
probable,afaimo
problem,isoro
process,ilana
produce,mu jade
product,ọja
proper,to dara
property,ohun ini
protect,dabobo
prove,mule
provide,pese
pull,fa
push,ti
put,fi
quart,ijori
question,ibeere
quick,awọn ọna
quiet,idakẹjẹ
quite,oyimbo
quotient,dara
race,ije
radio,redio
rail,iṣinipopada
rain,ojo
raise,ró
ran,ran
range,ibiti
rather,kuku
reach,de ọdọ
read,ka
ready,setan
real,gidi
reason,idi
receive,gba
record,o gba
red,pupa
region,ẹkùn
remember,ranti
repeat,tun
reply,fesi
represent,ašoju
require,beere wipe
rest,isinmi
result,esi
rich,ọlọrọ
ride,gigun
right,ọtun
ring,iwọn
rise,jinde
river,odo
road,opopona
rock,apata
roll,eerun
room,yara
root,root
rope,kijiya
rose,dide
round,yika
row,kana
rub,bi won ninu
rule,ofin
run,sure
safe,ailewu
said,wi
sail,ta asia
salt,iyo
same,kanna
sand,iyanrin
sat,ti joko
save,fi
saw,ri
say,sọ
scale,asekale
school,ile-iwe
science,imọ
score,o wole
sea,okun
search,àwárí
season,akoko
seat,ijoko
second,keji
section,apakan
see,wo
seed,irugbin
seem,dabi
segment,apa
select,yan
self,ara
sell,ta
send,fi
sense,ori
sent,rán
sentence,gbolohun
separate,lọtọ
serve,sin
set,ṣeto
settle,yanju
seven,meje
several,orisirisi awọn
shall,yio
shape,apẹrẹ
share,pin
sharp,didasilẹ
she,o
sheet,dì
shell,ikarahun
shine,imọlẹ
ship,omi
shoe,bata
shop,itaja
shore,tera
short,kukuru
should,yoo
shoulder,ejika
shout,kigbe
show,hàn
side,ẹgbẹ
sight,oju
sign,ami
silent,ipalọlọ
silver,fadakà
similar,iru
simple,o rọrun
since,niwon
sing,kọrin
single,nikan
sister,arabinrin
sit,joko
six,mefa
size,iwọn
skill,olorijori
skin,ara
sky,ọrun
slave,ẹrú
sleep,orun
slip,isokuso
slow,o lọra
small,kekere
smell,olfato
smile,ẹrin
snow,egbon
so,ki
soft,asọ
soil,ile
soldier,ogun
solution,ojutu
solve,yanju
some,diẹ ninu awọn
son,ọmọ
song,song
soon,laipe
sound,dun
south,guusu
space,aaye
speak,sọ
special,pataki
speech,ọrọ
speed,iyara
spell,sipeli
spend,na
spoke,sọ
spot,iranran
spread,itankale
spring,orisun
square,ìgbọnwọn
stand,duro
star,star
start,ibere
state,ipinle
station,ibudo
stay,duro
stead,ipò
steam,nya
steel,irin
step,igbese
stick,stick
still,si tun
stone,okuta
stood,duro
stop,duro
store,itaja
story,itan
straight,taara
strange,ajeji
stream,san
street,ita
stretch,na
string,okun
strong,lagbara
student,akeko
study,iwadi
subject,koko
substance,nkan na
subtract,yọ kuro
success,aseyori
such,iru
sudden,lojiji
suffix,suffix
sugar,suga
suggest,daba
suit,aṣọ
summer,ooru
sun,oorun
supply,ipese
support,atilẹyin
sure,daju
surface,dada
surprise,iyalenu
swim,we
syllable,kohun
symbol,aami
system,eto
table,tabili
tail,iru
take,ya
talk,ọrọ
tall,ga
teach,kọ
team,egbe
teeth,eyin
tell,sọ fun
temperature,otutu
ten,mẹwa
term,oro
test,igbeyewo
than,ju
thank,dupẹ
that,ti
the,awọn
their,wọn
them,wọn
then,ki o si
there,nibẹ
these,wọnyi
they,ti won
thick,nipọn
thin,tinrin
thing,ohun
think,ro
third,ẹgbẹ
this,yi
those,awon ti
though,tilẹ
thought,ro
thousand,ẹgbẹrun
three,mẹta
through,nipasẹ
throw,o jabọ
thus,bayi
tie,tai
time,akoko
tiny,aami
tire,taya
to,to
together,papo
told,so fun
tone,ohun orin
too,ju
took,si mu
tool,ọpa
top,oke
total,lapapọ
touch,ọwọ kan
toward,si
town,ilu
track,orin
trade,isowo
train,oko
travel,ajo
tree,igi
triangle,onigun mẹta
trip,irin ajo
trouble,wahala
truck,ikoledanu
true,otitọ
try,gbiyanju
tube,tube
turn,tan
twenty,ogun
two,meji
type,iru
under,labẹ
unit,kuro
until,titi
up,soke
us,wa
use,lilo
usual,ibùgbé
valley,afonifoji
value,iye
vary,yatọ
verb,ọrọìse
very,gan
view,wo
village,abule
visit,ibewo
voice,ohun
vowel,vowel
wait,duro
walk,rin
wall,odi
want,fẹ
war,ogun
warm,gbona
was,je
wash,ínrọ
watch,wo
water,omi
wave,igbi
way,ọna
we,a
wear,wọ
weather,oju ojo
week,ọsẹ
weight,àdánù
well,daradara
went,si lọ
were,wọn
west,ìwọ
what,kini
wheel,kẹkẹ
when,nigbawo
where,ibi ti
whether,boya
which,eyi ti
while,nigba ti
white,funfun
who,ti o
whole,gbogbo
whose,ti
why,idi
wide,jakejado
wife,iyawo
wild,egan
will,yoo
win,win
wind,afẹfẹ
window,ferese
wing,apakan
winter,otutu
wire,waya
wish,fẹ
with,pẹlu
woman,obirin
women,obirin
wonder,iyanu
won’t,yoo ko
wood,igi
word,ọrọ
work,iṣẹ
world,aye
would,ṣe
write,kọ
written,kọ
wrong,ti ko tọ si
wrote,kowe
yard,àgbàlá
year,odun
yellow,ofeefee
yes,bẹẹni
yet,sibe
you,ti o
young,odo
your,rẹ
