english,swahili
famous,maarufu
far,mbali
farm,shamba
fast,haraka
fat,mafuta
father,baba
favor,neema
fear,hofu
feed,kulisha
feel,kujisikia
feet,miguu
fell,akaanguka
felt,waliona
few,chache
field,shamba
fig,mtini
fight,kupambana
figure,takwimu
fill,kujaza
final,mwisho
find,kupata
fine,faini
finger,kidole
finish,kumaliza
fire,moto
first,kwanza
fish,samaki
fit,fit
five,tano
flat,gorofa
floor,sakafu
flow,kati yake
flower,ua
fly,kuruka
follow,kufuata
food,chakula
foot,mguu
for,kwa
force,nguvu
forest,msitu
form,aina
forward,mbele
found,kupatikana
four,nne
fraction,sehemu
free,bure
fresh,safi
friend,rafiki
from,kutoka
front,mbele
fruit,matunda
full,full
fun,furaha
game,mchezo
garden,bustani
gas,gesi
gather,kukusanya
gave,alitoa
general,ujumla
gentle,mpole
get,kupata
girl,msichana
give,kutoa
glad,furaha
glass,kioo
go,kwenda
gold,dhahabu
gone,kuondoka
good,nzuri
got,got
govern,serikali
grand,kuu
grass,nyasi
gray,kijivu
great,kubwa
green,kijani
grew,ilikua
ground,ardhi
group,kundi
grow,kukua
guess,nadhani
guide,kuongoza
gun,bunduki
had,alikuwa
hair,nywele
half,nusu
hand,mkono
happen,kutokea
happy,furaha
hard,ngumu
has,ina
hat,kofia
have,na
he,yeye
head,kichwa
hear,kusikia
heard,habari
heart,moyo
heat,joto
heavy,nzito
held,uliofanyika
help,msaada
her,yake
here,hapa
high,high
hill,kilima
him,naye
his,yake
history,historia
hit,hit
hold,kushikilia
hole,shimo
home,nyumbani
hope,matumaini
horse,farasi
hot,moto
hour,saa
house,nyumba
how,jinsi
huge,kubwa
human,binadamu
hundred,mia
hunt,kuwinda
hurry,haraka
i,mimi
ice,barafu
idea,wazo
if,kama
imagine,kufikiria
in,katika
inch,inchi
include,ni pamoja na
indicate,zinaonyesha
industry,sekta ya
insect,wadudu
instant,papo
instrument,chombo
interest,maslahi
invent,mzulia
iron,chuma
is,ni
island,kisiwa
it,yake
job,kazi
join,kujiunga na
joy,furaha
jump,kuruka
just,tu
keep,kuweka
kept,naendelea
key,ufunguo
kill,kuua
kind,aina
king,mfalme
knew,alijua
know,kujua
lady,mwanamke
lake,ziwa
land,ardhi
language,lugha
large,kubwa
last,mwisho
late,marehemu
laugh,kucheka
law,sheria
lay,kuweka
lead,kusababisha
learn,kujifunza
least,angalau
leave,kuondoka
led,kuongozwa
left,kushoto
leg,mguu
length,urefu
less,chini ya
let,basi
letter,barua
level,ngazi ya
lie,uongo
life,maisha
lift,kuinua
light,mwanga
like,kama
line,line
liquid,kioevu
list,orodha
listen,kusikiliza
little,kidogo
live,kuishi
locate,machapisho
log,kuingia
lone,ya lone
long,muda mrefu
look,kuangalia
lost,waliopotea
lot,mengi
loud,kubwa
love,upendo
low,chini
machine,mashine
made,alifanya
magnet,sumaku
main,kuu
major,kuu
make,kufanya
man,mtu
many,wengi
map,ramani
mark,alama
market,soko
mass,habari
master,bwana
match,mechi
material,vifaa
matter,jambo
may,inaweza
me,mimi
mean,maana
meant,maana
measure,kupima
meat,nyama
meet,kukutana
melody,kuimba
men,wanaume
metal,chuma
method,njia
middle,katikati
might,nguvu
mile,maili
milk,maziwa
million,milioni
mind,akili
mine,yangu
minute,dakika
miss,miss ya
mix,kuchanganya
modern,kisasa
molecule,molekuli
moment,wakati
money,fedha
month,mwezi
moon,mwezi
more,zaidi
morning,asubuhi
most,zaidi
mother,mama
motion,mwendo
mount,mlima
mountain,mlima
mouth,kinywa
move,hoja
much,kiasi
multiply,kuzidisha
music,muziki
must,lazima
my,yangu
name,jina
nation,taifa
natural,asili
nature,asili
near,karibu
necessary,muhimu
neck,shingo
need,haja
neighbor,jirani
never,kamwe
new,mpya
next,ijayo
night,usiku
nine,tisa
no,hakuna
noise,kelele
noon,saa sita mchana
nor,wala
north,kaskazini
nose,pua
note,note
nothing,chochote
notice,ilani
noun,nomino
now,sasa
number,simu
numeral,numeral
object,kitu
observe,kuchunguza
occur,kutokea
ocean,bahari
of,ya
off,mbali
offer,kutoa
office,ofisi
often,mara nyingi
oh,oh
oil,mafuta
old,umri wa
on,juu ya
once,mara moja
one,moja
only,tu
open,wazi
operate,kazi
opposite,kinyume
or,au
order,ili
organ,chombo
original,awali
other,nyingine
our,wetu
out,nje
over,juu ya
own,mwenyewe
oxygen,oksijeni
page,ukurasa
paint,rangi
pair,jozi
paper,karatasi
paragraph,aya
parent,mzazi
part,sehemu
particular,hasa
party,chama
pass,kupita
past,siku za nyuma
path,njia
pattern,muundo
pay,kulipa
people,watu
perhaps,labda
period,kipindi
person,mtu
phrase,maneno
pick,kuchukua
picture,picha
piece,kipande
pitch,lami
place,mahali
plain,wazi
plan,mpango
plane,ndege
planet,sayari
plant,kupanda
play,kucheza
please,tafadhali
plural,wingi
poem,shairi
point,uhakika
poor,maskini
populate,idadi ya
port,bandari
pose,litasababisha
position,nafasi
possible,iwezekanavyo
post,baada
pound,chupa
power,nguvu
practice,mazoezi
prepare,kuandaa
present,sasa
press,vyombo vya habari
pretty,wa pretty
print,magazeti
probable,kinachowezekana
problem,tatizo
process,mchakato
produce,kuzalisha
product,bidhaa
proper,sahihi
property,mali
protect,kulinda
prove,kuthibitisha
provide,kutoa
pull,kuvuta
push,kushinikiza
put,kuweka
quart,lita moja
question,swali
quick,haraka
quiet,utulivu
quite,kabisa
quotient,quotient ya
race,mbio
radio,za redio
rail,reli
rain,mvua
raise,kuongeza
ran,mbio
range,mbalimbali
rather,badala
reach,kufikia
read,kusoma
ready,tayari
real,halisi
reason,sababu
receive,kupokea
record,rekodi
red,nyekundu
region,kanda
remember,kumbuka
repeat,kurudia
reply,jibu
represent,kuwakilisha
require,zinahitaji
rest,wengine
result,matokeo
rich,tajiri
ride,safari
right,haki
ring,pete
rise,kupanda
river,mto
road,barabara
rock,mwamba
roll,orodha
room,chumba
root,mizizi
rope,kamba
rose,kufufuka
round,pande zote
row,mstari
rub,kusugua
rule,utawala
run,kukimbia
safe,salama
said,alisema
sail,meli
salt,chumvi
same,sawa
sand,mchanga
sat,ameketi
save,kuokoa
saw,saw
say,kusema
scale,wadogo
school,shule
science,sayansi
score,alama
sea,bahari
search,search
season,msimu
seat,kiti cha
second,pili
section,sehemu
see,kuona
seed,mbegu
seem,wanaonekana
segment,sehemu
select,kuchagua
self,binafsi
sell,kuuza
send,kutuma
sense,maana
sent,alimtuma
sentence,hukumu
separate,tofauti
serve,kutumika
set,kuweka
settle,kuishi
seven,saba
several,kadhaa
shall,atakuwa
shape,sura
share,kushiriki
sharp,mkali
she,yeye
sheet,karatasi
shell,ganda
shine,uangaze
ship,meli
shoe,kiatu
shop,duka
shore,pwani
short,mfupi
should,lazima
shoulder,bega
shout,kelele
show,onyesha
side,upande
sight,mbele
sign,ishara
silent,kimya
silver,fedha
similar,sawa
simple,rahisi
since,tangu
sing,kuimba
single,moja
sister,dada
sit,kukaa
six,sita
size,ukubwa
skill,ujuzi
skin,ngozi
sky,anga
slave,mtumwa
sleep,usingizi
slip,kuingizwa
slow,polepole
small,ndogo
smell,harufu
smile,tabasamu
snow,theluji
so,hivyo
soft,laini
soil,udongo
soldier,askari
solution,ufumbuzi
solve,kutatua
some,baadhi
son,mwana
song,wimbo
soon,hivi karibuni
sound,sauti
south,kusini
space,nafasi
speak,kusema
special,maalum
speech,hotuba
speed,kasi
spell,spell
spend,kutumia
spoke,alizungumza
spot,doa
spread,kuenea
spring,chemchemi
square,mraba
stand,kusimama
star,nyota
start,kuanza
state,hali
station,kituo cha
stay,kukaa
stead,badala
steam,mvuke
steel,chuma
step,hatua
stick,fimbo
still,bado
stone,jiwe
stood,alisimama
stop,kuacha
store,kuhifadhi
story,hadithi
straight,moja kwa moja
strange,ajabu
stream,mkondo
street,mitaani
stretch,kunyoosha
string,kamba
strong,nguvu
student,mwanafunzi
study,utafiti
subject,somo
substance,dutu
subtract,ondoa
success,mafanikio
such,kama
sudden,ghafla
suffix,suffix
sugar,sukari
suggest,kupendekeza
suit,suti
summer,majira ya joto
sun,jua
supply,usambazaji
support,msaada
sure,uhakika
surface,uso
surprise,mshangao
swim,kuogelea
syllable,silabi
symbol,ishara
system,mfumo
table,meza
tail,mkia
take,kuchukua
talk,majadiliano
tall,mrefu
teach,kufundisha
team,timu
teeth,meno
tell,kuwaambia
temperature,joto
ten,kumi
term,mrefu
test,mtihani
than,kuliko
thank,kuwashukuru
that,kwamba
the,akaonekana
their,yao
them,yao
then,kisha
there,huko
these,haya
they,wao
thick,nene
thin,nyembamba
thing,kitu
think,kufikiri
third,tatu
this,hii
those,wale
though,ingawa
thought,wazo
thousand,elfu
three,tatu
through,kupitia
throw,kutupa
thus,hivyo
tie,tie
time,wakati
tiny,vidogo
tire,tairi
to,kwa
together,pamoja
told,aliiambia
tone,tone
too,pia
took,alichukua
tool,chombo
top,juu
total,jumla
touch,kugusa
toward,kuelekea
town,mji
track,kufuatilia
trade,biashara
train,treni
travel,usafiri
tree,ya mti
triangle,pembetatu
trip,safari
trouble,shida
truck,lori
true,kweli
try,kujaribu
tube,tube
turn,upande
twenty,ishirini
two,mbili
type,aina
under,chini ya
unit,kitengo
until,mpaka
up,up
us,sisi
use,kutumia
usual,kawaida
valley,bonde
value,thamani
vary,kutofautiana
verb,kitenzi
very,sana
view,mtazamo
village,kijiji
visit,ziara
voice,sauti
vowel,vowel
wait,kusubiri
walk,kutembea
wall,ukuta
want,wanataka
war,vita
warm,joto
was,mara
wash,osha
watch,kuangalia
water,maji
wave,wimbi
way,njia
we,sisi
wear,kuvaa
weather,hali ya hewa
week,wiki
weight,uzito
well,vizuri
went,akaenda
were,walikuwa
west,magharibi
what,nini
wheel,gurudumu
when,wakati
where,ambapo
whether,kama
which,ambayo
while,wakati
white,nyeupe
who,ambao
whole,zima
whose,ambao
why,kwa nini
wide,pana
wife,mke
wild,pori
will,mapenzi
win,kushinda
wind,upepo
window,dirisha
wing,mrengo
winter,majira ya baridi
wire,waya
wish,unataka
with,kwa
woman,mwanamke
women,wanawake
wonder,ajabu
won’t,si
wood,mbao
word,neno
work,kazi
world,dunia
would,ingekuwa
write,kuandika
written,imeandikwa
wrong,makosa
wrote,aliandika
yard,yadi
year,mwaka
yellow,njano
yes,ndiyo
yet,bado
you,ninyi
young,vijana
your,yako
