english,azerbaijani
crowd,izdiham
cry,ağlamaq
current,cari
cut,cut
dad,dad
dance,dance
danger,təhlükə
dark,qaranlıq
day,gün
dead,ölü
deal,müqavilə
dear,əziz
death,ölüm
decide,qərar
decimal,decimal
deep,dərin
degree,dərəcə
depend,asılı
describe,təsvir
desert,səhra
design,dizayn
determine,müəyyən
develop,inkişaf
dictionary,lüğət
did,etdi
die,ölmək
differ,fərqlənir
difficult,çətin
direct,birbaşa
discuss,müzakirə etmək
distant,uzaq
divide,bölmək
division,bölmə
do,etmək
doctor,həkim
does,yoxdur
dog,dog
dollar,dollar
done,həyata
don’t,yoxdur
door,qapı
double,double
down,aşağı
draw,çəkmək
dream,yuxu
dress,don
drink,içki
drive,drive
drop,düşmək
dry,quru
duck,ördək
during,zamanı
each,hər
ear,qulaq
early,erkən
earth,torpaq
ease,azaltmaq
east,şərq
eat,yemək
edge,edge
effect,təsiri
egg,yumurta
eight,səkkiz
either,ya
electric,elektrik
element,element
else,başqa
end,son
enemy,düşmən
energy,enerji
engine,mühərrik
enough,kifayət qədər
enter,girmək
equal,bərabər
equate,eyniləşdirmək
especially,xüsusilə
even,hətta
evening,axşam
event,hadisə
ever,heç
every,hər
exact,dəqiq
example,misal
except,savayı
excite,salmaq
exercise,exercise
expect,gözləyirik
experience,təcrübə
experiment,təcrübə
eye,göz
face,face
fact,fakt
fair,ədalətli
fall,düşmək
family,ailə
famous,məşhur
far,uzaq
farm,təsərrüfat
fast,fast
fat,yağ
father,ata
favor,üstünlük
fear,qorxu
feed,yem
feel,hiss etmək
feet,feet
fell,düşdü
felt,keçə
few,bir neçə
field,sahəsində
fig,əncir
fight,mübarizə
figure,rəqəm
fill,doldurmaq
final,final
find,tapmaq
fine,gözəl
finger,barmaq
finish,rəngi
fire,yanğın
first,ilk
fish,balıq
fit,uyğun
five,beş
flat,düz
floor,mərtəbə
flow,axını
flower,gül
fly,uçmaq
follow,izləmək
food,qida
foot,ayaq
for,üçün
force,güc
forest,meşə
form,form
forward,irəli
found,aşkar
four,dörd
fraction,fraksiya
free,pulsuz
fresh,təzə
friend,dost
from,dən
front,ön
fruit,meyvə
full,dolğun
fun,fun
game,oyun
garden,bağ
gas,qaz
gather,toplamaq
gave,verdi
general,ümumi
gentle,incə
get,almaq
girl,girl
give,vermək
glad,şad
glass,şüşə
go,getmək
gold,qızıl
gone,getdi
good,yaxşı
got,var
govern,idarə
grand,grand
grass,ot
gray,boz
great,böyük
green,yaşıl
grew,artıb
ground,torpaq
group,qrup
grow,böyümək
guess,danışarlar
guide,yol
gun,top
had,idi
hair,saç
half,yarım
hand,əl
happen,baş
happy,xoşbəxt
hard,hard
has,var
hat,papaq
have,var
he,belə
head,baş
hear,eşitmək
heard,eşitdim
heart,ürək
heat,istilik
heavy,ağır
held,held
help,kömək
her,öz
here,burada
high,yüksək
hill,təpə
him,ona
his,onun
history,tarix
hit,hit
hold,saxlamaq
hole,hole
home,ev
hope,ümid
horse,at
hot,isti
hour,saat
house,ev
how,necə
huge,böyük
human,insan
hundred,yüz
hunt,ov
hurry,tələsmək
i,mən
ice,ice
idea,fikir
if,əgər
imagine,təsəvvür etmək
in,da
inch,inch
include,daxildir
indicate,göstərir
industry,sənaye
insect,həşərat
instant,ani
instrument,aləti
interest,faiz
invent,icad
iron,dəmir
is,edir
island,ada
it,vaxt
job,iş
join,qoşulmaq
joy,sevinc
jump,jump
just,yalnız
keep,saxlamaq
kept,saxlanılır
key,açar
kill,öldürmək
kind,cür
king,kral
knew,bilirdi
know,öyrənmək
lady,lady
lake,lake
land,torpaq
language,dil
large,böyük
last,sonuncu
late,gec
laugh,gülüş
law,hüquq
lay,lay
lead,qurğuşun
learn,öyrənmək
least,az
leave,tərk etmək
led,rəhbərlik
left,sol
leg,ayaq
length,uzunluğu
less,az
let,qoy
letter,məktub
level,səviyyəsi
lie,yalan
life,həyat
lift,lift
light,yüngül
like,kimi
line,line
liquid,maye
list,siyahısı
listen,qulaq asmaq
little,az
live,yaşamaq
locate,tapmaq
log,daxil
lone,tək
long,uzun
look,baxmaq
lost,itirilmiş
lot,çox
loud,yüksək
love,sevgi
low,aşağı
machine,maşın
made,etdi
magnet,maqnit
main,əsas
major,major
make,etmək
man,man
many,çox
map,map
mark,qiymət
market,bazar
mass,kütləvi
master,master
match,oyunu
material,material
matter,maddə
may,may
me,me
mean,orta
meant,nəzərdə
measure,ölçmək
meat,ət
meet,meet
melody,melody
men,men
metal,metal
method,üsul
middle,orta
might,bilər
mile,mile
milk,süd
million,milyon
mind,ağıl
mine,mina
minute,dəqiqə
miss,darıxmaq
mix,mix
modern,müasir
molecule,molekul
moment,an
money,pul
month,ay
moon,moon
more,daha
morning,səhər
most,ən
mother,ana
motion,motion
mount,mount
mountain,dağ
mouth,ağız
move,gediş
much,çox
multiply,çoxaltmaq
music,musiqi
must,lazımdır
my,mənim
name,adı
nation,millət
natural,təbii
nature,təbiət
near,yaxın
necessary,zəruri
neck,boyun
need,ehtiyac
neighbor,qonşu
never,heç
new,yeni
next,növbəti
night,gecə
nine,doqquz
no,heç bir
noise,səs
noon,günorta
nor,də
north,şimal
nose,burun
note,qeyd
nothing,heç bir şey
notice,bildiriş
noun,noun
now,indi
number,sayı
numeral,say
object,object
observe,müşahidə
occur,baş
ocean,ocean
of,və
off,off
offer,təklif
office,office
often,tez-tez
oh,oh
oil,neft
old,köhnə
on,on
once,bir dəfə
one,bir
only,yalnız
open,açıq
operate,fəaliyyət
opposite,qarşı
or,və ya
order,order
organ,orqan
original,orijinal
other,digər
our,bizim
out,həyata
over,üzərində
own,öz
oxygen,oksigen
page,səhifə
paint,boya
pair,cüt
paper,kağız
paragraph,maddə
parent,valideyn
part,hissə
particular,xüsusilə
party,party
pass,keçmək
past,keçmiş
path,yol
pattern,model
pay,maaş
people,xalq
perhaps,bəlkə
period,dövr
person,şəxs
phrase,söz
pick,yığmaq
picture,şəkil
piece,parça
pitch,meydança
place,yer
plain,düz
plan,plan
plane,təyyarə
planet,planet
plant,bitki
play,oynamaq
please,edin
plural,cəm
poem,şer
point,nöqtə
poor,yoxsul
populate,yaşayır
port,port
pose,yaradır
position,mövqeyi
possible,mümkün
post,post
pound,narınlamaq
power,güc
practice,praktika
prepare,hazırlamaq
present,hazırda
press,mətbuat
pretty,olduqca
print,çap
probable,ehtimal
problem,problem
process,proses
produce,istehsal
product,məhsul
proper,müvafiq
property,əmlak
protect,qorumaq
prove,sübut etmək
provide,təmin
pull,çəkmək
push,təkan
put,qoymaq
quart,quart
question,sual
quick,tez
quiet,sakit
quite,olduqca
quotient,quotient
race,irqi
radio,radio
rail,rail
rain,yağış
raise,qaldırmaq
ran,ran
range,məsafə
rather,deyil
reach,olmaq
read,oxumaq
ready,hazır
real,real
reason,səbəb
receive,almaq
record,rekord
red,qırmızı
region,rayon
remember,xatırlayıram
repeat,təkrar
reply,cavab
represent,təmsil
require,tələb
rest,istirahət
result,nəticə
rich,zəngin
ride,ride
right,sağ
ring,ring
rise,artacaq
river,çay
road,yol
rock,rock
roll,rulon
room,otaq
root,root
rope,kəndir
rose,gül
round,dəyirmi
row,sıra
rub,ovuşdurmaq
rule,qayda
run,run
safe,təhlükəsiz
said,bildirib
sail,sail
salt,duz
same,eyni
sand,qum
sat,sat
save,yadda saxla
saw,saw
say,demək
scale,miqyaslı
school,məktəb
science,elm
score,hesab
sea,dəniz
search,axtarış
season,mövsüm
seat,oturacaq
second,ikinci
section,bölmə
see,görmək
seed,toxum
seem,görünür
segment,segment
select,seçin
self,özü
sell,satmaq
send,göndərmək
sense,mənada
sent,göndərdi
sentence,cümlə
separate,ayrı-ayrı
serve,xidmət
set,dəst
settle,həll
seven,yeddi
several,bir neçə
shall,edilir
shape,forma
share,pay
sharp,kəskin
she,o
sheet,hesabatı
shell,shell
shine,parlaq
ship,gəmi
shoe,ayaqqabı
shop,shop
shore,shore
short,qısa
should,olmalıdır
shoulder,çiyin
shout,bağırmaq
show,göstərmək
side,side
sight,mənzərə
sign,bürc
silent,səssiz
silver,gümüş
similar,oxşar
simple,sadə
since,ildən
sing,oxumaq
single,tək
sister,bacı
sit,oturmaq
six,altı
size,ölçüsü
skill,bacarıq
skin,dəri
sky,sky
slave,qul
sleep,yuxu
slip,slip
slow,yavaş
small,kiçik
smell,iy
smile,smile
snow,qar
so,belə
soft,yumşaq
soil,torpaq
soldier,əsgər
solution,həll
solve,həll
some,bəzi
son,son
song,mahnı
soon,tezliklə
sound,səs
south,cənub
space,space
speak,danışmaq
special,xüsusi
speech,çıxış
speed,sürət
spell,sehr
spend,sərf
spoke,danışıb
spot,ləkə
spread,yaymaq
spring,yaz
square,kvadrat
stand,durmaq
star,star
start,start
state,dövlət
station,stansiya
stay,qalmaq
stead,teminatımızı
steam,buxar
steel,polad
step,addım
stick,stick
still,hələ
stone,daş
stood,qalxdı
stop,dayandırmaq
store,mağaza
story,hekayə
straight,düz
strange,qəribə
stream,stream
street,küçə
stretch,uzatmaq
string,string
strong,güclü
student,tələbə
study,təhsil
subject,mövzu
substance,maddə
subtract,çıxmaq
success,uğur
such,belə
sudden,ani
suffix,şəkilçi
sugar,şəkər
suggest,gəlir
suit,kostyum
summer,yay
sun,sun
supply,təchizatı
support,dəstək
sure,əmin
surface,yerüstü
surprise,sürpriz
swim,swim
syllable,heca
symbol,simvolu
system,sistemi
table,masa
tail,quyruq
take,almaq
talk,danışmaq
tall,hündür
teach,öyrətmək
team,team
teeth,diş
tell,demək
temperature,temperatur
ten,on
term,müddət
test,test
than,daha
thank,thank
that,o
the,bu
their,onların
them,onlara
then,sonra
there,orada
these,bu
they,onlar
thick,qalın
thin,nazik
thing,şey
think,düşünmək
third,üçüncü
this,bu
those,o
though,baxmayaraq
thought,fikir
thousand,min
three,üç
through,vasitəsilə
throw,atmaq
thus,beləliklə
tie,bağlamaq
time,vaxt
tiny,miniatür
tire,şin
to,qədər
together,birlikdə
told,bildirib
tone,ton
too,çox
took,aldı
tool,alət
top,üst
total,ümumi
touch,toxunmaq
toward,doğru
town,şəhər
track,track
trade,ticarət
train,qatar
travel,səyahət
tree,ağac
triangle,üçbucaq
trip,səfər
trouble,narahatlıq
truck,yük maşını
true,doğru
try,çalışmaq
tube,tube
turn,çevirmək
twenty,iyirmi
two,iki
type,növü
under,altında
unit,vahid
until,qədər
up,up
us,us
use,istifadə
usual,adi
valley,valley
value,dəyəri
vary,dəyişir
verb,verb
very,çox
view,view
village,kənd
visit,səfər
voice,səs
vowel,sait
wait,gözləyin
walk,gəzmək
wall,divar
want,istəyirəm
war,müharibə
warm,isti
was,idi
wash,yuma
watch,izləmək
water,su
wave,dalğa
way,yol
we,biz
wear,taxmaq
weather,hava
week,həftə
weight,çəki
well,quyu
went,getdi
were,idi
west,qərb
what,nə
wheel,tam
when,zaman
where,harada
whether,olub
which,hansı
while,isə
white,ağ
who,kim
whole,bütün
whose,kimin
why,niyə
wide,geniş
wife,arvad
wild,vəhşi
will,olacaq
win,qazanmaq
wind,külək
window,pəncərə
wing,qanad
winter,qış
wire,tel
wish,arzu
with,ilə
woman,qadın
women,qadın
wonder,görəsən
won’t,deyil
wood,ağac
word,word
work,iş
world,dünya
would,ki
write,yazmaq
written,yazılı
wrong,yanlış
wrote,yazdı
yard,yard
year,il
yellow,sarı
yes,bəli
yet,hələ
you,siz
young,gənc
your,sizin
