english,mongolian
include,оруулах
indicate,харуулж байна
industry,аж үйлдвэрийн
insect,шавьж
instant,шуурхай
instrument,арга хэрэгсэл
interest,хүү
invent,зохион бүтээх
iron,төмрийн
is,нь
island,арал
it,энэ нь
job,ажил
join,нэгдэхийг
joy,баяр хөөр
jump,үсрэх
just,зүгээр л
keep,байлгах
kept,хадгалах
key,гол
kill,алах
kind,төрөл
king,хаан
knew,мэдэж байсан
know,мэдэх
lady,эмэгтэй
lake,нүүр
land,газар
language,хэл
large,их хэмжээний
last,өнгөрсөн
late,сүүлээр
laugh,инээд
law,хууль
lay,тавих
lead,хүргэдэг
learn,сурах
least,наад зах нь
leave,орхих
led,удирдуулсан
left,зүүн
leg,хөлөө
length,урт
less,бага
let,зөвшөөрөх
letter,бичиг
level,түвшин
lie,худал
life,амьдрал
lift,өргөгч
light,гэрэл
like,шиг
line,мөр нь
liquid,шингэн
list,жагсаалт
listen,сонсох
little,бага
live,амьдарч байна
locate,олох
log,гуалин
lone,цорын ганц
long,урт
look,харах
lost,алдагдсан
lot,маш их
loud,чанга
love,хайр
low,бага
machine,машин
made,хийсэн
magnet,соронз
main,үндсэн
major,гол
make,хийх
man,хүн
many,олон
map,газрын зураг
mark,тэмдэг
market,зах зээлийн
mass,олон нийтийн
master,мастер
match,хүсч байгаа эд зүйлс
material,материал
matter,асуудал
may,болох
me,намайг
mean,гэсэн үг
meant,гэсэн үг
measure,хэмжих
meat,мах
meet,хангасан
melody,аялгуу
men,эрэгтэй
metal,металл
method,арга
middle,дунд
might,байж болох юм
mile,милийн
milk,сүү
million,сая
mind,оюун ухаан
mine,уул уурхайн
minute,минут
miss,өнгөрөөх
mix,холино
modern,орчин үеийн
molecule,молекул
moment,мөч
money,мөнгө
month,сарын
moon,сар
more,дэлгэрэнгүй
morning,өглөө
most,хамгийн их
mother,ээж нь
motion,хөдөлгөөн
mount,холбох
mountain,уулын
mouth,агшин
move,алхам
much,маш их
multiply,үржүүлэх
music,дуу хөгжим
must,байх ёстой
my,миний
name,нэр
nation,улс орон
natural,байгалийн
nature,мөн чанар
near,ойролцоо
necessary,шаардлагатай
neck,хүзүү
need,хэрэгтэй
neighbor,хөрш
never,хэзээ ч
new,шинэ
next,дараагийн
night,шөнө
nine,есөн
no,ямар ч
noise,дуу чимээ
noon,үд
nor,ч
north,хойд
nose,хамар
note,тэмдэглэл
nothing,юу ч биш
notice,мэдээлэл
noun,нэр үг
now,яг одоо
number,тоо
numeral,тооны нэр
object,объект
observe,ажиглах
occur,тохиолддог
ocean,далай
of,-ийн
off,унтраах
offer,санал болгох
office,оффис
often,нь ихэвчлэн
oh,өө
oil,газрын тос
old,хуучин
on,дээр
once,нэг удаа
one,нэг
only,нь зөвхөн
open,нээлттэй
operate,үйл ажиллагаа явуулах
opposite,эсрэг
or,буюу
order,зэрэг
organ,байгууллага
original,эх
other,бусад
our,манай
out,гарах
over,дээр
own,өөрийн
oxygen,хүчилтөрөгчийн
page,хуудас
paint,будаг
pair,хос
paper,цаас
paragraph,догол
parent,"эцэг, эх"
part,хэсэг
particular,ялангуяа
party,нам
pass,өнгөрөх
past,өнгөрсөн
path,зам
pattern,хэв маяг
pay,төлөх
people,хүн
perhaps,магадгүй
period,хугацаа
person,хүн
phrase,өгүүлбэр
pick,түүх
picture,зураг
piece,хэсэг
pitch,давирхай
place,газар
plain,энгийн
plan,төлөвлөгөө
plane,нисэх онгоц
planet,гариг
plant,ургамал
play,тоглох
please,үү
plural,олон тооны
poem,шүлэг
point,цэг
poor,ядуу
populate,нутагшуулах
port,порт
pose,загвар
position,албан тушаал
possible,аль болох
post,дараах
pound,фунт
power,эрчим хүч
practice,практик
prepare,бэлтгэх
present,өнөөгийн
press,гэж сонгоод
pretty,нэлээн
print,хэвлэх
probable,магадлалтай
problem,асуудал
process,үйл явц
produce,үйлдвэрлэх
product,бүтээгдэхүүн
proper,зөв
property,үл хөдлөх хөрөнгийн
protect,"хамгаалах,"
prove,нотлох
provide,өгөх
pull,татах
push,түлхэх
put,тавих
quart,quart
question,асуулт
quick,хурдан
quiet,нам гүм
quite,яг
quotient,коэффицентийг
race,уралдаан
radio,радио
rail,төмөр замын
rain,бороо
raise,өсөлт
ran,гүйж
range,хүрээ
rather,харин
reach,хүрэх
read,уншсан
ready,бэлэн
real,бодит
reason,шалтгаан нь
receive,хүлээн авах
record,бичлэг
red,улаан
region,бүс нутаг
remember,санаж
repeat,давтан
reply,хариулах
represent,төлөөлөх
require,шаардлагатай
rest,бусад нь
result,үр дүн
rich,баян
ride,явах
right,эрх
ring,бөгж
rise,босох
river,голын
road,авто зам
rock,чулуулгийн
roll,өнхрөх
room,өрөө
root,эх
rope,олс
rose,өссөн
round,дугуй
row,эгнээ
rub,урэх
rule,дүрэм
run,урсгал
safe,аюулгүй
said,гэж хэлсэн
sail,онгоцны далбаа
salt,давс
same,нэг
sand,"элс,"
sat,орохдоо
save,хадгалах
saw,харсан
say,гэж хэлэх
scale,хэмжээний
school,сургууль
science,шинжлэх ухаан
score,оноо
sea,далайн
search,хайлт
season,улирал
seat,суудал
second,хоёр дахь
section,хэсэг
see,-г үзнэ үү
seed,үрийн
seem,шиг санагддаг
segment,хэсэг
select,гэж сонгоод
self,өөрөө
sell,борлуулах
send,илгээх
sense,мэдрэмж
sent,илгээсэн
sentence,өгүүлбэр
separate,тус тусад нь
serve,үйлчлэх
set,багц
settle,барагдуулах
seven,долоон
several,хэд хэдэн
shall,болно
shape,хэлбэр
share,эзлэх хувь
sharp,хурц
she,тэр
sheet,хуудас
shell,бүрхүүл
shine,гэрэл
ship,хөлөг онгоц
shoe,гутал
shop,дэлгүүр
shore,эрэг
short,богино
should,байх ёстой
shoulder,мөрөн
shout,орө
show,шоу
side,тал
sight,нүдний хараа
sign,тэмдэг
silent,чимээгүй
silver,мөнгөн
similar,ижил төстэй
simple,энгийн
since,учир нь
sing,дуулах
single,нэг
sister,эгч
sit,суух
six,зургаан
size,хэмжээ
skill,ур чадвар
skin,арьс
sky,тэнгэр
slave,боол
sleep,унтах
slip,хуудас
slow,удаан
small,жижиг
smell,үнэр
smile,инээмсэглэл
snow,цас
so,тийм
soft,зөөлөн
soil,хөрс
soldier,цэрэг
solution,үүний шийдэл нь
solve,шийдвэрлэх
some,зарим нь
son,хүү
song,дуу
soon,удахгүй
sound,сонсогдож
south,урд
space,орон зай
speak,үг хэлэх
special,тусгай
speech,хэл яриа
speed,хурд
spell,ид шид
spend,зарцуулах
spoke,ярьсан
spot,спот
spread,тархах
spring,хавар
square,дөрвөлжин
stand,зогсож
star,од
start,эхлэл
state,улсын
station,газар
stay,байх
stead,үүний оронд
steam,уурын
steel,ган
step,алхам
stick,мод
still,хэвээр
stone,чулуу
stood,зогсов
stop,зогсоох
store,дэлгүүр
story,түүх
straight,шулуун
strange,хачин
stream,гол
street,"гудамж,"
stretch,сунгах
string,мөр
strong,хүчтэй
student,оюутан
study,судалгаа
subject,хичээл
substance,бодис
subtract,хасах
success,амжилт
such,зэрэг
sudden,гэнэт
suffix,дагавар
sugar,"элсэн чихэр,"
suggest,санал болгож байна
suit,нэхэмжлэл
summer,зуны
sun,нар
supply,хангамж
support,дэмжлэг үзүүлэх
sure,байгаа эсэхийг
surface,газрын гадаргын
surprise,гайхуулах
swim,усанд сэлж
syllable,үет
symbol,тэмдэг
system,систем
table,хүснэгт
tail,сүүл
take,барих
talk,хэлэлцүүлэг
tall,өндөр
teach,заах
team,баг
teeth,шүд
tell,хэлэх
temperature,температур
ten,арван
term,цаг
test,туршилтын
than,илүү
thank,талархлын
that,гэж
the,олон тоо
their,тэдний
them,тэднийг
then,дараа нь
there,энд
these,эдгээр
they,тэд
thick,зузаан
thin,нимгэн
thing,зүйл
think,гэж боддог
third,гурав дахь
this,энэ нь
those,тэдгээр
though,хэдийгээр
thought,гэж бодсон
thousand,мянган
three,гурван
through,дамжуулан
throw,хаях
thus,ийн
tie,зангиа
time,цаг
tiny,жижигхэн
tire,дугуй
to,нь
together,хамтдаа
told,гэж хэлсэн
tone,ая
too,мөн
took,авч
tool,арга хэрэгсэл
top,дээд
total,нийт
touch,барих
toward,рүү
town,хот
track,зам
trade,гадаад худалдааны
train,галт тэрэг
travel,аялал жуулчлалын
tree,мод
triangle,гурвалжин
trip,аялал
trouble,гай
truck,ачааны машин
true,үнэн
try,оролдох
tube,хоолой
turn,ээлж
twenty,хорин
two,хоёр
type,төрөл
under,дагуу
unit,нэгж
until,хүртэл
up,дээр
us,ану-ын
use,ашиглах
usual,ердийн
valley,хөндий
value,үнэ цэнэ
vary,өөр өөр
verb,үйл үг
very,маш их
view,харах
village,тосгон
visit,айлчлал
voice,дуу хоолой
vowel,эгшиг
wait,хүлээх
walk,алхах
wall,ханын
want,хүсэж байна
war,дайн
warm,дулаан
was,байсан
wash,угаалгын
watch,харах
water,ус
wave,долгионы
way,арга зам
we,бид
wear,өмсөж
weather,цаг агаар
week,долоо хоног
weight,жин
well,сайн
went,явав
were,байсан
west,баруун тийш
what,ямар
wheel,дугуй
when,үед
where,хаана
whether,эсэх
which,нь
while,харин
white,цагаан
who,хүн
whole,бүхэлд нь
whose,нь
why,яагаад
wide,өргөн
wife,эхнэр
wild,зэрлэг
will,нь
win,хожил
wind,салхины
window,цонх
wing,жигүүр
winter,өвөл
wire,утас
wish,хүсвэл
with,нь
woman,эмэгтэй
women,эмэгтэйчүүд
wonder,гайхдаг
won’t,тийм юм байхгүй
wood,мод
word,үг
work,ажил
world,дэлхийн
would,тэр нь
write,бичих
written,бичсэн
wrong,буруу
wrote,бичсэн
yard,талбай
year,жил
yellow,шар
yes,хэрэв тийм бол
yet,одоогоор
you,хэрэв та
young,залуу
your,таны
