english,bosnian
experience,iskustvo
experiment,eksperiment
eye,eye
face,lice
fact,činjenica
fair,fair
fall,pasti
family,obiteljska
famous,poznati
far,sada
farm,farm
fast,brzo
fat,mast
father,otac
favor,favorizuje
fear,straha
feed,hraniti
feel,osjećaju
feet,stopala
fell,pao
felt,osećao
few,nekoliko
field,terenu
fig,smokva
fight,borba
figure,slika
fill,popuniti
final,konačne
find,naći
fine,u redu
finger,prst
finish,završi
fire,požara
first,prvi
fish,ribe
fit,odgovarati
five,pet
flat,stan
floor,kat
flow,protok
flower,flower
fly,fly
follow,slijediti
food,hrane
foot,stopala
for,za
force,snagu
forest,forest
form,oblik
forward,naprijed
found,pronađeno
four,četiri
fraction,frakcija
free,free
fresh,svježe
friend,prijatelj
from,iz
front,prednji
fruit,voća
full,punu
fun,zabava
game,igra
garden,vrt
gas,gas
gather,okupljaju
gave,dao
general,general
gentle,blagim
get,dobiti
girl,girl
give,daju
glad,zadovoljan
glass,staklo
go,ići
gold,zlato
gone,gone
good,dobro
got,dobio
govern,upravljaju
grand,grand
grass,trave
gray,siva
great,veliki
green,zelena
grew,rastao
ground,terenu
group,group
grow,raste
guess,valjda
guide,guide
gun,pištolj
had,imao
hair,kosu
half,pola
hand,ruku
happen,dogoditi
happy,sretan
hard,tvrd
has,ima
hat,šešir
have,imaju
he,on
head,glava
hear,čuti
heard,čuo
heart,srce
heat,toplota
heavy,heavy
held,held
help,pomoći
her,nju
here,ovdje
high,visok
hill,hill
him,ga
his,svoje
history,istorija
hit,hit
hold,držite
hole,rupa
home,početna
hope,nadam se da
horse,konja
hot,hot
hour,sata
house,kuća
how,kako
huge,ogromna
human,ljudskih
hundred,stotinu
hunt,hunt
hurry,požuri
i,ja
ice,ice
idea,ideja
if,ako je
imagine,zamislite
in,u
inch,inča
include,uključuju
indicate,ukazuju
industry,industriju
insect,insekata
instant,instant
instrument,instrument
interest,interesa
invent,izmišljati
iron,željeza
is,je
island,otok
it,to
job,posao
join,pristupiti
joy,joy
jump,skočiti
just,samo
keep,zadržati
kept,čuva
key,ključ
kill,ubiti
kind,vrste
king,kralj
knew,znao
know,znam
lady,lady
lake,jezera
land,zemljišta
language,jezik
large,velike
last,zadnji
late,krajem
laugh,laugh
law,zakon
lay,ležala
lead,vodi
learn,uče
least,najmanje
leave,ostaviti
led,na čelu
left,lijevo
leg,nogu
length,dužina
less,manje
let,neka
letter,pismo
level,nivo
lie,laž
life,život
lift,lift
light,svjetlo
like,kao što
line,line
liquid,tekućina
list,popis
listen,slušati
little,malo
live,živjeti
locate,locirati
log,log
lone,lone
long,duga
look,pogledaj
lost,izgubio
lot,mnogo
loud,glasno
love,love
low,niska
machine,mašina
made,napravio
magnet,magnet
main,glavni
major,glavni
make,napraviti
man,man
many,mnogim
map,karta
mark,mark
market,tržište
mass,mase
master,master
match,meč
material,materijala
matter,pitanje
may,može
me,me
mean,znači
meant,značilo
measure,izmjeriti
meat,meso
meet,meet
melody,melody
men,muškarci
metal,metala
method,metoda
middle,srednji
might,možda
mile,mile
milk,mlijeka
million,milijuna
mind,uma
mine,mine
minute,minute
miss,promašaj
mix,mix
modern,moderne
molecule,molekula
moment,trenutak
money,novac
month,mjesec
moon,moon
more,više
morning,jutro
most,većina
mother,majka
motion,motion
mount,mount
mountain,planine
mouth,usta
move,potez
much,mnogo
multiply,pomnožite
music,glazba
must,mora
my,moj
name,ime
nation,nacije
natural,prirodni
nature,prirode
near,u blizini
necessary,potrebno
neck,vrat
need,treba
neighbor,susjed
never,nikada
new,novi
next,sljedeći
night,noć
nine,devet
no,ne
noise,buke
noon,podne
nor,ni
north,north
nose,nos
note,note
nothing,ništa
notice,najave
noun,imenica
now,sada
number,broj
numeral,brojka
object,objekta
observe,poštuju
occur,doći
ocean,ocean
of,od
off,off
offer,ponuda
office,ured
often,često
oh,oh
oil,ulja
old,staro
on,na
once,jednom
one,jedan
only,samo
open,open
operate,rade
opposite,suprotno
or,ili
order,kako bi
organ,organ
original,original
other,druge
our,našim
out,out
over,više
own,vlastitih
oxygen,kisika
page,stranicu
paint,bojiti
pair,par
paper,papira
paragraph,stava
parent,roditelj
part,dio
particular,posebno
party,stranka
pass,prolaze
past,prošlost
path,put
pattern,obrazac
pay,platiti
people,ljudi
perhaps,možda
period,periodu
person,osoba
phrase,frazu
pick,pick
picture,slika
piece,komad
pitch,pitch
place,mjesto
plain,plain
plan,plan
plane,avion
planet,planet
plant,postrojenja
play,igrati
please,molim
plural,množini
poem,pesma
point,tačka
poor,loše
populate,naseliti
port,port
pose,pose
position,položaj
possible,moguć
post,post
pound,pound
power,snaga
practice,praksi
prepare,pripremi
present,prisutni
press,pritisnite
pretty,prilično
print,print
probable,vjerojatno
problem,problem
process,proces
produce,proizvode
product,proizvod
proper,pravi
property,imovinu
protect,štite
prove,dokazati
provide,pružaju
pull,povući
push,push
put,put
quart,quart
question,pitanje
quick,brzo
quiet,mirna
quite,sasvim
quotient,kvocijent
race,rase
radio,radio
rail,rail
rain,kiše
raise,podizanje
ran,ran
range,raspon
rather,radije
reach,dostići
read,čitati
ready,spreman
real,real
reason,razlog
receive,primaju
record,zapis
red,crvena
region,regija
remember,zapamtite
repeat,ponavljanja
reply,odgovori
represent,predstavljaju
require,zahtijevaju
rest,ostalo
result,rezultat
rich,bogata
ride,ride
right,pravo
ring,ring
rise,rasti
river,river
road,putu
rock,rock
roll,roll
room,soba
root,root
rope,rope
rose,ruža
round,okrugli
row,red
rub,rub
rule,pravilo
run,run
safe,sigurno
said,", rekao je"
sail,sail
salt,soli
same,isto
sand,pijesak
sat,sat
save,spasiti
saw,testera
say,kažu
scale,skale
school,škole
science,nauke
score,rezultat
sea,more
search,pretraga
season,sezona
seat,sjedište
second,drugi
section,odjeljku
see,vidjeti
seed,sjemena
seem,izgleda
segment,segment
select,odaberite
self,self
sell,prodati
send,pošalji
sense,smislu
sent,poslao
sentence,kazna
separate,odvojena
serve,služe
set,set
settle,izmirenje
seven,sedam
several,nekoliko
shall,će
shape,oblik
share,share
sharp,oštre
she,ona
sheet,list
shell,shell
shine,sjaj
ship,brod
shoe,cipela
shop,shop
shore,shore
short,ukratko
should,treba
shoulder,ramena
shout,shout
show,show
side,strani
sight,vida
sign,znak
silent,silent
silver,srebro
similar,slično
simple,jednostavna
since,s obzirom
sing,pjevati
single,jedan
sister,sestra
sit,sjediti
six,šest
size,veličina
skill,vještina
skin,kože
sky,sky
slave,slave
sleep,spavanje
slip,slip
slow,spor
small,male
smell,miris
smile,smile
snow,snijeg
so,tako
soft,soft
soil,zemljišta
soldier,vojnik
solution,rješenje
solve,riješiti
some,neki
son,sina
song,song
soon,uskoro
sound,zvuk
south,jug
space,prostora
speak,govori
special,posebnim
speech,govora
speed,brzina
spell,piše
spend,potrošiti
spoke,krakova
spot,mjesto
spread,namaz
spring,proljeće
square,trg
stand,stand
star,star
start,početak
state,države
station,stanice
stay,ostati
stead,stead
steam,pare
steel,čelika
step,korak
stick,stick
still,još
stone,kamena
stood,stajao
stop,zaustaviti
store,store
story,priča
straight,straight
strange,čudno
stream,stream
street,street
stretch,stretch
string,string
strong,jaka
student,student
study,studija
subject,predmet
substance,supstance
subtract,oduzmite
success,uspjeh
such,kao što
sudden,naglo
suffix,sufiks
sugar,šećera
suggest,ukazuju
suit,odijelo
summer,ljeto
sun,sunce
supply,napajanja
support,podrška
sure,siguran
surface,površinu
surprise,iznenađenje
swim,swim
syllable,slog
symbol,simbol
system,sustav
table,stol
tail,rep
take,uzeti
talk,razgovor
tall,visok
teach,naučiti
team,team
teeth,zubi
tell,reci
temperature,temperature
ten,deset
term,termin
test,test
than,od
thank,thank
that,da
the,u
their,svoje
them,ih
then,onda
there,postoji
these,ove
they,oni
thick,debljine
thin,tanka
thing,stvar
think,mislim
third,treći
this,ovo
those,te
though,iako
thought,mislio
thousand,hiljada
three,tri
through,kroz
throw,baciti
thus,na taj način
tie,tie
time,vrijeme
tiny,maleni
tire,gume
to,u
together,zajedno
told,rekao
tone,ton
too,previše
took,uzeo
tool,alat
top,top
total,ukupno
touch,dodirnite
toward,ka
town,grad
track,track
trade,trgovinu
train,voz
travel,putovanja
tree,stablo
triangle,trokut
trip,putovanje
trouble,nevolje
truck,kamion
true,istina
try,pokušati
tube,tube
turn,red
twenty,dvadeset
two,dva
type,tip
under,pod
unit,jedinica
until,do
up,up
us,nas
use,koristiti
usual,uobičajeni
valley,dolina
value,vrijednost
vary,variraju
verb,glagol
very,vrlo
view,pogledaj
village,sela
visit,posjeti
voice,glas
vowel,samoglasnik
wait,čekati
walk,hoda
wall,zid
want,želim
war,rat
warm,toplo
was,je
wash,pranje
watch,gledati
water,vode
wave,wave
way,način
we,smo
wear,nose
weather,vrijeme
week,sedmica
weight,težina
well,dobro
went,otišao
were,bili
west,west
what,ono što
wheel,kotača
when,kada
where,gdje
whether,da li je
which,koja
while,a
white,bela
who,koji
whole,cijeli
whose,čije
why,zašto
wide,širok
wife,supruga
wild,wild
will,će
win,win
wind,vjetar
window,prozor
wing,krilo
winter,zime
wire,žice
wish,žele
with,s
woman,žena
women,žene
wonder,pitam
won’t,neće
wood,drvo
word,reč
work,rada
world,svijetu
would,bi
write,pišu
written,pisani
wrong,u redu
wrote,napisao
yard,dvorište
year,godine
yellow,žut
yes,da
yet,još
you,te
young,mladi
your,svoje
