english,macedonian
law,закон
lay,постават
lead,доведе
learn,научат
least,најмалку
leave,напушти
led,доведе
left,остави
leg,нога
length,должина
less,помалку
let,нека
letter,писмо
level,ниво
lie,лага
life,живот
lift,лифт
light,светлината
like,како
line,линија
liquid,течност
list,листа
listen,слушате
little,малку
live,живеат
locate,лоцирајте
log,се логирате
lone,осамен
long,долг
look,погледнете
lost,изгубени
lot,многу
loud,гласно
love,љубов
low,ниска
machine,машина
made,направени
magnet,магнет
main,главната
major,големи
make,направи
man,човек
many,многу
map,мапа
mark,знак
market,пазарот
mass,маса
master,господар
match,натпревар
material,материјал
matter,прашање
may,може
me,ме
mean,значи
meant,значеше
measure,мерење на
meat,месо
meet,задоволат
melody,мелодијата
men,мажи
metal,метал
method,метод
middle,средината
might,би можеле да
mile,милја
milk,млеко
million,милиони
mind,ум
mine,рудникот
minute,минута
miss,мис
mix,се меша
modern,модерен
molecule,молекула
moment,момент
money,пари
month,месец
moon,месечината
more,повеќе
morning,наутро
most,повеќето
mother,мајка
motion,движење
mount,монтирање
mountain,планински
mouth,устата
move,потег
much,многу
multiply,мултиплицираат
music,музика
must,мора
my,мојата
name,име
nation,нација
natural,природни
nature,природата
near,во близина
necessary,потребно
neck,вратот
need,треба
neighbor,сосед
never,никогаш
new,нови
next,следна
night,ноќ
nine,девет
no,нема
noise,бучава
noon,пладне
nor,ниту пак
north,северна
nose,носот
note,белешка
nothing,ништо
notice,најава
noun,именка
now,сега
number,број
numeral,броеви
object,објект
observe,набљудуваат
occur,се случи
ocean,океанот
of,на
off,надвор
offer,понуда
office,канцеларија
often,често
oh,ох
oil,масло
old,стари
on,на
once,еднаш
one,еден
only,само
open,отворен
operate,работи
opposite,спротивно
or,или
order,цел
organ,орган
original,оригинални
other,други
our,нашите
out,надвор
over,повеќе
own,сопствени
oxygen,кислород
page,страница
paint,слика
pair,пар
paper,хартија
paragraph,став
parent,родител
part,дел
particular,особено
party,партија
pass,помине
past,минатото
path,пат
pattern,модел
pay,плати
people,луѓе
perhaps,можеби
period,период
person,лице
phrase,фраза
pick,изберете
picture,слика
piece,парче
pitch,теренот
place,место
plain,обичен
plan,план
plane,авион
planet,планетата
plant,растенија
play,игра
please,ве молиме
plural,множина
poem,песна
point,точка
poor,сиромашните
populate,доверат
port,порт
pose,претставува
position,позиција
possible,можно
post,пост
pound,фунти
power,моќ
practice,пракса
prepare,подготви
present,моментов
press,прес-
pretty,прилично
print,печатење
probable,веројатно
problem,проблемот
process,процес
produce,производство на
product,производ
proper,соодветна
property,сопственост
protect,заштита на
prove,докаже
provide,обезбеди
pull,повлече
push,притисни
put,стави
quart,кварта
question,прашање
quick,брзо
quiet,тивка
quite,доста
quotient,количник
race,трка
radio,радио
rail,железнички
rain,дожд
raise,подигне
ran,трчаше
range,опсег
rather,наместо
reach,достигне
read,чита
ready,подготвени
real,вистински
reason,причина
receive,добијат
record,рекорд
red,црвена
region,регионот
remember,се сеќавам
repeat,повторување
reply,одговори
represent,претставуваат
require,бараат
rest,одмор
result,резултат
rich,богата
ride,возење
right,право
ring,прстен
rise,зголеми
river,река
road,патот
rock,рок
roll,ролна
room,соба
root,корен
rope,јаже
rose,зголеми
round,круг
row,ред
rub,бришење
rule,правило
run,бегство
safe,безбедно
said,рече
sail,едро
salt,сол
same,исто
sand,песок
sat,са
save,спаси
saw,видов
say,велат
scale,скала
school,училиште
science,науката
score,резултат
sea,море
search,барај
season,сезона
seat,седиште
second,вториот
section,секција
see,види
seed,семе
seem,изгледа
segment,сегмент
select,изберете
self,само
sell,продаде
send,испрати
sense,смисла
sent,испрати
sentence,казна
separate,посебна
serve,служат
set,сет
settle,се спогоди
seven,седум
several,повеќе
shall,треба
shape,форма
share,удел
sharp,остри
she,таа
sheet,лист
shell,школка
shine,сјај
ship,брод
shoe,чевли
shop,продавница
shore,брегот
short,краток
should,треба
shoulder,рамо
shout,извик
show,шоу
side,страна
sight,вид
sign,знак
silent,молчи
silver,сребро
similar,слични
simple,едноставен
since,од
sing,пее
single,еден
sister,сестра
sit,седат
six,шест
size,големина
skill,вештина
skin,кожа
sky,небото
slave,роб
sleep,спиење
slip,се лизга
slow,бавен
small,мали
smell,мирисот
smile,насмевка
snow,снег
so,така
soft,мека
soil,почвата
soldier,војник
solution,решение
solve,реши
some,некои
son,син
song,песна
soon,наскоро
sound,звучи
south,југ
space,простор
speak,зборуваат
special,специјални
speech,говор
speed,брзина
spell,магија
spend,поминат
spoke,зборуваше
spot,место
spread,шири
spring,пролет
square,плоштад
stand,стојат
star,ѕвезда
start,почеток
state,состојба
station,станица
stay,остане
stead,наместо
steam,пареа
steel,челик
step,чекор
stick,стап
still,уште
stone,камен
stood,стоеше
stop,престанат
store,продавница
story,приказна
straight,директно
strange,чудно
stream,поток
street,улица
stretch,се водат
string,низа
strong,силна
student,студент
study,студија
subject,предмет
substance,супстанција
subtract,одземе
success,успех
such,како
sudden,одеднаш
suffix,суфиксот
sugar,шеќер
suggest,укажуваат
suit,костум
summer,лето
sun,сонцето
supply,снабдување
support,поддршка
sure,сигурни
surface,површината
surprise,изненадување
swim,пливање
syllable,слог
symbol,симбол
system,систем
table,маса
tail,опашка
take,се
talk,разговор
tall,висок
teach,учат
team,тимот
teeth,заби
tell,кажете
temperature,температура
ten,десет
term,терминот
test,тест
than,од
thank,благодарам
that,дека
the,на
their,нивните
them,ги
then,тогаш
there,постојат
these,овие
they,тие
thick,дебели
thin,тенка
thing,работа
think,мислам
third,третиот
this,овој
those,оние
though,иако
thought,мисли
thousand,илјади
three,три
through,преку
throw,фрли
thus,на тој начин
tie,вратоврска
time,време
tiny,мали
tire,гуми
to,да
together,заедно
told,изјави
tone,тон
too,премногу
took,се
tool,алатка
top,врвот
total,вкупно
touch,допир
toward,кон
town,градот
track,песна
trade,трговија
train,воз
travel,патување
tree,дрво
triangle,триаголник
trip,патување
trouble,проблеми
truck,камион
true,вистински
try,се обиде
tube,цевка
turn,возврат
twenty,дваесет
two,две
type,тип
under,под
unit,единица
until,до
up,до
us,нас
use,употреба
usual,вообичаената
valley,долина
value,вредност
vary,се разликуваат
verb,глагол
very,многу
view,поглед
village,село
visit,посета
voice,глас
vowel,самогласка
wait,чекаат
walk,прошетка
wall,ѕид
want,сакате
war,војна
warm,топла
was,беше
wash,миење
watch,види
water,вода
wave,бран
way,начин
we,ние
wear,носат
weather,ваков
week,недела
weight,тежина
well,добро
went,отиде
were,беа
west,запад
what,што
wheel,на тркала
when,кога
where,каде
whether,дали
which,кои
while,а
white,бело
who,кои
whole,целата
whose,чија
why,зошто
wide,широк
wife,сопруга
wild,диви
will,ќе
win,победа
wind,ветер
window,прозорец
wing,крило
winter,зима
wire,жица
wish,сакаат
with,со
woman,жена
women,жени
wonder,се прашувам
won’t,нема
wood,дрво
word,збор
work,работа
world,светот
would,би
write,пишува
written,писмено
wrong,ред
wrote,напиша
yard,двор
year,година
yellow,жолта
yes,да
yet,уште
you,ќе
young,млади
your,вашиот
