english,kinyarwanda
correct,ikosore
cost,igiciro
cotton,ipamba
could,ashoboye
count,kubara
country,igihugu
course,amasomo
cover,igifuniko
cow,inka
crease,igikoma
create,kurema
crop,imyaka
cross,umusaraba
crowd,imbaga
cry,kurira
current,ikigezweho
cut,gukata
dad,papa
dance,kubyina
danger,akaga
dark,umwijima
day,umunsi
dead,yapfuye
deal,amasezerano
dear,nshuti
death,urupfu
decide,fata umwanzuro
decimal,icumi
deep,byimbitse
degree,impamyabumenyi
depend,biterwa
describe,sobanura
desert,ubutayu
design,igishushanyo
determine,menya
develop,kwiteza imbere
dictionary,inkoranyamagambo
did,yakoze
die,gupfa
differ,bitandukanye
difficult,biragoye
direct,mu buryo butaziguye
discuss,muganire
distant,kure
divide,kugabana
division,amacakubiri
do,kora
doctor,umuganga
does,ikora
dog,imbwa
dollar,idorari
done,byakozwe
don’t,ntukore
door,umuryango
double,kabiri
down,hasi
draw,gushushanya
dream,kurota
dress,imyambarire
drink,kunywa
drive,gutwara
drop,igitonyanga
dry,yumye
duck,inkongoro
during,mugihe
each,buri umwe
ear,ugutwi
early,kare
earth,isi
ease,byoroshye
east,iburasirazuba
eat,kurya
edge,inkombe
effect,ingaruka
egg,amagi
eight,umunani
either,cyangwa
electric,amashanyarazi
element,element
else,ikindi
end,iherezo
enemy,umwanzi
energy,ingufu
engine,moteri
enough,bihagije
enter,injira
equal,bingana
equate,kunganya
especially,cyane
even,ndetse
evening,nimugoroba
event,icyabaye
ever,burigihe
every,buri
exact,neza
example,urugero
except,usibye
excite,byishimo
exercise,imyitozo
expect,tegereza
experience,uburambe
experiment,igerageza
eye,ijisho
face,mu maso
fact,ukuri
fair,kurenganura
fall,kugwa
family,umuryango
famous,uzwi
far,kure
farm,umurima
fast,byihuse
fat,ibinure
father,se
favor,ubutoni
fear,ubwoba
feed,kugaburira
feel,umva
feet,ibirenge
fell,yaguye
felt,yumvise
few,bake
field,umurima
fig,fig
fight,kurwana
figure,ishusho
fill,kuzuza
final,finale
find,shakisha
fine,neza
finger,urutoki
finish,kurangiza
fire,umuriro
first,mbere
fish,amafi
fit,bikwiye
five,bitanu
flat,igorofa
floor,hasi
flow,gutemba
flower,indabyo
fly,kuguruka
follow,kurikira
food,ibiryo
foot,ikirenge
for,kuri
force,imbaraga
forest,ishyamba
form,ifishi
forward,imbere
found,byabonetse
four,bine
fraction,agace
free,ubuntu
fresh,gishya
friend,inshuti
from,kuva
front,imbere
fruit,imbuto
full,byuzuye
fun,kwishimisha
game,umukino
garden,ubusitani
gas,gaze
gather,guterana
gave,yatanze
general,rusange
gentle,witonda
get,kubona
girl,umukobwa
give,tanga
glad,ndishimye
glass,ikirahure
go,genda
gold,zahabu
gone,yagiye
good,byiza
got,yabonye
govern,kuyobora
grand,grand
grass,ibyatsi
gray,imvi
great,bikomeye
green,icyatsi
grew,yarakuze
ground,butaka
group,itsinda
grow,gukura
guess,tekereza
guide,umuyobozi
gun,imbunda
had,yagize
hair,umusatsi
half,kimwe cya kabiri
hand,ukuboko
happen,bibaho
happy,byishimo
hard,bigoye
has,ifite
hat,ingofero
have,kugira
he,we
head,umutwe
hear,umva
heard,yumvise
heart,umutima
heat,ubushyuhe
heavy,biremereye
held,byakozwe
help,ubufasha
her,we
here,hano
high,muremure
hill,umusozi
him,we
his,ibye
history,amateka
hit,hit
hold,komeza
hole,umwobo
home,urugo
hope,ibyiringiro
horse,ifarashi
hot,ashyushye
hour,isaha
house,inzu
how,gute
huge,nini
human,muntu
hundred,ijana
hunt,guhiga
hurry,ihute
i,i.
ice,urubura
idea,igitekerezo
if,niba
imagine,tekereza
in,in
inch,santimetero
include,shyiramo
indicate,erekana
industry,inganda
insect,udukoko
instant,mukanya
instrument,igikoresho
interest,inyungu
invent,guhanga
iron,icyuma
is,nb
island,ikirwa
it,ni
job,akazi
join,injira
joy,umunezero
jump,gusimbuka
just,gusa
keep,komeza
kept,kubika
key,urufunguzo
kill,kwica
kind,ubwoko
king,umwami
knew,yari abizi
know,menya
lady,umudamu
lake,ikiyaga
land,butaka
language,ururimi
large,binini
last,iheruka
late,bitinze
laugh,aseka
law,amategeko
lay,lay
lead,kuyobora
learn,wige
least,byibuze
leave,genda
led,yayoboye
left,ibumoso
leg,ukuguru
length,uburebure
less,munsi
let,reka
letter,ibaruwa
level,urwego
lie,kubeshya
life,ubuzima
lift,kuzamura
light,urumuri
like,nka
line,umurongo
liquid,amazi
list,urutonde
listen,umva
little,bike
live,kubaho
locate,shakisha
log,log
lone,wenyine
long,kirekire
look,reba
lost,yazimiye
lot,byinshi
loud,n’ijwi rirenga
love,urukundo
low,hasi
machine,imashini
made,yakozwe
magnet,rukuruzi
main,nyamukuru
major,major
make,gukora
man,umuntu
many,benshi
map,ikarita
mark,akamenyetso
market,isoko
mass,misa
master,shobuja
match,guhuza
material,ibikoresho
matter,ikibazo
may,gicurasi
me,njye
mean,bivuze
meant,bivuze
measure,igipimo
meat,inyama
meet,guhura
melody,melody
men,abagabo
metal,icyuma
method,buryo
middle,hagati
might,imbaraga
mile,kilometero
milk,amata
million,miliyoni
mind,ibitekerezo
mine,uwanjye
minute,umunota
miss,miss
mix,vanga
modern,bigezweho
molecule,molekile
moment,akanya
money,amafaranga
month,ukwezi
moon,ukwezi
more,byinshi
morning,mu gitondo
most,byinshi
mother,nyina
motion,icyerekezo
mount,mount
mountain,umusozi
mouth,umunwa
move,kwimuka
much,byinshi
multiply,kugwira
music,umuziki
must,igomba
my,my
name,izina
nation,igihugu
natural,karemano
nature,kamere
near,hafi
necessary,ngombwa
neck,ijosi
need,bikenewe
neighbor,umuturanyi
never,nta na rimwe
new,gishya
next,ubutaha
night,ijoro
nine,icyenda
no,oya
noise,urusaku
noon,saa sita
nor,cyangwa
north,ruguru
nose,izuru
note,icyitonderwa
nothing,ntacyo
notice,menyesha
noun,izina
now,ubungubu
number,nimero
numeral,mubare
object,ikintu
observe,kwitegereza
occur,bibaho
ocean,inyanja
of,bya
off,kuzimya
offer,gutanga
office,biro
often,kenshi
oh,yewe
oil,amavuta
old,kera
on,ku
once,rimwe
one,imwe
only,gusa
open,fungura
operate,gukora
opposite,bitandukanye
or,cyangwa
order,gahunda
organ,urugingo
original,umwimerere
other,ikindi
our,yacu
out,hanze
over,hejuru
own,wenyine
oxygen,ogisijeni
page,urupapuro
paint,irangi
pair,couple
paper,impapuro
paragraph,igika
parent,umubyeyi
part,igice
particular,byumwihariko
party,ibirori
pass,pass
past,kahise
path,inzira
pattern,icyitegererezo
pay,kwishyura
people,abantu
perhaps,ahari
period,igihe
person,umuntu
phrase,interuro
pick,hitamo
picture,ishusho
piece,igice
pitch,ikibuga
place,ikibanza
plain,ikibaya
plan,gahunda
plane,indege
planet,umubumbe
plant,igihingwa
play,gukina
please,nyamuneka
plural,mu bwinshi
poem,igisigo
point,ingingo
poor,abakene
populate,gutura
port,icyambu
pose,kwifotoza
position,umwanya
possible,birashoboka
post,post
pound,pound
power,imbaraga
practice,imyitozo
prepare,itegure
present,bahari
press,kanda
pretty,byiza
print,icapiro
probable,birashoboka
problem,ikibazo
process,inzira
produce,umusaruro
product,ibicuruzwa
proper,bikwiye
property,umutungo
protect,kurinda
prove,garagaza
provide,gutanga
pull,gukurura
push,gusunika
put,shyira
quart,icya kane
question,ikibazo
quick,vuba
quiet,ceceka
quite,rwose
quotient,igipimo
race,ubwoko
radio,radiyo
rail,gari ya moshi
rain,imvura
raise,kuzamura
ran,yirutse
range,intera
rather,ahubwo
reach,kugera
read,soma
ready,biteguye
real,nyabyo
reason,impamvu
receive,yakira
record,inyandiko
red,umutuku
region,karere
remember,ibuka
repeat,subiramo
reply,subiza
represent,guhagararira
require,bisaba
rest,ikiruhuko
result,ibisubizo
rich,abakire
ride,kugendera
right,iburyo
ring,impeta
rise,kuzamuka
river,uruzi
road,umuhanda
rock,urutare
roll,umuzingo
room,icyumba
root,umuzi
rope,umugozi
rose,roza
round,kuzenguruka
row,umurongo
rub,rub
rule,amategeko
run,kwiruka
safe,umutekano
said,ati
sail,ubwato
salt,umunyu
same,kimwe
sand,umucanga
sat,yicaye
save,kuzigama
saw,yabonye
say,vuga
scale,igipimo
school,ishuri
science,siyanse
score,amanota
sea,inyanja
search,gushakisha
season,igihe
seat,intebe
second,kabiri
section,igice
see,reba
seed,imbuto
seem,bisa
segment,igice
select,hitamo
self,wenyine
sell,kugurisha
send,ohereza
sense,kumva
sent,yoherejwe
sentence,interuro
separate,gutandukana
serve,gukorera
set,gushiraho
settle,gutuza
seven,karindwi
several,byinshi
shall,igomba
shape,imiterere
share,kugabana
sharp,ityaye
she,we
sheet,urupapuro
shell,igikonoshwa
shine,kumurika
ship,ubwato
shoe,inkweto
shop,iduka
shore,inkombe
short,ngufi
should,igomba
shoulder,igitugu
shout,induru
show,kwerekana
side,ruhande
sight,kureba
sign,ikimenyetso
silent,ceceka
silver,ifeza
similar,bisa
simple,byoroshye
since,kuva
sing,kuririmba
single,ingaragu
sister,mushiki wawe
sit,icara
six,atandatu
size,ingano
skill,ubuhanga
skin,uruhu
sky,ijuru
slave,imbata
sleep,gusinzira
slip,kunyerera
slow,gahoro
small,nto
smell,impumuro
smile,kumwenyura
snow,shelegi
so,bityo
soft,yoroshye
soil,ubutaka
soldier,umusirikare
solution,igisubizo
solve,gukemura
some,bimwe
son,umuhungu
song,indirimbo
soon,vuba
sound,ijwi
south,majyepfo
space,umwanya
speak,vuga
special,idasanzwe
speech,imvugo
speed,umuvuduko
spell,amarozi
spend,gukoresha
spoke,yavuze
spot,ikibanza
spread,gukwirakwira
spring,isoko
square,kare
stand,ihagarare
star,inyenyeri
start,gutangira
state,leta
station,sitasiyo
stay,guma
stead,mu mwanya
steam,icyuka
steel,ibyuma
step,intambwe
stick,inkoni
still,biracyaza
stone,ibuye
stood,arahagarara
stop,hagarara
store,ububiko
story,inkuru
straight,igororotse
strange,bidasanzwe
stream,umugezi
street,ibarabara
stretch,kurambura
string,umugozi
strong,komera
student,umunyeshuri
study,kwiga
subject,ingingo
substance,ibintu
subtract,gukuramo
success,intsinzi
such,nkibyo
sudden,gitunguranye
suffix,umugereka
sugar,isukari
suggest,tekereza
suit,ikositimu
summer,icyi
sun,izuba
supply,gutanga
support,inkunga
sure,byanze bikunze
surface,hejuru
surprise,gutungurwa
swim,koga
syllable,indangantego
symbol,ikimenyetso
system,sisitemu
table,ameza
tail,umurizo
take,fata
talk,vuga
tall,muremure
teach,wigishe
team,itsinda
teeth,amenyo
tell,bwira
temperature,ubushyuhe
ten,icumi
term,ijambo
test,ikizamini
than,kuruta
thank,murakoze
that,ibyo
the,i
their,yabo
them,bo
then,hanyuma
there,ngaho
these,ibi
they,bo
thick,umubyimba
thin,inanutse
thing,ikintu
think,tekereza
third,gatatu
this,iyi
those,abo
though,nubwo
thought,yatekereje
thousand,igihumbi
three,bitatu
through,binyuze
throw,guta
thus,bityo
tie,karavati
time,igihe
tiny,gito
tire,ipine
to,kuri
together,hamwe
told,yabwiwe
tone,ijwi
too,na
took,yafashe
tool,igikoresho
top,hejuru
total,yose hamwe
touch,gukoraho
toward,yerekeza
town,umujyi
track,inzira
trade,ubucuruzi
train,gari ya moshi
travel,ingendo
tree,igiti
triangle,inyabutatu
trip,urugendo
trouble,ingorane
truck,ikamyo
true,ukuri
try,gerageza
tube,itiyo
turn,hindukira
twenty,makumyabiri
two,bibiri
type,ubwoko
under,munsi
unit,igice
until,kugeza
up,hejuru
us,twe
use,koresha
usual,bisanzwe
valley,ikibaya
value,agaciro
vary,biratandukanye
verb,inshinga
very,cyane
view,reba
village,umudugudu
visit,gusura
voice,ijwi
vowel,inyajwi
wait,rindira
walk,genda
wall,urukuta
want,bakeneye
war,intambara
warm,gishyushye
was,yari
wash,gukaraba
watch,reba
water,amazi
wave,umuraba
way,inzira
we,twe
wear,kwambara
weather,ikirere
week,icyumweru
weight,uburemere
well,neza
went,yagiye
were,bari
west,iburengerazuba
what,iki
wheel,ipine
when,ryari
where,he
whether,niba
which,bikaba
while,mugihe
white,cyera
who,ninde
whole,yose
whose,ninde
why,kubera iki
wide,ubugari
wife,umugore
wild,ishyamba
will,ubushake
win,gutsinda
wind,umuyaga
window,idirishya
wing,ibaba
winter,imbeho
wire,wire
wish,icyifuzo
with,hamwe na
woman,umugore
women,abagore
wonder,igitangaza
won’t,ntabwo
wood,inkwi
word,ijambo
work,akazi
world,isi
would,ese
write,andika
written,byanditswe
wrong,nabi
wrote,yanditse
yard,yard
year,umwaka
yellow,umuhondo
yes,yego
yet,nyamara
you,wowe
young,muto
your,yawe
