english,icelandic
double,tvöfaldur
down,niður
draw,draga
dream,draumur
dress,mætas
drink,drykkur
drive,drif
drop,falla
dry,þurr
duck,önd
during,á
each,hver
ear,eyra
early,snemma
earth,jörð
ease,vellíðan
east,austur
eat,borða
edge,brún
effect,áhrif
egg,egg
eight,átta
either,annaðhvort
electric,rafmagns
element,þáttur
else,annað
end,enda
enemy,óvinurinn
energy,orka
engine,vél
enough,nóg
enter,sláðu
equal,jafnt
equate,jafngilda
especially,sérstaklega
even,jafnvel
evening,kvöld
event,atburður
ever,alltaf
every,hvert
exact,nákvæm
example,dæmi
except,nema
excite,espa
exercise,æfing
expect,búast
experience,reynsla
experiment,tilraun
eye,auga
face,andlit
fact,staðreynd
fair,sanngjörn
fall,falla
family,fjölskylda
famous,frægur
far,langt
farm,bærinn
fast,hratt
fat,feitur
father,faðir
favor,favor
fear,ótti
feed,fæða
feel,finnst
feet,fætur
fell,féll
felt,fannst
few,fáir
field,sviði
fig,mynd
fight,berjast
figure,mynd
fill,fylla
final,endanleg
find,finna
fine,fínn
finger,fingur
finish,ljúka
fire,eldur
first,fyrst
fish,fiskur
fit,passa
five,fimm
flat,íbúð
floor,hæð
flow,rennsli
flower,blóm
fly,fljúga
follow,fylgja
food,matur
foot,fótur
for,fyrir
force,afl
forest,skógur
form,mynd
forward,áfram
found,fann
four,fjórir
fraction,brot
free,frjáls
fresh,ferskur
friend,vinur
from,frá
front,framan
fruit,ávöxtur
full,fullur
fun,gaman
game,leikur
garden,garður
gas,gas
gather,safna
gave,gaf
general,almennt
gentle,blíður
get,fá
girl,stúlka
give,gefa
glad,glaður
glass,gler
go,fara
gold,gull
gone,farinn
good,gott
got,fékk
govern,stjórna
grand,stóra
grass,gras
gray,grá
great,mikill
green,grænt
grew,óx
ground,jörð
group,hópur
grow,vaxa
guess,giska
guide,leiðbeina
gun,byssu
had,hafði
hair,hárið
half,helmingur
hand,hönd
happen,gerast
happy,hamingjusamur
hard,harður
has,hefur
hat,hatt
have,hafa
he,hann
head,höfuð
hear,heyra
heard,heyrði
heart,hjarta
heat,hita
heavy,þungur
held,held
help,hjálpa
her,henni
here,hér
high,hár
hill,hæð
him,hann
his,hans
history,saga
hit,högg
hold,halda
hole,holu
home,heim
hope,vona
horse,hestur
hot,heitt
hour,klukkustund
house,hús
how,hvernig
huge,gríðarstór
human,manna
hundred,hundrað
hunt,veiði
hurry,drífa
i,ég
ice,ís
idea,hugmynd
if,ef
imagine,ímynda
in,í
inch,tomma
include,meðal annars
indicate,benda
industry,iðnaður
insect,skordýrum
instant,augnablik
instrument,tæki
interest,vextir
invent,finna
iron,járn
is,er
island,eyjan
it,það
job,starf
join,ganga
joy,gleði
jump,hoppa
just,bara
keep,halda
kept,haldið
key,lykill
kill,drepa
kind,góður
king,konungur
knew,vissi
know,vita
lady,konan
lake,lake
land,landið
language,tungumál
large,stór
last,síðasta
late,seint
laugh,hlæja
law,lög
lay,lá
lead,leiða
learn,læra
least,amk
leave,fara
led,leiddi
left,vinstri
leg,fótur
length,lengd
less,minna
let,láta
letter,bréf
level,stigi
lie,ljúga
life,lífið
lift,lyfta
light,ljós
like,eins
line,lína
liquid,fljótandi
list,listi
listen,hlusta
little,lítið
live,lifa
locate,finna
log,log
lone,lone
long,langur
look,leita
lost,missti
lot,mikið
loud,hávær
love,ást
low,lágt
machine,vél
made,gert
magnet,segull
main,helstu
major,meiriháttar
make,gera
man,maður
many,margir
map,kort
mark,merkja
market,markaður
mass,massi
master,húsbóndi
match,leikurinn
material,efni
matter,mál
may,getur
me,mér
mean,meina
meant,þýddi
measure,mæla
meat,kjöt
meet,mæta
melody,lag
men,menn
metal,málmur
method,aðferð
middle,miðja
might,gæti
mile,kílómetri
milk,mjólk
million,milljónir
mind,hugur
mine,minn
minute,mínútu
miss,sakna
mix,blanda
modern,nútíma
molecule,sameind
moment,stund
money,peningar
month,mánuði
moon,tunglið
more,meira
morning,morgun
most,mest
mother,móðir
motion,hreyfing
mount,fjall
mountain,fjallið
mouth,munni
move,ferðinni
much,mikið
multiply,margfalda
music,tónlist
must,verður
my,minn
name,nafn
nation,þjóð
natural,eðlilegt
nature,náttúran
near,nálægt
necessary,nauðsynlegt
neck,háls
need,þarf
neighbor,nágranni
never,aldrei
new,ný
next,næsta
night,nótt
nine,níu
no,nei
noise,hávaði
noon,hádegi
nor,né
north,norður
nose,nef
note,minnismiða
nothing,ekkert
notice,tilkynning
noun,nafnorð
now,nú
number,fjöldi
numeral,talan
object,hlut
observe,fylgjast
occur,stað
ocean,haf
of,af
off,burt
offer,tilboð
office,skrifstofa
often,oft
oh,ó
oil,olía
old,gamall
on,á
once,einu sinni
one,einn
only,aðeins
open,opinn
operate,starfa
opposite,fjær
or,eða
order,röð
organ,orgel
original,upprunalega
other,annað
our,okkar
out,út
over,yfir
own,eigin
oxygen,súrefni
page,síðu
paint,mála
pair,par
paper,pappír
paragraph,málsgrein
parent,foreldri
part,hluti
particular,einkum
party,aðila
pass,fara
past,fortíð
path,slóðin
pattern,mynstur
pay,borga
people,fólk
perhaps,kannski
period,tímabil
person,maður
phrase,setning
pick,velja
picture,mynd
piece,stykki
pitch,bik
place,staður
plain,látlaus
plan,áætlun
plane,flugvél
planet,reikistjarna
plant,planta
play,spila
please,vinsamlegast
plural,fleirtölu
poem,kvæði
point,lið
poor,léleg
populate,byggja
port,höfn
pose,sitja
position,staða
possible,mögulegt
post,post
pound,pund
power,máttur
practice,æfa
prepare,undirbúa
present,staðar
press,stutt
pretty,nokkuð
print,prenta
probable,líklegt
problem,vandamál
process,ferli
produce,framleiða
product,vara
proper,réttur
property,eign
protect,vernda
prove,sanna
provide,veita
pull,draga
push,ýta
put,setja
quart,lítri
question,spurning
quick,fljótur
quiet,rólegur
quite,alveg
quotient,stuðullinn
race,kapp
radio,útvarp
rail,járnbrautum
rain,rigning
raise,hækka
ran,hljóp
range,svið
rather,fremur
reach,ná
read,lesa
ready,tilbúin
real,alvöru
reason,ástæða
receive,fá
record,met
red,rauður
region,svæði
remember,muna
repeat,endurtaka
reply,svara
represent,tákna
require,krefjast
rest,hvíld
result,niðurstaðan
rich,ríkur
ride,ríða
right,réttur
ring,hringur
rise,rísa
river,áin
road,vegum
rock,rokk
roll,rúlla
room,herbergi
root,rót
rope,reipi
rose,hækkaði
round,umferð
row,róður
rub,nudda
rule,regla
run,hlaupa
safe,öruggur
said,sagði
sail,sigla
salt,saltið
same,sama
sand,sandur
sat,sat
save,vista
saw,sá
say,segja
scale,mælikvarði
school,skóli
science,vísindi
score,skora
sea,sjó
search,leita
season,árstíð
seat,sæti
second,annað
section,kafla
see,sjá
seed,fræ
seem,virðast
segment,hluti
select,velja
self,sjálf
sell,selja
send,senda
sense,vit
sent,send
sentence,setning
separate,aðskilin
serve,þjóna
set,sett
settle,setjast
seven,sjö
several,nokkrir
shall,skal
shape,lögun
share,hlut
sharp,skarpur
she,hún
sheet,blað
shell,skel
shine,skína
ship,skipið
shoe,skór
shop,búð
shore,fjaran
short,stutt
should,ætti
shoulder,öxl
shout,óp
show,sýna
side,hlið
sight,sjón
sign,skilti
silent,hljóður
silver,silfur
similar,svipað
simple,einfalt
since,síðan
sing,syngja
single,einn
sister,systir
sit,sitja
six,sex
size,stærð
skill,kunnátta
skin,húð
sky,himinn
slave,þræll
sleep,sofa
slip,miði
slow,hægur
small,lítil
smell,lykt
smile,bros
snow,snjór
so,svo
soft,mjúkur
soil,jarðvegi
soldier,hermaður
solution,lausn
solve,leysa
some,sumir
son,sonur
song,lag
soon,fljótlega
sound,hljóð
south,suður
space,rúm
speak,tala
special,sérstakt
speech,ræðu
speed,hraða
spell,stafa
spend,eyða
spoke,talaði
spot,blettur
spread,breiða
spring,vor
square,veldi
stand,standa
star,stjörnu
start,byrja
state,ástand
station,stöð
stay,halda
stead,stead
steam,gufu
steel,stál
step,skref
stick,stafur
still,enn
stone,steinn
stood,stóð
stop,hætta
store,verslun
story,saga
straight,beint
strange,undarlegt
stream,straum
street,götu
stretch,teygja
string,band
strong,sterk
student,nemandi
study,rannsókn
subject,efni
substance,efni
subtract,draga
success,velgengni
such,svo
sudden,skyndileg
suffix,viðskeyti
sugar,sykur
suggest,benda
suit,föt
summer,sumar
sun,sól
supply,framboð
support,stuðningur
sure,viss
surface,yfirborð
surprise,óvart
swim,synda
syllable,sérhljóða
symbol,tákn
system,kerfi
table,borð
tail,hala
take,taka
talk,tala
tall,hæð
teach,kenna
team,lið
teeth,tennur
tell,segja
temperature,hiti
ten,tíu
term,tíma
test,próf
than,en
thank,þakka
that,að
the,sem
their,þeirra
them,þá
then,þá
there,það
these,þessir
they,þeir
thick,þykkur
thin,þunnur
thing,hlutur
think,hugsa
third,þriðja
this,þetta
those,þá
though,þó
thought,hugsun
thousand,þúsund
three,þrír
through,gegnum
throw,kasta
thus,þannig
tie,binda
time,tími
tiny,pínulítill
tire,dekk
to,að
together,saman
told,sagði
tone,tónn
too,of
took,tók
tool,tól
top,efst
total,alls
touch,snerta
toward,átt
town,bæ
track,lag
trade,verslun
train,lest
travel,ferðalög
tree,tré
triangle,þríhyrningur
trip,ferð
trouble,vandræði
truck,vörubíll
true,satt
try,reyna
tube,rör
turn,snúa
twenty,tuttugu
two,tveir
type,tegund
under,undir
unit,eining
until,þar
up,upp
us,okkur
use,notkun
usual,venjulega
valley,dalurinn
value,gildi
vary,breytileg
verb,sögn
very,mjög
view,skoða
village,þorpinu
visit,heimsókn
voice,rödd
vowel,vowel
wait,bíða
walk,ganga
wall,vegg
want,vilja
war,stríð
warm,heitt
was,var
wash,þvo
watch,horfa
water,vatn
wave,bylgja
way,leið
we,við
wear,klæðast
weather,veðrið
week,viku
weight,þyngd
well,vel
went,fór
were,voru
west,vestur
what,hvað
wheel,hjól
when,þegar
where,þar
whether,hvort
which,sem
while,meðan
white,hvítt
who,sem
whole,heild
whose,sem
why,hvers vegna
wide,breiður
wife,kona
wild,villtur
will,mun
win,vinna
wind,vindur
window,glugga
wing,væng
winter,vetur
wire,vír
wish,óska
with,með
woman,kona
women,konur
wonder,furða
won’t,mun ekki
wood,tré
word,orð
work,vinna
world,veröld
would,myndi
write,skrifa
written,skrifað
wrong,rangt
wrote,skrifaði
yard,garð
year,ári
yellow,gulur
yes,já
yet,enn
you,þú
young,ung
your,þinn
