english,odia_(oriya)
course,ପାଠ୍ୟକ୍ରମ
cover,ଆବରଣ |
cow,ଗା cow
crease,କ୍ରିଜ୍
create,ସୃଷ୍ଟି କରନ୍ତୁ |
crop,ଫସଲ
cross,କ୍ରସ୍
crowd,ଭିଡ଼
cry,କାନ୍ଦ
current,ସାମ୍ପ୍ରତିକ
cut,କାଟ
dad,ବାପା
dance,ନୃତ୍ୟ
danger,ବିପଦ
dark,ଅନ୍ଧାର
day,ଦିନ
dead,ମୃତ
deal,କାରବାର
dear,ପ୍ରିୟ
death,ମୃତ୍ୟୁ
decide,ନିଷ୍ପତ୍ତି ନିଅ
decimal,ଦଶମିକ
deep,ଗଭୀର
degree,ଡିଗ୍ରୀ
depend,ନିର୍ଭର କରେ |
describe,ବର୍ଣ୍ଣନା କର |
desert,ମରୁଭୂମି
design,ଡିଜାଇନ୍
determine,ନିର୍ଣ୍ଣୟ କର |
develop,ବିକାଶ
dictionary,ଅଭିଧାନ
did,କରିଛନ୍ତି
die,ମର
differ,ଭିନ୍ନ
difficult,କଷ୍ଟକର |
direct,ସିଧାସଳଖ |
discuss,ଆଲୋଚନା କରନ୍ତୁ |
distant,ଦୂର
divide,ବିଭାଜନ
division,ବିଭାଜନ
do,କର
doctor,ଡାକ୍ତର
does,କରେ
dog,କୁକୁର
dollar,ଡଲାର
done,ସମାପ୍ତ
don’t,କରନ୍ତୁ ନାହିଁ |
door,କବାଟ
double,ଦୁଇଥର |
down,ତଳକୁ
draw,ଡ୍ର
dream,ସ୍ୱପ୍ନ
dress,ପୋଷାକ
drink,ପିଅ
drive,ଡ୍ରାଇଭ୍
drop,ଡ୍ରପ୍
dry,ଶୁଖିଲା |
duck,ବତକ
during,ସମୟରେ
each,ପ୍ରତ୍ୟେକ
ear,କାନ
early,ଶୀଘ୍ର
earth,ପୃଥିବୀ
ease,ସହଜ
east,ପୂର୍ବ
eat,ଖାଅ
edge,ଧାର
effect,ପ୍ରଭାବ
egg,ଅଣ୍ଡା
eight,ଆଠ
either,କିମ୍ବା
electric,ବ electric ଦ୍ୟୁତିକ
element,ଉପାଦାନ
else,ଅନ୍ୟ
end,ଶେଷ
enemy,ଶତ୍ରୁ
energy,ଶକ୍ତି
engine,ଇଞ୍ଜିନ୍
enough,ଯଥେଷ୍ଟ
enter,ପ୍ରବେଶ କର |
equal,ସମାନ
equate,ସମାନ
especially,ବିଶେଷ କରି
even,ଏପରିକି
evening,ସନ୍ଧ୍ୟା
event,ଇଭେଣ୍ଟ
ever,ସବୁବେଳେ
every,ପ୍ରତ୍ୟେକ
exact,ସଠିକ୍
example,ଉଦାହରଣ |
except,ଏହା ବ୍ୟତୀତ
excite,ଉତ୍ତେଜିତ
exercise,ବ୍ୟାୟାମ
expect,ଆଶା କରିବା
experience,ଅଭିଜ୍ଞତା
experiment,ପରୀକ୍ଷଣ |
eye,ଆଖି
face,ମୁହଁ
fact,ସତ୍ୟ
fair,ମେଳା
fall,ପତନ
family,ପରିବାର
famous,ପ୍ରସିଦ୍ଧ
far,ବହୁତ ଦୂର
farm,ଚାଷ
fast,ଦ୍ରୁତ
fat,ଚର୍ବି |
father,ବାପା
favor,ଅନୁଗ୍ରହ
fear,ଭୟ
feed,ଫିଡ୍
feel,ଅନୁଭବ କର |
feet,ପାଦ
fell,ପଡିଲା |
felt,ଅନୁଭବ କଲେ
few,ଅଳ୍ପ
field,କ୍ଷେତ୍ର
fig,ଡିମ୍ବିରି
fight,ଯୁଦ୍ଧ କର
figure,ଚିତ୍ର
fill,ପୁରଣ କର
final,ଅନ୍ତିମ
find,ଖୋଜ |
fine,ଭଲ ଅଛି
finger,ଆଙ୍ଗୁଠି
finish,ସମାପ୍ତ
fire,ଅଗ୍ନି
first,ପ୍ରଥମେ
fish,ମାଛ |
fit,ଫିଟ୍
five,ପାଞ୍ଚ
flat,ଫ୍ଲାଟ
floor,ଚଟାଣ
flow,ପ୍ରବାହ
flower,ଫୁଲ
fly,ଉଡ
follow,ଅନୁସରଣ କର
food,ଖାଦ୍ୟ
foot,ପାଦ
for,ପାଇଁ
force,ବଳ
forest,ଜଙ୍ଗଲ
form,ଫର୍ମ
forward,ଆଗକୁ
found,ମିଳିଲା
four,ଚାରି
fraction,ଭଗ୍ନାଂଶ
free,ମାଗଣା |
fresh,ସତେଜ
friend,ସାଙ୍ଗ
from,ଠାରୁ
front,ଆଗ
fruit,ଫଳ
full,ପୂର୍ଣ୍ଣ
fun,ମଜା
game,ଖେଳ
garden,ବଗିଚା
gas,ଗ୍ୟାସ୍
gather,ଏକତ୍ର କର
gave,ଦେଇଛି
general,ସାଧାରଣ
gentle,ଭଦ୍ର
get,ପାଅ
girl,girl ିଅ
give,ଦିଅ
glad,ଖୁସି
glass,ଗ୍ଲାସ୍ |
go,ଯାଅ
gold,ସୁନା
gone,ଚାଲିଗଲା
good,ଭଲ
got,ପାଇଛି
govern,ଶାସନ କର |
grand,ଗ୍ରାଣ୍ଡ୍
grass,ଘାସ
gray,ଧୂସର
great,ବହୁତ ଭଲ
green,ସବୁଜ
grew,ବ grew ିଲା |
ground,ଭୂମି
group,ଗୋଷ୍ଠୀ
grow,ବ grow ନ୍ତୁ |
guess,ଅନୁମାନ କର
guide,ଗାଇଡ୍
gun,ବନ୍ଧୁକ
had,ଥିଲା
hair,କେଶ
half,ଅଧା
hand,ହାତ
happen,ଘଟେ |
happy,ଖୁସି
hard,କଠିନ
has,ଅଛି
hat,ଟୋପି
have,ଅଛି
he,ସେ
head,ମୁଣ୍ଡ
hear,ଶୁଣ
heard,ଶୁଣିଛି
heart,ହୃଦୟ
heat,ଉତ୍ତାପ
heavy,ଭାରୀ
held,ଅନୁଷ୍ଠିତ
help,ସାହାଯ୍ୟ
her,ତାଙ୍କୁ
here,ଏଠାରେ
high,ଉଚ୍ଚ
hill,ପାହାଡ
him,ତାଙ୍କୁ
his,ତାଙ୍କର
history,ଇତିହାସ
hit,ହିଟ୍
hold,ଧର
hole,ଗର୍ତ୍ତ
home,ଘର
hope,ଆଶା
horse,ଘୋଡା
hot,ଗରମ
hour,ଘଣ୍ଟା
house,ଘର
how,କିପରି
huge,ବିରାଟ
human,ମାନବ
hundred,ଶହେ
hunt,ଶିକାର
hurry,ଜଲ୍ଦି
i,ମୁଁ
ice,ବରଫ
idea,ଧାରଣା
if,ଯଦି
imagine,କଳ୍ପନା କର |
in,ଭିତରେ
inch,ଇଞ୍ଚ
include,ଅନ୍ତର୍ଭୂକ୍ତ କରନ୍ତୁ |
indicate,ସୂଚାନ୍ତୁ
industry,ଶିଳ୍ପ
insect,କୀଟ
instant,ତତକ୍ଷଣାତ୍
instrument,ଯନ୍ତ୍ର
interest,ଆଗ୍ରହ
invent,ଉଦ୍ଭାବନ
iron,ଲୁହା
is,ହେଉଛି
island,ଦ୍ୱୀପ
it,ଏହା
job,ଚାକିରି
join,ଯୋଗ ଦିଅନ୍ତୁ |
joy,ଆନନ୍ଦ
jump,ଡେଇଁପଡ |
just,କେବଳ
keep,ରଖ
kept,ରଖାଯାଇଛି |
key,ଚାବି
kill,ହତ୍ୟା
kind,ପ୍ରକାର
king,ରାଜା
knew,ଜାଣିଥିଲେ
know,ଜାଣ
lady,ଲେଡି
lake,ହ୍ରଦ
land,ଜମି
language,ଭାଷା
large,ବଡ
last,ଶେଷ
late,ବିଳମ୍ବ
laugh,ହସିବା
law,ନିୟମ
lay,ଶଯ୍ୟା
lead,ସୀସା |
learn,ଶିଖ |
least,ସର୍ବନିମ୍ନ
leave,ଛାଡ
led,ନେତୃତ୍ୱ
left,ବାମ
leg,ଗୋଡ
length,ଲମ୍ବ
less,କମ୍
let,ଚାଲ
letter,ଚିଠି
level,ସ୍ତର
lie,ମିଛ
life,ଜୀବନ
lift,ଲିଫ୍ଟ
light,ଆଲୋକ
like,ପରି
line,ରେଖା
liquid,ତରଳ
list,ତାଲିକା |
listen,ଶୁଣ
little,ଅଳ୍ପ
live,ଜୀବନ୍ତ
locate,ଖୋଜ
log,ଲଗ୍
lone,ଏକାକୀ
long,ଲମ୍ବା
look,ଦେଖ |
lost,ହଜିଯାଇଛି |
lot,ବହୁତ
loud,ଉଚ୍ଚ ସ୍ୱରରେ
love,ପ୍ରେମ
low,ନିମ୍ନ
machine,ଯନ୍ତ୍ର
made,ତିଆରି
magnet,ଚୁମ୍ବକ
main,ମୁଖ୍ୟ
major,ପ୍ରମୁଖ
make,ତିଆରି କର |
man,ମଣିଷ
many,ଅନେକ
map,ମାନଚିତ୍ର
mark,ଚିହ୍ନ
market,ବଜାର
mass,ମାସ
master,ଗୁରୁ
match,ମ୍ୟାଚ୍
material,ସାମଗ୍ରୀ
matter,ବିଷୟ
may,ହୋଇପାରେ |
me,ମୁଁ
mean,ଅର୍ଥ
meant,ଅର୍ଥାତ୍
measure,ମାପ
meat,ମାଂସ
meet,ସାକ୍ଷାତ
melody,ମେଲୋଡି
men,ପୁରୁଷମାନେ |
metal,ଧାତୁ |
method,ପଦ୍ଧତି
middle,ମଧ୍ୟମ
might,ହୁଏତ
mile,ମାଇଲ୍
milk,କ୍ଷୀର
million,ଲକ୍ଷ
mind,ମନ
mine,ମୋର
minute,ମିନିଟ୍
miss,ମିସ୍
mix,ମିଶ୍ରଣ କରନ୍ତୁ |
modern,ଆଧୁନିକ
molecule,ଅଣୁ
moment,ମୁହୂର୍ତ୍ତ
money,ଟଙ୍କା
month,ମାସ
moon,ଚନ୍ଦ୍ର
more,ଅଧିକ
morning,ସକାଳ
most,ଅଧିକାଂଶ
mother,ମା
motion,ଗତି
mount,ଆରୋହଣ
mountain,ପର୍ବତ
mouth,ପାଟି
move,ଘୁଞ୍ଚାନ୍ତୁ |
much,ବହୁତ
multiply,ଗୁଣ କର
music,ସଙ୍ଗୀତ
must,ନିଶ୍ଚୟ |
my,ମୋର
name,ନାମ
nation,ଜାତି
natural,ପ୍ରାକୃତିକ
nature,ପ୍ରକୃତି
near,ନିକଟ
necessary,ଆବଶ୍ୟକ
neck,ବେକ
need,ଆବଶ୍ୟକତା
neighbor,ପଡୋଶୀ
never,କେବେ ନୁହେଁ
new,ନୂତନ
next,ପରବର୍ତ୍ତୀ
night,ରାତି
nine,ନଅ
no,ନା
noise,ଶବ୍ଦ
noon,ମଧ୍ୟାହ୍ନ
nor,ନା
north,ଉତ୍ତର
nose,ନାକ
note,ଧ୍ୟାନ ଦିଅନ୍ତୁ
nothing,କିଛି ନୁହେଁ
notice,ନୋଟିସ୍
noun,ବିଶେଷ୍ୟ
now,ବର୍ତ୍ତମାନ
number,ସଂଖ୍ୟା
numeral,ସଂଖ୍ୟା
object,ବସ୍ତୁ
observe,ପାଳନ କର |
occur,ଘଟେ |
ocean,ସମୁଦ୍ର
of,ର
off,ବନ୍ଦ
offer,ଅଫର୍
office,କାର୍ଯ୍ୟାଳୟ
often,ପ୍ରାୟତ। |
oh,ଓ oh
oil,ତେଲ
old,ପୁରୁଣା
on,ଉପରେ
once,ଥରେ |
one,ଗୋଟିଏ |
only,କେବଳ
open,ଖୋଲ |
operate,କାର୍ଯ୍ୟ କର
opposite,ବିପରୀତ
or,କିମ୍ବା
order,ଆଦେଶ
organ,ଅଙ୍ଗ
original,ମୂଳ
other,ଅନ୍ୟ
our,ଆମର
out,ବାହାରେ
over,ସମାପ୍ତ
own,ନିଜର
oxygen,ଅମ୍ଳଜାନ |
page,ପୃଷ୍ଠା |
paint,ରଙ୍ଗ
pair,ଯୋଡି |
paper,କାଗଜ
paragraph,ଅନୁଚ୍ଛେଦ
parent,ପିତାମାତା |
part,ଅଂଶ
particular,ନିର୍ଦ୍ଦିଷ୍ଟ
party,ପାର୍ଟୀ
pass,ପାସ୍ କର |
past,ଅତୀତ
path,ପଥ
pattern,ନମୁନା
pay,ଦେୟ
people,ଲୋକମାନେ
perhaps,ବୋଧହୁଏ |
period,ଅବଧି
person,ବ୍ୟକ୍ତି
phrase,ବାକ୍ୟାଂଶ
pick,ବାଛ
picture,ଛବି
piece,ଖଣ୍ଡ
pitch,ପିଚ୍
place,ସ୍ଥାନ
plain,ସାଧା
plan,ଯୋଜନା
plane,ବିମାନ
planet,ଗ୍ରହ
plant,ଉଦ୍ଭିଦ
play,ଖେଳ
please,ଦୟାକରି
plural,ବହୁବଚନ
poem,କବିତା
point,ବିନ୍ଦୁ
poor,ଗରିବ
populate,ଜନସଂଖ୍ୟା
port,ପୋର୍ଟ
pose,ପୋଜ୍
position,ଅବସ୍ଥାନ
possible,ସମ୍ଭବ
post,ପୋଷ୍ଟ କରନ୍ତୁ |
pound,ଛେଚିବା
power,ଶକ୍ତି
practice,ଅଭ୍ୟାସ କର |
prepare,ପ୍ରସ୍ତୁତ କର |
present,ଉପସ୍ଥିତ
press,ଦବାନ୍ତୁ |
pretty,ସୁନ୍ଦର
print,ମୁଦ୍ରଣ
probable,ସମ୍ଭବତ
problem,ସମସ୍ୟା
process,ପ୍ରକ୍ରିୟା
produce,ଉତ୍ପାଦନ
product,ଉତ୍ପାଦ
proper,ଉପଯୁକ୍ତ
property,ସମ୍ପତ୍ତି
protect,ସୁରକ୍ଷା ଦିଅ |
prove,ପ୍ରମାଣ କର |
provide,ପ୍ରଦାନ କରନ୍ତୁ |
pull,ଟାଣ
push,ଠେଲିବା
put,ରଖ
quart,କ୍ୱାର୍ଟର୍
question,ପ୍ରଶ୍ନ
quick,ଶୀଘ୍ର
quiet,ଶାନ୍ତ
quite,ଯଥେଷ୍ଟ
quotient,ଭାଗ
race,ଜାତି
radio,ରେଡିଓ
rail,ରେଳ
rain,ବର୍ଷା
raise,ଉଠାନ୍ତୁ |
ran,ଦ ran ଡ଼ିଲା |
range,ପରିସର
rather,ବରଂ
reach,ପହଞ୍ଚିବା |
read,ପ read ଼ନ୍ତୁ |
ready,ପ୍ରସ୍ତୁତ
real,ବାସ୍ତବ
reason,କାରଣ
receive,ଗ୍ରହଣ କରନ୍ତୁ |
record,ରେକର୍ଡ
red,ନାଲି
region,ଅଞ୍ଚଳ
remember,ମନେରଖ |
repeat,ପୁନରାବୃତ୍ତି କର |
reply,ଉତ୍ତର ଦିଅ
represent,ପ୍ରତିନିଧିତ୍ୱ କରନ୍ତୁ |
require,ଆବଶ୍ୟକ କରେ |
rest,ବିଶ୍ରାମ
result,ଫଳାଫଳ
rich,ଧନୀ
ride,ରଥଯାତ୍ରା |
right,ଠିକ୍
ring,ରିଙ୍ଗ୍ |
rise,ଉଠ
river,ନଦୀ
road,ରାସ୍ତା
rock,ପଥର
roll,ଗାଡ଼ି
room,କୋଠରୀ
root,ମୂଳ
rope,ଦଉଡି
rose,ଗୋଲାପ
round,ଗୋଲାକାର |
row,ଧାଡି
rub,ଘଷନ୍ତୁ |
rule,ନିୟମ |
run,ଚଲାନ୍ତୁ |
safe,ସୁରକ୍ଷିତ
said,କହିଛନ୍ତି
sail,ପାଲ
salt,ଲୁଣ
same,ସମାନ
sand,ବାଲି
sat,ବସିଲା
save,ସଞ୍ଚୟ କରନ୍ତୁ |
saw,ଦେଖ
say,କୁହ
scale,ସ୍କେଲ
school,ବିଦ୍ୟାଳୟ
science,ବିଜ୍ଞାନ
score,ସ୍କୋର
sea,ସମୁଦ୍ର
search,ସନ୍ଧାନ
season,season ତୁ
seat,ଆସନ
second,ଦ୍ୱିତୀୟ
section,ବିଭାଗ
see,ଦେଖନ୍ତୁ |
seed,ମଞ୍ଜି
seem,ଦେଖାଯାଉଛି |
segment,ବିଭାଗ
select,ଚୟନ କରନ୍ତୁ |
self,ଆତ୍ମ
sell,ବିକ୍ରୟ କର |
send,ପଠାନ୍ତୁ
sense,ଅର୍ଥ
sent,ପଠାଯାଇଛି
sentence,ବାକ୍ୟ
separate,ଅଲଗା
serve,ସେବା କର |
set,ସେଟ୍ କରନ୍ତୁ |
settle,ସମାଧାନ କର |
seven,ସାତ
several,ଅନେକ
shall,କରିବେ
shape,ଆକୃତି |
share,ଅଂଶୀଦାର
sharp,ତୀକ୍ଷ୍ଣ |
she,ସେ
sheet,ସିଟ୍ |
shell,ଶେଲ୍ |
shine,ଉଜ୍ଜ୍ୱଳ
ship,ଜାହାଜ
shoe,ଜୋତା
shop,ଦୋକାନ
shore,କୂଳ
short,ସଂକ୍ଷିପ୍ତ
should,କରିବା ଉଚିତ
shoulder,କାନ୍ଧ
shout,ଚିତ୍କାର କର
show,ଦେଖାନ୍ତୁ |
side,ପାର୍ଶ୍ୱ
sight,ଦୃଶ୍ୟ
sign,ଚିହ୍ନ
silent,ଚୁପ୍
silver,ରୂପା
similar,ସମାନ
simple,ସରଳ
since,ପରଠାରୁ
sing,ଗାଅ
single,ଏକକ
sister,ଭଉଣୀ
sit,ବସ
six,ଛଅ
size,ଆକାର
skill,ଦକ୍ଷତା
skin,ଚର୍ମ
sky,ଆକାଶ
slave,ଦାସ
sleep,ଶୋଇବା
slip,ସ୍ଲିପ୍
slow,ଧୀର
small,ଛୋଟ
smell,ଗନ୍ଧ
smile,ହସ
snow,ତୁଷାର
so,ତେଣୁ
soft,ନରମ
soil,ମାଟି
soldier,ସ soldier ନିକ
solution,ସମାଧାନ
solve,ସମାଧାନ
some,କେତେକ
son,ପୁଅ
song,ଗୀତ
soon,ଶୀଘ୍ର
sound,ଶବ୍ଦ
south,ଦକ୍ଷିଣ
space,ସ୍ଥାନ
speak,କୁହ
special,ବିଶେଷ
speech,ଭାଷଣ
speed,ଗତି
spell,ମନ୍ତ୍ର
spend,ଖର୍ଚ୍ଚ କରନ୍ତୁ |
spoke,କଥା ହେଲା |
spot,ସ୍ପଟ୍
spread,ବିସ୍ତାର
spring,ବସନ୍ତ
square,ବର୍ଗ
stand,ଛିଡା ହୁଅ |
star,ତାରା
start,ଆରମ୍ଭ କର |
state,ରାଜ୍ୟ
station,ଷ୍ଟେସନ |
stay,ରୁହ
stead,ସ୍ଥିର
steam,ବାଷ୍ପ
steel,ଇସ୍ପାତ |
step,ପଦାଙ୍କ
stick,ବାଡ଼ି
still,ତଥାପି
stone,ପଥର
stood,ଠିଆ ହେଲା |
stop,ବନ୍ଦ କର |
store,ଷ୍ଟୋର୍‌ କରନ୍ତୁ |
story,କାହାଣୀ
straight,ସିଧା
strange,ଅଜବ
stream,stream ରଣା
street,ଗଳି
stretch,ବିସ୍ତାର
string,ଷ୍ଟ୍ରିଙ୍ଗ୍
strong,ଶକ୍ତିଶାଳୀ
student,ଛାତ୍ର
study,ଅଧ୍ୟୟନ |
subject,ବିଷୟ
substance,ପଦାର୍ଥ
subtract,ବିତରଣ
success,ସଫଳତା
such,ଏହିପରି
sudden,ହଠାତ୍
suffix,ସଫିକ୍ସ
sugar,ଚିନି
suggest,ପରାମର୍ଶ ଦିଅନ୍ତୁ |
suit,ସୁଟ୍
summer,ଗ୍ରୀଷ୍ମ
sun,ସୂର୍ଯ୍ୟ
supply,ଯୋଗାଣ
support,ସମର୍ଥନ
sure,ନିଶ୍ଚିତ
surface,ପୃଷ୍ଠ
surprise,ଆଶ୍ଚର୍ଯ୍ୟ
swim,ପହଁରିବା
syllable,ଶବ୍ଦ
symbol,ପ୍ରତୀକ
system,ସିଷ୍ଟମ୍
table,ଟେବୁଲ୍ |
tail,ଲାଂଜ
take,ନିଅ
talk,କଥାବାର୍ତ୍ତା |
tall,ଲମ୍ବା
teach,ଶିକ୍ଷା ଦିଅ
team,ଦଳ
teeth,ଦାନ୍ତ
tell,କୁହ
temperature,ତାପମାତ୍ରା
ten,ଦଶ
term,ଶବ୍ଦ
test,ପରୀକ୍ଷା
than,ଅପେକ୍ଷା
thank,ଧନ୍ୟବାଦ
that,ତାହା
the,େଯମାେନ
their,ସେମାନଙ୍କର
them,ସେଗୁଡିକ
then,ତାପରେ
there,ସେଠାରେ
these,ଏଗୁଡ଼ିକ
they,ସେମାନେ
thick,ମୋଟା |
thin,ପତଳା |
thing,ଜିନିଷ
think,ଭାବ |
third,ତୃତୀୟ
this,ଏହା
those,ସେଗୁଡ଼ିକ
though,ଯଦିଓ
thought,ଭାବିଲି
thousand,ହଜାରେ
three,ତିନି
through,ମାଧ୍ୟମରେ
throw,ଫୋପାଡି ଦିଅ |
thus,ଏହିପରି
tie,ବାନ୍ଧ |
time,ସମୟ
tiny,ଛୋଟ
tire,ଟାୟାର
to,କୁ
together,ଏକତ୍ର
told,କହିଛନ୍ତି
tone,ସ୍ୱର
too,ମଧ୍ୟ
took,ନେଇଗଲା |
tool,ସାଧନ
top,ଶୀର୍ଷ
total,ସମୁଦାୟ
touch,ସ୍ପର୍ଶ କରନ୍ତୁ |
toward,ଆଡକୁ
town,ସହର
track,ଟ୍ରାକ୍
trade,ବାଣିଜ୍ୟ
train,ଟ୍ରେନ୍
travel,ଭ୍ରମଣ
tree,ଗଛ
triangle,ତ୍ରିରଙ୍ଗା
trip,ଯାତ୍ରା
trouble,ଅସୁବିଧା
truck,ଟ୍ରକ
true,ସତ୍ୟ
try,ଚେଷ୍ଟା କର |
tube,ନଳି
turn,ଟର୍ନ୍
twenty,କୋଡ଼ିଏ
two,ଦୁଇଟି
type,ଟାଇପ୍ କରନ୍ତୁ |
under,ତଳେ |
unit,ଏକକ
until,ପର୍ଯ୍ୟନ୍ତ
up,ଅପ୍
us,ଆମ
use,ବ୍ୟବହାର କରନ୍ତୁ |
usual,ସାଧାରଣ
valley,ଉପତ୍ୟକା
value,ମୂଲ୍ୟ
vary,ଭିନ୍ନ ଅଟେ |
verb,କ୍ରିୟା
very,ବହୁତ
view,ଦର୍ଶନ
village,ଗାଁ
visit,ପରିଦର୍ଶନ କରନ୍ତୁ |
voice,ସ୍ୱର
vowel,ସ୍ ow ରବର୍ଣ୍ଣ
wait,ଅପେକ୍ଷା କର |
walk,ଚାଲ
wall,କାନ୍ଥ
want,ଇଚ୍ଛା
war,ଯୁଦ୍ଧ
warm,ଗରମ
was,ଥିଲା
wash,ଧୋଇ ଦିଅ |
watch,ଦେଖନ୍ତୁ |
water,ଜଳ
wave,ତରଙ୍ଗ
way,ଉପାୟ
we,ଆମେ
wear,ପରିଧାନ
weather,ପାଣିପାଗ
week,ସପ୍ତାହ
weight,ଓଜନ
well,ଭଲ
went,ଗଲା
were,ଥିଲା |
west,ପଶ୍ଚିମ
what,କଣ
wheel,ଚକ
when,କେବେ
where,କେଉଁଠାରେ
whether,କି ନୁହେଁ
which,ଯାହା
while,ଯେତେବେଳେ
white,ଧଳା
who,କିଏ
whole,ପୁରା
whose,ଯାହାର
why,କାହିଁକି?
wide,ଚଉଡା |
wife,ପତ୍ନୀ
wild,ଜଙ୍ଗଲୀ
will,ଇଚ୍ଛା
win,ଜିତନ୍ତୁ |
wind,ପବନ
window,ୱିଣ୍ଡୋ |
wing,ଡେଣା
winter,ଶୀତ
wire,ତାର
wish,ଇଚ୍ଛା
with,ସହିତ
woman,ମହିଳା
