english,basque
kept,mantendu
key,giltza
kill,hiltzeko
kind,nolako
king,king
knew,bazekien
know,jakingo
lady,andre
lake,laku
land,lurrak
language,hizkuntza
large,handi
last,azken
late,berandu
laugh,barre
law,legea
lay,arautuko
lead,ekar
learn,ikasi
least,gutxienez
leave,utzi
led,buru
left,utzi
leg,hanka
length,luzera
less,gutxiago
let,utzi
letter,gutuna
level,maila
lie,gezur
life,bizitza
lift,igogailua
light,argia
like,bezala
line,line
liquid,likidoa
list,zerrenda
listen,entzuteko
little,apur
live,bizi
locate,kokatzeko
log,saioa hasi
lone,bakarti
long,luzea
look,begiratu
lost,galduta
lot,asko
loud,ozen
love,maitasun
low,txikia
machine,makina
made,egin
magnet,iman
main,nagusia
major,nagusien
make,egiteko
man,man
many,asko
map,mapa
mark,marka
market,merkatua
mass,masa
master,master
match,partidu
material,materiala
matter,gaia
may,may
me,me
mean,esan nahi
meant,ekarri
measure,neurtzeko
meat,haragi
meet,bete
melody,melodia
men,gizonak
metal,metal
method,metodo
middle,erdialdetik
might,agian
mile,milia
milk,esnea
million,milioi
mind,mind
mine,mine
minute,minutu
miss,miss
mix,nahastu
modern,modernoa
molecule,molekula
moment,une
money,dirua
month,hileko
moon,ilargia
more,gehiago
morning,goizean
most,gehien
mother,amak
motion,motion
mount,mount
mountain,mendia
mouth,ahoa
move,mugimendu
much,askoz
multiply,biderkatu
music,music
must,muztioa
my,nire
name,izena
nation,nazioa
natural,natural
nature,natura
near,gertu
necessary,beharrezkoa
neck,lepoan
need,behar
neighbor,bizilaguna
never,inoiz ez
new,berria
next,hurrengo
night,gauean
nine,bederatzi
no,no
noise,zarata
noon,eguerdian
nor,ezta
north,iparraldean
nose,sudurra
note,ohar
nothing,nothing
notice,oharra
noun,noun
now,orain
number,zenbakia
numeral,numeral
object,objektu
observe,behatzen
occur,gerta
ocean,ozeano
of,of
off,off
offer,eskaintza
office,bulegoa
often,askotan
oh,oh
oil,olioa
old,zaharra
on,an
once,behin
one,bat
only,bakarrik
open,open
operate,funtzionatzeko
opposite,kontrakoa
or,edo
order,ordena
organ,organoaren
original,original
other,beste
our,gure
out,out
over,baino gehiago
own,egin
oxygen,oxigeno
page,orria
paint,margotzeko
pair,bikotea
paper,paper
paragraph,paragrafoan
parent,gurasoa
part,part
particular,bereziki
party,festa
pass,gainditu
past,iraganean
path,bidea
pattern,eredua
pay,ordaindu
people,jende
perhaps,agian
period,epea
person,pertsona
phrase,esaldi
pick,jaso
picture,argazki
piece,pieza
pitch,zelaia
place,leku
plain,arrunta
plan,plan
plane,hegazkina
planet,planeta
plant,landare
play,jolastu
please,mesedez
plural,plural
poem,poema
point,puntua
poor,pobrea
populate,populatu
port,portuko
pose,pose
position,posizio
possible,posible
post,post
pound,libra
power,power
practice,praktikan
prepare,prestatu
present,gaur
press,prentsa
pretty,nahiko
print,inprimatu
probable,probable
problem,arazoa
process,prozesua
produce,ekoizteko
product,produktua
proper,egokia
property,jabetza
protect,babesteko
prove,frogatzeko
provide,ematen
pull,tira
push,push
put,jarri
quart,quart
question,question
quick,azkarra
quiet,lasaiak
quite,nahiko
quotient,zatidura
race,lasterketa
radio,radio
rail,trenbide
rain,euri
raise,goratzen
ran,ran
range,sorta
rather,baizik
reach,iristeko
read,irakurri
ready,prest
real,benetako
reason,arrazoia
receive,jasotzeko
record,record
red,gorria
region,eskualdea
remember,gogoratu
repeat,errepikatu
reply,erantzun
represent,adierazten
require,eskatzen
rest,gainerakoak
result,emaitza
rich,aberatsa
ride,ride
right,eskuineko
ring,ring
rise,igoko
river,ibaiaren
road,errepide
rock,rock
roll,roll
room,gela
root,erroa
rope,soka
rose,igo
round,txandan
row,ilara
rub,rub
rule,arau
run,run
safe,seguru
said,esan
sail,sail
salt,gatza
same,bera
sand,harea
sat,sat
save,gorde
saw,saw
say,esan
scale,eskala
school,eskola
science,zientzia
score,puntuazio
sea,sea
search,bilaketa
season,denboraldian
seat,eserlekua
second,bigarren
section,atalean
see,ikusi
seed,hazia
seem,badirudi
segment,segmentu
select,hautatu
self,auto
sell,saltzeko
send,bidali
sense,zentzu
sent,bidali
sentence,gogoratu
separate,aparteko
serve,balioko
set,set
settle,konformatu
seven,zazpi
several,hainbat
shall,errejimena
shape,forma
share,share
sharp,zorrotz
she,zuen
sheet,fitxa
shell,shell
shine,distira
ship,ontzia
shoe,zapatila
shop,denda
shore,shore
short,laburra
should,beharko lukete
shoulder,sorbaldaren
shout,oihu
show,show
side,albo
sight,ikusmena
sign,zeinu
silent,isila
silver,zilar
similar,antzeko
simple,sinple
since,geroztik
sing,abestu
single,bakar
sister,arreba
sit,eseri
six,sei
size,tamaina
skill,skill
skin,azala
sky,zerua
slave,esklabu
sleep,loa
slip,lapsus
slow,motela
small,txiki
smell,usaina
smile,irribarre
snow,elurra
so,"beraz,"
soft,bigun
soil,lurzoruaren
soldier,soldadu
solution,irtenbide
solve,konpontzeko
some,batzuk
son,semea
song,song
soon,laster
sound,soinua
south,hegoaldean
space,espazioa
speak,hitz egin
special,bereziak
speech,hitzaldian
speed,abiadura
spell,ortografia
spend,pasatzeko
spoke,mintzatu
spot,leku
spread,hedapena
spring,udaberrian
square,karratu
stand,stand
star,izarra
start,hasiera
state,egoera
station,geltokia
stay,egonaldia
stead,orde
steam,lurrun
steel,steel
step,urrats
stick,makila
still,oraindik
stone,harria
stood,koa
stop,gelditzeko
store,denda
story,istorioa
straight,zuzen
strange,arraro
stream,erreka
street,kalean
stretch,tarte
string,katea
strong,indartsu
student,ikaslearen
study,azterketa
subject,gaia
substance,substantzia
subtract,kenketak
success,arrakasta
such,"hala nola,"
sudden,bat-batean
suffix,atzizkia
sugar,azukre
suggest,iradokitzen
suit,trajea
summer,udan
sun,eguzkia
supply,hornikuntza
support,laguntza
sure,ziur
surface,azalera
surprise,sorpresa
swim,igeri
syllable,silaba
symbol,sinbolo
system,sistema
table,taula
tail,buztana
take,hartu
talk,eztabaida
tall,altu
teach,irakasteko
team,taldeak
teeth,hortzak
tell,esango
temperature,tenperatura
ten,hamar
term,epe
test,proba
than,baino
thank,eskerrik
that,duten
the,du
their,beren
them,horiek
then,orduz
there,ez
these,horiek
they,dute
thick,lodi
thin,mehe
thing,gauza
think,uste
third,hirugarren
this,honetan
those,horiek
though,nahiz
thought,pentsatu
thousand,mila
three,hiru
through,bidez
throw,bota
thus,horrela
tie,berdinketa
time,denbora
tiny,tiny
tire,pneumatikoen
to,arte
together,elkarrekin
told,esan
tone,tonua
too,too
took,hartu
tool,tresna
top,top
total,guztira
touch,ukitu
toward,aldera
town,herri
track,pista
trade,merkataritza
train,trena
travel,bidaia
tree,zuhaitz
triangle,triangelu
trip,bidaia
trouble,arazoak
truck,kamioi
true,egia
try,saiatu
tube,hodi
turn,txanda
twenty,hogei
two,bi
type,mota
under,pean
unit,unitatea
until,arte
up,sortu
us,gurekin
use,erabilera
usual,ohikoa den
valley,haran
value,balio
vary,aldatu egiten dira
verb,aditza
very,oso
view,ikuspegia
village,herriko
visit,bisita
voice,ahotsa
vowel,bokal
wait,itxaron
walk,oinez
wall,horma
want,nahi
war,gerra
warm,epela
was,izan zen
wash,garbiketa
watch,ikusi
water,ura
wave,uhin
way,era
we,dugu
wear,higadura
weather,eguraldi
week,astea
weight,pisu
well,ondo
went,joan
were,ziren
west,west
what,zer
wheel,gurpila
when,denean
where,non
whether,ala
which,bertan
while,bitartean
white,zuri
who,nor
whole,osoa
whose,zeinen
why,zergatik
wide,zabal
wife,emaztea
wild,basa
will,izango
win,irabazi
wind,haizea
window,leihoa
wing,ezenarro
winter,negua
wire,wire
wish,nahi
with,honekin
woman,emakumea
women,emakumeak
wonder,galdetzen
won’t,izango ez
wood,egurra
word,hitza
work,lana
world,munduan
would,iba
write,idatzi
written,idatzizko
wrong,oker
wrote,idatzi
yard,patiora
year,urteko
yellow,horia
yes,bai
yet,oraindik
you,you
young,gazte
your,zure
