english,kannada
both,ಎರಡೂ
bottom,ಕೆಳಗೆ
bought,ಖರೀದಿಸಿ
box,ಬಾಕ್ಸ್
boy,ಹುಡುಗ
branch,ಶಾಖೆ
bread,ಬ್ರೆಡ್
break,ಬ್ರೇಕ್
bright,ಪ್ರಕಾಶಮಾನವಾದ
bring,ತರಲು
broad,ವಿಶಾಲ
broke,ಮುರಿಯಿತು
brother,ಸಹೋದರ
brought,ತಂದರು
brown,ಕಂದು
build,ನಿರ್ಮಿಸಲು
burn,ಬರ್ನ್
busy,ಬಿಡುವಿಲ್ಲದ
but,ಆದರೆ
buy,ಖರೀದಿ
by,ಮೂಲಕ
call,ಕರೆ
came,ಬಂದರು
camp,ಶಿಬಿರದಲ್ಲಿ
can,ಮಾಡಬಹುದು
capital,ಬಂಡವಾಳ
captain,ನಾಯಕ
car,ಕಾರು
card,ಕಾರ್ಡ್
care,ಆರೈಕೆ
carry,ಸಾಗಿಸುವ
case,ಸಂದರ್ಭದಲ್ಲಿ
cat,ಬೆಕ್ಕು
catch,ಕ್ಯಾಚ್
caught,ಕ್ಯಾಚ್
cause,ಕಾರಣ
cell,ಸೆಲ್
cent,ಶೇ
center,ಸೆಂಟರ್
century,ಶತಮಾನದ
certain,ಕೆಲವು
chair,ಕುರ್ಚಿ
chance,ಅವಕಾಶ
change,ಬದಲಾವಣೆ
character,ರ
charge,ಚಾರ್ಜ್
chart,ಚಾರ್ಟ್
check,ಪರಿಶೀಲಿಸಿ
chick,ಮರಿಯನ್ನು
chief,ಮುಖ್ಯ
child,ಮಗು
children,ಮಕ್ಕಳ
choose,ಆಯ್ಕೆ
chord,ಸ್ವರಮೇಳ
circle,ವೃತ್ತದ
city,ನಗರದ
claim,ಹಕ್ಕು
class,ವರ್ಗ
clean,ಕ್ಲೀನ್
clear,ಸ್ಪಷ್ಟ
climb,ಏರಿಕೆಗೆ
clock,ಗಡಿಯಾರ
close,ಹತ್ತಿರ
clothe,ಬಟ್ಟೆಗೆ
cloud,ಮೋಡದ
coast,ಕರಾವಳಿ
coat,ಕೋಟ್
cold,ಶೀತ
collect,ಸಂಗ್ರಹಿಸಲು
colony,ವಸಾಹತು
color,ಬಣ್ಣ
column,ಕಾಲಮ್
come,ಬಂದು
common,ಸಾಮಾನ್ಯ
company,ಕಂಪನಿ
compare,ಹೋಲಿಸಿ
complete,ಸಂಪೂರ್ಣ
condition,ಸ್ಥಿತಿ
connect,ಸಂಪರ್ಕ
consider,ಪರಿಗಣಿಸಲು
consonant,ವ್ಯಂಜನ
contain,ಹೊಂದಿರಬೇಕು
continent,ಖಂಡದ
continue,ಮುಂದುವರೆಯಲು
control,ನಿಯಂತ್ರಣ
cook,ಅಡುಗೆ
cool,ತಂಪಾಗಿದೆ
copy,ಪ್ರತಿಯನ್ನು
corn,ಕಾರ್ನ್
corner,ಮೂಲೆಯಲ್ಲಿ
correct,ಸರಿಯಾದ
cost,ವೆಚ್ಚ
cotton,ಹತ್ತಿ
could,ಸಾಧ್ಯವೋ
count,ಎಣಿಕೆ
country,ದೇಶದ
course,ಕೋರ್ಸ್
cover,ಕವರ್
cow,ಹಸುವಿನ
crease,ಕ್ರೀಸ್
create,ರಚಿಸಲು
crop,ಬೆಳೆ
cross,ದಾಟಲು
crowd,ಗುಂಪು
cry,ಕೂಗು
current,ಪ್ರಸ್ತುತ
cut,ಕಟ್
dad,ತಂದೆ
dance,ನೃತ್ಯ
danger,ಅಪಾಯ
dark,ಡಾರ್ಕ್
day,ದಿನ
dead,ಸತ್ತ
deal,ಒಪ್ಪಂದ
dear,ಪ್ರಿಯ
death,ಸಾವು
decide,ನಿರ್ಧರಿಸಲು
decimal,ದಶಮಾಂಶ
deep,ಆಳವಾದ
degree,ಪದವಿ
depend,ಅವಲಂಬಿಸಿರುತ್ತದೆ
describe,ವಿವರಿಸಲು
desert,ಮರುಭೂಮಿಯ
design,ವಿನ್ಯಾಸ
determine,ನಿರ್ಧರಿಸಲು
develop,ಅಭಿವೃದ್ಧಿ
dictionary,ನಿಘಂಟು
did,ಮಾಡಿದರು
die,ಸಾಯುವ
differ,ಭಿನ್ನವಾಗಿರುತ್ತವೆ
difficult,ಕಷ್ಟ
direct,ನೇರ
discuss,ಚರ್ಚೆ
distant,ದೂರದ
divide,ವಿಭಜನೆಯನ್ನು
division,ವಿಭಾಗ
do,ಹಾಗೆ
doctor,ವೈದ್ಯರು
does,ಮಾಡುತ್ತದೆ
dog,ನಾಯಿ
dollar,ಡಾಲರ್
done,ಮಾಡಲಾಗುತ್ತದೆ
don’t,ಹಾಗೆ
door,ಬಾಗಿಲು
double,ಡಬಲ್
down,ಕೆಳಗೆ
draw,ಡ್ರಾ
dream,ಕನಸು
dress,ಉಡುಗೆ
drink,ಪಾನೀಯ
drive,ಡ್ರೈವ್
drop,ಬಿಡಿ
dry,ಒಣ
duck,ಡಕ್
during,ಸಮಯದಲ್ಲಿ
each,ಪ್ರತಿ
ear,ಕಿವಿ
early,ಆರಂಭಿಕ
earth,ಭೂಮಿಯ
ease,ಸರಾಗಗೊಳಿಸುವ
east,ಪೂರ್ವ
eat,ತಿನ್ನಲು
edge,ಅಂಚಿನ
effect,ಪರಿಣಾಮ
egg,ಮೊಟ್ಟೆ
eight,ಎಂಟು
either,ಎರಡೂ
electric,ವಿದ್ಯುತ್
element,ಅಂಶ
else,ಬೇರೆ
end,ಕೊನೆಯಲ್ಲಿ
enemy,ಶತ್ರು
energy,ಶಕ್ತಿ
engine,ಎಂಜಿನ್
enough,ಸಾಕಷ್ಟು
enter,ನಮೂದಿಸಿ
equal,ಸಮಾನ
equate,ಪೂರಕವಾಗಿಲ್ಲ
especially,ವಿಶೇಷವಾಗಿ
even,ಸಹ
evening,ಸಂಜೆ
event,ಈವೆಂಟ್
ever,ಇದುವರೆಗೆ
every,ಪ್ರತಿ
exact,ನಿಖರ
example,ಉದಾಹರಣೆಗೆ
except,ಹೊರತುಪಡಿಸಿ
excite,ಪ್ರಚೋದಿಸಲು
exercise,ವ್ಯಾಯಾಮ
expect,ನಿರೀಕ್ಷೆ
experience,ಅನುಭವ
experiment,ಪ್ರಯೋಗ
eye,ಕಣ್ಣಿನ
face,ಮುಖ
fact,ವಾಸ್ತವವಾಗಿ
fair,ನ್ಯಾಯೋಚಿತ
fall,ಬೀಳುತ್ತವೆ
family,ಕುಟುಂಬ
famous,ಪ್ರಸಿದ್ಧ
far,ದೂರದ
farm,ಕೃಷಿ
fast,ವೇಗವಾಗಿ
fat,ಕೊಬ್ಬು
father,ತಂದೆ
favor,ಒಲವು
fear,ಭಯ
feed,ಫೀಡ್
feel,ಅಭಿಪ್ರಾಯ
feet,ಅಡಿ
fell,ಕುಸಿಯಿತು
felt,ಅಭಿಪ್ರಾಯ
few,ಕೆಲವು
field,ಕ್ಷೇತ್ರ
fig,ಅಂಜೂರದ
fight,ಹೋರಾಟ
figure,ವ್ಯಕ್ತಿ
fill,ತುಂಬಲು
final,ಅಂತಿಮ
find,ಹೇಗೆ
fine,ದಂಡ
finger,ಬೆರಳು
finish,ಅಂತಿಮ
fire,ಬೆಂಕಿ
first,ಮೊದಲ
fish,ಮೀನು
fit,ಸರಿಹೊಂದದ
five,ಐದು
flat,ಫ್ಲಾಟ್
floor,ನೆಲದ
flow,ಹರಿಯುವಂತೆ
flower,ಹೂವಿನ
fly,ಹಾರುವ
follow,ಅನುಸರಿಸಿ
food,ಆಹಾರ
foot,ಕಾಲು
for,ಫಾರ್
force,ಶಕ್ತಿ
forest,ಅರಣ್ಯ
form,ರೂಪ
forward,ಮುಂದೆ
found,ಕಂಡುಬಂದಿಲ್ಲ
four,ನಾಲ್ಕು
fraction,ಕ
free,ಉಚಿತ
fresh,ತಾಜಾ
friend,ಸ್ನೇಹಿತ
from,ರಿಂದ
front,ಮುಂದೆ
fruit,ಹಣ್ಣು
full,ಪೂರ್ಣ
fun,ಮೋಜಿನ
game,ಆಟದ
garden,ತೋಟದ
gas,ಅನಿಲ
gather,ಸಂಗ್ರಹಿಸಲು
gave,ನೀಡಿದರು
general,ಸಾಮಾನ್ಯ
gentle,ಶಾಂತ
get,ಪಡೆಯಲು
girl,ಹುಡುಗಿ
give,ನೀಡಿ
glad,ಸಂತೋಷವನ್ನು
glass,ಗಾಜಿನ
go,ಹೋಗಿ
gold,ಚಿನ್ನದ
gone,ಹೋದ
good,ಉತ್ತಮ
got,ಸಿಕ್ಕಿತು
govern,ಆಡಳಿತ
grand,ಮಹೋನ್ನತ
grass,ಹುಲ್ಲು
gray,ಬೂದು
great,ಮಹಾನ್
green,ಹಸುರು
grew,ಬೆಳೆಯಿತು
ground,ನೆಲದ
group,ಗುಂಪು
grow,ಬೆಳೆಯಲು
guess,ಊಹೆ
guide,ಮಾರ್ಗದರ್ಶನ
gun,ಗನ್
had,ಹೊಂದಿತ್ತು
hair,ಕೂದಲು
half,ಅರ್ಧ
hand,ಕೈ
happen,ಸಂಭವಿಸಿ
happy,ಸಂತೋಷ
hard,ಹಾರ್ಡ್
has,ಹೊಂದಿದೆ
hat,ಹ್ಯಾಟ್
have,ಹೊಂದಿವೆ
he,ಅವರು
head,ತಲೆ
hear,ಕೇಳಲು
heard,ಕೇಳಿದ
heart,ಹೃದಯ
heat,ಶಾಖ
heavy,ಭಾರೀ
held,ನಡೆದ
help,ಸಹಾಯ
her,ತನ್ನ
here,ಇಲ್ಲಿ
high,ಹೆಚ್ಚಿನ
hill,ಬೆಟ್ಟದ
him,ಅವರಿಗೆ
his,ಅವರ
history,ಇತಿಹಾಸ
hit,ಹಿಟ್
hold,ಹಿಡಿದುಕೊಳ್ಳಿ
hole,ರಂಧ್ರ
home,ಮನೆ
hope,ಭಾವಿಸುತ್ತೇವೆ
horse,ಕುದುರೆ
hot,ಬಿಸಿ
hour,ಗಂಟೆ
house,ಮನೆ
how,ಹೇಗೆ
huge,ಬೃಹತ್
human,ಮಾನವ
hundred,ನೂರು
hunt,ಬೇಟೆ
hurry,ಯದ್ವಾತದ್ವಾ
i,ನಾನು
ice,ಐಸ್
idea,ಕಲ್ಪನೆ
if,ವೇಳೆ
imagine,ಕಲ್ಪನೆ
in,ರಲ್ಲಿ
inch,ಇಂಚು
include,ಸೇರಿವೆ
indicate,ಸೂಚಿಸುತ್ತದೆ
industry,ಉದ್ಯಮ
insect,ಕೀಟ
instant,ತ್ವರಿತ
instrument,ವಾದ್ಯ
interest,ಆಸಕ್ತಿ
invent,ಆವಿಷ್ಕಾರ
iron,ಕಬ್ಬಿಣದ
is,ಆಗಿದೆ
island,ದ್ವೀಪದ
it,ಇದು
job,ಕೆಲಸ
join,ಸೇರಲು
joy,ಸಂತೋಷ
jump,ಜಿಗಿತವನ್ನು
just,ಕೇವಲ
keep,ಇರಿಸಿಕೊಳ್ಳಲು
kept,ಇದ್ದರು
key,ಪ್ರಮುಖ
kill,ಕೊಲ್ಲಲು
kind,ರೀತಿಯ
king,ರಾಜ
knew,ತಿಳಿದಿತ್ತು
know,ಗೊತ್ತು
lady,ಮಹಿಳೆ
lake,ಸರೋವರದ
land,ಭೂಮಿ
language,ಭಾಷೆ
large,ದೊಡ್ಡ
last,ಕಳೆದ
late,ಕೊನೆಯ
laugh,ನಗು
law,ಕಾನೂನು
lay,ಲೇ
lead,ದಾರಿ
learn,ತಿಳಿಯಲು
least,ಕನಿಷ್ಠ
leave,ಬಿಟ್ಟು
led,ಕಾರಣವಾಯಿತು
left,ಬಿಟ್ಟು
leg,ಲೆಗ್
length,ಉದ್ದ
less,ಕಡಿಮೆ
let,ಅವಕಾಶ
letter,ಪತ್ರ
level,ಮಟ್ಟದ
lie,ಸುಳ್ಳು
life,ಜೀವನ
lift,ಲಿಫ್ಟ್
light,ಬೆಳಕಿನ
like,ಹಾಗೆ
line,ಸಾಲು
liquid,ದ್ರವ
list,ಪಟ್ಟಿ
listen,ಕೇಳಲು
little,ಕಡಿಮೆ
live,ಲೈವ್
locate,ಪತ್ತೆ
log,ಲಾಗ್
lone,ಒಂಟಿ
long,ಉದ್ದ
look,ನೋಡಲು
lost,ಕಳೆದು
lot,ಬಹಳಷ್ಟು
loud,ಜೋರಾಗಿ
love,ಪ್ರೀತಿ
low,ಕಡಿಮೆ
machine,ಯಂತ್ರ
made,ಮಾಡಿದ
magnet,ಮ್ಯಾಗ್ನೆಟ್
main,ಮುಖ್ಯ
major,ಪ್ರಮುಖ
make,ಮಾಡಲು
man,ವ್ಯಕ್ತಿ
many,ಅನೇಕ
map,ನಕ್ಷೆ
mark,ಮಾರ್ಕ್
market,ಮಾರುಕಟ್ಟೆ
mass,ಸಮೂಹ
master,ಮಾಸ್ಟರ್
match,ಪಂದ್ಯದ
material,ವಸ್ತು
matter,ಮ್ಯಾಟರ್
may,ಮೇ
me,ನನಗೆ
mean,ಅರ್ಥ
meant,ಅರ್ಥ
measure,ಅಳೆಯಲು
meat,ಮಾಂಸ
meet,ಭೇಟಿ
melody,ಮಧುರ
men,ಪುರುಷರು
metal,ಲೋಹದ
method,ವಿಧಾನ
middle,ಮಧ್ಯಮ
might,ಅಧಿಕಬಲ
mile,ಮೈಲಿ
milk,ಹಾಲು
million,ಮಿಲಿಯನ್
mind,ಮನಸ್ಸು
mine,ಗಣಿ
minute,ನಿಮಿಷದ
miss,ಮಿಸ್
mix,ಮಿಶ್ರಣ
modern,ಆಧುನಿಕ
molecule,ಅಣು
moment,ಕ್ಷಣ
money,ಹಣ
month,ತಿಂಗಳು
moon,ಚಂದ್ರ
more,ಹೆಚ್ಚು
morning,ಬೆಳಿಗ್ಗೆ
most,ಅತ್ಯಂತ
mother,ತಾಯಿ
motion,ಚಲನೆಯ
mount,ಆರೋಹಣ
mountain,ಪರ್ವತ
mouth,ಬಾಯಿ
move,ನಡೆಸುವಿಕೆಯನ್ನು
much,ಹೆಚ್ಚು
multiply,ಗುಣಿಸಿ
music,ಸಂಗೀತ
must,ಮಾಡಬೇಕಾಗುತ್ತದೆ
my,ನನ್ನ
name,ಹೆಸರು
nation,ರಾಷ್ಟ್ರದ
natural,ನೈಸರ್ಗಿಕ
nature,ಪ್ರಕೃತಿ
near,ಬಳಿ
necessary,ಅಗತ್ಯ
neck,ಕುತ್ತಿಗೆ
need,ಅಗತ್ಯವಿದೆ
neighbor,ನೆರೆಯ
never,ಎಂದಿಗೂ
new,ಹೊಸ
next,ಮುಂದಿನ
night,ರಾತ್ರಿ
nine,ಒಂಬತ್ತು
no,ಯಾವುದೇ
noise,ಶಬ್ದ
noon,ಮಧ್ಯಾಹ್ನ
nor,ಅಥವಾ
north,ಉತ್ತರ
nose,ಮೂಗು
note,ಟಿಪ್ಪಣಿ
nothing,ಏನೂ
notice,ಸೂಚನೆ
noun,ನಾಮಪದ
now,ಈಗ
number,ಸಂಖ್ಯೆ
numeral,ಸಂಖ್ಯಾವಾಚಕ
object,ವಸ್ತು
observe,ಗಮನಿಸಿ
occur,ಸಂಭವಿಸುತ್ತದೆ
ocean,ಸಾಗರ
of,ನ
off,ಆಫ್
offer,ಪ್ರಸ್ತಾಪವನ್ನು
office,ಕಚೇರಿ
often,ಸಾಮಾನ್ಯವಾಗಿ
oh,ಓಹ್
oil,ತೈಲ
old,ಹಳೆಯ
on,ಮೇಲೆ
once,ಒಮ್ಮೆ
one,ಒಂದು
only,ಮಾತ್ರ
open,ತೆರೆದ
operate,ಕೆಲಸ
opposite,ವಿರುದ್ಧ
or,ಅಥವಾ
order,ಆದೇಶ
organ,ಅಂಗ
original,ಮೂಲ
other,ಇತರ
our,ನಮ್ಮ
out,ಔಟ್
over,ಮೇಲೆ
own,ಶಾಲೆ
oxygen,ಆಮ್ಲಜನಕ
page,ಪುಟ
paint,ಬಣ್ಣ
pair,ಜೋಡಿ
paper,ಕಾಗದದ
paragraph,ಪ್ಯಾರಾಗ್ರಾಫ್
parent,ಮೂಲ
part,ಭಾಗ
particular,ನಿರ್ದಿಷ್ಟ
party,ಪಕ್ಷದ
pass,ಪಾಸ್
past,ಕಳೆದ
path,ಮಾರ್ಗ
pattern,ಮಾದರಿ
pay,ಪಾವತಿ
people,ಜನರು
perhaps,ಬಹುಶಃ
period,ಅವಧಿ
person,ವ್ಯಕ್ತಿ
phrase,ನುಡಿಗಟ್ಟು
pick,ಆಯ್ಕೆ
picture,ಚಿತ್ರ
piece,ತುಣುಕು
pitch,ಪಿಚ್
place,ಸ್ಥಾನ
plain,ಸರಳ
plan,ಯೋಜನೆ
plane,ವಿಮಾನ
planet,ಗ್ರಹದ
plant,ಸಸ್ಯ
play,ಆಡಲು
please,ದಯವಿಟ್ಟು
plural,ಬಹುವಚನ
poem,ಕವಿತೆಯ
point,ಪಾಯಿಂಟ್
poor,ಕಳಪೆ
populate,ಜನಪ್ರಿಯಗೊಳಿಸುವುದಕ್ಕೆ
port,ಬಂದರು
pose,ಭಂಗಿ
position,ಸ್ಥಾನ
possible,ಸಾಧ್ಯ
post,ಪೋಸ್ಟ್
pound,ಪೌಂಡ್
power,ವಿದ್ಯುತ್
practice,ಅಭ್ಯಾಸ
prepare,ತಯಾರು
present,ಪ್ರಸ್ತುತ
press,ಪತ್ರಿಕಾ
pretty,ಬಹಳ
print,ಮುದ್ರಣ
probable,ಬಹುಶಃ
problem,ಸಮಸ್ಯೆ
process,ಪ್ರಕ್ರಿಯೆ
produce,ಉತ್ಪತ್ತಿ
product,ಉತ್ಪನ್ನ
proper,ಸರಿಯಾದ
property,ಆಸ್ತಿ
protect,ರಕ್ಷಿಸಲು
prove,ಸಾಬೀತು
provide,ಒದಗಿಸಲು
pull,ಪುಲ್
push,ಪುಶ್
put,ಪುಟ್
quart,ಕಾಲುಭಾಗ
question,ಪ್ರಶ್ನೆ
quick,ತ್ವರಿತ
quiet,ಸ್ತಬ್ಧ
quite,ಸಾಕಷ್ಟು
quotient,ಭಾಗಲಬ್ಧ
race,ಓಟದ
radio,ರೇಡಿಯೋ
rail,ರೈಲು
rain,ಮಳೆ
raise,ಹೆಚ್ಚಿಸಲು
ran,ಓಡಿ
range,ಶ್ರೇಣಿಯ
rather,ಬದಲಿಗೆ
reach,ತಲುಪಲು
read,ಓದಲು
ready,ಸಿದ್ಧ
real,ನಿಜವಾದ
reason,ಕಾರಣ
receive,ಸ್ವೀಕರಿಸಲು
record,ದಾಖಲೆ
red,ಕೆಂಪು
region,ಪ್ರದೇಶದಲ್ಲಿ
remember,ನೆನಪಿಡಿ
repeat,ಮತ್ತೆ
reply,ಪ್ರತ್ಯುತ್ತರ
represent,ಪ್ರತಿನಿಧಿಸುತ್ತವೆ
require,ಅಗತ್ಯವಿರುತ್ತದೆ
rest,ಉಳಿದ
result,ಪರಿಣಾಮವಾಗಿ
rich,ಶ್ರೀಮಂತ
ride,ಸವಾರಿ
right,ಬಲ
ring,ರಿಂಗ್
rise,ಏರಿಕೆ
river,ನದಿ
road,ರಸ್ತೆ
rock,ರಾಕ್
roll,ರೋಲ್
room,ಕೊಠಡಿ
root,ಮೂಲ
rope,ಹಗ್ಗ
rose,ಗುಲಾಬಿ
round,ಸುತ್ತಿನಲ್ಲಿ
row,ಸಾಲು
rub,ರಬ್
rule,ನಿಯಮ
run,ರನ್
safe,ಸುರಕ್ಷಿತ
said,ಹೇಳಿದರು
sail,ಪಟ
salt,ಉಪ್ಪು
same,ಅದೇ
sand,ಮರಳು
sat,ಶನಿ
save,ಉಳಿಸಲು
saw,ಗರಗಸದ
say,ಹೇಳಲು
scale,ಪ್ರಮಾಣದ
school,ಶಾಲೆಯ
science,ವಿಜ್ಞಾನ
score,ಸ್ಕೋರ್
sea,ಸಮುದ್ರ
search,ಹುಡುಕಾಟ
season,ಋತುವಿನ
seat,ಸ್ಥಾನವನ್ನು
second,ಎರಡನೇ
section,ವಿಭಾಗ
see,ನೋಡಿ
seed,ಬೀಜ
seem,ತೋರುತ್ತದೆ
segment,ಭಾಗ
select,ಆಯ್ಕೆ
self,ಸ್ವಯಂ
sell,ಮಾರಾಟ
send,ಕಳುಹಿಸಿ
sense,ಅರ್ಥದಲ್ಲಿ
sent,ಕಳುಹಿಸಿದ
sentence,ವಾಕ್ಯ
separate,ಪ್ರತ್ಯೇಕ
serve,ಸೇವೆ
set,ಸೆಟ್
settle,ಇತ್ಯರ್ಥ
seven,ಏಳು
several,ಹಲವಾರು
shall,ಶಲ್
shape,ಆಕಾರ
share,ಪಾಲು
sharp,ಚೂಪಾದ
she,ಅವರು
sheet,ಹಾಳೆ
shell,ಚಿಪ್ಪು
shine,ಶೈನ್
ship,ಹಡಗು
shoe,ಶೂ
shop,ಅಂಗಡಿ
shore,ತೀರದ
short,ಸಣ್ಣ
should,ಮಾಡಬೇಕಾದುದು
shoulder,ಭುಜದ
shout,ಕೂಗು
show,ಪ್ರದರ್ಶನ
side,ಅಡ್ಡ
sight,ದೃಷ್ಟಿ
sign,ಸೈನ್
silent,ಮೂಕ
silver,ಬೆಳ್ಳಿ
similar,ಇದೇ
simple,ಸರಳ
since,ರಿಂದ
sing,ಹಾಡಲು
single,ಏಕ
sister,ಸಹೋದರಿ
sit,ಕುಳಿತು
six,ಆರು
size,ಗಾತ್ರ
skill,ಕೌಶಲ್ಯ
skin,ಚರ್ಮದ
sky,ಆಕಾಶ
slave,ಗುಲಾಮ
sleep,ನಿದ್ರೆ
slip,ಸ್ಲಿಪ್
slow,ನಿಧಾನ
small,ಸಣ್ಣ
smell,ವಾಸನೆ
smile,ಸ್ಮೈಲ್
snow,ಹಿಮ
so,ಆದ್ದರಿಂದ
soft,ಮೃದು
soil,ಮಣ್ಣಿನ
soldier,ಸೈನಿಕ
solution,ಪರಿಹಾರ
solve,ಪರಿಹರಿಸಲು
some,ಕೆಲವು
son,ಮಗ
song,ಹಾಡು
soon,ಶೀಘ್ರದಲ್ಲೇ
sound,ಧ್ವನಿ
south,ದಕ್ಷಿಣ
space,ಸ್ಪೇಸ್
speak,ಮಾತನಾಡಲು
special,ವಿಶೇಷ
speech,ಭಾಷಣ
speed,ವೇಗ
spell,ಕಾಗುಣಿತ
spend,ಖರ್ಚು
spoke,ಮಾತನಾಡಿದರು
spot,ಸ್ಪಾಟ್
spread,ಹರಡುವಿಕೆ
spring,ವಸಂತ
square,ಚದರ
stand,ನಿಲ್ಲಲು
star,ನಕ್ಷತ್ರ
start,ಆರಂಭ
state,ರಾಜ್ಯ
station,ಕೇಂದ್ರ
stay,ಉಳಿಯಲು
stead,ಮುಂದಿನ
steam,ಉಗಿ
steel,ಉಕ್ಕಿನ
step,ಹಂತ
stick,ಸ್ಟಿಕ್
still,ಇನ್ನೂ
stone,ಕಲ್ಲು
stood,ನಿಂತು
stop,ನಿಲ್ಲಿಸಲು
store,ಅಂಗಡಿ
story,ಕಥೆ
straight,ನೇರ
strange,ವಿಚಿತ್ರ
stream,ಸ್ಟ್ರೀಮ್
street,ರಸ್ತೆ
stretch,ಏರಿಕೆಯ
string,ಸ್ಟ್ರಿಂಗ್
strong,ಪ್ರಬಲ
student,ವಿದ್ಯಾರ್ಥಿ
study,ಅಧ್ಯಯನ
subject,ವಿಷಯದ
substance,ವಸ್ತುವಿನ
subtract,ಕಳೆಯಿರಿ
success,ಯಶಸ್ಸು
such,ಇಂತಹ
sudden,ಹಠಾತ್
suffix,ಪ್ರತ್ಯಯ
sugar,ಸಕ್ಕರೆ
suggest,ಸಲಹೆ
suit,ಸೂಟ್
summer,ಬೇಸಿಗೆ
sun,ಸೂರ್ಯ
supply,ಪೂರೈಕೆ
support,ಬೆಂಬಲ
sure,ಖಚಿತವಾಗಿ
surface,ಮೇಲ್ಮೈ
surprise,ಅನಿರೀಕ್ಷಿತ
swim,ಈಜು
syllable,ಉಚ್ಚಾರಗಳು
symbol,ಚಿಹ್ನೆ
system,ವ್ಯವಸ್ಥೆಯ
table,ಟೇಬಲ್
tail,ಬಾಲ
take,ತೆಗೆದುಕೊಳ್ಳಲು
talk,ಚರ್ಚೆ
tall,ಎತ್ತರದ
teach,ಕಲಿಸಲು
team,ತಂಡ
teeth,ಹಲ್ಲುಗಳು
tell,ಹೇಳಲು
temperature,ತಾಪಮಾನ
ten,ಹತ್ತು
term,ಪದ
test,ಟೆಸ್ಟ್
than,ಕ್ಕಿಂತ
thank,ಧನ್ಯವಾದ
that,ಆ
the,ದಿ
their,ತಮ್ಮ
them,ಅವುಗಳನ್ನು
then,ನಂತರ
there,ಇಲ್ಲ
these,ಈ
they,ಅವರು
thick,ದಪ್ಪ
thin,ತೆಳುವಾದ
thing,ವಿಷಯ
think,ನಗರದ
third,ಮೂರನೇ
this,ಈ
those,ಆ
though,ಆದರೂ
thought,ಭಾವಿಸಲಾಗಿದೆ
thousand,ಸಾವಿರ
three,ಮೂರು
through,ಮೂಲಕ
throw,ಎಸೆಯಲು
thus,ಹೀಗೆ
tie,ಟೈ
time,ಸಮಯ
tiny,ಸಣ್ಣ
tire,ಟೈರ್
to,ಗೆ
together,ಒಟ್ಟಿಗೆ
told,ಹೇಳಿದರು
tone,ಟೋನ್
too,ತುಂಬಾ
took,ತೆಗೆದುಕೊಂಡಿತು
tool,ಸಾಧನ
top,ಟಾಪ್
total,ಒಟ್ಟು
touch,ಟಚ್
toward,ಕಡೆಗೆ
town,ಪಟ್ಟಣದ
track,ಟ್ರ್ಯಾಕ್
trade,ವ್ಯಾಪಾರ
train,ರೈಲು
travel,ಪ್ರವಾಸ
tree,ಮರ
triangle,ತ್ರಿಕೋನ
trip,ಪ್ರವಾಸ
trouble,ತೊಂದರೆ
