english,kyrgyz
drop,тамчы
dry,кургак
duck,өрдөк
during,убагында
each,ар бир
ear,кулак
early,эрте
earth,жер
ease,тынчылык
east,чыгыш
eat,жеш
edge,чет
effect,таасири
egg,жумуртка
eight,сегиз
either,же
electric,электрдик
element,элемент
else,дагы
end,бир мезгилдин акырына карата
enemy,душман
energy,энергия
engine,машина
enough,жетишет
enter,кирүү
equal,бирдей
equate,өмүрү
especially,айрыкча
even,"ал тургай,"
evening,кечинде
event,окуя
ever,дайыма
every,ар бир
exact,так
example,мисал
except,тышкары
excite,козгоо
exercise,көнүгүү
expect,күтүү
experience,тажрыйба
experiment,тажрыйба
eye,көз
face,бет
fact,чындык
fair,туура
fall,түшөт
family,үй-бүлө
famous,атактуу
far,алыс
farm,чарба
fast,орозо
fat,май
father,ата
favor,пайда
fear,коркунуч
feed,тамактануу
feel,сезүү
feet,буттары
fell,төмөндөдү
felt,сезип
few,бир нече
field,талаа
fig,анжыр
fight,салгылаш
figure,көрсөткүч
fill,толтуруу
final,акыркы
find,табуу
fine,айып
finger,манжа
finish,бүтүрүү
fire,от
first,алгачкы
fish,балык
fit,туура
five,беш
flat,жалпак
floor,кабат
flow,агуу
flower,гүл
fly,учуу
follow,ээрчүү
food,тамак-аш
foot,таман
for,үчүн
force,күч
forest,токой
form,түрү
forward,алдыга
found,табылган
four,төрт
fraction,бөлчөк
free,бекер
fresh,жаңы
friend,дос
from,чейин
front,алдыңкы
fruit,жемиш
full,толук
fun,тамаша
game,оюн
garden,бакча
gas,газ
gather,жыйноо
gave,берди
general,жалпы
gentle,жумшак
get,алуу
girl,кыз
give,берүү
glad,бактылуу
glass,айнек
go,"барып,"
gold,алтын
gone,кетти
good,жакшы
got,турду
govern,башкаруу
grand,улуу
grass,чөп
gray,боз
great,абдан жакшы
green,жашыл
grew,өстү
ground,жер
group,группа
grow,өсүү
guess,баамдоо
guide,жетектөө
gun,курал
had,бар болчу
hair,чач
half,жарым
hand,кол
happen,эмне
happy,бактылуу
hard,катуу
has,элек
hat,калпак
have,бар
he,ал
head,баш
hear,угуу
heard,уккан
heart,жүрөк
heat,ысык
heavy,оор
held,өткөрдүк
help,жардам
her,анын
here,бул жерде
high,бийик
hill,дөбө
him,анын
his,анын
history,тарых
hit,даражасы:
hold,кармоо
hole,тешик
home,үй
hope,үмүт
horse,ат
hot,ысык
hour,саат
house,үй
how,кантип
huge,абдан чоң
human,адам
hundred,жүз
hunt,аң уулоо
hurry,шашуу
i,мен
ice,муз
idea,ой
if,эгер
imagine,элестетүү
in,боюнча
inch,дюйм
include,кирет
indicate,көрсөтүү
industry,өнөр жай
insect,курт-кумурска
instant,көз ирмем
instrument,аспап
interest,пайыздык
invent,ойлоп
iron,темир
is,болуп саналат
island,арал
it,ал
job,иш
join,кошулуу
joy,кубаныч
jump,секирүү
just,так
keep,кармоо
kept,сакталат
key,ачкыч
kill,өлтүрүү
kind,түр
king,падыша
knew,билген
know,билүү
lady,айым
lake,көл
land,жер
language,тил
large,чоң
last,акыркы
late,кеч
laugh,күлүү
law,мыйзам
lay,жатты
lead,жетектөө
learn,үйрөнүү
least,эң кичине
leave,калтыруу
led,алып келди
left,сол
leg,бут
length,узундук
less,азыраак
let,жол
letter,кат
level,деңгээл
lie,калп
life,жашоо
lift,көтөргүч
light,жарык
like,сыяктуу
line,сызык
liquid,суюктук
list,тизме
listen,угуу
little,кичине
live,жашоо
locate,жайгаштыруу
log,журналы
lone,жалгыз
long,узун
look,кароо
lost,жоголгон
lot,көп
loud,катуу
love,сүйүү
low,төмөн
machine,машина
made,жасалган
magnet,магнит
main,негизги
major,майор
make,жасоо
man,адам
many,көп
map,карта
mark,белги
market,базар
mass,массалык маалымат
master,кожоюн
match,мелдеш
material,буюм
matter,зат
may,май
me,мага
mean,деген
meant,билдирген
measure,ченөө
meat,эт
meet,жолугуу
melody,мелодия
men,эркектер
metal,метал
method,ыкма
middle,орто
might,күч
mile,миля
milk,сүт
million,миллион
mind,акыл-эс
mine,кен
minute,мүнөт
miss,кечигүү
mix,аралаштыруу
modern,азыркы
molecule,молекуласы
moment,ирмем
money,акча
month,ай
moon,ай
more,дагы
morning,эртең менен
most,көпчүлүк
mother,эне
motion,кыймыл
mount,тоосунда
mountain,тоо
mouth,ооз
move,жылуу
much,көп
multiply,көп
music,музыка
must,керек
my,менин
name,ысым
nation,улут
natural,жаратылыш
nature,жаратылыш
near,жанында
necessary,керектүү
neck,моюн
need,керек
neighbor,коңшу
never,эч качан
new,жаңы
next,кийинки
night,түн
nine,тогуз
no,жок
noise,ызы-чуу
noon,түш маалы
nor,"да,"
north,түндүк
nose,мурун
note,эскертүү
nothing,эч нерсе
notice,билдирүү
noun,зат атооч
now,азыр
number,сан
numeral,сан атооч
object,зат
observe,сактоо
occur,пайда болушу
ocean,океан
of,боюнча
off,өчүрүү
offer,сунуш
office,кызматы
often,көп
oil,май
old,карыган
on,боюнча
once,бир жолу
one,бир
onion,пияз
only,гана
open,ачык
operate,иштөө
opposite,карама каршы
or,же
order,тартип
organ,орган
original,баштапкы
other,башка
our,биздин
out,чыккан
over,үстүндө
own,өз
oxygen,кычкылтек
page,бет
paint,боек
pair,жуп
paper,кагаз
paragraph,абзац
parent,ата-эне
part,бөлүк
particular,"атап айтканда,"
party,партия
pass,өтүү
past,өткөн
path,жол
pattern,узор
pay,төлөө
people,эл
perhaps,"балким,"
period,мезгил
person,адам
phrase,түрмөк
pick,чогултуу
picture,сүрөт
piece,үзүм
pitch,чымкый
place,орун
plain,ачык
plan,план
plane,учак
planet,планета
plant,өсүмдүк
play,ойноо
please,өтүнөмүн
plural,көптөгөн
poem,ыр
point,чекит
poor,жарды
populate,толтуруш
port,порт
pose,поза
position,абал
possible,мүмкүн болгон
post,кызмат
pound,фунт
power,кубат
practice,практика
prepare,даярдоо
present,азыркы
press,басма сөз
pretty,сулуу
print,басма
probable,мүмкүн болгон
problem,маселе
process,тартиби
produce,чыгаруу
product,продукт
proper,ылайык
property,мүлк
protect,коргоо
prove,далилдөө
provide,камсыз кылуу
pull,тартуу
push,түртүү
put,коюу
quart,өлчөм
question,суроо
quick,ылдам
quiet,тынч
quite,абдан
quotient,болуп саналат
race,тукум
radio,радио
rail,тосмо
rain,жаан
raise,көтөрүү
ran,чуркап
range,кырка
rather,"эмес,"
reach,жетүү
read,окуу
ready,даяр
real,чын
reason,акыл
receive,кабыл алуу
record,жазуу
red,кызыл
region,регион
remember,эстөө
repeat,кайтолоо
reply,жооп
represent,билдирет
require,талап кылуу
rest,эс алуу
result,жыйынтык
rich,бай
ride,жүрүү
right,туура
ring,шакек
rise,көтөрүлүү
river,дарыя
road,жол
rock,аска
roll,айландыруу
room,бөлмө
root,тамыр
rope,аркан
rose,роза
round,тегерек
row,катар
rub,руб
rule,бийлик
run,нускасы:
safe,аман-эсен
said,мындай деди:
sail,парус менен жүрүү
salt,туз
same,ошондой
sand,кум
sat,sat
save,куткаруу
saw,араа
say,айтуу
scale,масштабы
school,мектеп
science,илим
score,упай
sea,деңиз
search,издөө
season,сезону
seat,отургуч
second,экинчи
section,бөлүк
see,көрүү
seed,тукум
seem,көрүнүшү
segment,кесинди
select,тандоо
self,өз алдынча башкаруу
sell,сатуу
send,жиберүү
sense,сезим
sent,жөнөтүлдү
sentence,сүйлөм
separate,бөлүнгөн
serve,кызмат кылуу
set,коюлган
settle,чечүү
seven,жети
several,бир топ
shall,милдеттүү
shape,келбет
share,үлүшү
sharp,курч
she,ал
sheet,барак
shell,жумуртканын кабыгы
shine,жарык
ship,кеме
shoe,бут кийим
shop,дүкөн
shore,жээк
short,кыска
should,керек
shoulder,ийин
shout,кыйкыруу
show,көрсөтүү
side,жак
sight,көрүш
sign,белги
silent,үнсүз
silver,күмүш
similar,окшош
simple,жөнөкөй
since,бери
sing,ырдоо
single,жалгыз
sister,бир тууган
sit,отуруу
six,алты
size,көлөм
skill,өнөрдүүлүк
skin,тери
sky,асман
slave,кул
sleep,уйку
slip,тайгалануу
slow,жай
small,кичине
smell,жыт
smile,жылмаюу
snow,кар
so,ушундай
soft,жумшак
soil,жер
soldier,аскер
solution,чечим
solve,чечүү
some,кээ бир
son,уул
song,ыр
soon,жакында
sound,тыбыш
south,түштүк
space,мейкиндик
speak,сүйлөө
special,атайын
speech,сүйлөө
speed,ылдамдык
spell,сыйкырлоо
spend,сарптоо
spoke,мындай деди:
spot,так
spread,жайылуу
spring,жаз
square,аянт
stand,тура
star,жылдыз
start,баштоо
state,мамлекет
station,бекети
stay,кал
stead,ордуна
steam,буу
steel,болот
step,кадам
stick,таяк
still,дагы
stone,таш
stood,турду
stop,токтотуу
store,дүкөн
story,баян
straight,түз
strange,бөлөк
stream,агым
street,көчө
stretch,чоюу
string,аркан
strong,күчтүү
student,окуучу
study,окуу
subject,тема
substance,зат
subtract,кемитүү
success,ийгилик
such,ушундай
sudden,кокус
suffix,suffix
sugar,кант
suggest,сунуш
suit,туура келүү
summer,жай
sun,күн
supply,жабдуу
support,колдоо
sure,ишенимдүү
surface,жер үстүндөгү
surprise,күтүлбөстүк
swim,сүзүү
syllable,муун
symbol,белги
system,система
table,стол
tail,куйрук
take,кабыл алуу
talk,сүйлөшүү
tall,бийик
teach,окутуу
team,команда
teeth,тиштер
tell,айтып
temperature,абанын температурасы:
ten,он
term,мөөнөт
test,текшерүү
than,караганда
thank,рахмат
that,ошол
their,алардын
them,аларды
then,ошондо
there,жок
these,бул
they,алар
thick,жоон
thin,арык
thing,буюм
think,ойлоо
third,үчүнчү
this,бул
those,ошол
though,карабастан
thought,ой
thousand,мын
three,үч
through,аркылуу
throw,ыргытуу
thus,"ошентип,"
tie,галстук
time,убакыт
tiny,кичинекей
tire,дөңгөлөктүн алкагы
to,үчүн
together,бирге
told,айтып
tone,түс
too,дагы
took,алды
tool,курал
top,жогорку
total,жалпы
touch,тийүү
toward,болгон
town,шаар
track,жол
trade,соода
train,поезд
travel,саякаттоо
tree,дарак
triangle,үч бурчтук
trip,на
trouble,оор
truck,жүк ташуучу
true,чыныгы
try,аракет кылуу
tube,түтүк
turn,бурулуш
twenty,жыйырма
two,эки
type,түрү
under,астында
unit,бирдиги
until,чейин
up,чейин
us,бизге
use,колдонуу
usual,демейдеги
valley,өрөөн
value,наркы
vary,өзгөрүү
verb,этиш
very,абдан
view,көрүнүш
village,кыштак
visit,баруу
voice,үн
vowel,үндүү
wait,күтүү
walk,басуу
wall,дубал
want,каалоо
war,согуш
warm,жылуу
was,болду
wash,жуунуу
watch,байкоо
water,суу
wave,толкун
way,жол
we,биз
wear,кийүү
weather,аба-ырайы
week,жума
weight,салмак
well,жакшы
went,барды
were,болгон
west,батыш
what,эмне
wheel,дөңгөлөк
when,качан
where,кайда
whether,же
which,кайсы
while,жатканда
white,ак
who,ким
whole,бүт
whose,кимдин
why,неге
wide,кең
wife,аял
wild,жапайы
will,болот
win,жеңүү
wind,шамал
window,терезе
wing,канат
winter,кыш
wire,зым
wish,каалоо
with,менен
woman,аял
women,аялдар
wonder,таң калуу
won’t,"эркин эмес,"
wood,жыгач
word,сөз
work,иш
world,дүйнө
would,турган
write,жазуу
written,жазылган
wrong,ката
wrote,жазган
yard,ярд
year,жыл
yellow,сары
yes,ооба
yet,дагы
you,сиз
young,жаш
your,сенин
