english,persian
edge,لبه
effect,اثر
egg,تخم مرغ
eight,هشت
either,یا
electric,برق
element,عنصر
else,دیگر
end,پایان
enemy,دشمن
energy,انرژی
engine,موتور
enough,کافی
enter,وارد شدن
equal,برابر
equate,برابر
especially,ویژه
even,حتی
evening,شب
event,رویداد
ever,همیشه
every,هر
exact,دقیق
example,مثال
except,جز
excite,تحریک
exercise,ورزش
expect,انتظار
experience,تجربه
experiment,تجربه
eye,چشم
face,صورت
fact,واقع
fair,عادلانه
fall,سقوط
family,خانواده
famous,معروف
far,بسیار
farm,مزرعه
fast,سریع
fat,چربی
father,پدر
favor,به نفع
fear,ترس
feed,خوراک
feel,احساس
feet,پا
fell,سقوط
felt,نمد
few,کم
field,حوزه
fig,انجیر
fight,مبارزه
figure,شکل
fill,پر
final,نهایی
find,پیدا کردن
fine,خوب
finger,انگشت
finish,پایان
fire,آتش
first,اولین
fish,ماهی
fit,مناسب
five,پنج
flat,تخت
floor,طبقه
flow,جریان
flower,گل
fly,پرواز
follow,به دنبال
food,مواد غذایی
foot,پا
for,برای
force,نیروی
forest,جنگل
form,فرم
forward,به جلو
found,یافت
four,چهار
fraction,بخش
free,رایگان
fresh,تازه
friend,دوستان
from,از
front,جلو
fruit,میوه
full,کامل
fun,سرگرم
game,بازی
garden,باغ
gas,گاز
gather,جمع کردن
gave,به
general,عمومی
gentle,ملایم
get,دریافت
girl,دختر
give,را
glad,خوشحالم
glass,شیشه ای
go,به
gold,طلا
gone,رفته
good,خوب
got,رو
govern,حکومت
grand,بزرگ
grass,چمن
gray,خاکستری
great,بزرگ
green,سبز
grew,رشد
ground,زمین
group,گروه
grow,رشد
guess,حدس می زنم
guide,راهنمایی
gun,اسلحه
had,حال
hair,مو
half,نیم
hand,دست
happen,اتفاق می افتد
happy,شاد
hard,سخت
has,دارد
hat,کلاه
have,دارند
he,او
head,سر
hear,گوش
heard,شنیده
heart,قلب
heat,حرارت
heavy,سنگین
held,برگزار شد
help,کمک
her,او
here,اینجا
high,بالا
hill,تپه
him,او
his,خود
history,تاریخ
hit,ضربه
hold,نگه داشتن
hole,سوراخ
home,خانه
hope,امیدوارم
horse,اسب
hot,داغ
hour,ساعت
house,خانه
how,چگونه
huge,بزرگ
human,انسانی
hundred,صد
hunt,شکار
hurry,عجله ب
i,من
ice,یخ
idea,ایده
if,اگر
imagine,تصور کنید
in,در
inch,اینچ
include,عبارتند از
indicate,نشان می دهد
industry,صنعت
insect,حشرات
instant,فوری
instrument,ابزار
interest,علاقه
invent,اختراع
iron,اهن
is,است
island,جزیره
it,آن
job,کار
join,عضویت
joy,لذت
jump,پرش به
just,فقط
keep,نگه داشتن
kept,نگه داشته
key,کلید
kill,کشتن
kind,نوع
king,پادشاه
knew,می دانستم که
know,می دانم
lady,خانم
lake,دریاچه
land,زمین
language,زبان
large,بزرگ
last,آخرین
late,اواخر
laugh,خنده
law,قانون
lay,ذخیره کردن
lead,شود
learn,یادگیری
least,کمترین
leave,ترک
led,رهبری
left,سمت چپ
leg,پا
length,طول
less,کمتر
let,اجازه
letter,نامه
level,سطح
lie,دروغ
life,زندگی
lift,آسانسور
light,نور
like,مانند
line,خط
liquid,مایع
list,لیست
listen,گوش دادن
little,کمی
live,زنده
locate,قرار
log,ورود به
lone,تنها
long,طولانی
look,نگاه
lost,از دست داده
lot,زیادی
loud,با صدا
love,دوست دارم
low,کم
machine,ماشین
made,ساخته شده
magnet,مغناطیس
main,اصلی
major,اصلی
make,را
man,مرد
many,بسیاری از
map,نقشه
mark,علامت
market,بازار
mass,جرم
master,کارشناس
match,مسابقه
material,ماده
matter,موضوع
may,ممکن است
me,به من
mean,متوسط
meant,به معنای
measure,اندازه گیری
meat,گوشت
meet,ملاقات
melody,ملودی
men,مردها
metal,فلز
method,روش
middle,متوسط
might,زور
mile,مایل
milk,شیر
million,میلیون
mind,ذهن
mine,معدن
minute,دقیقه
miss,دست
mix,مخلوط
modern,مدرن
molecule,مولکول
moment,لحظه ای
money,پول
month,ماه
moon,ماه
more,تر
morning,صبح
most,بیشترین
mother,مادر
motion,حرکت
mount,کوه
mountain,کوه
mouth,دهان
move,حرکت
much,بسیار
multiply,ضرب
music,موسیقی
must,باید
my,من
name,نامونام
nation,کشور
natural,طبیعی
nature,طبیعت
near,در نزدیکی
necessary,لازم
neck,گردن
need,نیاز
neighbor,همسایه
never,هرگز
new,جدید
next,بعدی
night,شب
nine,نه
no,هیچ
noise,سر و صدا
noon,ظهر
nor,و نه
north,شمال
nose,بینی
note,یادداشت
nothing,هیچ
notice,اطلاع
noun,اسم
now,ساعت
number,تعداد
numeral,بر اساس اعداد
object,شی
observe,مشاهده
occur,رخ می دهد
ocean,اقیانوس
of,از
off,خاموش
offer,پیشنهاد
office,دفتر
often,غالبا
oh,آه
oil,نفت
old,قدیمی
on,در
once,یک بار
one,یک
only,تنها
open,باز
operate,کار
opposite,در مقابل
or,و یا
order,منظور
organ,عضو
original,اصلی
other,دیگر
our,ما
out,از
over,روی
own,خود
oxygen,اکسیژن
page,صفحه
paint,رنگ
pair,جفت
paper,مقاله
paragraph,بند
parent,پدر و مادر
part,بخش
particular,خاص
party,حزب
pass,عبور
past,گذشته
path,راه
pattern,الگوی
pay,پرداخت
people,مردم
perhaps,شاید
period,دوره
person,فرد
phrase,عبارت
pick,انتخاب کنید
picture,تصویر
piece,قطعه
pitch,زمین
place,محل
plain,ساده
plan,برنامه
plane,هواپیما
planet,سیاره
plant,کارخانه
play,بازی
please,لطفا
plural,جمع
poem,شعر
point,نقطه
poor,ضعیف
populate,جمعیت
port,بندر
pose,مطرح
position,موقعیت
possible,ممکن
post,پست
pound,پوند
power,قدرت
practice,عمل
prepare,آماده
present,حاضر
press,مطبوعات
pretty,خوب
print,چاپ
probable,احتمالی
problem,مشکل
process,روند
produce,محصول
product,محصول
proper,مناسب
property,خاصیت
protect,محافظت
prove,ثابت
provide,ارائه
pull,کشیدن
push,فشار
put,قرار دادن
quart,کوارت
question,سوال
quick,سریع
quiet,آرام
quite,کاملا
quotient,خارج قسمت
race,مسابقه
radio,رادیو
rail,نرده
rain,باران
raise,بالا بردن
ran,فرار
range,دامنه
rather,نه
reach,رسیدن به
read,بهعنوان
ready,اماده
real,واقعی
reason,دلیل
receive,دریافت
record,رکورد
red,قرمز
region,منطقه
remember,به یاد داش
repeat,تکرار
reply,پاسخ
represent,نمایندگی
require,نیاز
rest,بقیه
result,نتیجه
rich,غنی
ride,سوار
right,راست
ring,حلقه
rise,افزایش
river,رودخانه
road,جاده
rock,سنگ
roll,رول
room,اتاق
root,ریشه
rope,طناب
rose,افزایش
round,دور
row,ردیف
rub,مالیدن
rule,قانون
run,اجرا
safe,امن
said,گفت:
sail,بادبان
salt,نمک
same,همان
sand,شن
sat,شنبه
save,ذخیره
saw,اره
say,می گویند
scale,مقیاس
school,مدرسه
science,علم
score,نمره
sea,دریا
search,جستجو
season,فصل
seat,صندلی
second,دوم
section,بخش
see,ببینید
seed,دانه
seem,به نظر می رسد
segment,بخش
select,ب کنید
self,خود
sell,فروش
send,ارسال
sense,احساس
sent,ارسال
sentence,حکم
separate,جداگانه
serve,خدمت
set,مجموعه
settle,حل و فصل
seven,هفت
several,چند
shall,باید
shape,شکل
share,سهم
sharp,تیز
she,او
sheet,ورق
shell,پوسته
shine,درخشش
ship,کشتی
shoe,کفش
shop,فروشگاه
shore,ساحل
short,کوتاه
should,باید
shoulder,شانه
shout,فریاد
show,نمایش
side,سمت
sight,نظر
sign,علامت
silent,خاموش
silver,نقره ای
similar,مشابه
simple,ساده
since,از سال
sing,آواز خواندن
single,تک
sister,خواهر
sit,نشستن
six,شش
size,اندازه
skill,مهارت
skin,پوست
sky,آسمان
slave,برده
sleep,خواب
slip,لغزش
slow,کند
small,کوچک
smell,بوی
smile,لبخند
snow,برف
so,تا
soft,نرم
soil,خاک
soldier,سرباز
solution,راه حل
solve,حل
some,برخی از
son,پسر
song,آهنگ
soon,بزودی
sound,صدا
south,جنوب
space,فضا
speak,کنند
special,ویژه
speech,سخنرانی
speed,سرعت
spell,طلسم
spend,خرج کردن
spoke,صحبت
spot,نقطه
spread,گسترش
spring,بهار
square,مربع
stand,ایستادن
star,ستاره
start,شروع
state,دولت
station,ایستگاه
stay,اقامت
stead,جا
steam,بخار
steel,فولاد
step,گام
stick,چوب
still,هنوز
stone,سنگ
stood,ایستاده بود
stop,توقف
store,فروشگاه
story,داستان
straight,مستقیم
strange,عجیب و غر
stream,جریان
street,خیابان
stretch,کشش
string,رشته
strong,قوی
student,دانش آموز
study,مطالعه
subject,موضوع
substance,ماده
subtract,تفریق
success,موفقیت
such,از جمله
sudden,ناگهانی
suffix,پسوند
sugar,قند
suggest,نشان می دهد
suit,کت و ش
summer,تابستان
sun,آفتاب
supply,عرضه
support,پشتیبانی
sure,مطمئن
surface,سطح
surprise,تعجب
swim,شنا
syllable,هجا
symbol,نماد
system,سیستم
table,جدول
tail,دم
take,را
talk,بحث
tall,بلند
teach,آموزش
team,تیم
teeth,دندانها
tell,بگو
temperature,درجه حرارت
ten,ده
term,مدت
test,آزمون
than,نسبت به
thank,تشکر
that,که
the,تر
their,شان
them,آنها را
then,پس از آن
there,وجود دارد
these,اینها
they,آنها
thick,ضخامت
thin,نازک
thing,چیزی که
think,فکر کردن
third,سوم
this,این
those,آن
though,هر چند
thought,فکر
thousand,هزار
three,سه
through,از طریق
throw,پرتاب
thus,بنابر این
tie,کراوات
time,زمان
tiny,کوچک
tire,لاستیک
to,به
together,با هم
told,گفت
tone,تن
too,هم
took,در زمان
tool,ابزار
top,بالا
total,کل
touch,دستزدن
toward,به سمت
town,شهر
track,آهنگ
trade,تجارت
train,قطار
travel,سفر
tree,درخت
triangle,مثلث
trip,سفر
trouble,مشکل
truck,کامیون
true,درست است
try,سعی کنید
tube,لوله
turn,به نوبه خود
twenty,بیست
two,دو
type,نوع
under,در
unit,واحد
until,تا زمانی که
up,بالا
us,ما
use,استفاده
usual,معمول
valley,دره
value,ارزش
vary,متفاوت ا
verb,فعل
very,بسیار
view,نظر
village,روستای
visit,بازدید
voice,صدای
vowel,واکه
wait,صبر
walk,راه رفتن
wall,دیوار
want,می خواهم
war,جنگ
warm,گرم
was,بود
wash,شستشو
watch,تماشای
water,اب
wave,موج
way,راه
we,ما
wear,لباس
weather,آب و هوا
week,هفته
weight,وزن
well,به خوبی
went,رفت
were,بود
west,غرب
what,چه
wheel,چرخ
when,وقتی که
where,که در آن
whether,چه
which,که
while,در حالی که
white,سفید
who,که
whole,تمام
whose,که
why,به همین دلیل
wide,گسترده
wife,همسر
wild,وحشی
will,خواهد شد
win,برنده
wind,باد
window,پنجره
wing,بال
winter,زمستان
wire,سیم
wish,آرزو
with,با
woman,زن
women,زنان
wonder,جای تعجب
won’t,نه
wood,چوب
word,کلمه
work,کار
world,جهان
would,را
write,نوشتن
written,نوشته شده
wrong,اشتباه
wrote,نوشت
yard,حیاط
year,سال
yellow,زرد
yes,بله
yet,هنوز
you,شما
young,جوان
your,خود را
