english,thai
just,เพียงแค่
keep,เก็บ
kept,เก็บไว้
key,ที่สำคัญ
kill,ฆ่า
kind,ชนิด
king,กษัตริย์
knew,รู้
know,ทราบ
lady,สุภาพสตรี
lake,ทะเลสาบ
land,ที่ดิน
language,ภาษา
large,ที่มีขนาดใหญ่
last,สุดท้าย
late,ช่วงปลายเดือน
laugh,หัวเราะ
law,กฎหมาย
lay,วาง
lead,นำไปสู่
learn,เรียน
least,อย่างน้อย
leave,ออกจาก
led,นำ
left,ด้านซ้าย
leg,ขา
length,ระยะเวลา
less,น้อย
let,ให้
letter,จดหมาย
level,ระดับ
lie,โกหก
life,ชีวิต
lift,ลิฟท์
light,แสง
like,เช่น
line,สาย
liquid,ของเหลว
list,รายการ
listen,ฟัง
little,เล็ก ๆ น้อย ๆ
live,มีชีวิต
locate,ค้นหา
log,เข้าสู่ระบบ
lone,คนเดียว
long,ยาว
look,ดู
lost,หายไป
lot,สลาก
loud,เสียงดัง
love,ความรัก
low,ต่ำ
machine,เครื่อง
made,ทำ
magnet,แม่เหล็ก
main,หลัก
major,สำคัญ
make,ทำให้
man,คน
many,หลาย
map,แผนที่
mark,เครื่องหมาย
market,ตลาด
mass,มวล
master,ปริญญาโท
match,การแข่งขัน
material,วัสดุ
matter,เรื่อง
may,อาจ
me,ฉัน
mean,หมายความ
meant,หมายความว่า
measure,วัด
meat,เนื้อ
meet,ตอบสนองความ
melody,เมโลดี้
men,ผู้ชาย
metal,โลหะ
method,วิธีการ
middle,ตรงกลาง
might,อาจ
mile,ไมล์
milk,นม
million,ล้าน
mind,จิตใจ
mine,เหมือง
minute,นาที
miss,พลาด
mix,ผสม
modern,ที่ทันสมัย
molecule,โมเลกุล
moment,ขณะ
money,เงิน
month,เดือน
moon,ดวงจันทร์
more,ขึ้น
morning,ตอนเช้า
most,มากที่สุด
mother,แม่
motion,การเคลื่อนไหว
mount,ภูเขา
mountain,ภูเขา
mouth,ปาก
move,ย้าย
much,มาก
multiply,คูณ
music,เพลง
must,ต้อง
my,ของฉัน
name,ชื่อ
nation,ประเทศชาติ
natural,ธรรมชาติ
nature,ธรรมชาติ
near,อยู่ใกล้
necessary,จำเป็น
neck,คอ
need,ต้อง
neighbor,เพื่อนบ้าน
never,ไม่เคย
new,ใหม่
next,ต่อไป
night,คืน
nine,เก้า
no,ไม่มี
noise,เสียงรบกวน
noon,เที่ยง
nor,หรือ
north,เหนือ
nose,จมูก
note,บันทึก
nothing,ไม่มีอะไร
notice,แจ้งให้ทราบล่วงหน้า
noun,คำนาม
now,ตอนนี้
number,จำนวน
numeral,ตัวเลข
object,วัตถุ
observe,สังเกต
occur,เกิดขึ้น
ocean,มหาสมุทร
of,ของ
off,ออก
offer,เสนอ
office,สำนักงาน
often,มักจะ
oh,โอ้
oil,น้ำมัน
old,เก่า
on,บน
once,ครั้งเดียว
one,หนึ่ง
only,เท่านั้น
open,เปิด
operate,ดำเนินการ
opposite,ตรงข้าม
or,หรือ
order,เพื่อ
organ,อวัยวะ
original,เดิม
other,อื่น ๆ
our,ของเรา
out,ออก
over,กว่า
own,ของตัวเอง
oxygen,ออกซิเจน
page,หน้า
paint,ทาสี
pair,คู่
paper,กระดาษ
paragraph,วรรค
parent,ผู้ปกครอง
part,ส่วนหนึ่ง
particular,โดยเฉพาะอย่างยิ่ง
party,บุคคลที่
pass,ผ่าน
past,ที่ผ่านมา
path,เส้นทาง
pattern,ลวดลาย
pay,จ่าย
people,คน
perhaps,บางทีอาจจะเป็น
period,ระยะเวลา
person,คน
phrase,วลี
pick,เลือก
picture,ภาพ
piece,ชิ้นส่วน
pitch,สนาม
place,สถานที่ที่
plain,ธรรมดา
plan,แผน
plane,เครื่องบิน
planet,ดาวเคราะห์
plant,พืช
play,เล่น
please,กรุณา
plural,พหูพจน์
poem,บทกวี
point,จุด
poor,ที่น่าสงสาร
populate,เติม
port,พอร์ต
pose,ท่าทาง
position,ตำแหน่ง
possible,เป็นไปได้
post,เสา
pound,ปอนด์
power,อำนาจ
practice,การปฏิบัติ
prepare,การเตรียมความพร้อม
present,ปัจจุบัน
press,กด
pretty,สวย
print,พิมพ์
probable,น่าจะเป็น
problem,ปัญหา
process,กระบวนการ
produce,ผลิต
product,ผลิตภัณฑ์
proper,ที่เหมาะสม
property,สถานที่ให้บริการ
protect,ป้องกัน
prove,พิสูจน์
provide,ให้
pull,ดึง
push,การผลักดัน
put,ใส่
quart,ควอร์
question,คำถาม
quick,อย่างรวดเร็ว
quiet,เงียบสงบ
quite,ค่อนข้าง
quotient,เชาวน์
race,การแข่งขัน
radio,วิทยุ
rail,ทางรถไฟ
rain,ฝน
raise,ยก
ran,วิ่ง
range,ช่วง
rather,ค่อนข้าง
reach,เข้าถึง
read,อ่าน
ready,พร้อมแล้ว
real,จริง
reason,เหตุผลที่
receive,ได้รับ
record,บันทึก
red,สีแดง
region,ภูมิภาค
remember,จำได้ว่า
repeat,ทำซ้ำ
reply,ตอบ
represent,เป็นตัวแทนของ
require,ต้องการ
rest,ส่วนที่เหลือ
result,ผล
rich,อุดมไปด้วย
ride,นั่ง
right,ขวา
ring,แหวน
rise,ลุกขึ้น
river,แม่น้ำ
road,ถนน
rock,หิน
roll,ม้วน
room,ห้อง
root,ราก
rope,เชือก
rose,ดอกกุหลาบ
round,รอบ
row,แถว
rub,ถู
rule,กฎ
run,การทำงาน
safe,ความปลอดภัย
said,กล่าวว่า
sail,แล่นเรือ
salt,เกลือ
same,เดียวกัน
sand,ทราย
sat,นั่ง
save,บันทึก
saw,เลื่อย
say,พูด
scale,ขนาด
school,โรงเรียน
science,วิทยาศาสตร์
score,คะแนน
sea,ทะเล
search,ค้นหา
season,ฤดู
seat,ที่นั่ง
second,ที่สอง
section,ส่วน
see,เห็น
seed,เมล็ดพันธุ์
seem,ดูเหมือน
segment,ส่วน
select,เลือก
self,ตนเอง
sell,ขาย
send,ส่ง
sense,ความรู้สึก
sent,ส่ง
sentence,ประโยค
separate,แยกต่างหาก
serve,ให้บริการ
set,ชุด
settle,ชำระ
seven,เจ็ด
several,หลาย
shall,จะต้อง
shape,รูปร่าง
share,ส่วนแบ่ง
sharp,คมชัด
she,เธอ
sheet,แผ่น
shell,เปลือก
shine,เงางาม
ship,เรือ
shoe,รองเท้า
shop,ร้านขายของ
shore,ฝั่ง
short,สั้น
should,ควร
shoulder,ไหล่
shout,ตะโกน
show,แสดง
side,ด้าน
sight,สายตา
sign,เข้าสู่ระบบ
silent,เงียบ
silver,สีเงิน
similar,คล้ายคลึงกัน
simple,ง่าย
since,ตั้งแต่
sing,ร้องเพลง
single,เดียว
sister,น้องสาวของ
sit,นั่ง
six,หก
size,ขนาด
skill,ทักษะ
skin,ผิว
sky,ท้องฟ้า
slave,ทาส
sleep,การนอนหลับ
slip,ลื่น
slow,ช้า
small,ขนาดเล็ก
smell,กลิ่น
smile,รอยยิ้ม
snow,หิมะ
so,ดังนั้น
soft,อ่อน
soil,ดิน
soldier,ทหาร
solution,การแก้ปัญหา
solve,แก้
some,บาง
son,บุตรชาย
song,เพลง
soon,เร็ว ๆ นี้
sound,เสียง
south,ทางตอนใต้
space,พื้นที่
speak,พูด
special,พิเศษ
speech,คำพูด
speed,ความเร็ว
spell,สะกด
spend,ใช้จ่าย
spoke,พูด
spot,จุด
spread,การแพร่กระจาย
spring,ฤดูใบไม้ผลิ
square,ตาราง
stand,ยืน
star,ดาว
start,เริ่มต้นที่
state,รัฐ
station,สถานี
stay,พักอยู่
stead,แทน
steam,ไอน้ำ
steel,เหล็ก
step,ขั้นตอนที่
stick,ติด
still,ยังคง
stone,หิน
stood,ยืนอยู่
stop,หยุด
store,การจัดเก็บ
story,เรื่องราว
straight,ตรง
strange,แปลก
stream,กระแส
street,ถนน
stretch,ยืด
string,สตริง
strong,ที่แข็งแกร่ง
student,นักเรียน
study,การศึกษา
subject,เรื่อง
substance,สาร
subtract,ลบ
success,ประสบความสำเร็จ
such,เช่น
sudden,ฉับพลัน
suffix,ต่อท้าย
sugar,น้ำตาล
suggest,ขอแนะนำให้
suit,สูท
summer,ฤดูร้อน
sun,ดวงอาทิตย์
supply,อุปทาน
support,สนับสนุน
sure,แน่ใจ
surface,พื้นผิว
surprise,แปลกใจ
swim,การว่ายน้ำ
syllable,พยางค์
symbol,สัญลักษณ์
system,ระบบ
table,ตาราง
tail,หาง
take,ใช้เวลา
talk,พูดคุย
tall,สูง
teach,สั่งสอน
team,ทีมงาน
teeth,ฟัน
tell,บอก
temperature,อุณหภูมิ
ten,สิบ
term,ระยะ
test,การทดสอบ
than,กว่า
thank,ขอขอบคุณ
that,ว่า
the,ได้
their,ของพวกเขา
them,พวกเขา
then,แล้วก็
there,มี
these,เหล่านี้
they,พวกเขา
thick,หนา
thin,บาง
thing,สิ่งที่
think,คิดว่า
third,ที่สาม
this,นี้
those,ผู้ที่
though,แม้ว่า
thought,คิดว่า
thousand,พัน
three,สาม
through,ตลอด
throw,โยน
thus,ดังนั้น
tie,ผูกเน็คไท
time,เวลา
tiny,จิ๋ว
tire,ยาง
to,ที่จะ
together,เข้าด้วยกัน
told,บอก
tone,โทน
too,เกินไป
took,เอา
tool,เครื่องมือ
top,ด้านบน
total,ทั้งหมด
touch,แตะ
toward,ต่อ
town,เมือง
track,ติดตาม
trade,การค้า
train,รถไฟ
travel,การเดินทาง
tree,ต้นไม้
triangle,สามเหลี่ยม
trip,การเดินทาง
trouble,ปัญหา
truck,รถบรรทุก
true,ที่แท้จริง
try,พยายาม
tube,หลอด
turn,เลี้ยว
twenty,ยี่สิบ
two,สอง
type,ชนิด
under,ภายใต้
unit,หน่วย
until,จนกระทั่ง
up,ขึ้น
us,เรา
use,การใช้งาน
usual,ปกติ
valley,หุบเขา
value,มูลค่า
vary,แตกต่าง
verb,คำกริยา
very,มาก
view,มุมมอง
village,หมู่บ้าน
visit,การเยี่ยมชม
voice,เสียง
vowel,สระ
wait,รอสักครู่
walk,เดิน
wall,ผนัง
want,ต้องการ
war,สงคราม
warm,อบอุ่น
was,เป็น
wash,ล้าง
watch,ชม
water,น้ำ
wave,คลื่น
way,ทาง
we,เรา
wear,สวมใส่
weather,สภาพอากาศ
week,สัปดาห์ที่
weight,น้ำหนัก
well,ดี
went,ไป
were,เป็น
west,ทางทิศตะวันตก
what,สิ่งที่
wheel,ล้อ
when,เมื่อ
where,ที่
whether,ไม่ว่าจะเป็น
which,ซึ่ง
while,ในขณะที่
white,สีขาว
who,ที่
whole,ทั้ง
whose,ใคร
why,เหตุผลที่
wide,กว้าง
wife,ภรรยา
wild,ป่า
will,จะ
win,ชนะ
wind,ลม
window,หน้าต่าง
wing,ปีก
winter,ฤดูหนาว
wire,ลวด
wish,หวังว่า
with,ด้วย
woman,หญิง
women,ผู้หญิง
wonder,ไม่น่าแปลกใจ
won’t,จะไม่
wood,เนื้อไม้
word,คำ
work,การทำงาน
world,โลก
would,จะ
write,เขียน
written,เขียน
wrong,ผิด
wrote,เขียน
yard,ลาน
year,ปี
yellow,สีเหลือง
yes,ใช่
yet,ยัง
you,คุณ
young,หนุ่ม
your,ของคุณ
