english,belarusian
cotton,бавоўна
could,мог
count,разлічваць
country,краіна
course,вядома
cover,вечка
cow,карова
crease,зморшчына
create,стварыць
crop,ўраджай
cross,перасякаюць
crowd,натоўп
cry,крык
current,ток
cut,выразаць
dad,тата
dance,танец
danger,небяспека
dark,цёмна-
day,дзень
dead,мёртвых
deal,здзелка
dear,дарагі
death,смерць
decide,"вырашыць,"
decimal,дзесятковай
deep,глыбока
degree,ступень
depend,залежыць
describe,апісаць
desert,пустыня
design,дызайн
determine,вызначыць
develop,развіваць
dictionary,слоўнік
did,зрабіў
die,памерці
differ,адрозніваюцца
difficult,цяжка
direct,прамы
discuss,абмеркаваць
distant,аддаленая
divide,падзяляй
division,дзяленне
do,зрабіць
doctor,лекар
does,робіць
dog,сабака
dollar,даляр
done,зроблена
don’t,ня
door,дзверы
double,двойчы
down,ўніз
draw,прыцягнуць
dream,марыць
dress,сукенка
drink,напой
drive,прывад
drop,падзенне
dry,сухі
duck,качка
during,ць
each,кожны
ear,вуха
early,рана
earth,зямля
ease,палегчыць
east,ўсход
eat,з’есці
edge,край
effect,эфект
egg,яйка
eight,восем
either,альбо
electric,электрычная
element,элемент
else,яшчэ
end,канец
enemy,вораг
energy,энергіі
engine,рухавік
enough,дастаткова
enter,увядзіце
equal,роўныя
equate,прыраўняць
especially,асабліва
even,нават
evening,вечар
event,мерапрыемства
ever,альбо
every,кожны
exact,дакладная
example,прыклад
except,акрамя
excite,ўзбуджаюць
exercise,практыкаванні
expect,чакаць
experience,вопыт
experiment,эксперымент
eye,вачэй
face,твар
fact,факт
fair,кірмаш
fall,падаць
family,сям’я
famous,вядомы
far,далёка
farm,ферма
fast,хутка
fat,тлушчу
father,бацька
favor,карысць
fear,страх
feed,корму
feel,адчуваць
feet,ногі
fell,ўпаў
felt,адчуваў
few,мала
field,поле
fig,мал
fight,барацьба
figure,фігура
fill,запоўніць
final,канчатковы
find,знайсці
fine,выдатна
finger,палец
finish,аздабленне
fire,агонь
first,першая
fish,рыба
fit,адпавядаць
five,пяць
flat,плоскім
floor,паверх
flow,цячы
flower,кветка
fly,лётаць
follow,прытрымлівацца
food,ежа
foot,ногі
for,для
force,сіла
forest,лес
form,форма
forward,наперад
found,знойдзена
four,чатыры
fraction,доля
free,бясплатна
fresh,свежы
friend,сябар
from,ад
front,пярэднія
fruit,садавіна
full,поўны
fun,весела
game,гульня
garden,сад
gas,газу
gather,збіраць
gave,даў
general,агульнае
gentle,пяшчотны
get,атрымаць
girl,дзяўчына
give,даваць
glad,рады
glass,шкло
go,перайсці
gold,золата
gone,сышоў
good,добрае
got,атрымаў
govern,кіраваць
grand,гранд
grass,трава
gray,шэры
great,вялікі
green,зялёны
grew,вырасла
ground,зямля
group,група
grow,расці
guess,думаю
guide,накіроўваць
gun,пісталет
had,было
hair,валасы
half,палова
hand,рука
happen,адбудзецца
happy,шчаслівыя
hard,цяжка
has,мае
hat,капялюш
have,мець
he,ён
head,кіраўнік
hear,чуюць
heard,чуў
heart,сэрца
heat,цяпло
heavy,цяжкі
held,якія трымаюць
help,дапамагчы
her,яе
here,тут
high,высокі
hill,пагорак
him,яго
his,яго
history,гісторыя
hit,хіт
hold,трымаць
hole,адтуліну
home,дадому
hope,спадзяюся
horse,конь
hot,гарачая
hour,гадзіну
house,дом
how,як
huge,велізарны
human,чалавек
hundred,сто
hunt,паляванне
hurry,спяшацца
i,я
ice,лёд
idea,ідэя
if,калі
imagine,уявіце
in,папера
inch,цаля
include,ўключаюць
indicate,паказваюць
industry,прамысловасць
insect,казурка
instant,імгненнае
instrument,інструмент
interest,цікавасць
invent,вынайсці
iron,жалеза
is,з’яўляецца
island,востраў
it,гэта
job,праца
join,далучыцца
joy,радасць
jump,скакаць
just,проста
keep,трымаць
kept,захоўваецца
key,ключ
kill,забіць
kind,выгляд
king,кароль
knew,ведаў
know,ведаю
lady,лэдзі
lake,возера
land,зямля
language,мова
large,вялікі
last,апошняе
late,позна
laugh,смех
law,закон
lay,закласці
lead,прывесці
learn,даведацца
least,меры
leave,пакінуць
led,прывяло
left,засталося
leg,нага
length,даўжыня
less,менш
let,хай
letter,ліст
level,ўзровень
lie,хлусня
life,жыццё
lift,ліфт
light,святло
like,як
line,лінія
liquid,вадкасці
list,спіс
listen,слухаць
little,трохі
live,жыць
locate,знайсці
log,увайсці
lone,самотны
long,доўга
look,глядзець
lost,страцілі
lot,шмат
loud,гучна
love,люблю
low,нізкі
machine,машына
made,зрабіў
magnet,магніт
main,галоўная
major,асноўным
make,зрабіць
man,чалавек
many,многія
map,карта
mark,знак
market,рынак
mass,шмат
master,майстар
match,матч
material,матэрыял
matter,справа
may,можа
me,мяне
mean,значыць
meant,азначала
measure,вымярэння
meat,мяса
meet,знаёмства
melody,мелодыя
men,мужчыны
metal,металу
method,метад
middle,сярэдні
might,моцы
mile,км
milk,малако
million,млн
mind,розум
mine,шахта
minute,хвілін
miss,міс
mix,змешваць
modern,сучасны
molecule,малекула
moment,момант
money,грошы
month,месяц
moon,месяц
more,яшчэ
morning,раніца
most,найбольш
mother,маці
motion,рух
mount,мацаванне
mountain,гара
mouth,рот
move,ход
much,шмат
multiply,памножыць
music,музыка
must,павінны
my,мой
name,імя
nation,нацыя
natural,натуральна
nature,прырода
near,побач
necessary,неабходна
neck,шыя
need,трэба
neighbor,сусед
never,ніколі не
new,новы
next,наступны
night,ноч
nine,дзевяць
no,няма
noise,шум
noon,апоўдні
nor,ні
north,на поўнач
nose,масць
note,заўвага
nothing,нічога
notice,апавяшчэнне
noun,назоўнік
now,зараз
number,лік
numeral,лічба
object,аб’ект
observe,назіраць
occur,адбываюцца
ocean,акіян
of,зялёны
off,ад
offer,прапанову
office,офіс
often,часта
oh,ой
oil,алей
old,стары
on,на
once,раз
one,адзін
only,толькі
open,адкрыты
operate,працаваць
opposite,насупраць
or,або
order,парадак
organ,орган
original,арыгінальны
other,іншыя
our,наш
out,прынёс
over,больш
own,самастойна
oxygen,кіслароду
page,старонка
paint,фарба
pair,пара
paper,папера
paragraph,пункт
parent,бацька
part,частка
particular,прыватнасці
party,партыя
pass,прайсці
past,міма
path,шлях
pattern,малюнак
pay,плаціць
people,людзі
perhaps,"магчыма,"
period,перыяд
person,чалавек
phrase,фраза
pick,выбраць
picture,фота
piece,шт
pitch,крок
place,месца
plain,раўніна
plan,план
plane,самалёт
planet,планета
plant,завод
play,гуляць
please,калі ласка
plural,множны
poem,верш
point,кропка
poor,бедных
populate,запаўнення
port,порт
pose,ўяўляюць
position,становішча
possible,магчыма
post,паведамленне
pound,фунт
power,магутнасць
practice,практыка
prepare,падрыхтаваць
present,прысутнічае
press,націсніце
pretty,даволі
print,друк
probable,"верагодна,"
problem,праблема
process,працэс
produce,вырабляць
product,прадукт
proper,уласна
property,нерухомасць
protect,абароны
prove,даказаць
provide,забяспечыць
pull,пацягніце
push,штуршок
put,пакласці
quart,кварта
question,пытанне
quick,хутка
quiet,ціха
quite,цалкам
quotient,фактар
race,гонка
radio,радыё
rail,чыгуначныя
rain,дождж
raise,падняць
ran,пабег
range,дыяпазон
rather,хкутнік
reach,дасягнуць
read,чытаць
ready,гатовы
real,рэальны
reason,прычына
receive,атрымліваць
record,запіс
red,чырвоны
region,вобласць
remember,памятаю
repeat,паўторыце
reply,адказаць
represent,ўяўляюць
require,патрабуюць
rest,астатнія
result,вынік
rich,багатыя
ride,паездка
right,права
ring,кальцо
rise,расці
river,рака
road,дарога
rock,рок
roll,рол
room,нумар
root,корань
rope,вяроўка
rose,вырасла
round,круглы
row,радок
rub,руб
rule,правіла
run,прабег
safe,сейф
said,сказаў
sail,ветразь
salt,соль
same,ж
sand,пясок
sat,сб
save,захаваць
saw,піла
say,сказаць
scale,шкала
school,школа
science,навука
score,адзнака
sea,мора
search,пошук
season,сезон
seat,сядзенні
second,другі
section,раздзел
see,гл
seed,насення
seem,здаецца
segment,сегмент
select,выберыце
self,самастойна
sell,прадаць
send,адправіць
sense,сэнс
sent,адпраўлена
sentence,прысуд
separate,асобны
serve,служыць
set,набор
settle,ўрэгуляваць
seven,сем
several,некалькі
shall,павінен
shape,форма
share,доля
sharp,востры
she,яна
sheet,ліст
shell,абалонка
shine,бляск
ship,карабель
shoe,абутку
shop,крама
shore,бераг
short,кароткая
should,павінны
shoulder,плячо
shout,крык
show,шоў
side,бок
sight,зрок
sign,знак
silent,маўчанне
silver,срэбра
similar,падобныя
simple,просты
since,стол
sing,спяваць
single,адзін
sister,сястра
sit,сядзець
six,шэсць
size,памер
skill,уменне
skin,скура
sky,неба
slave,раб
sleep,сон
slip,слізгацення
slow,павольна
small,невялікі
smell,пах
smile,ўсмешка
snow,снег
so,так
soft,мяккая
soil,глебы
soldier,салдат
solution,рашэнне
solve,вырашыць
some,некаторыя
son,сын
song,песня
soon,хутка
sound,гук
south,поўдзень
space,прастору
speak,казаць
special,спецыяльная
speech,гаворка
speed,хуткасць
spell,загавораў
spend,правесці
spoke,казаў
spot,пляма
spread,распаўсюджванне
spring,вясна
square,квадратны
stand,стаяць
star,зорка
start,пачатак
state,стан
station,станцыя
stay,застацца
stead,замест яго
steam,пара
steel,сталь
step,крок
stick,палка
still,яшчэ
stone,камень
stood,стаяў
stop,спыніць
store,крама
story,гісторыя
straight,прама
strange,дзіўна
stream,паток
street,вуліца
stretch,стрейч
string,радок
strong,моцны
student,студэнт
study,даследаванне
subject,тэма
substance,рэчыва
subtract,адняць
success,поспех
such,такіх
sudden,раптоўнае
suffix,суфікс
sugar,цукар
suggest,прапанаваць
suit,касцюм
summer,лета
sun,чц
supply,харчавання
support,падтрымка
sure,упэўнены
surface,паверхню
surprise,сюрпрыз
swim,плаваць
syllable,склад
symbol,сімвал
system,сістэма
table,стол
tail,хвост
take,прыняць
talk,абмеркаванне
tall,высокі
teach,вучыць
team,каманда
teeth,зубы
tell,сказаць
temperature,тэмпература
ten,дзесяць
term,тэрмін
test,тэст
than,чым
thank,дзякуй
that,што
the,ўсход
their,іх
them,іх
then,затым
there,ёсць
these,гэта
they,яны
thick,таўшчынёй
thin,тонкі
thing,рэч
think,думаю
third,трэцяя
this,гэта
those,"тых,"
though,хоць
thought,думаў
thousand,тыс
three,тры
through,праз
throw,кінуць
thus,"такім чынам,"
tie,гальштук
time,час
tiny,малюсенькі
tire,шыны
to,смех
together,разам
told,сказаў
tone,тон
too,занадта
took,узяў
tool,інструмент
top,лепшых
total,за ўсё
touch,дакранайцеся
toward,да
town,горад
track,трэк
trade,гандаль
train,цягнік
travel,паездкі
tree,дрэва
triangle,трохкутнік
trip,паездка
trouble,бяда
truck,грузавік
true,праўда
try,паспрабуйце
tube,трубка
turn,паварот
twenty,дваццаць
two,два
type,тып
under,пад
unit,блок
until,да
up,да
us,нам
use,выкарыстанне
usual,звычайна
valley,даліна
value,значэнне
vary,вар’іравацца
verb,дзеяслоў
very,вельмі
view,выгляд
village,вёска
visit,візіт
voice,голас
vowel,галосны
wait,чакаць
walk,хадзіць
wall,сцяна
want,хачу
war,вайна
warm,цёплы
was,было
wash,мыццё
watch,глядзець
water,вада
wave,хваля
way,спосаб
we,мы
wear,насіць
weather,надвор’е
week,тыдзень
weight,вага
well,добра
went,пайшоў
were,былі
west,захад
what,што
wheel,колы
when,калі
where,дзе
whether,ці
which,якія
while,у той час як
white,белы
who,хто
whole,ўся
whose,якога
why,чаму
wide,шырокі
wife,жонка
wild,дзікі
will,будзе
win,перамога
wind,вецер
window,акно
wing,крыло
winter,зіма
wire,провад
wish,хочаце
with,даць
woman,жанчына
women,жанчыны
wonder,цікава
won’t,не будзе
wood,дрэва
word,слова
work,праца
world,свет
would,будзе
write,напісаць
written,напісана
wrong,няправільна
wrote,напісаў
yard,двор
year,год
yellow,жоўты
yes,ды
yet,яшчэ
you,вы
young,малады
your,ваш
