english,uzbek
current,hozirgi
cut,kesma
dad,dada
dance,raqs
danger,xavfli
dark,qorong’u
day,kun
dead,o’lgan
deal,kelishuv
dear,aziz
death,o’lim
decide,qaror
decimal,o’nlik
deep,chuqur
degree,gradus
depend,bog’liq
describe,tasvirlab
desert,sahro
design,dizayn
determine,aniqlash
develop,rivojlantirish
dictionary,lug’at
did,qilgan
die,o’lish
differ,farq
difficult,murakkab
direct,to’g’ri
discuss,muhokama
distant,uzoqdagi
divide,ajratmoq
division,taqsimlash
do,nima
doctor,shifokor
does,qilsa
dog,it
dollar,dollar
done,qilingan
don’t,bunday qilma
door,eshik
double,ikki hissa
down,pastga
draw,chizish
dream,xayol
dress,kiyim
drink,ichimlik
drive,haydash
drop,tomchi
dry,quruq
duck,o’rdak
during,davomida
each,har bir
ear,quloq
early,barvaqt
earth,yer
ease,sukunat
east,sharq
eat,ovqat
edge,chet
effect,ta’sir
egg,tuxum
eight,sakkiz
either,yoki
electric,elektr
element,element
else,yana boshqa
end,oxiri
enemy,dushman
energy,quvvat
engine,motor
enough,yetarli
enter,kiritish
equal,teng
equate,tenglashtirmoq
especially,ayniqsa
even,hatto
evening,kechqurun
event,hodisa
ever,hech
every,har bir
exact,aniq
example,misol
except,tashqari
excite,ta’sir qilmoq
exercise,mashq
expect,kutyapmiz
experience,tajriba
experiment,tajriba
eye,ko’z
face,yuz
fact,dalil
fair,yarmarka
fall,kuz
family,oilaviy
famous,mashhur
far,uzoq
farm,ferma
fast,tez
fat,yog ’
father,ota
favor,muruvvat
fear,qo’rqinch
feed,yem
feel,his
feet,fut
fell,tushdi
felt,his
few,oz
field,dala
fig,anjir
fight,jang
figure,shakl
fill,to’ldirish
final,oxirgi
find,topish
fine,jarima
finger,barmoq
finish,marra
fire,yong’in
first,birinchi
fish,baliq
fit,mos
five,besh
flat,tekis
floor,pol
flow,oqim
flower,gul
fly,chivin
follow,rioya
food,ovqat
foot,oyoq
for,uchun
force,kuch
forest,o’rmon
form,shakl
forward,olg’a
found,topildi
four,to’rt
fraction,kasr
free,ozod
fresh,yangi
friend,do’st
from,ushbudan boshlab:
front,front
fruit,meva
full,to’liq
fun,qiziqarli
game,o’yin
garden,bog ’
gas,gaz
gather,to’plash
gave,berdi
general,umumiy
gentle,yumshoq
get,olish
girl,qiz
give,berishi
glad,xursand
glass,shisha
go,borish
gold,oltin
gone,ketganimda
good,yaxshi
got,bor
govern,boshqarmoq
grand,grand
grass,o’t
gray,kul rang
great,buyuk
green,yashil
grew,o’sdi
ground,yer
group,guruh
grow,o’sadi
guess,taxmin
guide,hidoyat
gun,kun
had,bor
hair,soch
half,yarim
hand,qo’l
happen,sodir
happy,baxtli
hard,qiyin
has,bor
hat,shlyapa
have,bor
he,u
head,bosh
hear,eshitmoq
heard,eshitib
heart,yurak
heat,issiqlik
heavy,og’ir
held,o’tkazilayotgan
help,yordam bering
her,uning
here,bu yerga
high,baland
hill,tepalik
him,uni
his,uning
history,tarix
hit,zarba
hold,ushlab turing
hole,teshik
home,uy
hope,umid
horse,ot
hot,issiq
hour,soat
house,uy
how,qanaqasiga
huge,ulkan
human,odam
hundred,yuz
hunt,ov
hurry,shoshilmoq
i,men
ice,muz
idea,fikr
if,agar
imagine,tasavvur
in,ichida
inch,inch
include,o’z ichiga oladi
indicate,ko’rsatadi
industry,sanoat
insect,hasharot
instant,tez
instrument,asbob
interest,qiziqish
invent,to’qirlar
iron,temir
is,hisoblanadi
island,orol
it,u
job,ish
join,qo’shilish
joy,xursandchilik
jump,sakramoq
just,faqat
keep,saqlamoq
kept,saqlab
key,kalit
kill,o’ldirish
kind,rahmdil
king,qirol
knew,bilgan
know,bilaman
lady,xonim
lake,ko’l
land,er
language,til
large,katta
last,oxirgi
late,kech
laugh,kulgu
law,qonun
lay,yotar
lead,qo’rg’oshin
learn,o’rganish
least,kamida
leave,tark
led,led
left,chap
leg,oyoq
length,uzunlik
less,ozroq
let,ruxsat
letter,xat
level,daraja
lie,yolg’on
life,hayot
lift,lift
light,engil
like,kabi
line,chiziq
liquid,suyuq
list,ro’yxat
listen,tinglash
little,oz
live,jonli
locate,topish
log,log
lone,yolg’iz
long,uzun
look,nazar
lost,yo’qolgan
lot,maydoni
loud,baland ovozda
love,sevgi
low,past
machine,mashina
made,qilingan
magnet,magnit
main,asosiy
major,muhim
make,olmoq
man,odam
many,ko’p
map,xarita
mark,belgi
market,bozor
mass,massa
master,usta
match,match
material,ashyo
matter,"qat’i nazar,"
may,mumkin
me,meni
mean,degani
meant,anglatadi
measure,o’lchov
meat,go’sht
meet,uchrashmoq
melody,kuy
men,erkaklar
metal,metall
method,usul
middle,o’rta
might,qudrat
mile,milya
milk,sut
million,million
mind,fikr
mine,meniki
minute,daqiqa
miss,kechikmoq
mix,mix
modern,zamonaviy
molecule,molekulasi
moment,daqiqa
money,pul
month,oy
moon,oy
more,ko’proq
morning,ertalab
most,eng
mother,ona
motion,harakat
mount,mount
mountain,tog ’
mouth,og’iz
move,harakat
much,ko’p
multiply,ko’paytirib
music,musiqa
must,kerak
my,mening
name,ism
nation,millat
natural,tabiiy
nature,tabiat
near,yaqin
necessary,zarur
neck,bo’yin
need,kerak
neighbor,qo’shni
never,hech qachon
new,yangi
next,keyingisi
night,tun
nine,to’qqiz
no,yo’q
noise,shovqin
noon,peshin
nor,na
north,shimol
nose,burun
note,eslatma
nothing,hech nima
notice,bildirishnoma
noun,ot
now,hozir
number,soni
numeral,raqam
object,ob’ekt
observe,kuzatish
occur,sodir
ocean,okean
of,ning
off,off
offer,taklif qilish
office,idora
often,ko’pincha
oh,ah
oil,neft
old,qari
on,bo’yicha
once,bir marta
one,bir
only,faqat
open,ochiq
operate,faoliyat
opposite,qarama-qarshi
or,yoki
order,buyurtma
organ,organ
original,original
other,boshqa
our,bizning
out,tashqarida
over,ustida
own,xususiy
oxygen,kislorod
page,bet
paint,bo’yoq
pair,juft
paper,qog’oz
paragraph,paragraf
parent,ota-
part,qism
particular,alohida
party,partiya
pass,o’tishi
past,o’tgan
path,yo’l
pattern,namuna
pay,to’lov
people,odamlar
perhaps,ehtimol
period,davr
person,shaxs
phrase,ifoda
pick,termoq
picture,surat
piece,qism
pitch,pitch
place,joy
plain,tekis
plan,reja
plane,samolyot
planet,sayyora
plant,o’simlik
play,o’yin
please,iltimos
plural,ko’plik
poem,she’r
point,nuqtasi
poor,kambag’al
populate,aholining
port,port
pose,tug’dirmaydi
position,vaziyat
possible,mumkin
post,post
pound,funt
power,kuch
practice,amaliyot
prepare,tayyorlash
present,hozirgi
press,matbuot
pretty,shirin
print,chop etish
probable,ehtimolli
problem,muammo
process,jarayon
produce,mahsulot
product,mahsulot
proper,muvofiq
property,mulk
protect,himoya
prove,isbotlash
provide,ta’minlash
pull,torting
push,durang
put,qo’yish
quart,kvarta
question,savol
quick,tez
quiet,sokin
quite,mutlaqo
quotient,bo’linma
race,irq
radio,radio
rail,rels
rain,yomg’ir
raise,oshirish
ran,yugurib
range,oralig’i
rather,afzal
reach,erishish
read,o’qish
ready,tayyor
real,haqiqiy
reason,sabab
receive,qabul
record,rekord
red,qizil
region,mintaqa
remember,eslayman
repeat,takrorlash
reply,javob
represent,vakili
require,talab
rest,dam
result,natija
rich,boy
ride,haydash
right,o’ng
ring,ring
rise,oshirish
river,daryo
road,yo’l
rock,qoya
roll,roll
room,xona
root,ildiz
rope,arqon
rose,atirgul
round,dumaloq
row,qator
rub,ishqalamoq
rule,qoida
run,run
safe,zararsiz
said,dedi
sail,suzmoq
salt,tuz
same,bir xil
sand,qum
sat,signallarini
save,saqlash
saw,arra
say,aytish
scale,miqyosli
school,maktab
science,fan
score,xol
sea,dengiz
search,qidirish
season,mavsum
seat,o’rin
second,ikkinchi
section,bo’lim
see,qarang
seed,urug ’
seem,ko’rinadi
segment,segment
select,tanlang
self,o’zini
sell,sotish
send,yuborish
sense,sezgi
sent,yuborilgan
sentence,hukm
separate,alohida
serve,xizmat
set,to’plami
settle,hal
seven,yetti
several,bir necha
shall,keladir
shape,shakli
share,ulushi
sharp,o’tkir
she,u
sheet,varaq
shell,chig’anoq
shine,nur
ship,kema
shoe,tufli
shop,do’kon
shore,qirg’oq
short,qisqa
should,kerak
shoulder,elka
shout,baqirmoq qichqirmoq
show,ko’rsatish
side,taraf
sight,ko’z
sign,belgi
silent,shovqinsiz
silver,kumush
similar,o’xshash
simple,oddiy
since,chunki
sing,kuylashadi
single,yakka
sister,singil
sit,o’tirib
six,olti
size,hajmi
skill,mahorat
skin,teri
sky,osmon
slave,qul
sleep,uyqu
slip,siljitmoq
slow,sekin
small,kichkina
smell,hid
smile,tabassum
snow,qor
so,shunday
soft,yumshoq
soil,yer
soldier,askar
solution,qaror
solve,hal
some,bir qancha
son,o’g’il
song,song
soon,yaqinda
sound,ovozli
south,janub
space,maydon
speak,gapirish
special,maxsus
speech,nutq
speed,tezlik
spell,sehr
spend,nafaqa
spoke,gapirdi
spot,spot
spread,tarqalishi
spring,bahor
square,kvadrat
stand,turmoq
star,yulduz
start,start
state,davlat
station,bekat
stay,qolish
stead,foyda
steam,bug ’
steel,po’lat
step,qadam
stick,tayoq
still,hali
stone,tosh
stood,turib
stop,stop
store,do’kon
story,hikoya
straight,streyt
strange,g’alati
stream,oqim
street,ko’cha
stretch,cho’zmoq
string,string
strong,kuchli
student,talaba
study,o’rganish
subject,mavzu
substance,modda
subtract,ayirmoq
success,muvaffaqiyat
such,bunday
sudden,kutilmagan
suffix,qo’shimchasi
sugar,shakar
suggest,taklif
suit,kostyum
summer,yoz
sun,quyosh
supply,ta’minlash
support,qo’llab-quvvatlash
sure,ishonch
surface,yuza
surprise,surprise
swim,suzmoq
syllable,bo’g’in
symbol,ramz
system,tizim
table,stol
tail,dum
take,olmoq
talk,suhbat
tall,baland
teach,o’rgatish
team,komanda
teeth,teeth
tell,aytib
temperature,harorat
ten,o’n
term,muddat
test,sinov
than,nisbatan
thank,rahmat
that,ekan
the,the
their,ularning
them,ularga
then,so’ng
there,u yerda
these,bular
they,ular
thick,qalin
thin,ingichka
thing,narsa
think,deb o’ylayman
third,uchinchi
this,bu
those,ular
though,garchi
thought,fikr
thousand,ming
three,uch
through,ichidan
throw,otish
thus,shunday
tie,galstuk
time,vaqt
tiny,kichkina
tire,shina
to,uchun
together,birga
told,aytdi
tone,ohang
too,ham
took,oldi
tool,asbob
top,eng yaxshi
total,jami
touch,tegish
toward,tomonga
town,shahar
track,trek
trade,savdo
train,poezd
travel,sayohat
tree,daraxt
triangle,uchburchak
trip,sayohat
trouble,tashvish
truck,yuk mashinasi
true,haqiqiy
try,urinish
tube,trubka
turn,burilish
twenty,yigirma
two,ikki
type,shrift
under,ostida
unit,birlik
until,gacha
up,up
us,bizga
use,foydalanish
usual,oddiy
valley,vodiy
value,qiymati
vary,farq
verb,fe’l
very,juda
view,ko’rinish
village,qishloq
visit,tashrif
voice,ovoz
vowel,unli tovush
wait,kutish
walk,yurish
wall,devor
want,istaymiz
war,urush
warm,iliq
was,edi
wash,yuvish
watch,tomosha
water,suv
wave,to’lqin
way,yo’l
we,bizlar
wear,kiyish
weather,ob-havo
week,xafta
weight,vazn
well,yaxshi
went,ketdi
were,edi
west,g’arb
what,nima
wheel,g’ildirak
when,qachon
where,qayerda
whether,yoki
which,qaysi
while,paytda
white,oq rang
who,kim
whole,butun
whose,kimning
why,nima uchun
wide,keng
wife,rafiqa
wild,yovvoyi
will,bo’ladi
win,win
wind,shamol
window,deraza
wing,qanot
winter,qish
wire,sim
wish,iltimos
with,bilan
woman,ayol
women,ayollar
wonder,hayron
won’t,yo’q
wood,o’tin
word,so’z
work,ish
world,dunyo
would,bulardi
write,yozish
written,yozma
wrong,noto’g’ri
wrote,yozgan
yard,yard
year,yil
yellow,sariq
yes,ha
yet,hali
you,siz
young,yosh
your,sening
