english,hebrew
direct,ישיר
discuss,לדון
distant,רחוק
divide,פער
division,החלוקה
do,לעשות
doctor,רופא
does,עושה
dog,כלב
dollar,דולר
done,עשיתי
don’t,לא
door,דלת
double,כפול
down,למטה
draw,לצייר
dream,לחלום
dress,שמלה
drink,משקה
drive,כונן
drop,טיפה
dry,יבש
duck,ברווז
during,במהלך
each,כל
ear,אוזן
early,מוקדם
earth,כדור הארץ
ease,להקל
east,מזרח
eat,לסעוד
edge,קצה
effect,השפעה
egg,ביצה
eight,שמונה
either,או
electric,חשמלי
element,אלמנט
else,אחר
end,סוף
enemy,אויב
energy,אנרגיה
engine,מנוע
enough,מספיק
enter,להיכנס
equal,שווה
equate,להשוות
especially,במיוחד
even,אפילו
evening,ערב
event,אירוע
ever,אי פעם
every,כל
exact,מדויק
example,דוגמא
except,אלא
excite,לרגש
exercise,תרגיל
expect,מצפה
experience,ניסיון
experiment,ניסיון
eye,עין
face,פנים
fact,עובדה
fair,הוגן
fall,ליפול
family,משפחה
famous,מפורסם
far,רחוק
farm,החווה
fast,מהר
fat,שומן
father,אב
favor,להעדיף
fear,פחד
feed,הזנה
feel,להרגיש
feet,רגליים
fell,נפלתי
felt,הרגיש
few,כמה
field,שדה
fig,תאנה
fight,מאבק
figure,דמות
fill,למלא
final,סופי
find,למצוא
fine,קנס
finger,אצבע
finish,גימור
fire,אש
first,ראשון
fish,דגים
fit,להתאים
five,חמש
flat,דירה
floor,רצפה
flow,לזרום
flower,פרח
fly,לעוף
follow,מעקב
food,מזון
foot,רגל
for,עבור
force,כוח
forest,יער
form,טופס
forward,קדימה
found,מצאתי
four,ארבעה
fraction,חלק
free,חופשי
fresh,טרי
friend,חבר
from,מ
front,מול
fruit,פירות
full,מלא
fun,כיף
game,משחק
garden,גן
gas,גז
gather,לאסוף
gave,נתתי
general,כללי
gentle,עדין
get,לקבל
girl,ילדה
give,לתת
glad,שמח
glass,זכוכית
go,ללכת
gold,זהב
gone,נעלם
good,טוב
got,לי
govern,למשול
grand,גדול
grass,דשא
gray,אפור
great,גדול
green,ירוק
grew,גדלתי
ground,קרקע
group,קבוצה
grow,לגדול
guess,מניח
guide,להנחות את
gun,אקדח
had,היה לי
hair,שיער
half,מחצית
hand,יד
happen,לקרות
happy,שמח
hard,קשה
has,יש
hat,כובע
have,יש לי
he,הוא
head,ראש
hear,לשמוע
heard,שמע
heart,לב
heat,חום
heavy,כבד
held,מוחזק
help,לעזור
her,שלה
here,כאן
high,גבוה
hill,גבעה
him,שלו
his,שלו
history,היסטוריה
hit,פגע
hold,להחזיק
hole,חור
home,בית
hope,מקווה
horse,סוס
hot,חם
hour,שעה
house,בית
how,איך
huge,ענק
human,אדם
hundred,מאה
hunt,ציד
hurry,למהר
i,אני
ice,קרח
idea,רעיון
if,אם
imagine,להניח
in,ב
inch,אינץ
include,כולל
indicate,מצביע על
industry,תעשייה
insect,חרקים
instant,מיידי
instrument,מכשיר
interest,עניין
invent,להמציא
iron,ברזל
is,הוא
island,אי
it,זה
job,עבודה
join,להצטרף
joy,שמחה
jump,לקפוץ
just,רק
keep,לשמור
kept,שמר
key,מפתח
kill,להרוג
kind,סוג
king,מלך
knew,ידעתי
know,יודע
lady,גברת
lake,אגם
land,ארץ
language,שפה
large,גדול
last,אחרון
late,מאוחר
laugh,צחוק
law,החוק
lay,שכבתי
lead,להוביל
learn,ללמוד
least,לפחות
leave,לעזוב
led,הוביל
left,עזב
leg,רגל
length,משך
less,פחות
let,בואו
letter,מכתב
level,רמה
lie,שקר
life,חיים
lift,מעלית
light,אור
like,כמו
line,שורה
liquid,נוזל
list,רשימה
listen,להקשיב
little,קטן
live,לחיות
locate,אתר
log,להיכנס
lone,בודד
long,ארוך
look,להסתכל
lost,איבדתי
lot,מגרש
loud,רם
love,אהבה
low,נמוך
machine,מכונה
made,עשיתי
magnet,מגנט
main,עיקרי
major,גדול
make,לעשות
man,גבר
many,רבים
map,המפה
mark,סימן
market,שוק
mass,מסה
master,אדון
match,משחק
material,חומר
matter,עניין
may,רשאי
me,לי
mean,אומר
meant,התכוון
measure,למדוד
meat,בשר
meet,נפגש
melody,מנגינה
men,אנשים
metal,מתכת
method,שיטה
middle,אמצע
might,אולי
mile,מייל
milk,חלב
million,מיליון
mind,דעה
mine,שלי
minute,דקות
miss,מתגעגע
mix,לערבב
modern,מודרני
molecule,מולקולה
moment,רגע
money,כסף
month,חודש
moon,ירח
more,יותר
morning,בוקר
most,ביותר
mother,אמא
motion,תנועה
mount,הר
mountain,הר
mouth,פה
move,מהלך
much,הרבה
multiply,להכפיל
music,מוסיקה
must,חייב
my,שלי
name,שם
nation,אומה
natural,טבעי
nature,טבע
near,ליד
necessary,הכרחי
neck,צוואר
need,צריך
neighbor,השכן
never,אף פעם לא
new,חדש
next,הבא
night,לילה
nine,תשע
no,לא
noise,רעש
noon,הצהריים
nor,ולא
north,צפון
nose,האף
note,הערה
nothing,שום דבר
notice,הודעה
noun,שם עצם
now,עכשיו
number,מספר
numeral,ספרה
object,אובייקט
observe,להתבונן
occur,להתרחש
ocean,אוקיינוס
of,של
off,את
offer,הצעה
office,משרד
often,לעתים קרובות
oh,הו
oil,שמן
old,ישן
on,על
once,פעם אחת
one,אחד
only,רק
open,פתוח
operate,פועל
opposite,ההפך
or,או
order,כדי
organ,איבר
original,מקורי
other,אחר
our,שלנו
out,את
over,על
own,של
oxygen,חמצן
page,דף
paint,לצייר
pair,זוג
paper,נייר
paragraph,סעיף
parent,הורה
part,חלק
particular,בפרט
party,מפלגה
pass,עובר
past,האחרון
path,נתיב
pattern,דפוס
pay,לשלם
people,אנשים
perhaps,אולי
period,התקופה
person,אדם
phrase,ביטוי
pick,לבחור
picture,תמונה
piece,חתיכה
pitch,המגרש
place,מקום
plain,מישור
plan,תכנית
plane,מטוס
planet,כדור הארץ
plant,צמח
play,לשחק
please,בבקשה
plural,לשון רבים
poem,שיר
point,נקודה
poor,עני
populate,לאכלס
port,נמל
pose,פוזה
position,עמדה
possible,אפשרי
post,שלאחר
pound,קילו
power,כוח
practice,בפועל
prepare,להכין
present,נוכחי
press,עיתונות
pretty,די
print,הדפסה
probable,סביר
problem,בעיה
process,תהליך
produce,לייצר
product,מוצר
proper,ראוי
property,רכוש
protect,להגן על
prove,להוכיח
provide,לספק
pull,למשוך
push,דחיפה
put,לשים
quart,ליטר
question,שאלה
quick,מהיר
quiet,שקט
quite,די
quotient,מנה
race,מירוץ
radio,רדיו
rail,רכבת
rain,גשם
raise,להעלות
ran,רצתי
range,טווח
rather,ולא
reach,להגיע
read,לקרוא
ready,מוכן
real,אמיתי
reason,סיבה
receive,לקבל
record,שיא
red,אדום
region,אזור
remember,לזכור
repeat,חוזר
reply,להגיב
represent,מייצג
require,דורש
rest,שאר
result,תוצאה
rich,עשיר
ride,נסיעה
right,נכון
ring,טבעת
rise,לעלות
river,נהר
road,כביש
rock,רוק
roll,גליל
room,חדר
root,שורש
rope,חבל
rose,עלה
round,עגול
row,שורה
rub,לשפשף
rule,שלטון
run,לרוץ
safe,בטוח
said,אמר
sail,מפרש
salt,מלח
same,אותו
sand,חול
sat,ישבתי
save,להציל
saw,מסור
say,אומר
scale,בקנה מידה
school,בית ספר
science,מדע
score,ציון
sea,ים
search,חיפוש
season,עונה
seat,מושב
second,שני
section,סעיף
see,לראות
seed,זרע
seem,נראה
segment,קטע
select,בחר
self,עצמי
sell,למכור
send,לשלוח
sense,תחושה
sent,שלחתי
sentence,משפט
separate,נפרד
serve,לשרת
set,סט
settle,להתיישב
seven,שבע
several,כמה
shall,תהא
shape,צורה
share,מניה
sharp,חד
she,היא
sheet,גיליון
shell,פגז
shine,ברק
ship,ספינה
shoe,נעל
shop,חנות
shore,החוף
short,קצר
should,צריך
shoulder,כתף
shout,צעקה
show,מופע
side,צד
sight,מראה
sign,סימן
silent,שקט
silver,כסף
similar,דומה
simple,פשוט
since,מאז
sing,לשיר
single,אחת
sister,אחות
sit,לשבת
six,שש
size,גודל
skill,מיומנות
skin,עור
sky,שמים
slave,עבדים
sleep,לישון
slip,תלוש
slow,איטי
small,קטן
smell,ריח
smile,חיוך
snow,שלג
so,כך
soft,רך
soil,אדמה
soldier,חיל
solution,פתרון
solve,לפתור
some,כמה
son,בן
song,שיר
soon,בקרוב
sound,נשמע
south,דרום
space,חלל
speak,לדבר
special,מיוחד
speech,נאום
speed,מהירות
spell,לאיית
spend,לבלות
spoke,דיברתי
spot,מקום
spread,התפשטות
spring,האביב
square,רבוע
stand,לעמוד
star,כוכב
start,התחלה
state,מדינה
station,תחנה
stay,להישאר
stead,במקום
steam,קיטור
steel,פלדה
step,צעד
stick,מקל
still,עוד
stone,אבן
stood,עמד
stop,להפסיק
store,חנות
story,סיפור
straight,ישר
strange,מוזר
stream,זרם
street,רחוב
stretch,מתיחה
string,מחרוזת
strong,חזק
student,סטודנט
study,מחקר
subject,נושא
substance,חומר
subtract,להחסיר
success,הצלחה
such,כזה
sudden,פתאומי
suffix,סיומת
sugar,סוכר
suggest,מציע
suit,חליפה
summer,הקיץ
sun,שמש
supply,אספקה
support,תמיכה
sure,בטוח
surface,פני השטח
surprise,הפתעה
swim,לשחות
syllable,הברה
symbol,סמל
system,מערכת
table,שולחן
tail,זנב
take,לקחת
talk,דיבורים
tall,גבוה
teach,ללמד
team,צוות
teeth,שיניים
tell,לספר
temperature,טמפרטורה
ten,עשר
term,טווח
test,מבחן
than,מאשר
thank,תודה
that,ש
the,עבור
their,שלהם
them,שלהם
then,אז
there,שם
these,אלה
they,הם
thick,עבה
thin,דק
thing,דבר
think,חושב
third,שלישי
this,זה
those,אלה
though,למרות ש
thought,חשבתי
thousand,אלף
three,שלוש
through,דרך
throw,לזרוק
thus,כך
tie,עניבה
time,זמן
tiny,זעיר
tire,צמיג
to,אל
together,יחד
told,אמר לי
tone,טון
too,גם
took,לקחתי
tool,כלי
top,עליון
total,סך הכל
touch,לגעת
toward,לקראת
town,העיר
track,מסלול
trade,מסחר
train,רכבת
travel,נסיעה
tree,עץ
triangle,משולש
trip,טיול
trouble,צרות
truck,משאית
true,נכון
try,לנסות
tube,צינור
turn,תור
twenty,עשרים
two,שנים
type,סוג
under,תחת
unit,יחידה
until,עד
up,למעלה
us,שלנו
use,שימוש
usual,כרגיל
valley,עמק
value,ערך
vary,להשתנות
verb,פועל
very,מאוד
view,תצוגה
village,כפר
visit,ביקור
voice,קול
vowel,תנועה
wait,לחכות
walk,ללכת
wall,קיר
want,רוצה
war,מלחמה
warm,חם
was,היה
wash,לשטוף
watch,לצפות
water,מים
wave,גל
way,דרך
we,אנחנו
wear,ללבוש
weather,מזג אוויר
week,שבוע
weight,משקל
well,גם
went,הלכתי
were,היו
west,מערב
what,מה
wheel,גלגל
when,כאשר
where,איפה
whether,אם
which,ש
while,תוך
white,לבן
who,מי
whole,כל
whose,של מי
why,מדוע
wide,רחב
wife,אישה
wild,פראי
will,יהיה
win,לנצח
wind,רוח
window,חלון
wing,כנף
winter,חורף
wire,חוט
wish,מאחל לי
with,עם
woman,אישה
women,נשים
wonder,פלא
won’t,לא יהיה
wood,עץ
word,מילה
work,עבודה
world,עולם
would,היית
write,לכתוב
written,נכתב
wrong,לא נכון
wrote,כתבתי
yard,חצר
year,שנה
yellow,צהוב
yes,כן
yet,בכל זאת
you,אתה
young,צעיר
your,שלך
