english,afrikaans
shall,sal
shape,vorm
share,aandeel
sharp,skerp
she,sy
sheet,blad
shell,dop
shine,skyn
ship,skip
shoe,skoen
shop,winkel
shore,strand
short,kort
should,behoort
shoulder,skouer
shout,skree
show,show
side,kant
sight,oë
sign,teken
silent,stil
silver,silwer
similar,soortgelyke
simple,eenvoudige
since,sedert
sing,sing
single,enkele
sister,suster
sit,sit
six,ses
size,grootte
skill,vaardigheid
skin,vel
sky,lug
slave,slaaf
sleep,slaap
slip,strokie
slow,stadig
small,klein
smell,reuk
smile,glimlag
snow,sneeu
so,so
soft,sagte
soil,grond
soldier,soldaat
solution,oplossing
solve,los
some,sommige
son,seun
song,lied
soon,gou
sound,klink
south,suid-
space,ruimte
speak,praat
special,spesiale
speech,toespraak
speed,spoed
spell,spel
spend,spandeer
spoke,gepraat
spot,spot
spread,verspreiding
spring,die lente
square,vierkante
stand,staan
star,ster
start,begin
state,staat
station,stasie
stay,bly
stead,plek
steam,stoom
steel,staal
step,stap
stick,stok
still,steeds
stone,klip
stood,staan
stop,stop
store,winkel
story,storie
straight,reguit
strange,vreemde
stream,stroom
street,straat
stretch,rek
string,string
strong,sterk
student,student
study,studie
subject,onderwerp
substance,stof
subtract,aftrek
success,sukses
such,sodanige
sudden,skielike
suffix,agtervoegsel
sugar,suiker
suggest,stel
suit,pak
summer,somer
sun,son
supply,toevoer
support,ondersteuning
sure,seker
surface,oppervlak
surprise,verrassing
swim,swem
syllable,lettergreep
symbol,simbool
system,stelsel
table,tafel
tail,stert
take,neem
talk,besprekings
tall,hoë
teach,leer
team,span
teeth,tande
tell,vertel
temperature,temperatuur
ten,tien
term,term
test,toets
than,as
thank,dankie
that,wat
the,die
their,hul
them,hulle
then,dan
there,daar
these,hierdie
they,hulle
thick,dik
thin,dun
thing,ding
think,dink
third,derde
this,hierdie
those,diegene
though,alhoewel
thought,gedink
thousand,duisend
three,drie
through,deur
throw,gooi
thus,dus
tie,tie
time,tyd
tiny,klein
tire,band
to,te
together,saam
told,vertel
tone,toon
too,te
took,het
tool,hulpmiddel
top,top
total,totale
touch,raak
toward,teenoor
town,dorp
track,spoor
trade,handel
train,trein
travel,reis
tree,boom
triangle,driehoek
trip,reis
trouble,moeilikheid
truck,vragmotor
true,ware
try,probeer
tube,buis
turn,beurt
twenty,twintig
two,twee
type,tipe
under,onder
unit,eenheid
until,totdat
up,up
us,ons
use,gebruik
usual,gewone
valley,vallei
value,waarde
vary,wissel
verb,werkwoord
very,baie
view,view
village,dorpie
visit,besoek
voice,stem
vowel,vokaal
wait,wag
walk,loop
wall,muur
want,wil
war,oorlog
warm,warm
was,was
wash,wash
watch,kyk
water,water
wave,golf
way,manier
we,ons
wear,dra
weather,weer
week,week
weight,gewig
well,goed
went,gegaan
were,was
west,west
what,wat
wheel,wiel
when,wanneer
where,waar
whether,of
which,wat
while,terwyl
white,wit
who,wat
whole,geheel
whose,wie se
why,hoekom
wide,wye
wife,vrou
wild,wilde
will,sal
win,oorwinning
wind,wind
window,venster
wing,vleuel
winter,winter
wire,draad
wish,wens
with,met
woman,vrou
women,vroue
wonder,wonder
won’t,sal nie
wood,hout
word,woord
work,werk
world,wêreld
would,sou
write,skryf
written,geskryf
wrong,verkeerd
wrote,geskryf
yard,agterplaas
year,jaar
yellow,geel
yes,ja
yet,nog
you,jy
young,jong
your,jou
