english,xhosa
instrument,isixhobo
interest,umdla
invent,abaliqulunqa
iron,intsimbi
is,na
island,isiqithi
it,kuyo
job,umsebenzi
join,joyina
joy,uvuyo
jump,xhuma
just,nje
keep,gcina
kept,zigcinwe
key,isitshixo
kill,bulala
kind,uhlobo
king,ukumkani
knew,wayesazi
know,azi
lady,inenekazi
lake,ichibi
land,umhlaba
language,ulwimi
large,ezinkulu
last,kugqibela
late,kade
laugh,hleka
law,umthetho
lay,beka
lead,ukukhokela
learn,funda
least,ubuncinane
leave,shiya
led,i-led
left,khohlo
leg,umlenze
length,ubude
less,ngaphantsi
let,makhe
letter,ileta
level,kwinqanaba
lie,ubuxoki
life,ubomi
lift,nyusa
light,ukukhanya
like,ezifana
line,umgca
liquid,ulwelo
list,uluhlu
listen,ukuphulaphula
little,kancinane
live,phila
locate,fumana
log,ilog
lone,eyedwa
long,elide
look,khangela
lost,ezilahlekileyo
lot,iqashiso
loud,elikhulu
love,uthando
low,phantsi
machine,umatshini
made,yenziwe
magnet,imagnethi
main,eyona
major,enkulu
make,enza
man,indoda
many,ezininzi
map,imephu
mark,uphawu
market,imarike
mass,ubunzima
master,inkosi
match,umdlalo
material,imathiriyeli
matter,umcimbi
may,ucanzibe
me,mna
mean,kuthetha
meant,kwakuthetha
measure,umlinganiselo
meat,inyama
meet,dibana
melody,uncuthu lwengoma
men,amadoda
metal,isinyithi
method,indlela yokwenza
middle,phakathi
might,amandla
mile,imayile
milk,ubisi
million,kwezigidi
mind,ingqondo
mine,yam
minute,mzuzu
miss,khumbula
mix,xuba
modern,yanamhlanje
molecule,zinemoletyhule
moment,umzuzu
money,imali
month,inyanga
moon,inyanga
more,kaninzi
morning,ntseni
most,uninzi
mother,umama
motion,isindululo
mount,entabeni
mountain,intaba
mouth,umlomo
move,shukuma
much,kakhulu
multiply,kuyandisa
music,umculo
must,kufuneka
my,yam
name,igama
nation,isizwe
natural,endalo
nature,indalo
near,kufutshane
necessary,kuyimfuneko
neck,intamo
need,imfuneko
neighbor,ummelwane
never,soze
new,olutsha
next,okulandelayo
night,busuku
nine,thoba
no,hayi
noise,ingxolo
noon,emini enkulu
nor,okanye
north,mantla
nose,impumlo
note,phawula
nothing,akukho nto
notice,isaziso
noun,isibizo
now,ngoku
number,inani
numeral,inani
object,into
observe,qaphela
occur,zenzeka
ocean,ocean
of,ye
off,off
offer,umnikelo
office,iofisi
often,rhoqo
oh,oh
oil,ioyile
old,ubudala
on,phezu
once,kanye
one,nye
only,kuphela
open,vula
operate,ukusebenza
opposite,malunga
or,okanye
order,umyalelo
organ,ilungu lomzimba
original,original
other,omnye
our,yethu
out,phandle
over,phezu
own,yakhe
oxygen,ioksijini
page,iphepha
paint,ukupeyinta
pair,iperi
paper,iphepha
paragraph,umhlathi
parent,umzali
part,inxalenye
particular,kanye
party,iqela
pass,kwathi
past,elidlulileyo
path,indlela
pattern,ipatheni
pay,hlawula
people,abantu
perhaps,mhlawumbi
period,ixesha
person,umntu
phrase,ibinzana
pick,ukcola
picture,umfanekiso
piece,iqhekeza
pitch,lokuqhubekeka
place,indawo
plain,cacile
plan,iplani
plane,moya
planet,iplanethi
plant,isityalo
play,umdlalo
please,ndiyacela
plural,isininzi
poem,umbongo
point,indawo
poor,amahlwempu
populate,bazalise
port,izibuko
pose,woku-
position,indawo
possible,nokwenzeka
post,isikhundla
pound,isikiti
power,amandla
practice,ukwenza
prepare,lungiselela
present,isipho
press,cinezela
pretty,intle
print,ushicilelo
probable,mhlawumbi
problem,ingxaki
process,inkqubo
produce,velisa
product,imveliso
proper,eyiyo
property,ipropati
protect,khusela
prove,zingqina
provide,ukubonelela
pull,tsala
push,dudula
put,beka
quart,nelitha
question,umbuzo
quick,ngokukhawuleza
quiet,zolile
quite,kakhulu
quotient,quotient
race,uhlanga
radio,unomathotholo
rail,ngololiwe
rain,imvula
raise,ukunyusa
ran,wabaleka
range,uluhlu
rather,kunokuba
reach,ukufikelela
read,funda
ready,lungele
real,yenene
reason,isizathu
receive,kufumana
record,irekhodi
red,bomvu
region,ummandla
remember,khumbula
repeat,phinda
reply,impendulo
represent,mela
require,funa
rest,phumla
result,isiphumo
rich,tyebile
ride,ukukhwela
right,kunene
ring,umsesane
rise,phakama
river,umlambo
road,indlela
rock,iliwa
roll,umqulu
room,igumbi
root,ingcambu
rope,intambo
rose,wavuka
round,ngqukuva
row,ukrozo
rub,hlikihla
rule,umthetho
run,baleka
safe,ekhuselekileyo
said,wathi
sail,iseyile
salt,ityuwa
same,enye
sand,isanti
sat,wahlala
save,gcina
saw,isarha
say,ithi
scale,isikali
school,isikolo
science,inzululwazi
score,inqaku
sea,ulwandle
search,ukufuna
season,ixesha lonyaka
seat,isihlalo
second,isibini
section,icandelo
see,khangela
seed,imbewu
seem,ngathi
segment,segment
select,khetha
self,ukuzeyisa
sell,thengisa
send,thumela
sense,intsingiselo
sent,wathumela
sentence,isigwebo
separate,eyahlukileyo
serve,khonza
set,iseti
settle,lungisa
seven,sixhenxe
several,eziliqela
shall,uya
shape,ukumila
share,isabelo
sharp,ezibukhali
she,yena
sheet,ishiti
shell,iqokobhe
shine,ukukhanya
ship,inqanawa
shoe,isihlangu
shop,ivenkile
shore,unxweme
short,mfutshane
should,kufuneka
shoulder,igxalaba
shout,amayeyeye
show,bonisa
side,icala
sight,ukubona
sign,uphawu
silent,cwaka
silver,isilivere
similar,ezifanayo
simple,elula
since,ukususela
sing,cula
single,enye
sister,usisi
sit,hlala
six,ntandathu
size,ubungakanani
skill,ubuchule
skin,ulusu
sky,isibhakabhaka
slave,ikhoboka
sleep,ukulala
slip,isiliphu
slow,olucothayo
small,amancinane
smell,ivumba
smile,uncumo
snow,ikhephu
so,ukuze
soft,ezithambileyo
soil,umhlaba
soldier,ijoni
solution,isisombululo
solve,sombulula
some,ezinye
son,unyana
song,ingoma
soon,msinyane
sound,isandi
south,mazantsi
space,isithuba
speak,thetha
special,ezikhethekileyo
speech,intetho
speed,isantya
spell,pela
spend,chitha
spoke,wathetha
spot,ibala
spread,sasaza
spring,intlakohlaza
square,isikwere
stand,yima
star,inkwenkwezi
start,ukuqala
state,imeko
station,isitishi
stay,ukuhlala
stead,esikhundleni
steam,umphunga
steel,intsimbi
step,inyathelo
stick,intonga
still,nangoku
stone,ilitye
stood,wema
stop,yeka
store,ivenkile
story,ibali
straight,ngqo
strange,engaqhelekanga
stream,umlambo
street,isitalato
stretch,kumgama
string,umtya
strong,olomeleleyo
student,umfundi
study,isifundo
subject,isifundo
substance,into
subtract,thabatha
success,impumelelo
such,ezifana
sudden,ngequbuliso
suffix,isimamva
sugar,iswekile
suggest,bacebisa
suit,isuti
summer,ihlobo
sun,ilanga
supply,isibonelelo
support,inkxaso
sure,qiniseka
surface,umphandle
surprise,ndamangaliswa
swim,qubha
syllable,nelungu
symbol,umqondiso
system,isixokelelwano
table,itafile
tail,umsila
take,thabatha
talk,thetha
tall,emide
teach,fundisa
team,iqela
teeth,amazinyo
tell,xelela
temperature,iqondo lobushushu
ten,shumi
term,ikota
test,uvavanyo
than,ngaphezu
thank,bulela
that,ukuba
the,le
their,zabo
them,bona
then,ngelo xesha
there,pha
these,ezi
they,bona
thick,zamafu
thin,angamarhoqorhoqo
thing,into
think,cinga
third,isithathu
this,le
those,abo
though,nangona
thought,ingcinga
thousand,iwaka
three,ntathu
through,ngokusebenzisa
throw,ukuphosa
thus,ngoko ke
tie,iqhina
time,ixesha
tiny,zincinane
tire,ukudinisa
to,ukuze
together,kunye
told,wathi
tone,ilizwi
too,kakhulu
took,wathabatha
tool,isixhobo
top,umphezulu
total,iyonke
touch,ukuchukumisa
toward,ndibhekise
town,idolophu
track,umkhondo
trade,urhwebo
train,uloliwe
travel,hamba
tree,umthi
triangle,unxantathu
trip,uhambo
trouble,inkathazo
truck,ilori
true,oyinyaniso
try,zama
tube,umbhobho
turn,lithuba
twenty,amashumi amabini
two,mbini
type,uhlobo
under,phantsi
unit,unit
until,kude
up,phezulu
us,thina
use,ukusebenzisa
usual,njengesiqhelo
valley,intlambo
value,ixabiso
vary,kwahluka
verb,isenzi
very,kakhulu
view,uluvo
village,ilali
visit,utyelelo
voice,ilizwi
vowel,isikhamiso
wait,yima
walk,ukuhamba
wall,udonga
want,nqwenela
war,imfazwe
warm,efudumeleyo
was,yaba
wash,hlamba
watch,khangela
water,amanzi
wave,iliza
way,indlela
we,thina
wear,nxiba
weather,yemozulu
week,iveki
weight,ubunzima
well,kakuhle
went,waya
were,zaye
west,bucala ngasekunene
what,intoni
wheel,ivili
when,nini
where,apho
whether,nokuba
which,apho
while,lo gama
white,mhlophe
who,ngubani
whole,onke
whose,kabani
why,ngoba
wide,banzi
wife,inkosikazi
wild,zasendle
will,uya
win,ukuphumelela
wind,umoya
window,ifestile
wing,iphiko
winter,ubusika
wire,ucingo
wish,umnqweno
with,kunye
woman,inkosikazi
women,abafazi
wonder,ukumangaliswa
won’t,akayi
wood,iinkuni
word,igama
work,umsebenzi
world,ihlabathi
would,babeya
write,bhala
written,ebhaliweyo
wrong,engalunganga
wrote,wabhala
yard,iyadi
year,unyaka
yellow,lubhelu
yes,ewe
yet,kanti
you,nina
young,abatsha
your,akho
