english,gujarati
low,ઓછી
machine,મશીન
made,કરી
magnet,ચુંબક
main,મુખ્ય
major,મુખ્ય
make,કરો
man,માણસ
many,ઘણા
map,નકશો
mark,ચિહ્ન
market,બજાર
mass,સમૂહ
master,માસ્ટર
match,મેચ
material,સામગ્રી
matter,બાબત
may,કરી શકે છે
me,મને
mean,અર્થ
meant,અર્થ
measure,માપવા
meat,માંસ
meet,પૂરી
melody,મેલોડી
men,પુરુષો
metal,મેટલ
method,પદ્ધતિ
middle,મધ્યમ
might,કદાચ
mile,માઇલ
milk,દૂધ
million,મિલિયન
mind,મન
mine,ખાણ
minute,મિનિટ
miss,ગુમ
mix,મિશ્રણ
modern,આધુનિક
molecule,પરમાણુ
moment,ક્ષણ
money,પૈસા
month,મહિનો
moon,ચંદ્ર
more,વધુ
morning,સવારે
most,સૌથી
mother,માતા
motion,ગતિ
mount,માઉન્ટ
mountain,પર્વત
mouth,મોં
move,ચાલ
much,ખૂબ
multiply,ગુણાકાર
music,સંગીત
must,જ જોઈએ
my,મારા
name,નામ
nation,રાષ્ટ્ર
natural,કુદરતી
nature,પ્રકૃતિ
near,નજીક
necessary,જરૂરી
neck,ગરદન
need,જરૂર
neighbor,પાડોશી
never,ક્યારેય
new,નવા
next,આગામી
night,રાત
nine,નવ
no,કોઈ
noise,અવાજ
noon,બપોરે
nor,કે
north,ઉત્તર
nose,નાક
note,નોંધ
nothing,કંઈ
notice,નોટિસ
noun,નામ
now,હવે
number,નંબર
numeral,આંકડો
object,પદાર્થ
observe,અવલોકન
occur,થાય
ocean,સમુદ્ર
of,ના
off,બંધ
offer,ઓફર
office,ઓફિસ
often,વારંવાર
oh,ઓહ
oil,તેલ
old,જૂના
on,પર
once,એક વખત
one,એક
only,માત્ર
open,ઓપન
operate,કામ
opposite,વિરુદ્ધ
or,અથવા
order,માટે
organ,અંગ
original,મૂળ
other,અન્ય
our,અમારા
out,બહાર
over,પર
own,પોતાના
oxygen,ઓક્સિજન
page,પાનું
paint,રંગ
pair,જોડી
paper,કાગળ
paragraph,ફકરો
parent,પિતૃ
part,ભાગ
particular,ખાસ
party,પક્ષ
pass,પસાર
past,છેલ્લા
path,પાથ
pattern,પેટર્ન
pay,ચૂકવણી
people,લોકો
perhaps,કદાચ
period,સમય
person,વ્યક્તિ
phrase,મહાવરો
pick,પસંદ
picture,ચિત્ર
piece,ભાગ
pitch,પિચ
place,સ્થળ
plain,સાદા
plan,યોજના
plane,વિમાન
planet,ગ્રહ
plant,પ્લાન્ટ
play,રમવા
please,કૃપા કરીને
plural,બહુવચન
poem,કવિતા
point,બિંદુ
poor,ગરીબ
populate,રચના
port,પોર્ટ
pose,દંભ
position,સ્થિતિ
possible,શક્ય
post,પોસ્ટ
pound,પાઉન્ડ
power,શક્તિ
practice,પ્રથા
prepare,તૈયાર
present,હાજર
press,પ્રેસ
pretty,ખૂબ
print,પ્રિન્ટ
probable,સંભવિત
problem,સમસ્યા
process,પ્રક્રિયા
produce,ઉત્પાદન
product,ઉત્પાદન
proper,યોગ્ય
property,મિલકત
protect,રક્ષણ
prove,સાબિત
provide,પૂરી પાડે છે
pull,ખેંચી
push,દબાણ
put,મૂકી
quart,પા ગેલન
question,પ્રશ્ન
quick,ઝડપી
quiet,શાંત
quite,તદ્દન
quotient,આંક
race,રેસ
radio,રેડિયો
rail,રેલવે
rain,વરસાદ
raise,એકત્ર
ran,ચાલી હતી
range,શ્રેણી
rather,બદલે
reach,સુધી પહોંચવા
read,વાંચો
ready,તૈયાર
real,વાસ્તવિક
reason,કારણ
receive,પ્રાપ્ત
record,રેકોર્ડ
red,લાલ
region,પ્રદેશ
remember,યાદ
repeat,વારંવાર
reply,જવાબ
represent,પ્રતિનિધિત્વ
require,જરૂરી
rest,બાકીના
result,પરિણામ
rich,સમૃદ્ધ
ride,સવારી
right,અધિકાર
ring,રિંગ
rise,વધારો
river,નદી
road,માર્ગ
rock,રોક
roll,રોલ
room,રૂમ
root,રુટ
rope,દોરડું
rose,ગુલાબ
round,રાઉન્ડ
row,પંક્તિ
rub,ઘસવું
rule,નિયમ
run,રન
safe,સલામત
said,"જણાવ્યું હતું કે,"
sail,સઢ
salt,મીઠું
same,જ
sand,રેતી
sat,શનિ
save,સેવ
saw,લાકડાં
say,કહે
scale,સ્કેલ
school,શાળા
science,વિજ્ઞાન
score,સ્કોર
sea,સમુદ્ર
search,શોધ
season,મોસમ
seat,બેઠક
second,બીજા
section,વિભાગ
see,જુઓ
seed,બીજ
seem,લાગે
segment,સેગમેન્ટમાં
select,પસંદ
self,સ્વ
sell,વેચાણ
send,મોકલવા
sense,અર્થમાં
sent,મોકલવામાં
sentence,સજા
separate,અલગ
serve,સેવા આપવા
set,સમૂહ
settle,પતાવટ
seven,સાત
several,અનેક
shall,રહેશે
shape,આકાર
share,શેર
sharp,તીવ્ર
she,તે
sheet,શીટ
shell,શેલ
shine,ચમકવા
ship,જહાજ
shoe,જૂતા
shop,દુકાન
shore,કિનારા
short,ટૂંકા
should,જોઈએ
shoulder,ખભા
shout,પાડો
show,શો
side,બાજુ
sight,દૃષ્ટિ
sign,સાઇન
silent,શાંત
silver,ચાંદીના
similar,સમાન
simple,સરળ
since,કારણ
sing,ગાય
single,એક
sister,બહેન
sit,બેસી
six,છ
size,કદ
skill,કૌશલ્ય
skin,ત્વચા
sky,આકાશ
slave,ગુલામ
sleep,ઊંઘ
slip,કાપલી
slow,ધીમી
small,નાના
smell,ગંધ
smile,સ્મિત
snow,બરફ
so,તેથી
soft,નરમ
soil,જમીન
soldier,સૈનિક
solution,ઉકેલ
solve,હલ
some,કેટલાક
son,પુત્ર
song,ગીત
soon,ટૂંક સમયમાં
sound,ધ્વનિ
south,દક્ષિણ
space,જગ્યા
speak,વાત
special,ખાસ
speech,ભાષણ
speed,ઝડપ
spell,જોડણી
spend,ખર્ચ
spoke,વાત કરી હતી
spot,હાજર
spread,ફેલાવો
spring,વસંત
square,ચોરસ
stand,ઊભા
star,સ્ટાર
start,શરૂઆત
state,રાજ્ય
station,સ્ટેશન
stay,રહેવા
stead,સ્ટીડનો
steam,વરાળ
steel,સ્ટીલ
step,પગલું
stick,લાકડી
still,હજુ પણ
stone,પથ્થર
stood,હતી
stop,બંધ
store,સ્ટોર
story,વાર્તા
straight,કોઈ રન નોંધાયો નહીં
strange,વિચિત્ર
stream,સ્ટ્રીમ
street,શેરી
stretch,ઉંચાઇ
string,શબ્દમાળા
strong,મજબૂત
student,વિદ્યાર્થી
study,અભ્યાસ
subject,વિષય
substance,પદાર્થ
subtract,બાદબાકી
success,સફળતા
such,જેમ કે
sudden,અચાનક
suffix,પ્રત્યય
sugar,ખાંડ
suggest,સૂચવે છે
suit,દાવો
summer,ઉનાળામાં
sun,સૂર્ય
supply,પુરવઠો
support,આધાર
sure,ખાતરી કરો
surface,સપાટી
surprise,આશ્ચર્ય
swim,તરી
syllable,ઉચ્ચારણ
symbol,પ્રતીક
system,સિસ્ટમ
table,ટેબલ
tail,પૂંછડી
take,લો
talk,ચર્ચા
tall,ઊંચા
teach,શીખવવા
team,ટીમ
teeth,દાંત
tell,કહી
temperature,તાપમાન
ten,દસ
term,શબ્દ
test,ટેસ્ટ
than,કરતાં
thank,આભાર
that,કે
the,આ
their,તેમના
them,તેમને
then,પછી
there,ત્યાં
these,આ
they,તેઓ
thick,જાડા
thin,પાતળા
thing,વસ્તુ
think,લાગે છે
third,ત્રીજા
this,આ
those,તે
though,છતાં
thought,વિચાર્યું
thousand,હજાર
three,ત્રણ
through,દ્વારા
throw,ફેંકવું
thus,આમ
tie,ટાઇ
time,સમય
tiny,નાના
tire,ટાયર
to,માટે
together,એક સાથે
told,જણાવ્યું
tone,સ્વર
too,પણ
took,લીધો
tool,સાધન
top,ટોચ
total,કુલ
touch,સ્પર્શ
toward,તરફ
town,નગર
track,ટ્રેક
trade,વેપાર
train,ટ્રેન
travel,પ્રવાસ
tree,વૃક્ષ
triangle,ત્રિકોણ
trip,પ્રવાસ
trouble,મુશ્કેલી
truck,ટ્રક
true,સાચું
try,પ્રયાસ
tube,ટ્યુબ
turn,વળાંક
twenty,વીસ
two,બે
type,પ્રકાર
under,હેઠળ
unit,એકમ
until,ત્યાં સુધી
up,અપ
us,અમને
use,ઉપયોગ
usual,સામાન્ય
valley,ખીણ
value,કિંમત
vary,અલગ અલગ હોય છે
verb,ક્રિયાપદ
very,ખૂબ
view,દૃશ્ય
village,ગામ
visit,મુલાકાત
voice,અવાજ
vowel,સ્વર
wait,રાહ
walk,ચાલવા
wall,દિવાલ
want,માંગો છો
war,યુદ્ધ
warm,ગરમ
was,હતી
wash,ધોવું
watch,જુઓ
water,પાણી
wave,તરંગ
way,માર્ગ
we,અમે
wear,ભાષા
weather,હવામાન
week,સપ્તાહ
weight,વજન
well,સાથે સાથે
went,ગયા
were,હતા
west,પશ્ચિમ
what,શું
wheel,વ્હીલ
when,જ્યારે
where,જ્યાં
whether,કે શું
which,જે
while,જ્યારે
white,સફેદ
who,જે
whole,સમગ્ર
whose,જેના
why,શા માટે
wide,વિશાળ
wife,પત્ની
wild,જંગલી
will,કરશે
win,જીત
wind,પવન
window,વિન્ડો
wing,પાંખ
winter,શિયાળામાં
wire,વાયર
wish,માંગો
with,સાથે
woman,મહિલા
women,સ્ત્રીઓ
wonder,આશ્ચર્ય
won’t,નહીં
wood,લાકડું
word,શબ્દ
work,કામ
world,વિશ્વ
would,કરશે
write,લખવા
written,લખવામાં
wrong,ખોટું
wrote,લખ્યું
yard,યાર્ડ
year,વર્ષ
yellow,પીળા
yes,હા
yet,હજુ સુધી
you,તમે
young,યુવાન
your,તમારા
